Date,Open,High,Low,Close,Volume
20231109,23.87,23.87,23.87,23.87,41
20231110,23.74,23.74,23.74,23.74,42
20231113,23.96,23.96,23.95,23.95,621
20231114,24.06,24.06,24.06,24.06,2010
20231115,25.04,25.04,25,25,6944
20231116,25.02,25.03,24.95,24.95,12227
20231117,24.86,24.88,24.86,24.88,480
20231120,25.01,25.01,24.96,24.96,3995
20231121,24.96,24.96,24.96,24.96,0
20231122,24.94,24.95,24.94,24.95,1200
20231123,25,25.01,25,25.01,2295
20231124,25.04,25.05,25.04,25.05,1479
20231127,24.97,24.97,24.97,24.97,900
20231128,25.14,25.14,25.14,25.14,2000
20231129,24.9,24.9,24.87,24.87,4250
20231130,24.97,25.01,24.95,25.01,9090
20231201,25,25.14,25,25.14,11399
20231204,25.59,25.59,25.52,25.55,12439
20231205,25.64,25.7,25.64,25.7,20257
20231206,25.56,25.7,25.56,25.68,9757
20231207,25.54,25.55,25.48,25.48,3927
20231208,25.64,25.65,25.64,25.65,2931
20231211,25.8,25.83,25.8,25.83,1630
20231212,26,26.05,26,26.05,11682
20231213,26.02,26.02,25.94,25.94,9784
20231214,26.5,26.62,26.5,26.62,3259
20231215,27.03,27.14,27.03,27.14,9791
20231218,26.99,27,26.97,26.98,8073
20231219,26.91,26.96,26.91,26.96,32547
20231220,27.28,27.28,27.12,27.14,48132
20231221,26.96,26.99,26.91,26.97,28777
20231222,27.13,27.13,27.07,27.07,18584
20231227,27.61,27.61,27.39,27.39,6972
20231228,27.45,27.45,27.43,27.43,1517
20231229,27.43,27.43,27.29,27.36,8262
20240102,27.3,27.3,27.2,27.21,357
20240103,26.94,26.94,26.87,26.93,24630
20240104,26.87,26.87,26.29,26.29,20732
20240105,26.29,26.32,26.21,26.21,8832
20240108,26.28,26.28,26.13,26.22,3334
20240109,26.56,26.56,26.55,26.55,2101
20240110,26.47,26.47,26.41,26.42,5118
20240111,26.62,26.68,26.59,26.68,1850
20240112,26.62,26.63,26.53,26.55,26182
20240115,26.53,26.6,26.52,26.6,2939
20240116,26.59,26.59,26.42,26.42,22680
20240117,26.5,26.5,26.36,26.37,20715
20240118,27.68,27.68,26.24,26.25,3612
20240119,26.63,26.64,26.61,26.64,7935
20240122,26.94,26.95,26.89,26.94,14169
20240123,27.22,27.22,27.16,27.2,9930
20240124,27.18,27.18,27.01,27.04,10885
20240125,26.83,26.87,26.81,26.87,41467
20240129,26.9,26.95,26.9,26.95,12451
20240130,27.25,27.27,27.23,27.24,14630
20240131,27.43,27.48,27.38,27.42,11783
20240201,27.38,27.38,26.86,26.96,12880
20240202,27.24,27.24,27.17,27.17,2958
20240205,27.19,27.2,27.08,27.11,46987
20240206,27,27,26.76,26.8,21508
20240207,26.93,26.99,26.92,26.94,12007
20240208,27,27,26.96,26.99,20817
20240209,27.39,27.39,27.32,27.36,22066
20240212,27.68,27.68,27.61,27.65,147337
20240213,27.89,27.9,27.88,27.9,57425
20240214,27.49,27.49,27.21,27.27,60085
20240215,27.8,27.85,27.79,27.85,14201
20240216,28.38,28.38,28.05,28.1,92292
20240219,28.1,28.1,28.01,28.03,455063
20240220,28.5,28.5,27.85,27.9,36450
20240221,27.8,27.92,27.76,27.82,17215
20240222,27.92,27.96,27.85,27.95,35152
20240223,28.3,28.3,28.18,28.25,23473
20240226,28.44,28.44,28.3,28.35,44995
20240227,28.49,28.53,28.48,28.5,25474
20240228,28.7,28.7,28.625,28.65,51439
20240229,28.75,28.84,28.75,28.84,17551
20240301,28.93,29.04,28.93,29.02,6269
20240304,28.91,29.21,28.7,29.18,15370
20240305,29.36,29.36,29.31,29.33,17454
20240306,29.11,29.14,29.09,29.14,43907
20240307,29.42,29.42,29.29,29.35,73777
20240308,29.62,29.67,29.62,29.67,5987
20240311,29.65,29.65,29.41,29.44,10760
20240312,29.41,29.47,29.37,29.47,28998
20240313,30,30,29.43,29.48,28162
20240314,29.64,29.64,29.58,29.58,10854
20240315,29.5,29.5,29.24,29.29,40595
20240318,29.1,29.47,29.1,29.47,18433
20240319,29.21,29.24,29.15,29.23,6151
20240320,29.34,29.34,29.29,29.31,7404
20240321,30,30,29.87,29.97,6845
20240322,30.36,30.36,30.26,30.33,10066
20240325,30.09,30.1,30.09,30.1,5551
20240326,30.21,30.21,30.18,30.19,1110
20240327,30.2,30.25,30.2,30.25,5441
20240328,30.57,30.57,30.5,30.55,6443
20240402,30.65,30.66,30.35,30.35,43509
20240403,30.7,30.7,29.79,29.85,22406
20240404,30.02,30.11,30.02,30.09,8726
20240405,29.83,29.83,29.56,29.72,7256
20240408,30.01,30.01,29.87,29.92,14810
20240409,30.05,30.09,30.04,30.08,15740
20240410,30.05,30.06,30,30.03,3641
20240411,29.45,29.53,29.45,29.53,6314
20240412,29.7,29.71,29.48,29.54,38131
20240415,29.31,29.55,29.18,29.26,14803
20240416,28.84,28.85,28.7,28.77,9526
20240417,28.78,28.78,28.59,28.59,5761
20240418,28.5,28.5,28.2,28.39,4754
20240419,28.23,28.23,27.72,28.01,22387
20240422,28.33,28.34,28.28,28.34,4390
20240423,28.57,28.57,28.49,28.52,7619
20240424,29.05,29.07,28.99,29.07,18352
20240426,28.98,28.98,28.64,28.92,69180
20240429,28.99,29.07,28.96,29.01,8782
20240430,29.03,29.085,28.92,29.01,4528
20240501,28.44,28.59,28.44,28.56,9916
20240502,28.6,28.75,28.5,28.61,14140
20240503,28.77,28.77,28.73,28.74,10314
20240506,29.2,29.22,29.18,29.21,8893
20240507,29.59,29.65,29.57,29.65,16373
20240508,29.7,29.71,29.64,29.68,4689
20240509,29.73,29.74,29.7,29.7,7520
20240510,30.09,30.13,30.04,30.13,11733
20240513,30.09,30.3,29.99,30,4582
20240514,29.9,29.91,29.82,29.88,9980
20240515,30.13,30.14,30.12,30.12,8396
20240516,30.44,30.53,30.44,30.5,7431
20240517,30.11,30.12,30.09,30.09,9054
20240520,30.23,30.26,30.19,30.24,14273
20240521,30.39,30.39,30.35,30.39,20708
20240522,30.37,30.37,30.26,30.3,4700
20240523,30.08,30.22,30.08,30.2,10314
20240524,30,30,29.84,29.88,9546
20240527,30.05,30.12,30.05,30.11,6189
20240528,30.18,30.22,30.175,30.19,6486
20240529,29.83,29.83,29.76,29.77,3086
20240530,29.64,29.64,29.27,29.31,4673
