Date,Open,High,Low,Close,Volume
20181108,15.26,15.26,15.2,15.2,13141
20181109,15.21,15.23,15.19,15.23,30098
20181112,15.2,15.2,15.15,15.15,2179
20181113,14.96,14.96,14.92,14.92,6332
20181114,14.91,14.91,14.86,14.86,9051
20181115,14.7,14.72,14.66,14.66,4893
20181116,14.73,14.73,14.73,14.73,340
20181119,14.68,14.68,14.66,14.66,1135
20181120,14.53,14.53,14.47,14.47,5007
20181121,14.37,14.41,14.37,14.41,3831
20181122,14.39,14.39,14.39,14.39,10000
20181123,14.39,14.39,14.39,14.39,0
20181126,14.46,14.46,14.46,14.46,1107
20181127,14.54,14.54,14.54,14.54,72
20181128,14.6,14.6,14.6,14.6,20000
20181129,14.71,14.75,14.71,14.73,24033
20181130,14.73,14.73,14.73,14.73,2050
20181203,14.9,14.91,14.9,14.91,3060
20181204,14.89,14.89,14.82,14.82,1639
20181205,14.49,14.6,14.49,14.58,61129
20181206,14.58,14.58,14.58,14.58,0
20181207,14.58,14.58,14.58,14.58,0
20181210,14.34,14.34,14.34,14.34,10000
20181211,14.48,14.48,14.48,14.48,285
20181212,14.48,14.48,14.48,14.48,0
20181213,14.48,14.48,14.48,14.48,0
20181214,14.51,14.51,14.51,14.51,10
20181217,14.38,14.46,14.38,14.46,2437
20181218,14.2,14.2,14.14,14.14,1350
20181219,14.07,14.07,14.07,14.07,213
20181220,14.01,14.08,13.95,13.95,2405
20181221,13.85,13.85,13.85,13.85,391
20181224,13.74,13.74,13.74,13.74,71
20181227,14.03,14.03,14.03,14.03,259
20181228,14.03,14.03,14.03,14.03,0
20181231,14.22,14.22,14.18,14.18,1806
20190102,14.29,14.29,14.2,14.2,709
20190103,14.25,14.25,14.24,14.24,1776
20190104,14.24,14.24,14.24,14.24,0
20190107,14.13,14.13,14.13,14.13,233
20190108,14.13,14.13,14.13,14.13,0
20190109,14.35,14.35,14.35,14.35,500
20190110,14.35,14.35,14.35,14.35,0
20190111,14.35,14.35,14.35,14.35,140
20190114,14.29,14.29,14.29,14.29,1500
20190115,14.29,14.29,14.29,14.29,0
20190116,14.38,14.38,14.38,14.38,400
20190117,14.5,14.5,14.45,14.46,5362
20190118,14.53,14.53,14.53,14.53,400
20190121,14.79,14.79,14.79,14.79,850
20190122,14.77,14.77,14.77,14.77,67
20190123,14.71,14.71,14.7,14.7,643
20190124,14.69,14.69,14.69,14.69,101
20190125,14.79,14.81,14.79,14.81,875
20190129,14.69,14.69,14.69,14.69,9955
