Date,Open,High,Low,Close,Volume
20221010,19.07,19.11,19.07,19.1,2363
20221011,19.16,19.16,19.1,19.15,3173
20221012,19.11,19.11,19.01,19.11,14506
20221013,19.14,19.14,19,19,3128
20221014,19.32,19.32,19.32,19.32,50
20221017,19.21,19.21,19.03,19.03,291
20221018,19.53,19.64,19.53,19.64,611
20221019,19.72,19.72,19.72,19.72,280
20221020,19.51,19.51,19.45,19.45,286
20221021,19.17,19.17,19.16,19.16,13
20221024,19.82,19.86,19.82,19.86,78
20221025,19.86,19.86,19.86,19.86,0
20221026,19.9,19.96,19.87,19.96,250
20221027,19.67,19.67,19.55,19.55,267
20221028,19.22,19.22,19.03,19.03,402
20221031,19.03,19.03,19.03,19.03,0
20221101,19.03,19.03,19.03,19.03,0
20221102,19.03,19.03,19.03,19.03,0
20221103,19.03,19.03,19.03,19.03,0
20221104,19.16,19.16,18.95,18.95,1156
20221107,18.95,18.95,18.95,18.95,0
20221108,18.95,18.95,18.95,18.95,0
20221109,18.95,18.95,18.95,18.95,0
20221110,18.97,19.01,18.96,19.01,335
20221111,19.01,19.01,19.01,19.01,0
20221114,19.88,19.88,19.88,19.88,14
20221115,19.88,19.88,19.88,19.88,0
20221116,19.65,19.65,19.65,19.65,200
20221117,19.6,19.6,19.6,19.6,2
20221118,19.6,19.6,19.6,19.6,50
20221121,19.6,19.6,19.6,19.6,0
20221122,19.69,19.69,19.69,19.69,26
20221123,19.69,19.69,19.69,19.69,0
20221124,19.72,19.79,19.72,19.73,776
20221125,19.73,19.73,19.73,19.73,0
20221128,19.78,19.78,19.78,19.78,6
20221129,19.78,19.78,19.78,19.78,0
20221130,19.54,19.54,19.5,19.5,60
20221201,19.78,19.78,19.78,19.78,51
20221202,19.78,19.78,19.78,19.78,0
20221205,19.81,19.81,19.8,19.8,74
20221206,19.84,19.84,19.78,19.78,131
20221207,19.64,19.64,19.5,19.5,496
20221208,19.5,19.5,19.5,19.5,0
20221209,19.59,19.59,19.5,19.5,18
20221212,19.5,19.5,19.5,19.5,0
20221213,19.5,19.5,19.5,19.5,0
20221214,19.5,19.5,19.5,19.5,0
20221215,19.5,19.5,19.5,19.5,551
20221216,19.32,19.32,19.2,19.2,143
20221219,19.04,19.04,19.04,19.04,52
20221220,18.97,18.97,18.75,18.85,1011
20221221,19.01,19.01,18.92,18.96,10
20221222,19.14,19.14,18.95,18.95,312
20221223,18.77,18.79,18.73,18.78,117
20221228,18.96,18.96,18.34,18.39,239
20221229,18.34,18.34,18.18,18.2,755
20221230,18.5,18.5,18.46,18.48,472
20230103,18,18,18,18,200
20230104,18,18,17.9,17.9,1371
