Date,Open,High,Low,Close,Volume
20240222,14.91,14.98,14.91,14.97,1946
20240223,15.14,15.2,15.13,15.13,43070
20240226,15.2,15.2,15.1,15.13,26837
20240227,15.23,15.23,15.19,15.21,27104
20240228,15.27,15.28,15.26,15.27,220
20240229,15.27,15.27,15.25,15.27,2549
20240301,15.34,15.38,15.34,15.35,850
20240304,15.45,15.48,15.45,15.48,6815
20240305,15.5,15.5,15.43,15.43,5851
20240306,15.4,15.4,15.25,15.25,11417
20240307,15.25,15.26,15.14,15.14,13521
20240308,15.25,15.3,15.25,15.29,1445
20240311,15.22,15.22,15.1,15.14,4593
20240312,15.18,15.18,15.17,15.17,15
20240313,15.24,15.24,15.24,15.24,35
20240314,15.21,15.21,15.08,15.1,16871
20240315,15.05,15.09,15,15.09,683
20240318,15.02,15.02,14.95,14.95,4148
20240319,15.08,15.08,15.04,15.07,1591
20240320,15.14,15.16,15.1,15.16,5008
20240321,15.16,15.16,15.16,15.16,0
20240322,15.16,15.16,15.16,15.16,0
20240325,15.4,15.4,15.33,15.37,7702
20240326,15.31,15.33,15.31,15.33,2975
20240327,15.38,15.38,15.38,15.38,3262
20240328,15.44,15.44,15.44,15.44,4877
20240402,15.51,15.51,15.41,15.48,3907
20240403,15.7,15.7,15.23,15.24,10076
20240404,15.24,15.24,15.16,15.16,2203
20240405,14.95,14.95,14.95,14.95,1377
20240408,15.09,15.09,15.08,15.08,3
20240409,15,15,14.97,14.97,1713
20240410,15,15.09,15,15.08,5278
20240411,15.09,15.09,15.06,15.06,1140
20240412,15.1,15.13,15.1,15.13,2042
20240415,15.09,15.09,15.07,15.08,5009
20240416,15,15,14.94,14.94,1823
20240417,14.98,14.98,14.98,14.98,100
20240418,14.8,14.8,14.77,14.78,2708
20240419,14.72,14.72,14.59,14.59,1037
20240422,14.61,14.61,14.56,14.56,1437
20240423,14.64,14.64,14.62,14.62,603
20240424,14.74,14.78,14.74,14.78,297
20240426,14.69,14.69,14.68,14.68,3485
20240429,14.84,14.84,14.71,14.71,1891
20240430,14.83,14.83,14.83,14.83,7
20240501,14.83,14.83,14.83,14.83,0
20240502,14.65,14.65,14.55,14.55,767
20240503,14.54,14.54,14.49,14.49,7455
20240506,14.49,14.49,14.49,14.49,0
20240507,14.65,14.75,14.65,14.75,186
20240508,14.75,14.75,14.75,14.75,0
20240509,14.8,14.8,14.79,14.79,37
20240510,14.76,14.76,14.76,14.76,13
20240513,14.76,14.76,14.76,14.76,0
20240514,14.88,14.88,14.83,14.83,41
20240515,14.9,14.9,14.86,14.86,4563
20240516,14.9,14.9,14.9,14.9,100
20240517,14.94,14.94,14.94,14.94,10
20240520,14.9,14.9,14.9,14.9,342
20240521,15.06,15.06,15.06,15.06,7
20240522,15.04,15.04,15.03,15.03,1021
20240523,15.09,15.18,15.09,15.17,13952
20240524,15.17,15.17,15.04,15.04,274
20240527,15.04,15.06,15.04,15.06,3329
20240528,15.05,15.05,14.99,14.99,75
20240529,14.83,14.83,14.82,14.82,28753
20240530,14.99,14.99,14.76,14.79,4164
20240531,14.7,14.7,14.7,14.7,1000
20240603,14.7,14.7,14.7,14.7,0
20240604,14.62,14.66,14.62,14.66,75
20240605,14.71,14.71,14.71,14.71,341
20240606,14.81,14.87,14.81,14.87,198
20240607,14.88,14.9,14.87,14.87,3278
20240611,14.98,15,14.98,15,197
20240612,15.03,15.03,15.03,15.03,1000
20240613,15.07,15.07,15.07,15.07,7
20240614,15.07,15.07,15.07,15.07,0
20240617,15.03,15.09,15.03,15.09,215
