Date,Open,High,Low,Close,Volume
20130711,11.13,11.14,11.11,11.14,3550
20130712,11.24,11.24,11.18,11.18,8104
20130715,11.18,11.18,11.18,11.18,0
20130716,11.23,11.23,11.22,11.22,870
20130717,11.22,11.22,11.22,11.22,0
20130718,11.31,11.31,11.22,11.22,2453
20130719,11.22,11.22,11.18,11.19,16050
20130722,11.28,11.28,11.25,11.25,709
20130723,11.27,11.27,11.25,11.25,6472
20130724,11.28,11.28,11.27,11.28,21879
20130725,11.33,11.33,11.27,11.27,28700
20130726,11.34,11.34,11.33,11.34,21530
20130729,11.31,11.31,11.3,11.3,12342
20130730,11.3,11.33,11.27,11.33,56894
20130731,11.39,11.4,11.37,11.37,32175
20130801,11.41,11.41,11.3,11.31,7100
20130802,11.47,11.49,11.47,11.48,45761
20130805,11.49,11.51,11.49,11.5,5480
20130806,11.47,11.47,11.47,11.47,1250
20130807,11.44,11.44,11.3,11.3,2134
20130808,11.41,11.41,11.41,11.41,1800
20130809,11.37,11.37,11.37,11.37,8620
20130812,11.39,11.44,11.39,11.44,15630
20130813,11.53,11.6,11.53,11.6,9427
20130814,11.59,11.59,11.57,11.58,9165
20130815,11.57,11.6,11.57,11.57,38166
20130816,11.46,11.48,11.46,11.47,8515
20130819,11.51,11.51,11.51,11.51,6943
20130820,11.45,11.45,11.45,11.45,1300
20130821,11.45,11.45,11.45,11.45,0
20130822,11.44,11.46,11.44,11.46,29950
20130823,11.6,11.6,11.58,11.58,979
20130826,11.63,11.63,11.6,11.6,4287
20130827,11.57,11.61,11.57,11.61,6222
20130828,11.5,11.5,11.47,11.48,6899
20130829,11.47,11.51,11.47,11.51,9544
20130830,11.54,11.56,11.54,11.56,2533
20130902,11.7,11.74,11.7,11.74,22950
20130903,11.77,11.77,11.77,11.77,800
20130904,11.7,11.72,11.68,11.72,12477
20130905,11.66,11.66,11.6,11.63,26837
20130906,11.65,11.65,11.61,11.62,12355
20130909,11.7,11.79,11.7,11.79,18373
20130910,11.82,11.83,11.82,11.82,3690
20130911,11.85,11.87,11.85,11.87,9900
20130912,11.91,11.94,11.91,11.94,5425
20130913,11.86,11.86,11.86,11.86,2000
20130916,11.96,11.96,11.95,11.96,6341
20130917,11.95,11.97,11.95,11.96,21576
20130918,11.93,11.93,11.93,11.93,2720
20130919,11.93,11.93,11.93,11.93,0
20130920,11.99,12,11.99,12,12173
20130923,11.95,11.95,11.95,11.95,167
20130924,11.95,11.95,11.95,11.95,0
20130925,11.95,11.95,11.95,11.95,0
20130926,11.95,12.02,11.95,12.02,769
20130927,12.08,12.08,12.07,12.07,39608
20130930,12,12,11.91,11.91,15036
20131001,11.9,11.9,11.85,11.85,22954
20131002,11.9,11.9,11.9,11.9,1720
20131003,11.98,11.98,11.98,11.98,4200
20131004,11.85,11.87,11.85,11.86,6009
20131007,11.78,11.78,11.78,11.78,1000
20131008,11.68,11.72,11.68,11.72,202442
20131009,11.67,11.68,11.66,11.68,15533
20131010,11.68,11.68,11.68,11.68,0
20131011,11.88,11.91,11.88,11.91,3263
20131014,11.93,11.93,11.8,11.86,10926
20131015,11.98,11.99,11.96,11.98,19977
20131016,11.99,11.99,11.99,11.99,12500
20131017,12.1,12.1,12.03,12.03,7925
20131018,12.07,12.1,12.07,12.1,57815
20131021,12.18,12.18,12.17,12.17,4192
20131022,12.17,12.2,12.16,12.19,6406
20131023,12.22,12.23,12.2,12.2,5200
20131024,12.15,12.19,12.15,12.18,12478
20131025,12.22,12.25,12.22,12.25,8887
20131028,12.32,12.37,12.32,12.32,59434
20131029,12.32,12.33,12.3,12.31,11772
20131030,12.35,12.36,12.34,12.36,7309
20131031,12.3,12.33,12.3,12.33,22728
20131101,12.3,12.31,12.3,12.31,3037
20131104,12.34,12.34,12.31,12.31,9409
20131105,12.32,12.34,12.32,12.34,16040
20131106,12.3,12.31,12.3,12.3,5150
20131107,12.33,12.33,12.31,12.31,5909
20131108,12.3,12.32,12.3,12.32,1320
20131111,12.39,12.39,12.3,12.3,3825
20131112,12.35,12.35,12.32,12.32,2681
20131113,12.3,12.3,12.16,12.16,5559
20131114,12.25,12.29,12.25,12.29,6382
20131115,12.35,12.35,12.35,12.35,350
20131118,12.29,12.35,12.29,12.35,10002
20131119,12.3,12.3,12.27,12.27,4347
20131120,12.25,12.25,12.14,12.18,9270
20131121,12.13,12.16,12.13,12.15,83202
20131122,12.25,12.26,12.25,12.26,10601
20131125,12.34,12.34,12.31,12.32,24950
20131126,12.3,12.34,12.3,12.34,44450
20131127,12.31,12.31,12.28,12.28,26932
20131128,12.31,12.31,12.27,12.27,25837
20131129,12.27,12.27,12.19,12.19,4030
20131202,12.24,12.24,12.12,12.14,17923
20131203,12.14,12.14,12.14,12.14,330
20131204,12.07,12.15,12.07,12.15,4642
20131205,12.18,12.18,11.98,11.98,7705
20131206,11.9,11.92,11.88,11.88,23614
20131209,11.88,11.88,11.8,11.82,41633
20131210,11.87,11.87,11.8,11.8,26957
20131211,11.79,11.79,11.73,11.73,37499
20131212,11.72,11.72,11.55,11.56,8300
20131213,11.64,11.7,11.63,11.7,31928
20131216,11.7,11.7,11.68,11.68,8330
20131217,11.77,11.79,11.7,11.72,59776
20131218,11.75,11.77,11.72,11.74,11500
20131219,11.86,11.95,11.86,11.95,22030
20131220,12.04,12.11,12.04,12.11,5348
20131223,12.2,12.2,12.16,12.16,2342
20131224,12.25,12.25,12.25,12.25,38
20131227,12.34,12.34,12.34,12.34,1
20131230,12.34,12.34,12.34,12.34,0
20131231,12.34,12.37,12.34,12.37,16670
20140102,12.28,12.28,12.28,12.28,850
20140103,12.27,12.27,12.19,12.22,22887
20140106,12.16,12.16,12.13,12.13,2869
20140107,12.17,12.17,12.12,12.12,1422
20140108,12.11,12.12,12.1,12.12,17488
20140109,12.09,12.09,12.09,12.09,1646
20140110,12.14,12.14,12.08,12.09,22522
20140113,12.07,12.07,12.07,12.07,10700
20140114,11.91,11.91,11.85,11.85,14925
20140115,11.96,11.96,11.96,11.96,418
20140116,11.96,11.96,11.96,11.96,0
20140117,12.05,12.05,12.05,12.05,1659
20140120,12.03,12.03,11.99,11.99,14969
20140121,12.08,12.08,12.08,12.08,3882
20140122,12.04,12.06,12.02,12.05,3544
20140123,12.05,12.08,11.97,11.97,5279
20140124,12,12,11.93,11.93,11010
20140128,11.77,11.82,11.77,11.77,5162
20140129,11.82,11.88,11.82,11.88,27196
20140130,11.82,11.82,11.74,11.79,97697
20140131,11.77,11.8,11.77,11.78,4985
20140203,11.77,11.8,11.75,11.8,9098
20140204,11.63,11.64,11.57,11.57,182102
20140205,11.58,11.58,11.51,11.51,15659
20140206,11.6,11.65,11.6,11.65,2893
20140207,11.71,11.74,11.71,11.73,48633
20140210,11.83,11.84,11.82,11.82,1245
20140211,11.83,11.97,11.83,11.93,24084
20140212,12.02,12.09,12.02,12.09,38183
20140213,12.06,12.08,12.06,12.08,101776
20140214,12.12,12.13,12.09,12.13,55697
