Date,Open,High,Low,Close,Volume
20170607,25.44,25.44,25.44,25.44,31345
20170608,25.44,25.44,25.44,25.44,4603
20170609,25.44,25.44,25.44,25.44,78740
20170613,25.44,25.45,25.44,25.44,16248
20170614,25.45,25.45,25.45,25.45,1600
20170615,25.45,25.45,25.45,25.45,0
20170616,25.45,25.45,25.45,25.45,0
20170619,25.46,25.46,25.46,25.46,200
20170620,25.47,25.47,25.47,25.47,131225
20170621,25.47,25.47,25.47,25.47,530
20170622,25.5,25.5,25.5,25.5,5470
20170623,25.49,25.49,25.49,25.49,36178
20170626,25.49,25.49,25.49,25.49,3326
20170627,25.5,25.5,25.49,25.49,69625
20170628,25.5,25.5,25.5,25.5,5388
20170629,25.5,25.5,25.5,25.5,3923
20170630,25.5,25.5,25.5,25.5,42652
20170703,25.46,25.47,25.46,25.47,30709
20170704,25.46,25.46,25.46,25.46,20397
20170705,25.46,25.46,25.46,25.46,7510
20170706,25.48,25.48,25.48,25.48,13044
20170707,25.49,25.49,25.49,25.49,7259
20170710,25.49,25.49,25.48,25.48,61026
20170711,25.49,25.49,25.49,25.49,69722
20170712,25.49,25.49,25.49,25.49,6921
20170713,25.49,25.49,25.49,25.49,2560
20170714,25.5,25.5,25.5,25.5,2975
20170717,25.51,25.51,25.51,25.51,8747
20170718,25.52,25.52,25.52,25.52,20969
20170719,25.52,25.52,25.52,25.52,3819
20170720,25.53,25.53,25.53,25.53,2287
20170721,25.53,25.53,25.52,25.53,22703
20170724,25.54,25.54,25.54,25.54,8546
20170725,25.55,25.55,25.54,25.55,490063
20170726,25.55,25.55,25.545,25.55,19757
20170727,25.56,25.56,25.55,25.56,7943
20170728,25.57,25.57,25.54,25.55,87891
20170731,25.55,25.56,25.55,25.56,57640
20170801,25.52,25.52,25.52,25.52,8816
20170802,25.52,25.52,25.52,25.52,200
20170803,25.52,25.53,25.52,25.53,17357
20170804,25.53,25.53,25.53,25.53,2364
20170807,25.53,25.53,25.53,25.53,0
20170808,25.54,25.54,25.54,25.54,8771
20170809,25.54,25.54,25.54,25.54,42087
20170810,25.54,25.54,25.54,25.54,21160
20170811,25.55,25.55,25.55,25.55,35653
20170814,25.54,25.54,25.54,25.54,195006
20170815,25.55,25.55,25.55,25.55,16855
20170816,25.55,25.55,25.55,25.55,4000
20170817,25.55,25.55,25.55,25.55,20340
20170818,25.55,25.55,25.54,25.55,315446
20170821,25.55,25.55,25.55,25.55,86244
20170822,25.55,25.56,25.55,25.55,101974
20170823,25.57,25.57,25.57,25.57,15235
20170824,25.57,25.57,25.56,25.57,32187
20170825,25.57,25.57,25.57,25.57,20760
20170828,25.57,25.57,25.57,25.57,62854
20170829,25.58,25.58,25.575,25.575,29538
20170830,25.58,25.58,25.575,25.575,4883
20170831,25.58,25.58,25.58,25.58,61586
20170901,25.54,25.54,25.53,25.53,6692
20170904,25.54,25.54,25.53,25.54,29055
20170905,25.545,25.55,25.54,25.55,15645
20170906,25.55,25.55,25.545,25.55,33198
20170907,25.56,25.56,25.555,25.56,15795
20170908,25.56,25.56,25.555,25.56,16653
20170911,25.56,25.56,25.555,25.555,19427
20170912,25.57,25.57,25.57,25.57,51501
20170913,25.57,25.57,25.565,25.57,10653
20170914,25.57,25.57,25.56,25.57,6594
20170915,25.58,25.58,25.57,25.57,73182
20170918,25.58,25.58,25.575,25.575,7848
20170919,25.58,25.58,25.58,25.58,32987
20170920,25.59,25.59,25.58,25.58,4517
20170921,25.59,25.59,25.59,25.59,19134
20170922,25.59,25.59,25.59,25.59,6654
20170925,25.59,25.59,25.58,25.58,199
20170926,25.59,25.6,25.59,25.6,19706
20170927,25.6,25.6,25.595,25.6,8646
20170928,25.6,25.6,25.59,25.6,18276
20170929,25.6,25.6,25.6,25.6,23842
20171002,25.56,25.56,25.555,25.56,44054
20171003,25.56,25.56,25.55,25.56,15260
20171004,25.56,25.57,25.56,25.57,44245
20171005,25.57,25.57,25.57,25.57,8263
20171006,25.57,25.57,25.57,25.57,38993
20171009,25.57,25.57,25.57,25.57,10548
20171010,25.58,25.58,25.57,25.58,18130
20171011,25.58,25.6,25.57,25.58,71289
20171012,25.59,25.59,25.59,25.59,25920
20171013,25.59,25.59,25.585,25.59,8355
20171016,25.6,25.6,25.595,25.6,17855
20171017,25.61,25.61,25.6,25.6,18465
20171018,25.61,25.61,25.61,25.61,13809
20171019,25.625,25.63,25.62,25.62,123660
20171020,25.62,25.63,25.62,25.63,79106
20171023,25.63,25.63,25.62,25.63,9111
20171024,25.64,25.64,25.63,25.64,15485
20171025,25.635,25.64,25.635,25.64,17416
20171026,25.65,25.65,25.64,25.64,37195
20171027,25.65,25.65,25.64,25.64,32055
20171030,25.65,25.66,25.65,25.66,47014
20171031,25.66,25.67,25.66,25.66,116895
20171101,25.62,25.62,25.615,25.62,11207
20171102,25.62,25.62,25.615,25.62,39004
20171103,25.62,25.63,25.62,25.62,648709
20171106,25.62,25.62,25.62,25.62,163238
20171107,25.63,25.63,25.62,25.62,6711
20171108,25.63,25.63,25.62,25.63,23846
20171109,25.63,25.64,25.63,25.64,114275
20171110,25.63,25.64,25.63,25.64,12661
20171113,25.65,25.65,25.64,25.65,12460
20171114,25.65,25.65,25.64,25.65,9676
20171115,25.65,25.65,25.64,25.65,87225
20171116,25.65,25.65,25.64,25.65,45175
20171117,25.65,25.65,25.645,25.65,11308
20171120,25.65,25.65,25.64,25.65,17842
20171121,25.64,25.65,25.64,25.65,126389
20171122,25.65,25.65,25.64,25.645,18633
20171123,25.65,25.65,25.645,25.65,22678
20171124,25.65,25.65,25.64,25.65,12841
20171127,25.65,25.65,25.64,25.65,15500
20171128,25.65,25.66,25.65,25.66,40176
20171129,25.65,25.66,25.65,25.66,27500
20171130,25.66,25.66,25.65,25.65,8385
20171201,25.62,25.62,25.61,25.62,11858
20171204,25.62,25.62,25.61,25.62,24323
20171205,25.62,25.62,25.61,25.62,26201
20171206,25.62,25.62,25.61,25.62,57110
20171207,25.62,25.62,25.61,25.62,18827
20171208,25.62,25.62,25.61,25.62,23583
20171211,25.62,25.62,25.61,25.62,15114
20171212,25.63,25.63,25.62,25.63,131428
20171213,25.63,25.63,25.62,25.63,83497
20171214,25.63,25.63,25.62,25.62,28739
20171215,25.64,25.64,25.635,25.64,158890
20171218,25.64,25.64,25.63,25.64,110129
20171219,25.64,25.64,25.63,25.64,46257
20171220,25.64,25.64,25.63,25.63,53012
20171221,25.64,25.64,25.635,25.64,44662
20171222,25.64,25.65,25.64,25.65,34743
20171227,25.65,25.65,25.65,25.65,3171
20171228,25.66,25.66,25.66,25.66,1161
20171229,25.655,25.655,25.65,25.65,194
20180102,25.7,25.7,25.61,25.61,4353
20180103,25.61,25.61,25.605,25.61,10450
20180104,25.615,25.62,25.615,25.62,10934
20180105,25.62,25.62,25.615,25.62,30365
20180108,25.62,25.62,25.62,25.62,24754
20180109,25.62,25.63,25.62,25.63,36930
20180110,25.63,25.63,25.62,25.63,7183
20180111,25.64,25.64,25.63,25.63,4177
20180112,25.63,25.64,25.63,25.64,30164
20180115,25.635,25.64,25.63,25.63,9395
20180116,25.65,25.65,25.64,25.65,22095
20180117,25.65,25.65,25.64,25.65,22165
20180118,25.64,25.65,25.64,25.65,11896
20180119,25.64,25.65,25.64,25.65,4563
20180122,25.655,25.66,25.65,25.66,11156
20180123,25.66,25.66,25.65,25.66,7511
20180124,25.66,25.66,25.655,25.655,11981
20180125,25.67,25.67,25.66,25.67,63087
