Date,Open,High,Low,Close,Volume
20101215,8.11,8.11,8.1,8.1,13500
20101216,8.05,8.07,8.05,8.07,2682
20101217,8.06,8.06,8.06,8.06,1850
20101220,8.05,8.05,8.04,8.04,1360100
20101221,8.05,8.09,8.05,8.09,2867
20101222,8.1,8.1,8.1,8.1,300
20101223,8.16,8.18,8.16,8.18,1620
20101224,8.12,8.12,8.1,8.1,2700
20101229,8.1,8.1,8.1,8.1,0
20101230,8.13,8.13,8.13,8.13,1000
20101231,8.13,8.13,8.13,8.13,0
20110104,8.11,8.13,8.11,8.11,975
20110105,8.08,8.08,8.08,8.08,80000
20110106,8.01,8.01,8.01,8.01,150
20110107,7.98,7.98,7.98,7.98,140
20110110,7.96,7.96,7.96,7.96,150
20110111,7.92,7.92,7.92,7.92,141
20110112,7.97,7.97,7.97,7.97,50000
20110113,8.09,8.14,8.09,8.14,36300
20110114,8.09,8.09,8.09,8.09,299
20110117,8.03,8.03,8.03,8.03,200
20110118,8.01,8.01,8.01,8.01,1000
20110119,8.15,8.15,8.15,8.15,250
20110120,8.07,8.07,8.02,8.02,1870
20110121,7.97,7.97,7.86,7.86,4021
20110124,7.89,7.89,7.89,7.89,250
20110125,7.98,8,7.98,8,61750
20110127,8,8,7.98,7.98,135000
20110128,7.92,7.92,7.87,7.87,75888
20110131,7.8,7.81,7.79,7.81,107500
20110201,7.83,7.83,7.83,7.83,65000
20110202,8.02,8.02,8.02,8.02,250
20110203,8.05,8.08,8.05,8.08,110000
20110204,8.11,8.13,8.11,8.12,151000
20110207,8.15,8.15,8.15,8.15,100200
20110208,8.15,8.15,8.15,8.15,0
20110209,8.23,8.23,8.18,8.18,55000
20110210,8.16,8.16,8.16,8.16,30000
20110211,8.12,8.14,8.11,8.14,212623
20110214,8.23,8.24,8.23,8.24,4200
20110215,8.24,8.25,8.23,8.23,31500
20110216,8.19,8.21,8.19,8.21,26000
20110217,8.21,8.21,8.21,8.21,7000
20110218,8.21,8.22,8.21,8.22,25112
20110221,8.22,8.22,8.22,8.22,0
20110222,8.22,8.22,8.22,8.22,0
20110223,8.11,8.11,8.11,8.11,50000
20110224,8.08,8.08,8.08,8.08,1000
20110225,8.04,8.06,8.04,8.06,624
20110228,8.06,8.06,8.06,8.06,0
20110301,8.06,8.06,8.06,8.06,0
20110302,8.06,8.06,8.06,8.06,0
20110303,8.06,8.06,8.06,8.06,0
20110304,8.24,8.24,8.24,8.24,3600
20110307,8.22,8.22,8.17,8.17,26000
20110308,8.13,8.13,8.13,8.13,12200
20110309,8.13,8.13,8.13,8.13,0
20110310,7.98,7.98,7.85,7.85,86000
20110311,7.85,7.85,7.85,7.85,0
20110314,7.85,7.85,7.85,7.85,0
20110315,7.7,7.7,7.41,7.45,2909
20110316,7.53,7.59,7.52,7.59,81000
20110317,7.62,7.62,7.62,7.62,13150
20110318,7.7,7.83,7.7,7.83,109778
20110321,7.84,7.88,7.84,7.88,37988
20110322,7.88,7.88,7.88,7.88,1515
20110323,7.88,7.88,7.88,7.88,0
20110324,7.88,7.88,7.88,7.88,0
20110325,8.05,8.05,8.05,8.05,1000
20110328,8.05,8.05,8.05,8.05,1625
20110329,8.05,8.05,8.05,8.05,0
20110330,8.05,8.05,8.05,8.05,0
20110331,8.23,8.23,8.22,8.22,485
20110401,8.22,8.22,8.22,8.22,0
20110404,8.35,8.35,8.35,8.35,40000
20110405,8.35,8.4,8.35,8.4,1250
20110406,8.49,8.49,8.49,8.49,120
20110407,8.49,8.49,8.49,8.49,0
20110408,8.49,8.52,8.49,8.5,5416
20110411,8.74,8.74,8.74,8.74,200
20110412,8.58,8.58,8.52,8.52,31180
20110413,8.5,8.5,8.43,8.5,5050
20110414,8.4,8.4,8.4,8.4,235
20110415,8.38,8.38,8.37,8.37,12020
20110418,8.37,8.37,8.37,8.37,238
20110419,8.2,8.2,8.17,8.17,6775
20110420,8.17,8.17,8.17,8.17,0
20110421,8.17,8.17,8.17,8.17,0
20110427,8.32,8.32,8.32,8.32,3000
20110428,8.31,8.31,8.31,8.31,600
20110429,8.31,8.31,8.31,8.31,0
20110502,8.31,8.31,8.31,8.31,0
20110503,8.31,8.31,8.31,8.31,0
20110504,8.31,8.31,8.31,8.31,0
20110505,8.31,8.31,8.31,8.31,0
20110506,8.31,8.31,8.31,8.31,0
20110509,7.94,7.94,7.94,7.94,30000
20110510,7.97,7.97,7.97,7.97,1255
20110511,7.97,8.03,7.97,8.03,64300
20110512,8.03,8.03,8.03,8.03,0
20110513,7.82,7.82,7.82,7.82,1000
20110516,7.82,7.82,7.82,7.82,0
20110517,7.79,7.79,7.76,7.76,2609
20110518,7.76,7.76,7.76,7.76,0
20110519,7.93,7.93,7.93,7.93,1500
20110520,7.86,7.86,7.86,7.86,500
