Date,Open,High,Low,Close,Volume
20210310,20.53,20.54,20.35,20.36,28838
20210311,20.57,20.57,20.51,20.56,7713
20210312,20.71,20.75,20.7,20.75,17193
20210315,20.85,20.9,20.84,20.88,8006
20210316,21,21.05,21,21.03,4780
20210317,21.02,21.02,21,21.01,7564
20210318,20.94,20.94,20.86,20.86,1947
20210319,20.71,20.71,20.7,20.7,2285
20210322,20.81,20.81,20.79,20.81,8327
20210323,20.81,20.81,20.81,20.81,1464
20210324,20.61,20.68,20.6,20.66,2787
20210325,20.61,20.61,20.6,20.6,2359
20210326,20.91,20.96,20.91,20.96,4713
20210329,21.12,21.12,21.12,21.12,1400
20210330,20.9,20.91,20.85,20.89,2356
20210331,21.19,21.2,21.12,21.18,4237
20210401,21.3,21.33,21.3,21.33,6199
20210406,21.62,21.62,21.6,21.6,3288
20210407,21.66,21.7,21.65,21.7,5290
20210408,21.66,21.7,21.66,21.67,8190
20210409,21.75,21.76,21.75,21.76,2000
20210412,21.8,21.8,21.8,21.8,531
20210413,21.95,21.98,21.95,21.98,2982
20210414,21.84,21.85,21.8,21.8,2671
20210415,21.69,21.74,21.69,21.74,2144
20210416,21.74,21.74,21.74,21.74,0
20210419,21.97,21.97,21.9,21.9,4700
20210420,21.82,21.82,21.75,21.76,3405
20210421,21.58,21.58,21.57,21.57,94
20210422,21.7,21.74,21.7,21.74,3700
20210423,21.69,21.78,21.69,21.78,3350
20210426,21.95,21.95,21.94,21.95,6416
20210427,22.02,22.05,22.01,22.05,7033
20210428,22.18,22.19,22.17,22.17,7350
20210429,21.98,21.98,21.97,21.97,7078
20210430,22.04,22.04,21.99,21.99,8377
20210503,22.01,22.01,21.99,22.01,12844
20210504,21.93,21.94,21.93,21.94,14701
20210505,21.97,21.97,21.92,21.92,3759
20210506,21.93,21.93,21.93,21.93,227
20210507,21.78,21.84,21.78,21.84,2700
20210510,21.93,22,21.93,21.98,668
20210511,21.7,21.7,21.59,21.59,1263
20210512,21.36,21.36,21.36,21.36,304
20210513,21.17,21.22,21.17,21.17,5307
20210514,21.53,21.55,21.52,21.55,2615
20210517,21.67,21.7,21.65,21.7,704
20210518,21.63,21.63,21.6,21.6,2700
20210519,21.2,21.2,21.2,21.2,5
20210520,21.36,21.36,21.25,21.25,6651
20210521,21.47,21.51,21.47,21.51,4824
20210524,21.56,21.56,21.56,21.56,1365
20210525,21.56,21.57,21.56,21.57,1162
20210526,21.58,21.58,21.47,21.47,3947
20210527,21.66,21.66,21.65,21.65,4077
20210528,21.65,21.65,21.65,21.65,0
20210531,21.72,21.86,21.72,21.79,41348
20210601,21.75,21.75,21.67,21.68,2851
20210602,21.73,21.85,21.73,21.85,948
20210603,21.78,21.78,21.75,21.75,2716
20210604,21.75,21.75,21.75,21.75,0
20210607,21.73,21.73,21.73,21.73,7606
20210608,21.77,21.81,21.77,21.8,757
20210609,21.93,21.93,21.92,21.92,5919
20210610,21.8,21.81,21.78,21.78,12005
20210611,21.63,21.64,21.6,21.64,7333
20210615,21.77,21.79,21.69,21.78,1841
20210616,21.83,21.84,21.74,21.8,6283
20210617,21.8,21.8,21.7,21.7,1358
20210618,21.7,21.74,21.7,21.74,1218
20210621,21.5,21.5,21.35,21.35,3538
20210622,21.87,21.9,21.79,21.9,6688
20210623,21.9,21.9,21.9,21.9,3375
20210624,21.83,21.86,21.83,21.86,3247
20210625,21.98,21.98,21.9,21.97,4971
20210628,22.05,22.16,22.05,22.16,326
20210629,22.05,22.05,22,22.03,1664
20210630,22.27,22.27,22.22,22.22,117
20210701,22.22,22.22,22.22,22.22,0
20210702,22.39,22.49,22.37,22.37,1474
20210705,22.32,22.32,22.3,22.32,5671
20210706,22.26,22.26,22.16,22.16,2828
20210707,22.15,22.24,22.15,22.23,2538
20210708,22.39,22.4,22.39,22.4,2006
20210709,22.17,22.2,22.17,22.2,359
20210712,22.44,22.44,22.44,22.44,175
20210713,22.41,22.51,22.41,22.47,5664
20210714,22.42,22.42,22.37,22.37,3938
20210715,22.23,22.23,22.23,22.23,4500
20210716,22.33,22.33,22.31,22.33,1909
20210719,22.12,22.12,22.08,22.08,3543
20210720,22.13,22.13,22.1,22.1,618
20210721,22.1,22.1,22.1,22.1,0
20210722,22.67,22.67,22.67,22.67,93
20210723,22.62,22.7,22.59,22.7,5873
20210726,22.79,22.79,22.75,22.75,998
20210727,22.79,22.81,22.76,22.8,5190
20210728,22.7,22.75,22.7,22.75,3913
20210729,22.9,22.9,22.88,22.88,12168
20210730,23.05,23.05,23.01,23.01,1800
20210802,23.41,23.42,23.41,23.42,314
20210803,23.21,23.22,23.21,23.22,351
20210804,23.15,23.18,23.15,23.18,590
20210805,23.13,23.23,23.13,23.18,19350
20210806,23.27,23.27,23.27,23.27,858
20210809,23.34,23.34,23.34,23.34,730
20210810,23.36,23.38,23.35,23.36,4993
20210811,23.37,23.42,23.31,23.42,5976
20210812,23.51,23.51,23.51,23.51,328
20210813,23.45,23.5,23.38,23.5,4736
20210816,23.35,23.36,23.3,23.3,5298
20210817,23.47,23.47,23.47,23.47,852
20210818,23.46,23.55,23.46,23.53,1824
20210819,23.41,23.46,23.41,23.45,11060
20210820,23.54,23.54,23.5,23.5,6118
20210823,23.82,23.89,23.82,23.89,7950
20210824,23.85,23.86,23.79,23.79,8673
20210825,23.77,23.8,23.77,23.79,14297
20210826,23.82,23.82,23.75,23.75,406
20210827,23.75,23.81,23.73,23.81,4266
20210830,23.92,23.97,23.82,23.97,7531
20210831,24,24,23.94,23.94,9012
20210901,23.81,23.85,23.8,23.85,4402
20210902,23.58,23.64,23.58,23.62,1449
20210903,23.68,23.78,23.68,23.7,2162
20210906,23.46,23.54,23.46,23.54,2592
20210907,23.58,23.61,23.45,23.61,2305
20210908,23.42,23.45,23.4,23.4,3180
20210909,23.39,23.39,23.32,23.32,2335
20210910,23.31,23.47,23.31,23.45,4960
20210913,23.41,23.41,23.34,23.34,4491
20210914,23.37,23.44,23.37,23.44,15417
20210915,23.33,23.34,23.32,23.32,3032
20210916,23.35,23.35,23.35,23.35,1040
20210917,23.53,23.56,23.53,23.56,138
20210920,23.48,23.51,23.39,23.39,1891
20210921,23.1,23.19,23.09,23.15,4895
20210922,23.18,23.2,23.18,23.2,511
20210923,23.46,23.54,23.46,23.54,1212
20210924,23.57,23.57,23.57,23.57,223
20210927,23.56,23.57,23.52,23.55,1987
20210928,23.47,23.47,23.43,23.43,2124
20210929,23.14,23.14,23.1,23.11,2347
20210930,23.21,23.24,23.19,23.19,3553
20211001,22.81,22.81,22.58,22.61,3398
20211004,22.84,22.84,22.67,22.72,561
20211005,22.58,22.6,22.44,22.6,2545
20211006,22.65,22.65,22.57,22.57,4578
20211007,22.71,22.72,22.71,22.72,749
20211008,22.85,22.87,22.81,22.81,1780
20211011,22.67,22.71,22.61,22.71,2094
20211012,22.44,22.44,22.33,22.36,3423
20211013,22.48,22.5,22.46,22.48,271
20211014,22.68,22.68,22.68,22.68,180
20211015,23.02,23.02,22.92,23,10731
20211018,23.05,23.05,22.97,23,327
20211019,23.1,23.1,22.97,22.97,4652
20211020,23,23,22.92,22.92,4626
20211021,23.04,23.04,23.04,23.04,22
20211022,23.29,23.41,23.29,23.41,1060
20211025,23.31,23.31,23.26,23.26,735
20211026,23.35,23.35,23.26,23.26,7505
20211027,23.18,23.18,23.07,23.11,3675
20211028,22.96,22.96,22.95,22.95,1299
