Date,Open,High,Low,Close,Volume
20141031,15.19,15.23,15.19,15.23,44655
20141103,15.23,15.23,15.23,15.23,0
20141104,15.52,15.52,15.5,15.5,4218
20141105,15.4,15.4,15.39,15.39,3000
20141106,15.72,15.76,15.7,15.7,26293
20141107,15.7,15.7,15.7,15.7,0
20141110,15.7,15.7,15.7,15.7,0
20141111,15.7,15.7,15.7,15.7,0
20141112,15.71,15.71,15.71,15.71,35
20141113,15.69,15.69,15.69,15.69,2500
20141114,15.67,15.67,15.64,15.64,277
20141117,15.59,15.59,15.48,15.48,2910
20141118,15.64,15.64,15.64,15.64,1600
20141119,15.72,15.8,15.72,15.8,9078
20141120,15.94,15.96,15.91,15.93,21033
20141121,15.93,15.93,15.9,15.91,12021
20141124,15.91,15.92,15.89,15.9,18408
20141125,16.1,16.13,16.1,16.11,9447
20141126,16.32,16.38,16.32,16.34,9612
20141127,16.32,16.32,16.17,16.17,20340
20141128,16.3,16.37,16.3,16.37,17121
20141201,16.7,16.72,16.66,16.66,14190
20141202,16.5,16.5,16.25,16.25,9232
20141203,16.43,16.56,16.42,16.52,18535
20141204,16.57,16.59,16.51,16.58,69373
20141205,16.58,16.6,16.58,16.58,42105
20141208,16.77,16.79,16.72,16.79,67431
20141209,16.66,16.7,16.66,16.67,47906
20141210,16.64,16.68,16.55,16.56,26263
20141211,16.56,16.56,16.24,16.32,30380
20141212,16.45,16.48,16.38,16.38,26179
20141215,16.37,16.37,16.17,16.3,18297
20141216,16.28,16.28,16.2,16.24,20387
20141217,16.2,16.24,16.14,16.24,16166
20141218,16.54,16.55,16.5,16.51,326471
20141219,16.92,16.94,16.88,16.9,12397
20141222,16.9,16.96,16.86,16.9,34267
20141223,16.98,16.99,16.97,16.99,22000
20141224,17.01,17.04,17.01,17.04,12918
20141229,17.07,17.07,17.02,17.02,45699
20141230,17.03,17.03,17.03,17.03,200
20141231,16.87,16.87,16.79,16.79,8649
20150102,16.81,16.84,16.81,16.84,3590
20150105,16.8,16.84,16.69,16.84,24580
20150106,16.61,16.61,16.47,16.47,12597
20150107,16.41,16.49,16.4,16.44,27436
20150108,16.61,16.7,16.61,16.7,16305
20150109,16.85,16.85,16.75,16.75,11438
20150112,16.5,16.5,16.45,16.45,6700
20150113,16.59,16.59,16.47,16.53,3457
20150114,16.51,16.59,16.4,16.59,6945
20150115,16.52,16.52,16.43,16.44,29524
20150116,16.37,16.37,16.17,16.17,17247
20150119,16.46,16.5,16.45,16.47,22317
20150120,16.58,16.66,16.57,16.65,9885
20150121,16.67,16.67,16.6,16.61,32149
20150122,16.84,16.95,16.84,16.9,21065
20150123,17.21,17.21,17.13,17.18,10610
20150127,17.15,17.5,17.15,17.44,52236
20150128,17.36,17.4,17.24,17.32,21755
20150129,17.1,17.11,17.07,17.11,25050
20150130,17.62,17.62,17.56,17.56,25059
20150202,17.3,17.39,17.3,17.38,18742
20150203,17.52,17.79,17.46,17.79,8908
20150204,17.75,17.75,17.66,17.66,26289
20150205,17.59,17.61,17.51,17.58,41038
20150206,17.77,17.77,17.67,17.67,14887
20150209,17.66,17.66,17.64,17.66,7620
20150210,17.62,17.62,17.47,17.47,16774
20150211,17.83,17.83,17.78,17.82,9473
20150212,17.95,18.05,17.95,18.05,21860
20150213,18.03,18.03,17.99,17.99,4025
20150216,18.07,18.09,18,18.01,33924
20150217,17.96,17.98,17.92,17.92,4431
20150218,18.02,18.04,18,18.01,49107
20150219,18.02,18.04,17.96,17.98,47953
20150220,18.12,18.13,18.12,18.13,5930
20150223,18.15,18.15,18.13,18.13,6320
20150224,18.27,18.33,18.21,18.33,30309
20150225,18.23,18.24,18.12,18.13,14655
20150226,18.14,18.17,18.14,18.16,6094
20150227,18.24,18.29,18.23,18.28,27536
20150302,18.27,18.34,18.24,18.33,32107
20150303,18.44,18.45,18.26,18.26,25392
20150304,18.15,18.15,18.15,18.15,32
20150305,18.11,18.14,18.04,18.14,49280
20150306,18.26,18.26,18.22,18.22,6675
20150309,18.06,18.14,18.06,18.11,8149
