Date,Open,High,Low,Close,Volume
20141219,25.68,25.68,25.68,25.68,98
20141222,25.82,25.82,25.82,25.82,100
20141223,26.04,26.04,25.95,25.95,40
20141224,25.95,25.95,25.95,25.95,0
20141229,25.95,25.95,25.95,25.95,0
20141230,25.95,25.95,25.95,25.95,0
20141231,25.94,25.94,25.94,25.94,1000
20150102,26.01,26.01,26.01,26.01,120
20150105,26.01,26.01,26.01,26.01,0
20150106,26.01,26.01,26.01,26.01,0
20150107,25.4,25.41,25.4,25.41,340
20150108,25.7,25.7,25.7,25.7,1167
20150109,25.7,25.7,25.7,25.7,0
20150112,25.7,25.7,25.7,25.7,0
20150113,25.35,25.35,25.29,25.29,1380
20150114,25.29,25.29,25.29,25.29,0
20150115,24.99,24.99,24.99,24.99,199
20150116,24.99,24.99,24.99,24.99,0
20150119,24.99,24.99,24.99,24.99,0
20150120,24.99,24.99,24.99,24.99,0
20150121,24.99,24.99,24.99,24.99,0
20150122,25.51,25.51,25.51,25.51,3920
20150123,25.51,25.51,25.51,25.51,0
20150127,25.51,25.51,25.51,25.51,0
20150128,26.26,26.29,25.98,26.06,3131
20150129,26.05,26.05,25.71,25.76,4240
20150130,26.36,26.36,26.3,26.3,10950
20150202,26.07,26.07,26,26,1819
20150203,26.2,26.73,26.2,26.73,1300
20150204,26.73,26.76,26.69,26.72,5361
20150205,26.58,26.61,26.51,26.51,1675
20150206,26.88,26.88,26.77,26.77,1222
20150209,26.9,26.9,26.88,26.88,1070
20150210,26.78,26.8,26.68,26.68,1820
20150211,26.95,26.95,26.95,26.95,200
20150212,27.42,27.48,27.42,27.48,772
20150213,27.34,27.39,27.22,27.22,4418
20150216,27.46,27.46,27.32,27.32,800
20150217,27.21,27.21,27.21,27.21,250
20150218,27.27,27.27,27.27,27.27,1150
20150219,27.25,27.25,27.2,27.2,202
20150220,27.2,27.2,27.2,27.2,0
20150223,27.2,27.2,27.2,27.2,120
20150224,27.2,27.5,27.2,27.5,7257
20150225,27.41,27.41,27.2,27.2,4067
20150226,27.22,27.22,27.22,27.22,1816
20150227,27.35,27.35,27.29,27.35,7838
20150302,27.33,27.44,27.33,27.44,1880
20150303,27.53,27.53,27.25,27.25,2517
20150304,27.25,27.25,27.25,27.25,0
20150305,27.09,27.09,27.09,27.09,1850
20150306,27.26,27.26,27.19,27.19,516
20150309,27.19,27.19,27.19,27.19,0
20150310,27.27,27.27,27.27,27.27,800
20150311,27.27,27.27,27.27,27.27,0
20150312,27.15,27.24,27.15,27.2,13545
20150313,27.13,27.13,27.13,27.13,2000
20150316,27.09,27.09,27.09,27.09,40
20150317,27.5,27.5,27.49,27.49,2518
20150318,27.49,27.49,27.48,27.48,8439
20150319,27.41,27.41,27.26,27.36,16728
20150320,27.36,27.36,27.36,27.36,0
20150323,27.38,27.39,27.17,27.21,19067
20150324,26.92,27.08,26.92,27.04,7022
20150325,27,27,26.77,26.77,2966
20150326,26.66,26.73,26.6,26.73,3489
20150327,26.61,26.75,26.58,26.75,10957
20150330,26.94,26.94,26.9,26.9,2754
20150331,27.44,27.53,27.44,27.51,1326
20150401,27.14,27.22,27.14,27.22,1218
20150402,27.52,27.54,27.52,27.54,2879
20150407,27.71,27.75,27.43,27.43,5202
20150408,27.48,27.48,27.48,27.48,1170
20150409,27.45,27.51,27.38,27.38,3821
20150410,27.48,27.51,27.48,27.51,3654
20150413,27.8,27.8,27.8,27.8,73
20150414,27.86,27.86,27.86,27.86,6241
20150415,27.93,28,27.93,28,1185
20150416,27.73,27.73,27.54,27.54,1887
20150417,27.43,27.43,27.4,27.4,915
20150420,27.16,27.16,27.1,27.1,1958
20150421,27.66,27.66,27.66,27.66,4780
20150422,27.66,27.66,27.66,27.66,0
20150423,27.49,27.49,27.49,27.49,654
20150424,27.41,27.41,27.41,27.41,18000
20150427,27.32,27.32,27.32,27.32,1810
20150428,27.07,27.07,27,27,3340
20150429,26.8,26.8,26.8,26.8,931
20150430,26.56,26.7,26.56,26.7,1364
20150501,26.86,26.86,26.84,26.85,3336
20150504,27.28,27.29,27.28,27.29,845
20150505,27.27,27.27,27.27,27.27,1275
20150506,27.27,27.27,27.27,27.27,0
20150507,26.51,26.51,26.39,26.39,5609
20150508,26.91,26.91,26.91,26.91,400
20150511,26.91,26.91,26.91,26.91,0
20150512,26.92,26.92,26.9,26.9,821
20150513,26.9,26.9,26.9,26.9,0
20150514,26.23,26.23,26.23,26.23,34
20150515,26.23,26.23,26.23,26.23,0
20150518,26.23,26.23,26.23,26.23,0
20150519,26.94,27.01,26.94,27.01,630
20150520,27.14,27.14,27.14,27.14,672
20150521,27.14,27.14,27.14,27.14,0
20150522,27.29,27.29,27.21,27.21,2037
20150525,27.21,27.21,27.21,27.21,0
20150526,27.21,27.21,27.21,27.21,0
20150527,27.51,27.51,27.51,27.51,750
20150528,27.81,27.81,27.81,27.81,1000
20150529,28.05,28.05,28,28,1860
20150601,28,28,28,28,0
20150602,28,28,28,28,0
20150603,27.4,27.4,27.4,27.4,950
20150604,27.72,27.72,27.67,27.67,3675
20150605,27.57,27.57,27.57,27.57,3525
20150609,27.35,27.41,27.35,27.41,1632
20150610,27.49,27.52,27.49,27.52,2321
20150611,27.52,27.52,27.52,27.52,915
20150612,27.62,27.62,27.55,27.55,1108
20150615,27.36,27.36,27.36,27.36,150
20150616,27.36,27.36,27.36,27.36,0
20150617,27.36,27.36,27.36,27.36,1150
20150618,27.36,27.36,27.36,27.36,0
20150619,27.36,27.36,27.36,27.36,0
20150622,27.5,27.5,27.5,27.5,260
20150623,27.71,27.91,27.71,27.9,10445
20150624,27.84,27.84,27.84,27.84,37
20150625,27.84,27.84,27.84,27.84,0
20150626,27.47,27.52,27.47,27.52,1215
20150629,27.44,27.44,27.44,27.44,30
20150630,27.22,27.25,27.22,27.25,3600
20150701,27.25,27.25,27.25,27.25,0
20150702,27,27,26.99,26.99,1723
20150703,26.99,27.23,26.99,27.23,4805
20150706,27.16,27.18,27.16,27.18,955
20150707,27.18,27.18,27.18,27.18,0
20150708,27.75,27.78,27.7,27.7,1821
20150709,27.48,27.48,27.33,27.38,3130
20150710,27.38,27.38,27.38,27.38,0
20150713,27.6,27.62,27.6,27.62,3283
20150714,28.13,28.13,28.03,28.03,3401
20150715,28.03,28.03,28.03,28.03,0
20150716,28.47,28.47,28.47,28.47,366
20150717,28.25,28.25,28.25,28.25,1850
20150720,28.25,28.25,28.25,28.25,0
20150721,28.41,28.44,28.41,28.44,3676
20150722,27.97,28.03,27.97,28.03,1150
20150723,28.03,28.03,28.03,28.03,0
20150724,28.03,28.03,28.03,28.03,0
