Date,Open,High,Low,Close,Volume
20230201,10.01,10.01,10.01,10.01,14985
20230202,10.04,10.04,10.04,10.04,5010
20230203,10.18,10.18,10.18,10.18,66
20230206,10.37,10.37,10.37,10.37,96
20230207,10.41,10.41,10.37,10.37,5750
20230208,10.37,10.37,10.37,10.37,0
20230209,10.35,10.35,10.33,10.34,1106
20230210,10.37,10.39,10.37,10.39,10
20230213,10.35,10.39,10.35,10.39,131
20230214,10.3,10.31,10.29,10.31,4102
20230215,10.28,10.28,10.28,10.28,10
20230216,10.43,10.43,10.42,10.42,1330
20230217,10.49,10.49,10.38,10.38,2501
20230220,10.26,10.26,10.26,10.26,4
20230221,10.3,10.3,10.2,10.2,7585
20230222,10.12,10.23,10.12,10.23,3050
20230223,10.23,10.23,10.23,10.23,0
20230224,10.23,10.24,10.23,10.24,142
20230227,10.35,10.36,10.35,10.36,6
20230228,10.36,10.36,10.36,10.36,0
20230301,10.38,10.38,10.36,10.36,149
20230302,10.28,10.28,10.28,10.28,95
20230303,10.41,10.41,10.36,10.37,134
20230306,10.5,10.5,10.5,10.5,1043
20230307,10.5,10.5,10.5,10.5,0
20230308,10.71,10.72,10.71,10.72,22
20230309,10.72,10.72,10.72,10.72,0
20230310,10.62,10.62,10.62,10.62,3
20230313,10.58,10.59,10.56,10.58,5
20230314,10.55,10.55,10.49,10.55,1507
20230315,10.64,10.64,10.64,10.64,1
20230316,10.81,10.81,10.81,10.81,17
20230317,10.81,10.81,10.81,10.81,0
20230320,10.72,10.72,10.72,10.72,1
20230321,10.7,10.7,10.7,10.7,10000
20230322,10.7,10.7,10.7,10.7,0
20230323,10.7,10.7,10.7,10.7,0
20230324,10.7,10.7,10.7,10.7,0
20230327,10.9,10.94,10.9,10.94,102
20230328,10.95,10.95,10.95,10.95,2
20230329,10.95,10.95,10.95,10.95,0
20230330,10.94,10.94,10.94,10.94,8
20230331,10.92,10.92,10.92,10.92,10000
20230403,10.94,11.04,10.94,11.04,44
20230404,10.89,10.89,10.8,10.8,138
20230405,10.8,10.8,10.8,10.8,0
20230406,10.91,10.91,10.91,10.91,84
20230411,10.99,10.99,10.97,10.97,5001
20230412,11.03,11.03,10.97,10.97,15002
20230413,10.94,10.94,10.94,10.94,1
20230414,10.9,10.9,10.84,10.85,113
20230417,10.99,10.99,10.99,10.99,456
20230418,11.01,11.01,11.01,11.01,2
20230419,10.94,10.94,10.94,10.94,47
20230420,10.99,11,10.99,10.99,92
20230421,10.99,10.99,10.99,10.99,0
20230424,10.95,10.95,10.95,10.95,2
20230426,10.95,10.95,10.95,10.95,0
20230427,10.95,10.95,10.95,10.95,0
