Date,Open,High,Low,Close,Volume
20150409,25.42,25.42,25.42,25.42,400
20150410,25.42,25.42,25.42,25.42,0
20150413,25.42,25.42,25.42,25.42,0
20150414,25.42,25.42,25.42,25.42,0
20150415,25.42,25.42,25.42,25.42,0
20150416,25.42,25.42,25.42,25.42,0
20150417,25.29,25.29,25.29,25.29,80
20150420,24.86,25,24.86,25,2045
20150421,25,25,25,25,0
20150422,25,25,25,25,0
20150423,25,25,25,25,0
20150424,25,25,25,25,0
20150427,25,25,25,25,0
20150428,25,25,25,25,0
20150429,25,25,25,25,0
20150430,24.56,24.56,24.56,24.56,167
20150501,24.56,24.56,24.56,24.56,0
20150504,24.56,24.56,24.56,24.56,0
20150505,24.56,24.56,24.56,24.56,0
20150506,24.56,24.56,24.56,24.56,0
20150507,24.56,24.56,24.56,24.56,0
20150508,24.56,24.56,24.56,24.56,0
20150511,24.56,24.56,24.56,24.56,0
20150512,24.56,24.56,24.56,24.56,0
20150513,24.56,24.56,24.56,24.56,0
20150514,24.56,24.56,24.56,24.56,0
20150515,24.56,24.56,24.56,24.56,0
20150518,24.56,24.56,24.56,24.56,0
20150519,24.56,24.56,24.56,24.56,0
20150520,24.56,24.56,24.56,24.56,0
20150521,24.56,24.56,24.56,24.56,0
20150522,24.56,24.56,24.56,24.56,0
20150525,24.56,24.56,24.56,24.56,0
20150526,24.56,24.56,24.56,24.56,0
20150527,24.56,24.56,24.56,24.56,0
20150528,24.56,24.56,24.56,24.56,0
20150529,24.56,24.56,24.56,24.56,0
20150601,24.56,24.56,24.56,24.56,0
20150602,24.56,24.56,24.56,24.56,0
20150603,24.56,24.56,24.56,24.56,0
20150604,24.56,24.56,24.56,24.56,0
20150605,24.56,24.56,24.56,24.56,0
20150609,24.56,24.56,24.56,24.56,0
20150610,24.56,24.56,24.56,24.56,0
20150611,24.56,24.56,24.56,24.56,0
20150612,24.56,24.56,24.56,24.56,0
20150615,24.56,24.56,24.56,24.56,0
20150616,24.56,24.56,24.56,24.56,0
20150617,24.56,24.56,24.56,24.56,0
20150618,24.56,24.56,24.56,24.56,0
20150619,24.56,24.56,24.56,24.56,0
20150622,24.56,24.56,24.56,24.56,0
20150623,24.56,24.56,24.56,24.56,0
20150624,24.56,24.56,24.56,24.56,0
20150625,24.56,24.56,24.56,24.56,0
20150626,24.56,24.56,24.56,24.56,0
20150629,24.56,24.56,24.56,24.56,0
20150630,24.56,24.56,24.56,24.56,0
20150701,23.6,23.6,23.6,23.6,250
20150702,23.6,23.6,23.6,23.6,0
20150703,23.6,23.6,23.6,23.6,0
20150706,23.6,23.6,23.6,23.6,0
20150707,23.6,23.6,23.6,23.6,0
20150708,23.6,23.6,23.6,23.6,0
20150709,23.6,23.6,23.6,23.6,0
20150710,23.6,23.6,23.6,23.6,0
20150713,23.6,23.6,23.6,23.6,0
20150714,23.6,23.6,23.6,23.6,0
20150715,23.6,23.6,23.6,23.6,0
20150716,23.6,23.6,23.6,23.6,0
20150717,23.6,23.6,23.6,23.6,0
20150720,23.6,23.6,23.6,23.6,0
20150721,23.6,23.6,23.6,23.6,0
20150722,23.6,23.6,23.6,23.6,0
20150723,23.6,23.6,23.6,23.6,0
20150724,23.6,23.6,23.6,23.6,0
20150727,23.6,23.6,23.6,23.6,0
20150728,23.6,23.6,23.6,23.6,0
20150729,23.6,23.6,23.6,23.6,0
20150730,23.6,23.6,23.6,23.6,0
20150731,23.6,23.6,23.6,23.6,0
20150803,23.6,23.6,23.6,23.6,0
20150804,23.6,23.6,23.6,23.6,0
20150805,23.6,23.6,23.6,23.6,0
20150806,24.2,24.2,24,24,1285
20150807,24,24,24,24,0
20150810,23.63,23.63,23.63,23.63,4235
20150811,23.63,23.63,23.63,23.63,0
20150812,23.63,23.63,23.63,23.63,0
20150813,23.63,23.63,23.63,23.63,0
20150814,23.63,23.63,23.63,23.63,0
20150817,23.63,23.63,23.63,23.63,0
20150818,23.63,23.63,23.63,23.63,0
20150819,23.63,23.63,23.63,23.63,0
20150820,23.63,23.63,23.63,23.63,0
20150821,22.59,22.59,22.58,22.58,540
20150824,22.58,22.58,22.58,22.58,0
20150825,22.58,22.58,22.58,22.58,0
20150826,22.58,22.58,22.58,22.58,0
20150827,22.58,22.58,22.58,22.58,0
20150828,22.58,22.58,22.58,22.58,0
20150831,22.58,22.58,22.58,22.58,0
20150901,22.58,22.58,22.58,22.58,0
20150902,22.58,22.58,22.58,22.58,0
20150903,22.58,22.58,22.58,22.58,0
20150904,22.58,22.58,22.58,22.58,0
20150907,21.85,21.85,21.85,21.85,46
20150908,21.85,21.85,21.85,21.85,0
20150909,21.85,21.85,21.85,21.85,0
20150910,21.85,21.85,21.85,21.85,0
20150911,22,22,22,22,2270
20150914,22,22,22,22,0
20150915,22,22,22,22,0
20150916,22,22,22,22,0
20150917,22,22,22,22,0
20150918,22,22,22,22,0
20150921,22,22,22,22,0
20150922,22,22,22,22,0
