Date,Open,High,Low,Close,Volume
20180914,9.9,9.9,9.9,9.9,5021
20180917,10.13,10.13,10.13,10.13,2048
20180918,10.16,10.22,10.12,10.17,108456
20180919,10.26,10.29,10.21,10.21,178959
20180920,10.25,10.25,10.18,10.2,216704
20180921,10.24,10.26,10.22,10.24,64893
20180924,10.21,10.21,10.17,10.2,58909
20180925,10.3,10.32,10.24,10.24,58474
20180926,10.26,10.28,10.2,10.2,62039
20180927,10.21,10.25,10.12,10.13,53134
20180928,10.23,10.23,10.2,10.22,31603
20181001,10.25,10.3,10.23,10.3,11103
20181002,10.3,10.32,10.28,10.29,25091
20181003,10.29,10.31,10.25,10.27,17214
20181004,10.37,10.37,10.29,10.3,10645
20181005,10.27,10.27,10.2,10.21,27487
20181008,10.12,10.13,10.11,10.12,29236
20181009,10.02,10.02,9.84,9.85,53800
20181010,9.8,9.8,9.69,9.69,17146
20181011,9.39,9.41,9.23,9.27,44476
20181012,9.16,9.28,9.16,9.24,28152
20181015,9.37,9.39,9.28,9.28,27414
20181016,9.23,9.27,9.23,9.26,23487
20181017,9.51,9.58,9.51,9.58,22455
20181018,9.59,9.59,9.4,9.4,9120
20181019,9.26,9.29,9.21,9.28,22951
20181022,9.13,9.21,9.1,9.18,10985
20181023,9.24,9.24,9.1,9.1,912
20181024,9.1,9.1,8.94,8.98,14287
20181025,8.6,8.65,8.59,8.62,21085
20181026,8.67,8.67,8.54,8.57,23132
20181029,8.57,8.63,8.55,8.59,19228
20181030,8.46,8.54,8.41,8.53,4589
20181031,8.74,8.85,8.69,8.82,27768
20181101,8.96,9,8.92,8.92,45576
20181102,8.88,9.04,8.88,9.04,39932
20181105,9.1,9.13,9.1,9.1,25861
20181106,9.11,9.11,9.06,9.06,24280
20181107,9.07,9.12,9.04,9.1,8621
20181108,9.2,9.2,9.09,9.09,31911
20181109,9.04,9.04,8.92,8.94,9849
20181112,8.87,8.97,8.85,8.97,28232
20181113,8.76,8.76,8.64,8.7,37617
20181114,8.75,8.77,8.71,8.71,34006
20181115,8.68,8.7,8.58,8.58,15906
20181116,8.67,8.67,8.54,8.58,38412
20181119,8.54,8.59,8.52,8.56,12223
20181120,8.45,8.45,8.35,8.38,8462
20181121,8.34,8.4,8.29,8.4,6533
20181122,8.45,8.45,8.36,8.38,8772
20181123,8.38,8.38,8.34,8.34,2000
20181126,8.41,8.46,8.41,8.46,4748
20181127,8.55,8.57,8.52,8.55,1455
20181128,8.55,8.59,8.53,8.59,3162
20181129,8.68,8.71,8.68,8.71,11317
20181130,8.73,8.73,8.67,8.67,575
20181203,8.88,8.88,8.71,8.8,60331
20181204,8.8,8.8,8.7,8.7,14023
20181205,8.44,8.51,8.44,8.51,104555
20181206,8.48,8.48,8.3,8.3,5937
20181207,8.32,8.32,8.29,8.29,6147
20181210,8.15,8.15,8.06,8.08,10737
20181211,8.09,8.09,7.98,7.98,13132
20181212,7.98,8.1,7.98,8.1,6852
20181213,8.12,8.2,8.12,8.16,6147
20181214,8.09,8.09,7.99,8,5746
20181217,7.91,7.97,7.91,7.94,3394
20181218,7.82,7.82,7.75,7.8,16934
20181219,7.8,7.82,7.8,7.82,11807
20181220,7.8,7.8,7.67,7.67,8133
20181221,7.58,7.58,7.55,7.57,4542
20181224,7.53,7.53,7.5,7.53,1051
20181227,7.62,7.8,7.62,7.69,2927
20181228,7.77,7.77,7.67,7.7,2110
20181231,7.8,7.8,7.75,7.75,1763
20190102,7.79,7.79,7.71,7.71,3322
20190103,7.83,7.85,7.83,7.83,12625
20190104,7.66,7.66,7.51,7.51,6234
20190107,7.74,7.84,7.74,7.77,8265
20190108,7.86,7.9,7.85,7.9,4809
20190109,7.96,7.96,7.9,7.93,14078
20190110,8,8,7.93,7.94,5923
20190111,8.01,8.01,7.96,7.96,3138
20190114,7.88,7.88,7.85,7.85,14005
20190115,8.02,8.03,8.02,8.03,10500
20190116,8.06,8.08,8.06,8.08,1144
20190117,8.15,8.15,8.1,8.1,1132
20190118,8.18,8.18,8.1,8.1,3159
20190121,8.31,8.36,8.3,8.31,2894
20190122,8.32,8.32,8.24,8.24,4321
20190123,8.16,8.18,8.15,8.16,904
20190124,8.12,8.19,8.1,8.18,11240
20190125,8.27,8.39,8.24,8.39,10932
20190129,8.28,8.28,8.12,8.12,17817
20190130,8.18,8.18,8.12,8.12,10900
20190131,8.2,8.22,8.2,8.21,8756
20190201,8.32,8.38,8.3,8.38,15416
20190204,8.28,8.37,8.28,8.37,3120
20190205,8.44,8.47,8.42,8.44,14980
20190206,8.5,8.56,8.42,8.56,1715
20190207,8.68,8.72,8.68,8.7,32680
20190208,8.58,8.58,8.45,8.47,27898
20190211,8.5,8.52,8.47,8.47,23162
20190212,8.58,8.72,8.56,8.69,21854
20190213,8.85,8.85,8.82,8.84,2500
20190214,8.87,8.87,8.81,8.82,16678
20190215,8.84,8.89,8.84,8.85,6122
20190218,8.97,8.97,8.88,8.93,10368
20190219,8.98,9,8.93,8.99,6253
20190220,8.93,8.97,8.89,8.91,14793
20190221,8.96,9.05,8.96,9.05,9733
20190222,9.07,9.07,9.02,9.07,2983
20190225,9.09,9.14,9.08,9.12,14171
20190226,9.12,9.12,9.02,9.05,4560
20190227,9.05,9.06,8.97,8.97,5728
20190228,8.99,9,8.98,8.98,9018
20190301,9,9.04,9,9.03,2571
20190304,9.13,9.15,9.08,9.14,9762
20190305,9.09,9.1,9.06,9.06,2965
20190306,9.06,9.14,9.05,9.14,6926
20190307,9.08,9.08,8.95,8.95,21313
20190308,8.88,8.88,8.77,8.8,23812
20190311,8.8,8.84,8.77,8.82,23249
20190312,8.95,9.04,8.95,9.02,17468
20190313,8.99,8.99,8.95,8.95,10494
20190314,9.05,9.06,9.04,9.06,107325
20190315,9.05,9.07,9.03,9.07,4464
20190318,9.09,9.09,9.04,9.05,9450
20190319,9.15,9.15,9.1,9.1,3067
20190320,9.17,9.17,9.15,9.17,19102
20190321,9.11,9.11,9.1,9.1,2488
20190322,9.2,9.31,9.2,9.29,60699
20190325,9.19,9.19,9.03,9.05,28555
20190326,9.09,9.12,9.08,9.12,25660
20190327,9.08,9.18,9.08,9.18,11575
20190328,9.09,9.12,9.04,9.09,5898
20190329,9.19,9.19,9.11,9.11,1553
20190401,9.26,9.3,9.25,9.27,15716
20190402,9.3,9.42,9.3,9.39,16675
20190403,9.49,9.56,9.49,9.55,4120
20190404,9.56,9.64,9.56,9.61,22300
20190405,9.61,9.63,9.59,9.63,4213
20190408,9.67,9.73,9.67,9.69,2887
20190409,9.7,9.7,9.65,9.66,3019
20190410,9.65,9.66,9.62,9.62,3838
20190411,9.67,9.67,9.67,9.67,2500
20190412,9.68,9.68,9.64,9.67,23598
20190415,9.68,9.77,9.68,9.77,14539
20190416,9.77,9.8,9.77,9.79,5311
20190417,9.82,9.89,9.82,9.89,19886
20190418,9.84,9.84,9.77,9.77,4441
20190423,9.85,9.87,9.79,9.84,18819
20190424,9.86,9.98,9.86,9.9,12943
20190426,9.88,9.88,9.73,9.78,24117
20190429,9.84,9.86,9.84,9.84,64359
20190430,9.84,9.85,9.83,9.85,7722
20190501,9.91,9.94,9.91,9.94,15971
20190502,9.95,9.95,9.88,9.91,9554
20190503,9.95,9.97,9.91,9.92,8126
20190506,9.92,9.95,9.85,9.89,43059
20190507,9.91,9.91,9.77,9.78,32866
20190508,9.7,9.7,9.56,9.6,5116
20190509,9.58,9.61,9.58,9.59,5305
20190510,9.59,9.63,9.5,9.57,5332
20190513,9.5,9.5,9.4,9.4,10071
20190514,9.2,9.35,9.2,9.3,25574
20190515,9.38,9.44,9.38,9.42,2062
20190516,9.49,9.49,9.39,9.39,666
20190517,9.58,9.58,9.52,9.52,1190
20190520,9.44,9.44,9.27,9.28,18878
20190521,9.18,9.26,9.11,9.24,11514
20190522,9.32,9.32,9.24,9.24,8135
20190523,9.21,9.21,9.11,9.13,8690
20190524,8.98,9.04,8.96,9.03,17872
20190527,9.03,9.04,9,9,2390
20190528,9.04,9.07,9.04,9.07,5045
20190529,8.99,8.99,8.93,8.95,8056
20190530,8.94,8.97,8.91,8.97,22659
20190531,8.97,8.97,8.93,8.93,20125
20190603,8.85,8.85,8.69,8.7,23780
20190604,8.72,8.79,8.72,8.79,15136
20190605,8.99,9.05,8.99,9.05,7200
20190606,9.07,9.07,9.02,9.02,6034
20190607,9.06,9.08,9.06,9.08,5695
20190611,9.29,9.4,9.29,9.4,4328
20190612,9.4,9.41,9.37,9.41,5232
