Date,Open,High,Low,Close,Volume
20220222,1.91,1.91,1.9,1.905,253689
20220223,1.925,1.925,1.92,1.925,57500
20220224,1.925,1.925,1.875,1.88,79839
20220225,1.895,1.895,1.885,1.89,79500
20220228,1.935,1.935,1.93,1.93,9119
20220301,1.94,1.94,1.93,1.935,33294
20220302,1.915,1.915,1.905,1.905,15300
20220303,1.93,1.93,1.93,1.93,21735
20220304,1.94,1.94,1.93,1.93,17400
20220307,1.93,1.93,1.9,1.905,29988
20220308,1.91,1.925,1.91,1.915,13400
20220309,1.91,1.92,1.91,1.92,10400
20220310,1.95,1.96,1.945,1.945,21000
20220311,1.955,1.965,1.95,1.95,55523
20220314,1.975,1.98,1.975,1.98,125000
20220315,1.95,1.95,1.95,1.95,103000
20220316,1.95,1.96,1.95,1.96,47006
20220317,1.98,1.98,1.97,1.97,111000
20220318,2,2,2,2,38300
20220321,2.1,2.1,2.01,2.01,53976
20220322,2.01,2.01,2,2,64831
20220323,2.01,2.01,2.01,2.01,1660
20220324,1.99,1.99,1.99,1.99,14000
20220325,1.995,1.995,1.995,1.995,25500
20220328,2.02,2.02,2.02,2.02,28814
20220329,2.03,2.04,2.03,2.04,50000
20220330,2.09,2.09,2.08,2.08,78208
20220331,2.08,2.09,2.08,2.09,17724
20220401,2.05,2.05,2.05,2.05,182
20220404,2.08,2.08,2.08,2.08,20741
20220405,2.06,2.06,2.05,2.05,41283
20220406,2.05,2.05,2.05,2.05,0
20220407,2.07,2.08,2.07,2.08,12500
20220408,2.06,2.06,2.04,2.06,38390
20220411,2.06,2.06,2.05,2.05,66700
20220412,2.05,2.05,2.05,2.05,488
20220413,2.04,2.04,2.04,2.04,12000
20220414,2.06,2.06,2.06,2.06,74575
20220419,2.07,2.07,2.04,2.06,37557
20220420,2.08,2.08,2.07,2.07,60357
20220421,2.12,2.12,2.1,2.12,22113
20220422,2.11,2.11,2.11,2.11,51
20220426,2.06,2.06,2.05,2.05,209565
20220427,2.05,2.05,2.03,2.03,50250
20220428,2.05,2.05,2.05,2.05,20591
20220429,2.03,2.06,2.03,2.06,61188
20220502,2,2,1.995,2,28083
20220503,1.95,1.95,1.935,1.935,187281
20220504,1.935,1.935,1.935,1.935,0
