Date,Open,High,Low,Close,Volume
20120313,20.02,20.02,20.02,20.02,10
20120314,20.02,20.02,20.02,20.02,0
20120315,20.02,20.02,20.02,20.02,0
20120316,20.02,20.02,20.02,20.02,0
20120319,20,20,20,20,250
20120320,19.96,19.96,19.96,19.96,251
20120321,19.96,19.96,19.96,19.96,0
20120322,19.96,19.96,19.96,19.96,0
20120323,19.99,19.99,19.99,19.99,4989
20120326,20.01,20.01,20.01,20.01,9994
20120327,19.91,20.02,19.91,20.02,26456
20120328,20.05,20.05,20.04,20.04,16248
20120329,20.1,20.1,20.1,20.1,300
20120330,20.1,20.1,20.1,20.1,0
20120402,20.1,20.1,20.1,20.1,0
20120403,20.1,20.1,20.1,20.1,0
20120404,20.18,20.18,20.18,20.18,4943
20120405,20.18,20.18,20.18,20.18,0
20120410,20.2,20.2,20.2,20.2,500
20120411,20.25,20.25,20.25,20.25,250
20120412,20.23,20.23,20.18,20.18,4000
20120413,20.18,20.18,20.18,20.18,0
20120416,20.18,20.18,20.18,20.18,0
20120417,20.2,20.2,20.2,20.2,2400
20120418,20.25,20.25,20.25,20.25,350
20120419,20.25,20.25,20.25,20.25,2500
20120420,20.26,20.27,20.24,20.26,3968
20120423,21,21,20.29,20.29,2430
20120424,20.29,20.29,20.29,20.29,1000
20120426,20.29,20.29,20.29,20.29,0
20120427,20.29,20.29,20.29,20.29,0
20120430,20.33,20.33,20.32,20.32,750
20120501,20.32,20.32,20.32,20.32,0
20120502,20.45,20.45,20.42,20.42,4374
20120503,20.41,20.41,20.41,20.41,299
20120504,20.43,20.43,20.43,20.43,500
20120507,20.5,20.5,20.5,20.5,200
20120508,20.49,20.49,20.49,20.49,1244
20120509,20.49,20.49,20.49,20.49,0
20120510,20.49,20.49,20.49,20.49,0
20120511,20.5,20.5,20.5,20.5,1428
20120514,20.52,20.52,20.52,20.52,550
20120515,20.52,20.52,20.52,20.52,0
20120516,20.52,20.52,20.52,20.52,0
20120517,20.5,20.5,20.5,20.5,1374
20120518,20.5,20.5,20.5,20.5,0
20120521,20.5,20.5,20.5,20.5,0
20120522,20.51,20.6,20.51,20.6,539
20120523,20.6,20.6,20.6,20.6,5310
20120524,20.6,20.6,20.6,20.6,0
20120525,20.6,20.6,20.6,20.6,0
20120528,20.6,20.6,20.59,20.59,1423
20120529,20.6,20.6,20.6,20.6,1029
20120530,20.6,20.6,20.6,20.6,5171
20120531,20.6,20.6,20.6,20.6,0
20120601,20.75,20.75,20.75,20.75,1927
20120604,20.78,20.78,20.78,20.78,6840
20120605,20.76,20.76,20.64,20.64,7250
20120606,20.64,20.64,20.64,20.64,0
20120607,20.64,20.64,20.64,20.64,0
20120608,20.64,20.64,20.64,20.64,0
20120612,20.64,20.64,20.64,20.64,800
20120613,20.66,20.66,20.66,20.66,5565
20120614,20.66,20.66,20.66,20.66,4871
20120615,20.66,20.66,20.66,20.66,1440
20120618,20.66,20.66,20.66,20.66,400
20120619,20.66,20.66,20.66,20.66,0
20120620,20.66,20.66,20.66,20.66,2400
20120621,20.66,20.66,20.66,20.66,0
20120622,20.66,20.66,20.66,20.66,725
20120625,20.46,20.46,20.4,20.4,2460
20120626,20.42,20.42,20.42,20.42,3578
20120627,20.45,20.45,20.45,20.45,4890
20120628,20.45,20.45,20.45,20.45,0
20120629,20.45,20.45,20.45,20.45,0
20120702,20.42,20.42,20.42,20.42,1220
20120703,20.42,20.42,20.42,20.42,0
20120704,20.42,20.42,20.42,20.42,0
20120705,20.42,20.42,20.42,20.42,1955
20120706,20.42,20.42,20.42,20.42,1870
20120709,20.42,20.42,20.33,20.33,1640
20120710,20.33,20.33,20.33,20.33,65
20120711,20.33,20.33,20.33,20.33,0
20120712,20.42,20.42,20.42,20.42,4014
20120713,20.42,20.42,20.42,20.42,0
20120716,20.46,20.46,20.46,20.46,1000
20120717,20.44,20.44,20.44,20.44,30000
20120718,20.44,20.44,20.44,20.44,0
20120719,20.47,20.47,20.47,20.47,243
20120720,20.46,20.46,20.46,20.46,1000
20120723,20.51,20.53,20.51,20.53,5200
20120724,20.53,20.53,20.53,20.53,232748
20120725,20.53,20.53,20.53,20.53,974
20120726,20.51,20.51,20.51,20.51,1070
20120727,20.48,20.48,20.48,20.48,6835
20120730,20.48,20.48,20.48,20.48,0
20120731,20.44,20.44,20.44,20.44,5955
20120801,20.4,20.4,20.4,20.4,5000
20120802,20.4,20.4,20.4,20.4,0
20120803,20.43,20.43,20.43,20.43,500
20120806,20.43,20.43,20.43,20.43,0
20120807,20.39,20.39,20.39,20.39,1000
20120808,20.39,20.39,20.39,20.39,0
20120809,20.4,20.4,20.4,20.4,1274
20120810,20.41,20.41,20.41,20.41,250
20120813,20.43,20.45,20.42,20.45,6396
20120814,20.43,20.43,20.43,20.43,925
20120815,20.43,20.43,20.43,20.43,1000
20120816,20.43,20.44,20.43,20.44,5600
20120817,20.43,20.45,20.43,20.45,5920
20120820,20.45,20.45,20.45,20.45,0
20120821,20.39,20.39,20.39,20.39,150
20120822,20.39,20.39,20.39,20.39,0
20120823,20.49,20.49,20.49,20.49,395
20120824,20.5,20.5,20.5,20.5,1465
20120827,20.44,20.5,20.44,20.5,4356
20120828,20.5,20.5,20.5,20.5,0
20120829,20.54,20.54,20.54,20.54,73
20120830,20.55,20.57,20.55,20.57,7173
20120831,20.58,20.58,20.52,20.52,528
20120903,20.52,20.52,20.52,20.52,0
20120904,20.62,20.62,20.62,20.62,87
20120905,20.61,20.61,20.61,20.61,5000
20120906,20.64,20.64,20.63,20.63,3908
20120907,20.58,20.58,20.58,20.58,1122
20120910,20.58,20.58,20.58,20.58,0
20120911,20.58,20.58,20.58,20.58,0
20120912,20.61,20.61,20.61,20.61,1696
20120913,20.61,20.61,20.61,20.61,0
20120914,20.57,20.62,20.57,20.62,1621
20120917,20.52,20.52,20.52,20.52,57
20120918,20.52,20.52,20.52,20.52,0
20120919,20.62,20.62,20.62,20.62,485
20120920,20.62,20.62,20.62,20.62,0
20120921,20.67,20.67,20.67,20.67,2500
20120924,20.67,20.67,20.66,20.66,2472
20120925,20.66,20.66,20.66,20.66,0
20120926,20.66,20.66,20.66,20.66,0
20120927,20.72,20.72,20.72,20.72,965
20120928,20.47,20.47,20.47,20.47,4110
20121001,20.48,20.48,20.48,20.48,561
