Date,Open,High,Low,Close,Volume
20100514,25.78,25.83,25.28,25.32,404260
20100517,25,25.06,24.75,24.75,2146
20100518,24.7,24.7,24.5,24.64,3156
20100519,24.33,24.33,24.33,24.33,3021
20100520,24.23,24.23,23.94,23.94,1587
20100521,22.9,23.83,22.9,23.83,2454
20100524,23.9,24.22,23.81,24.22,1208
20100525,24,24,23.4,23.4,10340
20100526,24.11,24.11,23.83,23.94,204
20100527,23.8,24.07,23.74,24.07,847
20100528,24.31,24.53,24.31,24.53,425
20100531,24.53,24.53,24.37,24.47,7427
20100601,24.46,24.46,24.16,24.16,962
20100602,24.32,24.32,24.2,24.2,22
20100603,24.66,24.72,24.54,24.71,94772
20100604,25.5,25.5,24.34,24.34,4900
20100607,23.72,23.93,23.72,23.89,5028
20100608,23.95,24.19,23.95,24.13,3457
20100609,24.75,24.75,24,24,12509
20100610,24.34,24.39,24.34,24.36,1280
20100611,25,25,24.65,24.65,7796
20100615,24.76,24.82,24.71,24.71,7996
20100616,25.02,25.04,25,25,2430
20100617,24.91,24.91,24.75,24.75,2125
20100618,24.92,25,24.92,25,10
20100621,25.35,25.35,25.17,25.3,638
20100622,25.16,25.19,25,25,2684
20100623,24.76,24.76,24.66,24.66,3994
20100624,24.63,24.64,24.39,24.39,11450
20100625,24.25,24.25,24.21,24.25,25820
20100628,24.3,24.3,23.97,24,4440
20100629,24.15,24.18,24,24,6566
20100630,23.39,23.62,23.36,23.62,1198
20100701,23.17,23.43,23.17,23.37,6084
20100702,23.55,23.55,23.28,23.28,400
20100705,23.49,23.49,23.31,23.31,1334
20100706,23.46,23.59,23.46,23.59,393
20100707,23.61,23.61,23.43,23.52,10375
20100708,23.76,23.93,23.76,23.93,7553
20100709,24.11,24.16,24.08,24.16,1100
20100712,24.13,24.19,24.11,24.11,3735
20100713,24.16,24.16,24.1,24.1,2330
20100714,24.45,24.47,24.44,24.47,400
20100715,24.47,24.47,24.47,24.47,0
20100716,24.34,24.34,24.3,24.34,6510
20100719,23.95,23.98,23.95,23.98,2090
20100720,23.98,23.98,23.98,23.98,0
20100721,24.29,24.29,24.13,24.25,7271
20100722,24.05,24.07,24.05,24.07,615
20100723,24.43,24.43,24.3,24.3,2749
20100726,24.52,24.52,24.52,24.52,200
20100727,24.71,24.72,24.61,24.66,21200
20100728,24.7,24.7,24.7,24.7,620
20100729,24.7,24.7,24.7,24.7,0
20100730,24.7,24.7,24.7,24.7,1300
20100802,24.85,24.85,24.83,24.83,8606
20100803,24.95,24.95,24.9,24.91,1921
20100804,24.87,24.87,24.82,24.82,1850
20100805,24.89,24.89,24.84,24.84,3610
20100806,24.77,24.82,24.77,24.82,500
20100809,24.88,24.92,24.79,24.92,2646
20100810,24.85,24.85,24.78,24.78,4756
20100811,24.5,24.5,24.45,24.45,930
20100812,24,24.04,24,24.04,1500
20100813,24.23,24.23,24.23,24.23,825
20100816,24,24.25,24,24.25,37435
20100817,24.2,24.46,24.2,24.46,1870
20100818,24.46,24.46,24.46,24.46,0
20100819,24.43,24.43,24.38,24.38,819
20100820,24.44,24.44,24.16,24.16,3068
20100823,24.13,24.13,24.13,24.13,4200
20100824,24.2,24.2,24.05,24.12,11948
20100825,23.85,23.85,23.85,23.85,600
20100826,23.83,23.94,23.81,23.94,23301
20100827,23.83,23.83,23.82,23.82,983
20100830,24,24.53,24,24.53,1980
20100831,24.35,24.35,24.32,24.34,9164
20100901,24.6,24.76,24.6,24.71,11208
20100902,25.07,25.07,24.82,24.82,2280
20100903,24.95,24.95,24.95,24.95,400
