Date,Open,High,Low,Close,Volume
20120313,20.02,20.02,20.02,20.02,1160
20120314,20.02,20.02,20.02,20.02,0
20120315,20.02,20.02,20.02,20.02,0
20120316,20.02,20.02,20.02,20.02,0
20120319,20.02,20.02,20.02,20.02,0
20120320,20.02,20.02,20.02,20.02,0
20120321,20.02,20.02,20.02,20.02,0
20120322,20.02,20.02,20.02,20.02,0
20120323,20.02,20.02,20.02,20.02,0
20120326,20.02,20.02,20.02,20.02,0
20120327,20.02,20.02,20.02,20.02,0
20120328,20.02,20.02,20.02,20.02,0
20120329,20.02,20.02,20.02,20.02,0
20120330,20.02,20.07,20.02,20.07,5726
20120402,20.07,20.07,20.07,20.07,0
20120403,20.03,20.03,20.03,20.03,30000
20120404,20.1,20.1,20.1,20.1,2750
20120405,20.1,20.1,20.1,20.1,0
20120410,20.2,20.2,20.2,20.2,3839
20120411,20.25,20.3,20.25,20.3,12000
20120412,20.3,20.3,20.3,20.3,1231
20120413,20.3,20.3,20.3,20.3,0
20120416,20.3,20.3,20.3,20.3,0
20120417,20.3,20.3,20.3,20.3,0
20120418,20.34,20.34,20.34,20.34,5000
20120419,20.36,20.36,20.36,20.36,770
20120420,20.36,20.36,20.36,20.36,4730
20120423,20.36,20.36,20.36,20.36,0
20120424,20.4,20.4,20.4,20.4,30000
20120426,20.4,20.4,20.4,20.4,0
20120427,20.59,20.59,20.59,20.59,1700
20120430,20.52,20.52,20.52,20.52,10000
20120501,20.52,20.52,20.52,20.52,0
20120502,20.67,20.67,20.67,20.67,20000
20120503,20.67,20.67,20.67,20.67,48
20120504,20.67,20.67,20.67,20.67,0
20120507,20.67,20.67,20.67,20.67,0
20120508,20.67,20.67,20.67,20.67,0
20120509,20.67,20.67,20.67,20.67,0
20120510,20.94,20.94,20.94,20.94,10000
20120511,21,21,21,21,1425
20120514,21.08,21.08,21.08,21.08,951
20120515,21.08,21.1,21.08,21.1,20299
20120516,21.1,21.1,21.1,21.1,0
20120517,21.12,21.12,21.12,21.12,710
20120518,21.14,21.15,21.14,21.15,20000
20120521,21.35,21.35,21.35,21.35,1936
20120522,21.34,21.34,21.22,21.22,11329
20120523,21.22,21.22,21.22,21.22,0
20120524,21.22,21.22,21.22,21.22,0
20120525,21.29,21.29,21.29,21.29,1000
20120528,21.29,21.29,21.23,21.23,941
20120529,21.23,21.23,21.23,21.23,0
20120530,21.28,21.35,21.28,21.35,29415
20120531,21.67,21.67,21.67,21.67,1160
20120601,21.67,21.67,21.67,21.67,0
20120604,21.75,21.77,21.75,21.77,10918
20120605,21.75,21.75,21.7,21.7,15730
20120606,21.49,21.49,21.49,21.49,10000
20120607,21.41,21.41,21.41,21.41,10000
20120608,21.3,21.35,21.21,21.35,13059
20120612,21.4,21.4,21.4,21.4,5000
20120613,21.38,21.38,21.38,21.38,11000
20120614,21.39,21.39,21.39,21.39,10000
20120615,21.47,21.47,21.47,21.47,40
20120618,21.46,21.46,21.38,21.38,10035
20120619,21.38,21.38,21.38,21.38,0
20120620,21.39,21.39,21.39,21.39,750
20120621,21.39,21.39,21.39,21.39,0
20120622,21.39,21.39,21.39,21.39,0
20120625,21.1,21.1,21.1,21.1,142
20120626,21.18,21.18,21.18,21.18,200
20120627,21.18,21.18,21.18,21.18,0
20120628,21.18,21.18,21.17,21.17,1240
20120629,21.1,21.1,21.1,21.1,6250
20120702,21.06,21.06,21.06,21.06,10000
20120703,21.06,21.06,21.06,21.06,0
20120704,21.06,21.06,21.06,21.06,0
20120705,21.06,21.06,21.06,21.06,0
20120706,21.06,21.12,21.06,21.12,11415
20120709,21.12,21.12,21.12,21.12,0
20120710,21.12,21.12,21.12,21.12,0
20120711,21.28,21.3,21.28,21.3,5270
20120712,21.26,21.34,21.26,21.34,23515
20120713,21.45,21.45,21.45,21.45,400
