Date,Open,High,Low,Close,Volume
20180219,8.11,8.11,8.09,8.09,165
20180220,8.09,8.09,8.09,8.09,0
20180221,8.13,8.13,8.13,8.13,4548
20180222,8.13,8.13,8.04,8.04,11807
20180223,8.09,8.1,8.09,8.1,563
20180226,8.07,8.13,8.07,8.13,3600
20180227,8.16,8.16,8.14,8.15,7510
20180228,8.12,8.12,8.12,8.12,1500
20180301,8.08,8.08,8.08,8.08,325
20180302,8.04,8.04,8.02,8.02,710
20180305,8.02,8.02,8.02,8.02,746
20180306,8.07,8.07,8.06,8.06,438
20180307,8.02,8.02,8.02,8.02,1000
20180308,8.09,8.09,8.09,8.09,400
20180309,8.09,8.09,8.09,8.09,0
20180312,8.09,8.09,8.09,8.09,0
20180313,8.12,8.16,8.12,8.16,1120
20180314,8.16,8.16,8.16,8.16,0
20180315,8.14,8.14,8.14,8.14,1100
20180316,8.14,8.14,8.14,8.14,0
20180319,8.22,8.22,8.22,8.22,2400
20180320,8.24,8.24,8.23,8.23,10073
20180321,8.24,8.24,8.18,8.18,2659
20180322,8.16,8.16,8.12,8.12,49695
20180323,8.08,8.08,8.08,8.08,676
20180326,8.02,8.03,8.02,8.03,5775
20180327,8.03,8.03,8.03,8.03,0
20180328,8.14,8.14,8.14,8.14,1868
20180329,8.15,8.15,8.14,8.14,5097
20180403,8.14,8.14,8.14,8.14,0
20180404,8.14,8.14,8.14,8.14,0
20180405,8.14,8.14,8.14,8.14,10985
20180406,8.14,8.14,8.14,8.14,0
20180409,8.17,8.17,8.16,8.16,8950
20180410,8.2,8.2,8.2,8.2,3042
20180411,8.2,8.2,8.2,8.2,0
20180412,8.12,8.12,8.1,8.1,15155
20180413,8.14,8.14,8.13,8.13,19030
20180416,8.1,8.11,8.1,8.11,10480
20180417,8.11,8.11,8.11,8.11,0
20180418,8.11,8.11,8.11,8.11,0
20180419,8.12,8.12,8.11,8.11,35282
20180420,8.11,8.11,8.11,8.11,0
20180423,8.11,8.11,8.11,8.11,0
20180424,8.11,8.11,8.11,8.11,0
20180426,8.17,8.17,8.15,8.15,16490
20180427,8.15,8.15,8.15,8.15,0
20180430,8.26,8.26,8.26,8.26,6645
20180501,8.28,8.31,8.28,8.31,1107
20180502,8.31,8.31,8.31,8.31,0
20180503,8.49,8.49,8.49,8.49,2920
20180504,8.49,8.49,8.49,8.49,0
20180507,8.49,8.49,8.49,8.49,0
20180508,8.48,8.48,8.48,8.48,4100
20180509,8.48,8.48,8.48,8.48,0
20180510,8.48,8.48,8.48,8.48,8454
20180511,8.47,8.47,8.47,8.47,1532
20180514,8.47,8.47,8.47,8.47,0
20180515,8.36,8.36,8.36,8.36,3000
20180516,8.36,8.36,8.36,8.36,0
20180517,8.29,8.29,8.29,8.29,1000
20180518,8.29,8.29,8.29,8.29,0
20180521,8.29,8.29,8.29,8.29,0
20180522,8.29,8.29,8.29,8.29,0
20180523,8.31,8.32,8.31,8.32,5408
20180524,8.32,8.32,8.32,8.32,0
20180525,8.45,8.45,8.45,8.45,61
20180528,8.52,8.52,8.52,8.52,9388
20180529,8.52,8.52,8.52,8.52,0
20180530,8.48,8.49,8.48,8.49,4196
20180531,8.49,8.5,8.49,8.5,4900
20180601,8.48,8.51,8.48,8.48,8065
20180604,8.5,8.53,8.5,8.51,9960
20180605,8.43,8.43,8.41,8.41,3300
20180606,8.45,8.45,8.45,8.45,3500
20180607,8.48,8.48,8.48,8.48,355
20180608,8.46,8.46,8.44,8.44,4140
20180612,8.44,8.44,8.44,8.44,5924
20180613,8.5,8.5,8.5,8.5,3000
20180614,8.5,8.55,8.5,8.55,21550
20180615,8.55,8.55,8.55,8.55,0
20180618,8.68,8.68,8.68,8.68,4640
20180619,8.66,8.66,8.66,8.66,7980
20180620,8.66,8.66,8.66,8.66,0
20180621,8.66,8.73,8.66,8.73,1030
20180622,8.73,8.73,8.73,8.73,0
20180625,8.68,8.68,8.68,8.68,48493
20180626,8.68,8.68,8.68,8.68,5600
20180627,8.67,8.67,8.67,8.67,5400
20180628,8.68,8.7,8.68,8.69,8038
20180629,8.69,8.69,8.69,8.69,0
20180702,8.54,8.54,8.54,8.54,900
20180703,8.54,8.54,8.54,8.54,0
20180704,8.6,8.6,8.59,8.59,34521
20180705,8.62,8.62,8.62,8.62,5589
20180706,8.62,8.66,8.62,8.66,14699
20180709,8.67,8.67,8.65,8.65,17586
20180710,8.65,8.65,8.65,8.65,0
20180711,8.55,8.56,8.48,8.48,10895
20180712,8.58,8.58,8.58,8.58,6154
20180713,8.55,8.55,8.55,8.55,7071
20180716,8.55,8.55,8.49,8.49,3550
20180717,8.46,8.52,8.46,8.47,2719
20180718,8.53,8.53,8.53,8.53,7070
20180719,8.49,8.49,8.49,8.49,5890
20180720,8.55,8.56,8.53,8.53,7556
20180723,8.47,8.47,8.45,8.45,4665
20180724,8.47,8.47,8.47,8.47,2289
20180725,8.47,8.47,8.47,8.47,0
20180726,8.46,8.46,8.42,8.42,1541
20180727,8.54,8.54,8.54,8.54,4500
20180730,8.51,8.51,8.51,8.51,1175
20180731,8.51,8.56,8.51,8.54,13616
20180801,8.55,8.55,8.55,8.55,11695
20180802,8.52,8.52,8.5,8.51,10000
20180803,8.52,8.52,8.52,8.52,2350
20180806,8.52,8.52,8.52,8.52,0
20180807,8.52,8.52,8.52,8.52,0
20180808,8.52,8.52,8.52,8.52,0
20180809,8.52,8.56,8.52,8.56,1228
20180810,8.54,8.54,8.53,8.53,3585
20180813,8.5,8.5,8.5,8.5,1000
20180814,8.57,8.57,8.57,8.57,850
20180815,8.61,8.61,8.61,8.61,1161
20180816,8.61,8.61,8.61,8.61,0
20180817,8.61,8.65,8.61,8.65,2484
20180820,8.69,8.7,8.69,8.7,2023
20180821,8.7,8.7,8.7,8.7,0
20180822,8.62,8.62,8.62,8.62,23201
20180823,8.55,8.55,8.53,8.53,5254
20180824,8.54,8.54,8.5,8.5,6395
20180827,8.53,8.53,8.53,8.53,9530
20180828,8.55,8.55,8.55,8.55,2340
20180829,8.62,8.62,8.6,8.6,15040
20180830,8.61,8.61,8.61,8.61,2895
20180831,8.61,8.61,8.61,8.61,0
20180903,8.61,8.61,8.61,8.61,580
20180904,8.62,8.62,8.62,8.62,2000
20180905,8.58,8.58,8.58,8.58,3000
20180906,8.57,8.57,8.52,8.55,9412
20180907,8.53,8.53,8.53,8.53,1200
20180910,8.53,8.53,8.53,8.53,0
20180911,8.55,8.55,8.51,8.51,4741
20180912,8.51,8.51,8.51,8.51,0
20180913,8.55,8.56,8.54,8.56,7670
20180914,8.58,8.58,8.56,8.56,3985
20180917,8.58,8.6,8.58,8.6,11921
20180918,8.63,8.65,8.63,8.65,3230
