Date,Open,High,Low,Close,Volume
20170914,50.46,50.61,50.3,50.49,8756
20170915,50.5,50.62,50.38,50.38,3249
20170918,50.31,50.67,50.31,50.45,1888
20170919,51.33,51.37,51.25,51.27,2888
20170920,52,52,50.85,50.85,3144
20170921,50.84,51.04,50.84,50.85,7514
20170922,51.33,51.33,50.94,50.94,2444
20170925,51,51.22,50.89,50.89,4210
20170926,51,51,50.65,50.65,5217
20170927,50.96,51.09,50.88,51,5114
20170928,51.38,51.63,51.38,51.63,3224
20170929,51.83,51.93,51.67,51.93,2489
20171002,52.28,52.41,52.2,52.33,4317
20171003,52.68,52.7,52.48,52.68,4057
20171004,52.91,52.91,52.74,52.85,11640
20171005,53.1,53.3,52.75,53.06,15194
20171006,53.25,53.31,53.05,53.16,7838
20171009,53.32,53.33,53.1,53.29,13086
20171010,53.35,53.5,53.2,53.33,19380
20171011,53.61,53.61,53.2,53.25,12518
20171012,53.45,53.64,53.3,53.32,11059
20171013,53.64,53.64,53.4,53.6,5962
20171016,53.64,53.73,53.5,53.5,8260
20171017,53.84,53.88,53.51,53.56,10324
20171018,53.6,53.77,53.26,53.38,6990
20171019,53.7,53.7,53.3,53.48,9138
20171020,53.18,53.57,53,53.3,9141
20171023,53.98,54.03,53.8,53.8,2853
20171024,53.9,53.95,53.54,53.55,26169
20171025,54.17,54.44,54,54.38,10333
20171026,54.55,54.56,54.34,54.4,23678
20171027,54.97,55.2,54.51,54.98,11244
20171030,55.42,55.42,55.06,55.26,19535
20171031,55.33,55.55,55.2,55.55,13381
20171101,56.35,56.35,55.84,56.08,19571
20171102,55.86,55.88,55.32,55.34,15831
20171103,55.55,55.74,55.5,55.66,7604
20171106,56.42,56.44,56.05,56.1,13804
20171107,56.53,56.69,56.35,56.64,5925
20171108,56.63,56.93,56.4,56.75,12211
20171109,56.8,56.92,56.5,56.51,14351
20171110,56.04,56.04,55.65,55.93,13269
20171113,56.05,56.43,56.05,56.38,8516
20171114,56.39,56.4,56.05,56.05,11476
20171115,56.41,56.54,56.1,56.41,4767
20171116,56.27,56.42,55.9,56.42,6831
20171117,57,57.38,56.92,57.12,11499
20171120,57.5,57.64,57.3,57.42,8169
20171121,64,64,58,58.51,12025
20171122,59.1,59.13,58.6,59.09,15667
20171123,58.81,58.84,58.55,58.63,22505
20171124,58.76,58.86,58.49,58.86,7713
20171127,61,61,58.99,58.99,12314
20171128,61.99,61.99,58.71,58.74,13499
20171129,59.33,59.34,59.15,59.23,7319
20171130,58.6,58.63,57.66,58,17382
20171201,58.12,58.58,58.11,58.4,12775
20171204,58.38,58.51,58.01,58.01,8959
20171205,56.98,57.01,56.59,56.69,8061
20171206,56.66,56.93,56.5,56.56,8019
20171207,56.75,56.95,56.74,56.9,46615
20171208,57.59,57.63,57.4,57.5,44525
20171211,57.78,57.78,57.5,57.63,10688
20171212,57.55,57.64,57.35,57.38,8606
20171213,57.21,57.21,56.55,56.6,10307
20171214,56.43,56.43,56.06,56.29,29603
20171215,55.99,56,55.7,55.98,16749
20171218,56.3,56.51,56.27,56.49,8527
20171219,56.91,56.92,56.65,56.8,18500
20171220,56.79,56.98,56.55,56.97,18776
20171221,56.7,56.91,56.51,56.88,21913
20171222,56.68,56.78,56.61,56.72,19081
20171227,58.8,58.8,56.5,56.55,9937
20171228,61.99,61.99,56.4,56.4,4113
20171229,56.36,56.52,56.31,56.4,4385
20180102,56.45,56.45,55.78,55.98,6135
20180103,56.24,56.59,56.24,56.56,5338
20180104,57.44,57.58,57.4,57.58,4477
20180105,57.99,58.2,57.92,58.2,6305
20180108,58.57,58.71,58.34,58.7,13754
20180109,58.95,58.95,58.67,58.88,9702
20180110,59.21,59.27,59.04,59.17,5324
20180111,58.8,58.89,58.64,58.7,7989
20180112,59.26,59.49,59.17,59.49,11325
20180115,59.94,59.99,59.6,59.72,14850
20180116,59.99,60.08,59.6,60.08,116555
20180117,60.04,60.19,59.84,60.19,11887
20180118,60.44,60.51,60.21,60.37,16135
20180119,60.12,60.21,59.8,60.05,14909
20180122,60.56,60.71,60.47,60.47,4874
20180123,61,61.03,60.7,60.97,12282
20180124,61.1,61.18,60.69,60.79,22579
20180125,60.26,60.64,59.87,59.98,17693
20180129,60.23,60.41,60.16,60.35,16595
20180130,59.93,59.99,59.3,59.6,20251
20180131,59.11,59.62,59,59.6,15957
20180201,59.7,59.97,59.39,59.97,15177
20180202,59.99,60.09,59.72,59.96,11153
20180205,59.27,59.27,58.51,58.78,25893
20180206,56.43,56.63,54.51,54.92,53137
20180207,56.49,58,56.49,57.37,16658
20180208,57.4,57.47,57,57.33,7644
20180209,55.5,55.86,55.25,55.85,13398
20180212,55.98,56.13,55.81,56.04,7067
20180213,56.04,56.28,55.75,55.75,13341
20180214,56.05,56.11,55.41,55.73,13351
20180215,56.25,56.65,56.15,56.65,3907
20180216,57.27,57.51,57.27,57.3,12281
20180219,57.54,57.83,57.29,57.83,5788
20180220,58.01,58.01,57,57,8889
20180221,57.36,57.79,57.3,57.54,3383
20180222,57.96,57.98,57.46,57.74,6501
20180223,58,58.35,57.81,58.35,6523
20180226,58.6,58.7,58.26,58.44,7217
20180227,59.03,59.17,58.71,59.16,5602
20180228,59.2,59.2,58.5,58.77,15112
20180301,58.49,58.49,58.2,58.2,5306
