Date,Open,High,Low,Close,Volume
20220913,8.14,8.15,8.12,8.15,23337
20220914,8.15,8.15,8.06,8.06,19850
20220915,8.2,8.2,8.13,8.13,10538
20220916,8.02,8.02,7.95,7.96,36452
20220919,7.97,7.97,7.92,7.93,1357
20220920,8.02,8.02,8.02,8.02,340
20220921,8,8,7.93,7.93,1973
20220923,7.95,7.95,7.85,7.86,1452
20220926,7.8,7.8,7.58,7.58,36183
20220927,7.53,7.6,7.53,7.6,2378
20220928,7.71,7.73,7.7,7.73,265
20220929,7.93,7.95,7.93,7.93,1034
20220930,7.93,7.94,7.93,7.94,1657
20221003,8.08,8.08,8.05,8.05,1019
20221004,8.26,8.34,8.26,8.34,1940
20221005,8.56,8.56,8.53,8.53,337
20221006,8.54,8.54,8.49,8.49,2780
20221007,8.55,8.59,8.55,8.59,1721
20221010,8.43,8.43,8.36,8.38,2095
20221011,8.46,8.51,8.45,8.46,720
20221012,8.55,8.56,8.55,8.55,1194
20221013,8.55,8.56,8.55,8.55,106
20221014,8.67,8.67,8.64,8.66,1311
20221017,8.61,8.61,8.55,8.56,1669
20221018,8.58,8.65,8.58,8.65,575
20221019,8.66,8.68,8.64,8.65,2077
20221020,8.64,8.64,8.62,8.64,1303
20221021,8.62,8.62,8.6,8.6,565
20221024,8.7,8.75,8.7,8.72,1340
20221025,8.82,8.84,8.81,8.81,31443
20221026,8.82,8.82,8.82,8.82,57
20221027,8.91,8.91,8.85,8.85,25
20221028,8.81,8.86,8.78,8.81,52488
20221031,8.87,9.02,8.87,8.96,3722
20221101,9.02,9.02,8.99,8.99,206
20221102,9.12,9.12,9.1,9.1,82
20221103,9,9,8.93,8.93,2616
20221104,9.02,9.02,8.99,8.99,119
20221107,9.12,9.16,9.12,9.16,16669
20221108,9.29,9.29,9.25,9.26,2475
20221109,9.48,9.48,9.41,9.44,12217
20221110,9.41,9.41,9.37,9.37,551
20221111,9.46,9.5,9.45,9.45,300
20221114,9.5,9.51,9.5,9.51,646
20221115,9.51,9.51,9.5,9.5,527
20221116,9.39,9.39,9.39,9.39,434
20221117,9.35,9.35,9.31,9.32,1984
20221118,9.32,9.32,9.27,9.27,675
20221121,9.36,9.36,9.35,9.35,3304
20221122,9.34,9.34,9.34,9.34,56
20221123,9.62,9.62,9.6,9.6,1592
20221124,9.62,9.62,9.5,9.5,6012
20221125,9.53,9.53,9.53,9.53,174
20221128,9.53,9.53,9.5,9.5,365
20221129,9.46,9.46,9.42,9.44,645
20221130,9.5,9.5,9.48,9.5,12228
20221201,9.54,9.61,9.54,9.61,304
20221202,9.64,9.64,9.6,9.6,16
20221205,9.64,9.64,9.58,9.58,212
20221206,9.53,9.53,9.5,9.5,2712
20221207,9.56,9.56,9.38,9.38,2718
20221208,9.37,9.37,9.35,9.35,1388
20221209,9.37,9.37,9.33,9.33,45
20221212,9.18,9.18,9.18,9.18,19
20221213,9.39,9.39,9.33,9.35,9291
20221214,9.39,9.39,9.36,9.36,376
20221215,9.31,9.32,9.27,9.29,1526
20221216,9.33,9.33,9.33,9.33,1077
20221219,9.18,9.21,9.18,9.2,229
20221220,9.14,9.14,9.05,9.05,1852
20221221,9.32,9.35,9.32,9.35,3754
20221222,9.41,9.41,9.38,9.38,1273
20221223,9.35,9.35,9.35,9.35,350
20221228,9.26,9.36,9.26,9.34,5577
20221229,9.2,9.2,9.15,9.15,830
20221230,9.18,9.25,9.18,9.25,24
20230103,9.18,9.18,9.15,9.15,263
20230104,9.17,9.17,9.07,9.08,2188
20230105,9.11,9.11,9.07,9.11,345
20230106,9.11,9.11,9.11,9.11,0
20230109,9.11,9.11,9.11,9.11,0
20230110,9.13,9.13,9.13,9.13,600
20230111,9.24,9.25,9.24,9.25,245
20230112,9.24,9.24,9.24,9.24,140
20230113,9.25,9.25,9.25,9.25,1000
20230116,9.3,9.3,9.26,9.26,2133
20230117,9.26,9.26,9.24,9.24,108
20230118,9.23,9.23,9.16,9.2,7604
20230119,9.2,9.23,9.19,9.23,2266
20230120,9.33,9.33,9.33,9.33,75
20230123,9.36,9.36,9.36,9.36,902
20230124,9.34,9.36,9.3,9.33,4273
20230125,9.25,9.25,9.19,9.19,667
20230127,9.3,9.3,9.22,9.23,919
20230130,9.27,9.27,9.2,9.2,933
20230131,9.22,9.22,9.18,9.21,5820
20230201,9.24,9.24,9.22,9.22,127
20230202,9.15,9.17,9.14,9.17,5738
20230203,9.17,9.18,9.16,9.17,2549
20230206,9.24,9.3,9.24,9.28,3557
20230207,9.28,9.28,9.28,9.28,0
20230208,9.24,9.24,9.19,9.2,857
20230209,9.15,9.15,9.14,9.14,97
20230210,9.03,9.03,9,9,96
20230213,9.05,9.05,8.99,8.99,97
20230214,9,9.03,9,9.03,104
20230215,9.08,9.08,9.05,9.05,355
20230216,9.06,9.06,9.06,9.06,130
20230217,9.01,9.01,9.01,9.01,2441
20230220,8.9,8.9,8.9,8.9,5237
20230221,8.91,8.91,8.84,8.84,3333
20230222,8.83,8.83,8.83,8.83,18
20230223,8.79,8.8,8.79,8.8,2100
20230224,8.79,8.8,8.79,8.8,764
20230227,8.89,8.89,8.86,8.86,380
20230228,8.89,8.89,8.89,8.89,65
20230301,8.91,8.91,8.87,8.87,301
20230302,8.9,8.99,8.9,8.95,10965
20230303,8.95,8.95,8.95,8.95,0
20230306,9.03,9.03,9.01,9.01,997
20230307,9.01,9.01,8.98,9,384
20230308,8.95,8.95,8.89,8.92,483
20230309,8.9,8.9,8.87,8.89,1138
20230310,8.8,8.8,8.76,8.76,2703
20230313,8.78,8.8,8.78,8.78,4480
20230314,8.78,8.78,8.77,8.77,7981
20230315,8.76,8.8,8.76,8.8,3184
20230316,8.81,8.81,8.75,8.76,10769
20230317,8.76,8.76,8.76,8.76,0
20230320,8.76,8.76,8.76,8.76,0
20230321,9.03,9.05,9.03,9.03,7711
20230322,9.02,9.03,9.01,9.02,11080
20230323,8.94,8.94,8.94,8.94,11
20230324,9.09,9.09,9.03,9.03,1978
20230327,9.2,9.21,9.2,9.21,65
20230328,9.22,9.22,9.19,9.19,959
20230329,9.29,9.29,9.29,9.29,57
20230330,9.38,9.38,9.29,9.35,1338
20230331,9.35,9.35,9.35,9.35,2675
20230403,9.38,9.46,9.38,9.41,13169
20230404,9.45,9.48,9.45,9.48,553
20230405,9.55,9.57,9.55,9.57,370
20230406,9.53,9.53,9.51,9.53,5073
20230411,9.5,9.55,9.5,9.55,5941
20230412,9.65,9.69,9.65,9.68,12590
20230413,9.64,9.67,9.64,9.65,472
20230414,9.62,9.64,9.62,9.64,675
20230417,9.68,9.68,9.62,9.62,854
20230418,9.6,9.6,9.49,9.49,674
20230419,9.49,9.49,9.49,9.49,0
20230420,9.36,9.36,9.34,9.34,10553
20230421,9.34,9.34,9.3,9.3,14
20230424,9.3,9.3,9.27,9.3,363
20230426,9.31,9.35,9.31,9.35,60
20230427,9.3,9.35,9.3,9.31,1324
20230428,9.31,9.31,9.31,9.31,0
20230501,9.32,9.32,9.23,9.23,1908
20230502,9.23,9.23,9.23,9.23,0
20230503,9.23,9.23,9.23,9.23,0
20230504,9.23,9.23,9.23,9.23,0
20230505,9.15,9.15,9.1,9.1,350
20230508,9.1,9.1,9.1,9.1,0
20230509,9.18,9.18,9.16,9.18,3845
20230510,9.12,9.12,9.06,9.06,630
20230511,9.03,9.05,9.02,9.05,794
20230512,8.97,8.97,8.96,8.96,3015
20230515,8.96,8.96,8.96,8.96,6
20230516,8.96,8.96,8.96,8.96,0
20230517,8.97,8.97,8.92,8.92,300
20230518,8.97,9.02,8.95,8.97,19348
20230519,8.94,8.94,8.93,8.93,226
20230522,8.94,8.94,8.92,8.92,23
20230523,8.98,8.99,8.95,8.99,4586
20230524,8.97,9,8.97,9,266
20230525,8.9,8.91,8.85,8.91,440
20230526,8.79,8.82,8.79,8.82,79
20230529,8.83,8.83,8.83,8.83,420
20230530,8.84,8.86,8.84,8.86,384
20230531,8.79,8.8,8.74,8.8,981
20230601,8.86,8.86,8.86,8.86,57
20230602,8.86,8.94,8.86,8.88,13062
20230605,8.93,8.94,8.92,8.92,328
20230606,8.82,8.82,8.82,8.82,715
20230607,8.82,8.82,8.82,8.82,0
20230608,8.88,8.88,8.85,8.85,81
20230609,8.85,8.85,8.85,8.85,0
20230613,8.7,8.7,8.65,8.68,469
20230614,8.68,8.69,8.64,8.67,6755
20230615,8.65,8.65,8.59,8.59,13634
20230616,8.55,8.58,8.53,8.58,9750
20230619,8.58,8.58,8.58,8.58,0
20230620,8.61,8.61,8.61,8.61,462
20230621,8.51,8.51,8.51,8.51,590
20230622,8.43,8.45,8.41,8.45,5219
20230623,8.45,8.46,8.45,8.45,331
20230626,8.55,8.56,8.54,8.56,142
20230627,8.54,8.54,8.53,8.53,5259
20230628,8.5,8.53,8.5,8.52,3055
20230629,8.6,8.6,8.58,8.58,14
20230630,8.7,8.7,8.65,8.65,33851
20230703,8.45,8.45,8.35,8.35,1201
20230704,8.4,8.41,8.38,8.38,2455
20230705,8.39,8.39,8.37,8.37,1671
20230706,8.37,8.37,8.23,8.23,2906
20230707,8.2,8.22,8.16,8.22,25205
20230710,8.22,8.22,8.22,8.22,0
20230711,8.35,8.36,8.35,8.36,924
20230712,8.36,8.36,8.36,8.36,0
20230713,8.38,8.5,8.38,8.48,9147
20230714,8.46,8.46,8.45,8.45,2848
20230717,8.41,8.41,8.41,8.41,1446
20230718,8.51,8.51,8.46,8.46,5251
20230719,8.46,8.61,8.46,8.61,8222
20230720,8.62,8.62,8.62,8.62,1043
20230721,8.62,8.62,8.62,8.62,240
20230724,8.62,8.62,8.62,8.62,0
20230725,8.7,8.7,8.62,8.64,4475
20230726,8.67,8.69,8.67,8.69,2414
20230727,8.71,8.71,8.66,8.66,2949
20230728,8.7,8.7,8.7,8.7,18
20230731,8.75,8.75,8.75,8.75,1259
20230801,8.83,8.84,8.78,8.8,550
20230802,8.8,8.8,8.77,8.77,358
20230803,8.73,8.74,8.72,8.72,3983
20230804,8.72,8.72,8.72,8.72,0
20230807,8.72,8.72,8.72,8.72,0
20230808,8.73,8.87,8.73,8.87,5888
20230809,8.91,8.91,8.89,8.89,2305
20230810,8.96,8.96,8.96,8.96,4034
20230811,8.96,8.96,8.96,8.96,12
20230814,9.1,9.1,9.1,9.1,3
20230815,9.05,9.05,9.05,9.05,8
20230816,9.05,9.05,9.05,9.05,0
20230817,8.96,8.96,8.96,8.96,54
20230818,8.96,8.96,8.96,8.96,0
20230821,8.94,8.94,8.91,8.91,1228
20230822,8.91,8.91,8.91,8.91,0
20230823,8.93,8.93,8.93,8.93,5700
20230824,8.94,8.94,8.93,8.93,480
20230825,9.02,9.02,8.93,8.93,134
20230828,8.98,8.98,8.95,8.95,114
20230829,9.03,9.03,8.99,8.99,106
20230830,9.1,9.1,9.06,9.06,117
20230831,9.1,9.1,9.08,9.09,954
20230901,9.09,9.09,9.09,9.09,0
20230904,9.03,9.05,9.03,9.04,903
20230905,9.07,9.07,9.06,9.07,2873
20230906,9.03,9.03,8.94,8.94,2
20230907,8.98,8.98,8.98,8.98,556
20230908,8.98,8.98,8.98,8.98,0
20230911,8.98,8.98,8.94,8.96,2785
20230912,8.93,8.93,8.92,8.92,11438
20230913,8.95,8.95,8.95,8.95,1050
20230914,8.91,8.91,8.89,8.89,13549
20230915,8.94,8.97,8.89,8.94,50720
