Date,Open,High,Low,Close,Volume
20120313,20.02,20.02,20.02,20.02,735
20120314,20.02,20.02,20.02,20.02,0
20120315,20.02,20.02,20.02,20.02,0
20120316,20.02,20.02,20.02,20.02,0
20120319,20.02,20.02,20.02,20.02,0
20120320,19.88,19.88,19.88,19.88,251
20120321,19.88,19.88,19.88,19.88,0
20120322,19.88,19.88,19.88,19.88,0
20120323,19.95,19.95,19.95,19.95,4264
20120326,19.95,19.95,19.95,19.95,0
20120327,19.95,19.95,19.95,19.95,0
20120328,19.95,19.95,19.95,19.95,0
20120329,19.95,19.95,19.95,19.95,0
20120330,20.16,20.16,20.16,20.16,75
20120402,20.16,20.16,20.16,20.16,0
20120403,20.07,20.07,20.07,20.07,80000
20120404,20.07,20.07,20.07,20.07,0
20120405,20.07,20.07,20.07,20.07,0
20120410,20.07,20.07,20.07,20.07,0
20120411,20.1,20.1,20.1,20.1,180000
20120412,20.2,20.2,20.2,20.2,1243
20120413,20.2,20.2,20.2,20.2,0
20120416,20.23,20.23,20.23,20.23,3000
20120417,20.23,20.23,20.23,20.23,200000
20120418,20.23,20.23,20.23,20.23,0
20120419,20.23,20.23,20.23,20.23,0
20120420,20.23,20.23,20.23,20.23,0
20120423,20.23,20.23,20.23,20.23,0
20120424,20.31,20.31,20.31,20.31,30000
20120426,20.42,20.42,20.36,20.36,2746
20120427,20.36,20.36,20.36,20.36,0
20120430,20.37,20.41,20.37,20.4,15200
20120501,20.42,20.42,20.42,20.42,18047
20120502,20.42,20.42,20.42,20.42,0
20120503,20.42,20.42,20.42,20.42,0
20120504,20.55,20.55,20.55,20.55,1316
20120507,20.55,20.55,20.55,20.55,0
20120508,20.55,20.55,20.55,20.55,0
20120509,20.55,20.55,20.55,20.55,0
20120510,20.65,20.66,20.65,20.66,10135
20120511,20.66,20.66,20.66,20.66,1000
20120514,20.66,20.66,20.66,20.66,0
20120515,20.66,20.66,20.66,20.66,0
20120516,20.7,20.7,20.7,20.7,25000
20120517,20.7,20.74,20.7,20.74,965
20120518,20.77,20.77,20.77,20.77,670
20120521,20.79,20.79,20.79,20.79,1000
20120522,20.79,20.79,20.79,20.79,0
20120523,20.79,20.79,20.79,20.79,500
20120524,20.79,20.79,20.79,20.79,0
20120525,20.79,20.79,20.79,20.79,0
20120528,20.79,20.79,20.79,20.79,0
20120529,20.79,20.79,20.79,20.79,1500
20120530,20.79,20.79,20.79,20.79,0
20120531,20.79,20.79,20.79,20.79,0
20120601,20.79,20.79,20.79,20.79,0
20120604,21.04,21.04,21,21,1512
20120605,21,21,21,21,0
20120606,20.75,20.75,20.73,20.75,29613
20120607,20.75,20.75,20.75,20.75,0
20120608,20.72,20.76,20.72,20.75,3335
20120612,20.75,20.75,20.75,20.75,0
20120613,20.73,20.73,20.73,20.73,10000
20120614,20.75,20.75,20.75,20.75,44
20120615,20.75,20.77,20.75,20.77,25000
20120618,20.77,20.77,20.77,20.77,0
20120619,20.77,20.77,20.77,20.77,0
20120620,20.79,20.8,20.79,20.8,950
20120621,20.8,20.8,20.8,20.8,0
20120622,20.8,20.8,20.8,20.8,0
20120625,20.8,20.8,20.8,20.8,0
20120626,20.48,20.48,20.48,20.48,250
20120627,20.46,20.46,20.46,20.46,1000
20120628,20.4,20.4,20.4,20.4,135
20120629,20.4,20.4,20.4,20.4,0
20120702,20.4,20.4,20.4,20.4,0
20120703,20.4,20.4,20.4,20.4,0
20120704,20.38,20.38,20.38,20.38,10000
20120705,20.4,20.4,20.37,20.37,1098
20120706,20.37,20.37,20.37,20.37,0
20120709,20.4,20.41,20.4,20.41,10180
20120710,20.47,20.47,20.47,20.47,10000
20120711,20.47,20.47,20.47,20.47,0
20120712,20.5,20.56,20.5,20.56,36877
20120713,20.56,20.56,20.56,20.56,0
20120716,20.65,20.65,20.65,20.65,1841
20120717,20.65,20.65,20.65,20.65,0
20120718,20.63,20.66,20.63,20.66,7635
20120719,20.66,20.66,20.66,20.66,0
20120720,20.63,20.63,20.63,20.63,1480
20120723,20.67,20.69,20.67,20.69,15000
20120724,20.74,20.74,20.7,20.7,109848
20120725,20.7,20.7,20.7,20.7,0
20120726,20.68,20.71,20.68,20.71,5150
20120727,20.63,20.67,20.6,20.6,7503
20120730,20.6,20.6,20.6,20.6,0
20120731,20.6,20.6,20.6,20.6,0
20120801,20.46,20.46,20.46,20.46,1500
20120802,20.5,20.5,20.5,20.5,344
20120803,20.5,20.5,20.5,20.5,0
20120806,20.5,20.5,20.5,20.5,0
20120807,20.5,20.5,20.5,20.5,0
20120808,20.41,20.41,20.41,20.41,241
20120809,20.41,20.41,20.41,20.41,0
20120810,20.41,20.41,20.41,20.41,353
20120813,20.5,20.5,20.5,20.5,443
20120814,20.48,20.48,20.48,20.48,284
20120815,20.44,20.44,20.44,20.44,1000
20120816,20.43,20.43,20.43,20.43,2103
20120817,20.41,20.41,20.41,20.41,367
20120820,20.41,20.41,20.41,20.41,0
20120821,20.43,20.43,20.43,20.43,240
20120822,20.43,20.43,20.43,20.43,0
20120823,20.49,20.49,20.49,20.49,970
20120824,20.49,20.49,20.49,20.49,0
20120827,20.52,20.52,20.52,20.52,4212
20120828,20.55,20.55,20.55,20.55,2461
20120829,20.56,20.56,20.56,20.56,72
20120830,20.59,20.59,20.53,20.53,200
20120831,20.53,20.53,20.53,20.53,0
20120903,20.53,20.53,20.53,20.53,0
20120904,20.72,20.72,20.72,20.72,470
20120905,20.7,20.7,20.7,20.7,3064
20120906,20.74,20.74,20.74,20.74,1619
20120907,20.74,20.74,20.74,20.74,0
20120910,20.74,20.74,20.74,20.74,0
20120911,20.74,20.74,20.74,20.74,651
20120912,20.7,20.7,20.67,20.67,5322
20120913,20.67,20.67,20.67,20.67,0
20120914,20.69,20.69,20.69,20.69,1068
20120917,20.63,20.63,20.63,20.63,117
20120918,20.63,20.63,20.63,20.63,0
20120919,20.67,20.67,20.62,20.62,1372
20120920,20.68,20.68,20.63,20.68,6205
20120921,20.73,20.77,20.73,20.77,10074
20120924,20.73,20.73,20.73,20.73,164
20120925,20.73,20.73,20.73,20.73,0
20120926,20.73,20.73,20.73,20.73,0
20120927,20.73,20.73,20.73,20.73,0
20120928,20.57,20.64,20.56,20.64,690
20121001,20.69,20.69,20.69,20.69,1327
20121002,20.69,20.69,20.69,20.69,465
20121003,20.69,20.69,20.69,20.69,0
20121004,20.74,20.74,20.74,20.74,244
20121005,20.74,20.74,20.68,20.68,1835
20121008,20.68,20.68,20.68,20.68,0
20121009,20.68,20.68,20.68,20.68,558
20121010,20.68,20.68,20.68,20.68,1705
20121011,20.68,20.68,20.68,20.68,86
20121012,20.7,20.7,20.7,20.7,373
20121015,20.76,20.76,20.76,20.76,2023
20121016,20.72,20.72,20.72,20.72,1147
20121017,20.69,20.76,20.69,20.69,555
20121018,20.67,20.69,20.63,20.69,1176
20121019,20.66,20.66,20.66,20.66,565
20121022,20.66,20.66,20.66,20.66,0
20121023,20.66,20.66,20.66,20.66,0
20121024,20.7,20.7,20.7,20.7,2866
20121025,20.65,20.65,20.59,20.59,2628
20121026,20.59,20.59,20.59,20.59,0
20121029,20.64,20.64,20.64,20.64,1017
20121030,20.64,20.64,20.64,20.64,0
20121031,20.68,20.68,20.68,20.68,643
20121101,20.68,20.68,20.68,20.68,0
20121102,20.68,20.68,20.68,20.68,7618
20121105,20.68,20.68,20.68,20.68,0
20121106,20.68,20.68,20.68,20.68,0
20121107,20.61,20.61,20.61,20.61,401
20121108,20.58,20.58,20.58,20.58,1014
20121109,20.58,20.58,20.58,20.58,0
20121112,20.62,20.62,20.62,20.62,231
20121113,20.69,20.69,20.69,20.69,50
20121114,20.71,20.71,20.71,20.71,6619
20121115,20.71,20.71,20.71,20.71,0
20121116,20.71,20.71,20.71,20.71,0
20121119,20.71,20.71,20.71,20.71,0
20121120,20.69,20.69,20.69,20.69,1373
20121121,20.67,20.67,20.67,20.67,733
20121122,20.59,20.59,20.59,20.59,334
20121123,20.61,20.61,20.61,20.61,76
20121126,20.6,20.6,20.57,20.57,43795
20121127,20.57,20.57,20.57,20.57,0
20121128,20.57,20.57,20.55,20.56,78898
20121129,20.6,20.6,20.56,20.56,1000
20121130,20.64,20.64,20.64,20.64,321
20121203,20.64,20.64,20.64,20.64,0
20121204,20.69,20.69,20.69,20.69,2900
20121205,20.69,20.69,20.69,20.69,0
20121206,20.72,20.72,20.69,20.69,3432
20121207,20.72,20.72,20.72,20.72,940
20121210,20.71,20.71,20.71,20.71,500
20121211,20.68,20.68,20.68,20.68,960
20121212,20.68,20.68,20.68,20.68,0
20121213,20.69,20.69,20.69,20.69,290
20121214,20.67,20.67,20.67,20.67,369
20121217,20.64,20.64,20.64,20.64,1935
20121218,20.63,20.63,20.63,20.63,2180
20121219,20.66,20.66,20.63,20.63,5380
20121220,20.63,20.63,20.63,20.63,955
20121221,20.68,20.68,20.68,20.68,1208
20121224,20.68,20.68,20.68,20.68,0
20121227,20.68,20.68,20.68,20.68,0
20121228,20.68,20.68,20.68,20.68,0
20121231,20.73,20.73,20.73,20.73,1024
20130102,20.57,20.57,20.52,20.52,141
20130103,20.52,20.52,20.5,20.5,1125
20130104,20.54,20.54,20.54,20.54,975
20130107,20.51,20.51,20.5,20.51,210
20130108,20.51,20.51,20.51,20.51,0
20130109,20.51,20.51,20.51,20.51,0
20130110,20.51,20.51,20.51,20.51,144
20130111,20.51,20.51,20.51,20.51,0
20130114,20.47,20.47,20.47,20.47,596
20130115,20.49,20.5,20.48,20.5,33343
20130116,20.5,20.5,20.5,20.5,0
20130117,20.56,20.56,20.54,20.54,2131
20130118,20.54,20.54,20.54,20.54,0
20130121,20.62,20.62,20.62,20.62,3895
20130122,20.63,20.63,20.63,20.63,1309
20130123,20.63,20.63,20.6,20.6,1881
20130124,20.67,20.67,20.67,20.67,250
20130125,20.6,20.6,20.6,20.6,432
20130129,20.59,20.59,20.59,20.59,1455
20130130,20.58,20.58,20.58,20.58,13
20130131,20.46,20.57,20.46,20.57,2773
20130201,20.58,20.58,20.57,20.58,739
20130204,20.58,20.58,20.58,20.58,0
20130205,20.44,20.44,20.44,20.44,1000
20130206,20.54,20.56,20.54,20.54,2909
20130207,20.65,20.65,20.5,20.5,2337
20130208,20.63,20.63,20.63,20.63,52
20130211,20.48,20.59,20.48,20.59,739
20130212,20.59,20.59,20.59,20.59,0
20130213,20.59,20.59,20.59,20.59,0
20130214,20.5,20.5,20.5,20.5,869
20130215,20.49,20.55,20.49,20.55,11122
20130218,20.58,20.58,20.5,20.5,1267
20130219,20.5,20.57,20.5,20.57,421
20130220,20.54,20.54,20.54,20.54,17
20130221,20.54,20.54,20.54,20.54,0
20130222,20.54,20.54,20.54,20.54,0
20130225,20.54,20.54,20.54,20.54,0
20130226,20.57,20.66,20.57,20.66,1286
20130227,20.66,20.66,20.66,20.66,0
20130228,20.66,20.66,20.66,20.66,0
20130301,20.66,20.66,20.66,20.66,0
20130304,20.67,20.73,20.67,20.73,2646
20130305,20.68,20.68,20.68,20.68,1135
20130306,20.6,20.6,20.6,20.6,1017
20130307,20.54,20.54,20.54,20.54,195
20130308,20.55,20.55,20.55,20.55,1825
20130311,20.55,20.55,20.55,20.55,0
20130312,20.55,20.55,20.55,20.55,0
20130313,20.49,20.55,20.49,20.55,1423
20130314,20.55,20.55,20.55,20.55,0
20130315,20.45,20.45,20.45,20.45,244
20130318,20.45,20.45,20.45,20.45,0
20130319,20.45,20.45,20.45,20.45,0
20130320,20.45,20.45,20.45,20.45,0
20130321,20.49,20.52,20.49,20.52,8746
20130322,20.52,20.52,20.52,20.52,0
20130325,20.49,20.49,20.48,20.48,938
20130326,20.54,20.56,20.54,20.56,2004
20130327,20.56,20.56,20.56,20.56,0
20130328,20.46,20.46,20.46,20.46,433
20130402,20.46,20.46,20.46,20.46,0
