Date,Open,High,Low,Close,Volume
20221011,4.18,4.19,4.17,4.19,103378
20221012,4.16,4.18,4.16,4.17,48227
20221013,4.15,4.15,4.15,4.15,8000
20221014,4.25,4.25,4.25,4.25,21500
20221017,4.22,4.22,4.22,4.22,374
20221018,4.31,4.33,4.3,4.33,5721
20221019,4.33,4.33,4.33,4.33,3189
20221020,4.27,4.27,4.27,4.27,200
20221021,4.25,4.26,4.25,4.26,10724
20221024,4.32,4.33,4.32,4.33,294
20221025,4.36,4.36,4.36,4.36,7251
20221026,4.37,4.37,4.36,4.36,3403
20221027,4.39,4.39,4.39,4.39,5728
20221028,4.37,4.37,4.35,4.35,11450
20221031,4.48,4.48,4.48,4.48,225
20221101,4.47,4.47,4.46,4.46,1365
20221102,4.47,4.48,4.47,4.47,36524
20221103,4.4,4.41,4.4,4.41,9898
20221104,4.39,4.39,4.39,4.39,22
20221107,4.4,4.4,4.4,4.4,22
20221108,4.46,4.46,4.46,4.46,2720
20221109,4.5,4.52,4.5,4.5,492
20221110,4.43,4.45,4.43,4.45,1836
20221111,4.62,4.62,4.6,4.61,7107
20221114,4.59,4.59,4.57,4.57,596
20221115,4.55,4.56,4.55,4.56,13396
20221116,4.52,4.52,4.52,4.52,5954
20221117,4.5,4.5,4.5,4.5,3
20221118,4.48,4.48,4.48,4.48,99
20221121,4.51,4.51,4.5,4.51,3467
20221122,4.54,4.54,4.54,4.54,3
20221123,4.57,4.57,4.57,4.57,1
20221124,4.56,4.56,4.54,4.54,1515
20221125,4.56,4.56,4.56,4.56,10988
20221128,4.56,4.57,4.56,4.57,96
20221129,4.57,4.57,4.57,4.57,0
20221130,4.51,4.51,4.51,4.51,155
20221201,4.51,4.51,4.51,4.51,0
20221202,4.55,4.55,4.54,4.54,10002
20221205,4.54,4.54,4.54,4.54,524
20221206,4.55,4.55,4.55,4.55,3
20221207,4.5,4.51,4.5,4.51,4964
20221208,4.48,4.48,4.48,4.48,2000
20221209,4.48,4.48,4.48,4.48,0
20221212,4.45,4.45,4.45,4.45,5115
20221213,4.48,4.48,4.48,4.48,2000
20221214,4.48,4.48,4.48,4.48,0
20221215,4.45,4.46,4.45,4.46,2225
20221216,4.38,4.38,4.36,4.36,122
20221219,4.33,4.33,4.33,4.33,1
20221220,4.31,4.31,4.31,4.31,3
20221221,4.33,4.33,4.33,4.33,19
20221222,4.33,4.33,4.33,4.33,0
20221223,4.33,4.33,4.33,4.33,0
20221228,4.33,4.33,4.33,4.33,0
20221229,4.29,4.29,4.29,4.29,1
20221230,4.35,4.35,4.35,4.35,3
20230103,4.33,4.33,4.33,4.33,230
20230104,4.31,4.31,4.31,4.31,21
20230105,4.31,4.31,4.31,4.31,7
20230106,4.31,4.31,4.31,4.31,3
20230109,4.31,4.31,4.31,4.31,0
20230110,4.35,4.35,4.35,4.35,216
20230111,4.35,4.35,4.35,4.35,0
20230112,4.35,4.35,4.35,4.35,0
20230113,4.44,4.44,4.42,4.42,17
20230116,4.43,4.43,4.43,4.43,453
20230117,4.43,4.43,4.43,4.43,0
20230118,4.42,4.42,4.41,4.41,15819
20230119,4.41,4.41,4.41,4.41,0
20230120,4.41,4.41,4.41,4.41,0
20230123,4.42,4.42,4.39,4.41,38754
20230124,4.42,4.42,4.42,4.42,12472
20230125,4.42,4.42,4.42,4.42,93
20230127,4.43,4.43,4.43,4.43,3
20230130,4.43,4.43,4.43,4.43,0
20230131,4.43,4.43,4.43,4.43,0
20230201,4.43,4.43,4.43,4.43,0
20230202,4.43,4.43,4.43,4.43,0
20230203,4.53,4.55,4.53,4.55,247
20230206,4.59,4.59,4.58,4.58,23
20230207,4.55,4.55,4.55,4.55,1000
20230208,4.55,4.55,4.55,4.55,0
20230209,4.55,4.55,4.55,4.55,0
20230210,4.56,4.56,4.56,4.56,44004
20230213,4.55,4.55,4.53,4.53,2229
20230214,4.53,4.53,4.53,4.53,0
20230215,4.58,4.58,4.58,4.58,250
20230216,4.63,4.64,4.63,4.64,3920
20230217,4.6,4.6,4.6,4.6,2150
20230220,4.6,4.6,4.59,4.59,165
20230221,4.58,4.58,4.58,4.58,2200
20230222,4.53,4.53,4.53,4.53,847
20230223,4.53,4.53,4.53,4.53,0
20230224,4.57,4.57,4.57,4.57,6500
20230227,4.57,4.57,4.57,4.57,0
20230228,4.61,4.61,4.61,4.61,3700
20230301,4.61,4.61,4.61,4.61,0
20230302,4.58,4.58,4.58,4.58,1
20230303,4.59,4.59,4.59,4.59,215
20230306,4.59,4.59,4.59,4.59,0
20230307,4.68,4.68,4.68,4.68,500
20230308,4.68,4.68,4.68,4.68,0
20230309,4.68,4.68,4.66,4.66,329
20230310,4.57,4.57,4.57,4.57,6
20230313,4.54,4.54,4.54,4.54,25
20230314,4.54,4.54,4.54,4.54,0
20230315,4.52,4.52,4.52,4.52,2365
20230316,4.44,4.46,4.44,4.46,2370
20230317,4.46,4.46,4.46,4.46,0
20230320,4.46,4.46,4.46,4.46,0
20230321,4.48,4.5,4.48,4.5,4992
20230322,4.5,4.5,4.5,4.5,0
20230323,4.5,4.5,4.5,4.5,0
20230324,4.55,4.55,4.55,4.55,3
20230327,4.55,4.55,4.55,4.55,0
20230328,4.55,4.55,4.55,4.55,0
20230329,4.56,4.56,4.56,4.56,9
20230330,4.56,4.56,4.56,4.56,0
20230331,4.66,4.68,4.66,4.68,15105
20230403,4.71,4.73,4.71,4.73,15476
20230404,4.73,4.73,4.73,4.73,0
20230405,4.73,4.73,4.73,4.73,0
20230406,4.63,4.65,4.63,4.65,2415
20230411,4.65,4.65,4.65,4.65,0
20230412,4.77,4.77,4.77,4.77,3
20230413,4.74,4.74,4.72,4.74,12258
20230414,4.74,4.74,4.74,4.74,0
20230417,4.77,4.77,4.76,4.76,2256
20230418,4.75,4.75,4.75,4.75,42
20230419,4.75,4.75,4.75,4.75,3415
20230420,4.75,4.75,4.75,4.75,1002
20230421,4.75,4.75,4.75,4.75,0
20230424,4.73,4.73,4.71,4.73,141
20230426,4.66,4.68,4.66,4.68,3502
20230427,4.65,4.67,4.65,4.67,1605
20230428,4.67,4.67,4.67,4.67,0
20230501,4.76,4.76,4.76,4.76,2580
20230502,4.76,4.76,4.76,4.76,0
20230503,4.76,4.76,4.76,4.76,0
20230504,4.66,4.66,4.66,4.66,7397
20230505,4.62,4.62,4.6,4.6,1229
20230508,4.6,4.6,4.6,4.6,0
20230509,4.66,4.66,4.66,4.66,9
20230510,4.66,4.66,4.66,4.66,0
20230511,4.68,4.68,4.68,4.68,800
20230512,4.71,4.71,4.71,4.71,1453
20230515,4.71,4.71,4.71,4.71,0
20230516,4.73,4.73,4.73,4.73,2105
20230517,4.73,4.73,4.73,4.73,0
20230518,4.78,4.78,4.78,4.78,244
20230519,4.83,4.83,4.83,4.83,1693
20230522,4.81,4.81,4.8,4.8,206
20230523,4.79,4.8,4.79,4.8,350
20230524,4.75,4.76,4.73,4.76,112
20230525,4.77,4.77,4.75,4.75,12
20230526,4.75,4.75,4.75,4.75,0
20230529,4.84,4.84,4.84,4.84,632
20230530,4.84,4.84,4.84,4.84,5
20230531,4.81,4.82,4.81,4.82,2679
20230601,4.77,4.77,4.77,4.77,207
20230602,4.76,4.76,4.76,4.76,3
20230605,4.78,4.78,4.78,4.78,104
20230606,4.77,4.77,4.74,4.74,313
20230607,4.77,4.77,4.76,4.76,5180
20230608,4.73,4.73,4.73,4.73,250
20230609,4.73,4.73,4.73,4.73,0
20230613,4.72,4.72,4.72,4.72,236
20230614,4.72,4.72,4.72,4.72,0
20230615,4.76,4.76,4.76,4.76,2118
20230616,4.82,4.82,4.8,4.8,6206
20230619,4.83,4.83,4.81,4.81,2140
20230620,4.83,4.85,4.83,4.85,11675
20230621,4.83,4.83,4.83,4.83,7300
20230622,4.8,4.8,4.8,4.8,2100
20230623,4.8,4.8,4.8,4.8,0
20230626,4.8,4.8,4.8,4.8,0
20230627,4.86,4.86,4.84,4.84,4126
20230628,4.84,4.84,4.84,4.84,0
20230629,4.96,4.96,4.95,4.95,526
20230630,4.95,4.95,4.95,4.95,0
20230703,4.99,4.99,4.99,4.99,30
20230704,4.99,4.99,4.99,4.99,4003
20230705,4.99,4.99,4.99,4.99,200
20230706,4.98,4.98,4.94,4.94,8
20230707,4.94,4.94,4.94,4.94,0
20230710,4.94,4.94,4.92,4.92,192
20230711,4.97,4.97,4.97,4.97,1429
20230712,4.97,4.97,4.97,4.97,0
20230713,5,5,4.98,4.98,58989
20230714,4.94,4.96,4.94,4.96,7989
20230717,4.96,4.96,4.96,4.96,0
20230718,5.01,5.02,5.01,5.02,3465
20230719,5.02,5.02,5.02,5.02,0
20230720,5.02,5.02,5.02,5.02,0
20230721,5.02,5.02,5.02,5.02,0
20230724,5.02,5.02,5.02,5.02,0
20230725,5.02,5.02,5.02,5.02,0
20230726,5.08,5.08,5.08,5.08,2966
20230727,5.12,5.12,5.1,5.1,3370
20230728,5.16,5.21,5.16,5.21,1962
20230731,5.21,5.22,5.21,5.22,10751
20230801,5.21,5.25,5.21,5.25,12541
20230802,5.27,5.27,5.25,5.25,23
20230803,5.25,5.26,5.25,5.25,11340
20230804,5.24,5.24,5.24,5.24,19016
20230807,5.24,5.24,5.24,5.24,4771
20230808,5.24,5.24,5.24,5.24,0
20230809,5.26,5.26,5.26,5.26,382
20230810,5.25,5.25,5.25,5.25,114
20230811,5.25,5.25,5.25,5.25,2045
20230814,5.25,5.25,5.25,5.25,0
20230815,5.29,5.29,5.27,5.27,8633
20230816,5.22,5.22,5.22,5.22,6500
20230817,5.25,5.25,5.25,5.25,229
