Date,Open,High,Low,Close,Volume
20210831,10.12,10.13,10.06,10.1,516231
20210901,10.03,10.05,10.01,10.05,119583
20210902,10.01,10.01,9.91,9.91,146581
20210903,9.89,9.95,9.89,9.92,70639
20210906,9.98,9.98,9.91,9.98,79305
20210907,10.07,10.07,9.95,10.01,114036
20210908,9.98,9.98,9.95,9.98,113268
20210909,9.9,9.9,9.86,9.87,108763
20210910,9.93,9.96,9.9,9.95,135318
20210913,10.06,10.06,10.01,10.06,45122
20210914,10.1,10.13,10.08,10.12,45321
20210915,10.29,10.29,10.15,10.16,77166
20210916,10.18,10.18,10.14,10.17,116543
20210917,10.3,10.3,10.18,10.23,86515
20210920,10.23,10.25,10.01,10.03,196312
20210921,10.01,10.01,9.88,9.92,164957
20210922,9.99,9.99,9.89,9.98,43943
20210923,10.15,10.17,10.13,10.15,132592
20210924,10.2,10.2,10.14,10.17,86207
20210927,10.2,10.27,10.18,10.21,29285
20210928,10.12,10.12,10.07,10.1,125451
20210929,9.9,9.9,9.78,9.79,147340
20210930,9.8,9.8,9.69,9.74,49866
20211001,9.71,9.71,9.53,9.56,56180
20211004,9.74,9.74,9.49,9.54,47476
20211005,9.41,9.41,9.25,9.33,126958
20211006,9.49,9.49,9.39,9.41,49080
20211007,9.6,9.6,9.52,9.59,192663
20211008,9.71,9.72,9.56,9.58,69749
20211011,9.59,9.59,9.4,9.45,55673
20211012,9.4,9.4,9.28,9.31,77951
20211013,9.3,9.3,9.22,9.26,41997
20211014,9.3,9.35,9.3,9.33,27006
20211015,9.61,9.61,9.52,9.6,80484
20211018,9.77,9.77,9.56,9.61,36228
20211019,9.69,9.69,9.64,9.65,25578
20211020,9.85,9.85,9.68,9.69,42023
20211021,9.67,9.67,9.53,9.57,72935
20211022,9.62,9.69,9.62,9.69,78227
20211025,9.69,9.7,9.65,9.69,46437
20211026,9.73,9.78,9.73,9.76,53425
20211027,9.76,9.76,9.66,9.69,135779
20211028,9.7,9.74,9.7,9.72,31527
20211029,9.75,9.81,9.73,9.74,36984
20211101,9.87,9.92,9.86,9.92,43031
20211102,9.96,9.98,9.93,9.96,24220
20211103,10.05,10.22,10.05,10.17,48187
20211104,10.26,10.37,10.26,10.3,49945
20211105,10.52,10.73,10.52,10.7,79790
20211108,10.84,10.86,10.78,10.81,97602
20211109,10.99,10.99,10.93,10.96,132065
20211110,11.07,11.09,10.95,10.97,124698
20211111,10.97,10.97,10.75,10.82,136866
20211112,10.98,11.1,10.98,11.05,77596
20211115,11.2,11.25,11.08,11.09,69061
20211116,11.07,11.07,11.04,11.06,48297
20211117,11.17,11.31,11.17,11.29,46655
20211118,11.36,11.39,11.34,11.37,89063
20211119,11.47,11.55,11.46,11.54,110850
20211122,11.66,11.71,11.61,11.62,73284
20211123,11.56,11.56,11.38,11.4,117721
20211124,11.42,11.42,11.29,11.3,107240
20211125,11.35,11.49,11.35,11.49,36773
20211126,11.6,11.6,11.38,11.4,240480
20211129,11.16,11.47,11.16,11.42,232417
20211130,11.75,11.75,11.65,11.69,83330
20211201,11.7,11.7,11.51,11.63,38650
20211202,11.5,11.58,11.45,11.57,60131
20211203,11.57,11.58,11.44,11.57,216966
20211206,11.5,11.54,11.47,11.53,39586
20211207,11.48,11.48,11.41,11.45,74297
20211208,11.72,11.91,11.72,11.86,44941
20211209,11.8,11.8,11.66,11.67,68004
20211210,11.61,11.61,11.5,11.52,36574
20211213,11.64,11.64,11.54,11.56,55243
20211214,11.5,11.5,11.3,11.37,35249
20211215,11.34,11.34,11.23,11.28,45318
20211216,11.51,11.64,11.51,11.64,26764
20211217,11.27,11.27,11.12,11.13,63285
20211220,11.24,11.24,10.97,11.01,209685
