Date,Open,High,Low,Close,Volume
20010828,34.86,34.97,34.86,34.9,2200
20010829,34.8,34.8,34.8,34.8,1000
20010830,34.46,34.46,34.41,34.41,12000
20010831,34.04,34.04,33.9,33.9,5222
20010903,33.81,33.81,33.81,33.81,100
20010904,33.85,33.95,33.85,33.95,3000
20010905,33.85,34.04,33.85,34.01,11800
20010906,33.94,33.94,33.82,33.82,5722
20010907,33.38,33.4,33.36,33.4,5000
20010910,33.3,33.38,33.3,33.38,2000
20010911,33.62,33.62,33.62,33.62,2000
20010912,33.62,33.62,33.62,33.62,0
20010913,32.66,32.66,32.32,32.32,100
20010914,31.95,31.99,31.82,31.99,110
20010917,31.38,31.38,30.51,30.51,23040
20010918,31.09,31.09,31.07,31.07,55
20010919,31.07,31.07,31.07,31.07,0
20010920,30.62,30.62,30.62,30.62,10
20010921,30.04,30.32,30.04,30.32,3040
20010924,30.153,30.153,30.153,30.153,1000
20010925,30.45,30.63,30.45,30.63,24158
20010926,30.84,30.84,30.72,30.72,19974
20010927,30.93,31.05,30.93,31.05,32000
20010928,31.41,31.56,31.41,31.56,14000
20011001,31.56,31.56,31.56,31.56,0
20011002,32.34,32.34,32.34,32.34,1000
20011003,32.75,32.75,32.38,32.38,29500
20011004,32.53,32.58,32.42,32.44,10000
20011005,32.7,32.95,32.7,32.95,3001
20011008,32.56,32.69,32.56,32.69,11720
20011009,32.69,32.69,32.52,32.65,16
20011010,32.51,32.51,32.51,32.51,1985
20011011,33,33.24,33,33.24,4000
20011012,33.24,33.24,33.24,33.24,0
20011015,33.152,33.152,33.152,33.152,100
20011016,33.152,33.152,33.152,33.152,0
20011017,33.683,33.683,33.683,33.683,1485
20011018,33.09,33.09,33.09,33.09,10
20011019,33.05,33.05,33.05,33.05,280
20011022,32.93,32.95,32.93,32.95,2
20011023,32.95,32.95,32.95,32.95,0
20011024,33.68,33.68,33.68,33.68,709
20011025,33.72,33.74,33.71,33.74,7500
20011026,33.94,33.94,33.94,33.94,10
20011029,33.94,33.94,33.94,33.94,0
20011030,33.5,33.5,33.5,33.5,90
20011031,33.44,33.75,33.44,33.75,5703
20011101,33.75,33.75,33.75,33.75,0
20011102,33.84,33.84,33.54,33.54,11
20011105,33.51,33.51,33.51,33.51,2000
20011106,33.51,33.51,33.51,33.51,0
20011107,33.51,33.51,33.51,33.51,0
20011108,33.51,33.51,33.51,33.51,0
20011109,34.05,34.05,33.95,34.04,5010
20011112,34.29,34.32,34.29,34.32,5380
20011113,34.28,34.31,34.28,34.31,2037
20011114,34.66,34.73,34.66,34.73,973
20011115,34.82,34.82,34.82,34.82,566
20011116,34.82,34.82,34.82,34.82,25374
20011119,34.82,34.82,34.82,34.82,0
20011120,34.82,34.82,34.82,34.82,0
20011121,34.82,34.82,34.82,34.82,0
20011122,34.8,34.8,34.65,34.65,585
20011123,34.93,34.93,34.93,34.93,2862
20011126,35.09,35.09,35.09,35.09,10
20011127,35.21,35.21,35.13,35.13,3388
20011128,34.99,34.99,34.99,34.99,2400
20011129,34.76,34.8,34.71,34.8,13836
20011130,34.8,34.8,34.8,34.8,0
20011203,34.8,34.8,34.8,34.8,0
20011204,34.8,34.8,34.8,34.8,0
20011205,34.8,34.8,34.8,34.8,0
20011206,34.8,34.8,34.8,34.8,0
20011207,34.8,34.8,34.8,34.8,0
20011210,34.8,34.8,34.8,34.8,0
20011211,34.8,34.8,34.8,34.8,0
20011212,34.8,34.8,34.8,34.8,0
20011213,34.73,34.73,34.55,34.55,614
20011214,34.42,34.42,34.42,34.42,2721
20011217,34.57,34.57,34.57,34.57,500
20011218,34.57,34.57,34.57,34.57,0
20011219,34.57,34.57,34.57,34.57,0
20011220,34.57,34.57,34.57,34.57,0
20011221,34.57,34.57,34.57,34.57,0
20011224,34.57,34.57,34.57,34.57,0
20011227,34.57,34.57,34.57,34.57,0
20011228,34.57,34.57,34.57,34.57,0
20011231,34.57,34.57,34.57,34.57,0
20020102,34.57,34.57,34.57,34.57,0
20020103,35.56,35.56,35.39,35.44,101775
20020104,35.44,35.44,35.44,35.44,0
20020107,35.44,35.44,35.44,35.44,0
20020108,35.69,35.69,35.68,35.68,3504
20020109,35.68,35.68,35.68,35.68,0
20020110,35.68,35.68,35.68,35.68,0
20020111,35.68,35.68,35.68,35.68,0
20020114,35.68,35.68,35.68,35.68,0
20020115,35.68,35.68,35.68,35.68,0
20020116,35.49,35.49,35.49,35.49,2817
20020117,35.49,35.49,35.49,35.49,0
20020118,35.49,35.49,35.49,35.49,0
20020121,35.49,35.49,35.49,35.49,0
20020122,35.49,35.49,35.49,35.49,0
20020123,35.49,35.49,35.49,35.49,0
20020124,35.49,35.49,35.49,35.49,0
20020125,35.62,35.62,35.62,35.62,1404
20020129,35.62,35.62,35.62,35.62,0
20020130,35.36,35.36,35.36,35.36,1
20020131,35.59,35.59,35.59,35.59,850
20020201,35.59,35.59,35.59,35.59,0
20020204,35.73,35.73,35.73,35.73,2170
20020205,35.73,35.73,35.73,35.73,0
20020206,35.73,35.73,35.73,35.73,0
20020207,35.73,35.73,35.73,35.73,0
20020208,35.73,35.73,35.73,35.73,0
20020211,35.73,35.73,35.73,35.73,0
20020212,35.73,35.73,35.73,35.73,0
20020213,35.73,35.73,35.73,35.73,0
20020214,35.73,35.73,35.73,35.73,0
20020215,35.73,35.73,35.73,35.73,0
20020218,35.73,35.73,35.73,35.73,0
20020219,35.73,35.73,35.73,35.73,0
20020220,35.73,35.73,35.73,35.73,0
20020221,35.73,35.73,35.73,35.73,0
20020222,35.73,35.73,35.73,35.73,0
20020225,35.73,35.73,35.73,35.73,0
20020226,35.73,35.73,35.73,35.73,0
20020227,35.49,35.49,35.2,35.2,1440
20020228,35.2,35.2,35.2,35.2,0
20020301,35.2,35.2,35.2,35.2,0
20020304,35.2,35.2,35.2,35.2,0
20020305,35.69,35.69,35.69,35.69,2400
20020306,35.69,35.69,35.69,35.69,0
20020307,35.69,35.69,35.69,35.69,0
20020308,35.69,35.69,35.69,35.69,0
20020311,35.69,35.69,35.69,35.69,0
20020312,35.69,35.69,35.69,35.69,0
20020313,35.8,35.8,35.8,35.8,200
20020314,35.8,35.8,35.8,35.8,0
20020315,35.61,35.61,35.61,35.61,130
20020318,35.61,35.61,35.61,35.61,0
20020319,35.61,35.61,35.61,35.61,0
20020320,35.61,35.61,35.61,35.61,0
20020321,35.61,35.61,35.61,35.61,0
20020322,35.61,35.61,35.61,35.61,0
20020325,35.6,35.6,35.6,35.6,351
20020326,35.6,35.6,35.6,35.6,0
20020327,35.6,35.6,35.6,35.6,0
20020328,35.6,35.6,35.6,35.6,0
20020402,35.2,35.2,35.09,35.09,585
20020403,34.93,34.93,34.93,34.93,850
20020404,34.96,34.96,34.96,34.96,100
20020405,34.96,34.96,34.96,34.96,0
20020408,34.96,34.96,34.96,34.96,0
20020409,34.96,34.96,34.96,34.96,0
20020410,35.1,35.1,35.1,35.1,1148
20020411,35.1,35.1,35.1,35.1,0
20020412,35.1,35.1,35.1,35.1,0
20020415,35.1,35.1,35.1,35.1,0
20020416,35.1,35.1,35.1,35.1,0
20020417,35.3,35.3,35.3,35.3,840
20020418,35.3,35.3,35.3,35.3,0
20020419,35.42,35.42,35.42,35.42,280
20020422,35.5,35.5,35.5,35.5,829
20020423,35.5,35.5,35.5,35.5,0
20020424,35.5,35.5,35.5,35.5,0
20020426,35.5,35.5,35.5,35.5,0
20020429,35.5,35.5,35.5,35.5,0
20020430,34.68,34.68,34.68,34.68,280
20020501,34.89,34.89,34.78,34.78,1220
20020502,34.78,34.78,34.78,34.78,0
20020503,34.89,34.89,34.89,34.89,115
20020506,34.89,34.89,34.89,34.89,0
20020507,34.5,34.5,34.5,34.5,100
20020508,34.59,34.59,34.59,34.59,2872
20020509,34.59,34.59,34.59,34.59,0
20020510,34.59,34.59,34.59,34.59,0
20020513,34.35,34.35,34.32,34.32,1236
20020514,34.32,34.32,34.32,34.32,0
20020515,34.32,34.32,34.32,34.32,0
20020516,34.32,34.32,34.32,34.32,0
20020517,34.32,34.32,34.32,34.32,0
20020520,35.28,35.28,35.27,35.27,26459
20020521,35.27,35.27,35.27,35.27,0
20020522,35.27,35.27,35.27,35.27,0
20020523,35.27,35.27,35.27,35.27,0
20020524,35.27,35.27,35.27,35.27,0
20020527,35.22,35.22,35.22,35.22,110
20020528,35.22,35.22,35.22,35.22,0
20020529,35.22,35.22,35.22,35.22,0
20020530,35.22,35.22,35.22,35.22,0
20020531,35.22,35.22,35.22,35.22,0
20020603,35.22,35.22,35.22,35.22,0
20020604,35.22,35.22,35.22,35.22,0
20020605,35.22,35.22,35.22,35.22,0
20020606,35.22,35.22,35.22,35.22,0
20020607,35.22,35.22,35.22,35.22,0
20020611,35.22,35.22,35.22,35.22,0
20020612,35.22,35.22,35.22,35.22,0
20020613,34.5,34.5,34.5,34.5,150
20020614,34.5,34.5,34.5,34.5,0
20020617,34.5,34.5,34.5,34.5,0
20020618,34.5,34.5,34.5,34.5,0
20020619,34.5,34.5,34.5,34.5,0
20020620,34.5,34.5,34.5,34.5,0
