Date,Open,High,Low,Close,Volume
20231106,1.005,1.005,1.005,1.005,1050
20231107,1.005,1.005,1.005,1.005,0
20231108,1.005,1.005,1.005,1.005,0
20231109,1.005,1.005,1.005,1.005,0
20231110,1.005,1.005,1.005,1.005,0
20231113,1.005,1.005,1.005,1.005,4600000
20231114,1.005,1.005,1.005,1.005,0
20231115,1.005,1.005,1.005,1.005,0
20231116,1.005,1.005,1.005,1.005,500
20231117,1.005,1.005,1.005,1.005,0
20231120,1.005,1.005,1.005,1.005,0
20231121,1.005,1.005,1.005,1.005,0
20231122,1.005,1.005,1.005,1.005,0
20231123,1.005,1.005,1.005,1.005,0
20231124,1.005,1.005,1.005,1.005,641
20231127,1.005,1.005,1.005,1.005,0
20231128,1.005,1.005,1.005,1.005,747
20231129,1,1,1,1,500
20231130,1,1,1,1,0
20231201,1,1,1,1,0
20231204,1,1,1,1,0
20231205,1,1,1,1,0
20231206,1,1,1,1,0
20231207,1,1,1,1,0
20231208,1,1,1,1,0
20231211,1,1,1,1,0
20231212,1,1,1,1,0
20231213,1.05,1.05,1.05,1.05,53480
20231214,1.05,1.05,1.05,1.05,0
20231215,1.04,1.04,1.01,1.01,1000
20231218,1.01,1.01,1.01,1.01,6500
20231219,1.005,1.005,1.005,1.005,500
20231220,1.005,1.005,1.005,1.005,0
20231221,1.005,1.005,1.005,1.005,0
20231222,1.005,1.005,1.005,1.005,0
20231227,1.005,1.005,1.005,1.005,0
20231228,1.005,1.005,1.005,1.005,0
20231229,1.01,1.01,1.005,1.005,597
20240102,1.005,1.005,1.005,1.005,0
20240103,1.005,1.005,1.005,1.005,0
20240104,1,1,1,1,250
20240105,1,1,1,1,0
20240108,1.01,1.01,1.01,1.01,500
20240109,1.01,1.01,1.01,1.01,0
20240110,1.01,1.01,1.01,1.01,0
20240111,1.01,1.01,1.01,1.01,0
20240112,1.01,1.01,1.01,1.01,0
20240115,1.01,1.01,1.01,1.01,0
20240116,1.01,1.01,1.01,1.01,0
20240117,1.01,1.01,1.01,1.01,53480
20240118,1.01,1.01,1.01,1.01,0
20240119,1.01,1.01,1.01,1.01,0
20240122,1.01,1.01,1.01,1.01,0
20240123,1.015,1.015,1.015,1.015,500
20240124,1.015,1.015,1.015,1.015,0
20240125,1.015,1.015,1.015,1.015,0
20240129,1.015,1.015,1.015,1.015,0
20240130,1.015,1.015,1.015,1.015,991
20240131,1.015,1.015,1.015,1.015,0
20240201,1.015,1.015,1.015,1.015,0
20240202,1.015,1.015,1.015,1.015,0
20240205,1.015,1.015,1.015,1.015,0
20240206,1.015,1.015,1.015,1.015,0
20240207,1.03,1.03,1.03,1.03,666
20240208,1.03,1.03,1.03,1.03,0
20240209,1.03,1.03,1.03,1.03,0
20240212,1.03,1.03,1.03,1.03,500
20240213,1.03,1.03,1.03,1.03,0
20240214,1.03,1.03,1.03,1.03,0
20240215,1.025,1.03,1.025,1.03,9071
20240216,1.03,1.03,1.03,1.03,0
20240219,1.03,1.03,1.03,1.03,0
20240220,1.03,1.03,1.03,1.03,485
20240221,1.03,1.03,1.03,1.03,500
20240222,1.02,1.02,1.02,1.02,600
20240223,1.02,1.02,1.02,1.02,0
20240226,1.02,1.02,1.02,1.02,0
20240227,1.02,1.02,1.02,1.02,0
20240228,1.02,1.02,1.02,1.02,0
20240229,1.02,1.02,1.02,1.02,0
20240301,1.02,1.02,1.02,1.02,0
20240304,1.02,1.02,1.02,1.02,0
20240305,1.02,1.02,1.02,1.02,0
20240306,1.02,1.02,1.02,1.02,0
20240307,1.02,1.02,1.02,1.02,0
20240308,1.02,1.02,1.02,1.02,0
20240311,1.02,1.02,1.02,1.02,0
20240312,1.02,1.02,1.02,1.02,0
20240313,1.02,1.02,1.02,1.02,0
20240314,1.02,1.02,1.01,1.01,153260
20240315,1.01,1.01,1.01,1.01,0
20240318,1.01,1.01,1.01,1.01,0
20240319,1.025,1.025,1.025,1.025,496
20240320,1.025,1.025,1.025,1.025,0
20240321,1.035,1.035,1.035,1.035,500
20240322,1.035,1.035,1.035,1.035,0
20240325,1.04,1.04,1.04,1.04,137
20240326,1.05,1.05,1.035,1.035,100073
20240327,1.025,1.035,1.025,1.035,196
20240328,1.03,1.04,1.03,1.03,262
20240402,1.045,1.045,1.045,1.045,28
20240403,1.035,1.035,1.03,1.03,172
20240404,1.03,1.03,1.03,1.03,438
20240405,1.03,1.03,1.03,1.03,0
20240408,1.02,1.02,1.02,1.02,38
20240409,1.015,1.015,1.015,1.015,48
20240410,1.015,1.015,1.015,1.015,0
20240411,1.03,1.03,1.03,1.03,633
20240412,1.03,1.03,1.03,1.03,98000
20240415,1.04,1.04,1.035,1.035,1461
20240416,1.035,1.035,1.035,1.035,0
20240417,1.035,1.04,1.035,1.04,749
20240418,1.04,1.04,1.04,1.04,533
20240419,1.04,1.04,1.04,1.04,0
20240422,1.04,1.04,1.04,1.04,10
20240423,1.04,1.04,1.04,1.04,0
20240424,1.04,1.04,1.04,1.04,0
20240426,1.04,1.04,1.04,1.04,0
20240429,1.02,1.02,1.02,1.02,500
20240430,1.02,1.02,1.02,1.02,0
20240501,1.02,1.02,1.02,1.02,0
20240502,1.02,1.02,1.02,1.02,0
20240503,1.02,1.02,1.02,1.02,0
20240506,1.02,1.02,1.02,1.02,0
20240507,1.015,1.015,1.015,1.015,146
20240508,1.015,1.015,1.015,1.015,837
20240509,1.015,1.015,1.015,1.015,25
20240510,1.015,1.015,1.01,1.01,70
20240513,1.015,1.015,1.015,1.015,14
20240514,1.015,1.015,1.015,1.015,4
20240515,1.015,1.015,1.015,1.015,1570
20240516,1.015,1.015,1.015,1.015,0
20240517,1.01,1.01,1.01,1.01,2168
20240520,1.01,1.01,1.01,1.01,0
20240521,1.01,1.01,1.01,1.01,0
20240522,1.01,1.01,1.01,1.01,0
20240523,1.01,1.01,1.01,1.01,0
20240524,1.01,1.01,1.01,1.01,0
20240527,1.01,1.01,1.01,1.01,0
20240528,1.01,1.01,1.01,1.01,0
20240529,1.01,1.01,1.01,1.01,0
20240530,1.015,1.015,1.015,1.015,30
20240531,1.015,1.015,1.015,1.015,10
20240603,1.015,1.015,1.015,1.015,985
20240604,1.015,1.015,1.015,1.015,0
20240605,1.015,1.015,1.015,1.015,0
20240606,1.015,1.015,1.015,1.015,0
20240607,1.015,1.015,1.015,1.015,6000
20240611,1.025,1.025,1.025,1.025,29
20240612,1.025,1.025,1.025,1.025,19
20240613,1.015,1.015,1.015,1.015,748
20240614,1.02,1.02,1.02,1.02,14
20240617,1.025,1.025,1.025,1.025,1062
20240618,1.03,1.03,1.03,1.03,200
20240619,1.02,1.02,1.02,1.02,33
20240620,1.02,1.02,1.02,1.02,0
20240621,1.02,1.02,1.02,1.02,0
20240624,1.02,1.02,1.02,1.02,0
20240625,1.02,1.02,1.02,1.02,0
20240626,1.025,1.025,1.025,1.025,1160
20240627,1.025,1.025,1.025,1.025,0
20240628,1.025,1.025,1.025,1.025,0
20240701,1.005,1.005,1.005,1.005,32
20240702,1,1,1,1,498
20240703,1,1,1,1,256
20240704,0.99,0.99,0.99,0.99,23
20240705,0.995,0.995,0.995,0.995,36
20240708,0.995,0.995,0.995,0.995,204
20240709,0.995,0.995,0.995,0.995,150
20240710,0.995,0.995,0.995,0.995,1
20240711,0.995,0.995,0.995,0.995,0
20240712,0.995,0.995,0.995,0.995,0
20240715,0.985,0.99,0.985,0.99,647
20240716,0.985,0.995,0.985,0.995,582
20240717,1,1,0.995,0.995,1622
20240718,0.995,0.995,0.995,0.995,0
20240719,1,1,1,1,15
20240722,1.005,1.005,1,1,2
20240723,1.005,1.005,1.005,1.005,786
20240724,1.015,1.015,1.015,1.015,197
20240725,1.02,1.02,1.02,1.02,117
20240726,1.015,1.015,1.015,1.015,25
20240729,1.025,1.025,1.025,1.025,100
20240730,1.03,1.03,1.03,1.03,9
20240731,1.03,1.03,1.03,1.03,10
20240801,1.03,1.03,1.03,1.03,78
20240802,1.03,1.03,1.03,1.03,0
20240805,1.04,1.04,1.04,1.04,11
20240806,1.045,1.045,1.045,1.045,1808
20240807,1.04,1.04,1.04,1.04,337
20240808,1.04,1.04,1.04,1.04,9696
20240809,1.03,1.03,1.03,1.03,24
20240812,1.03,1.03,1.025,1.025,1762
20240813,1.03,1.03,1.03,1.03,312
20240814,1.03,1.03,1.03,1.03,34
20240815,1.03,1.03,1.03,1.03,52
20240816,1.03,1.03,1.03,1.03,241
20240819,1.03,1.03,1.03,1.03,576
20240820,1.03,1.03,1.03,1.03,0
20240821,1.01,1.015,1.01,1.015,2042
20240822,1.015,1.02,1.015,1.02,100495
20240823,1.02,1.02,1.02,1.02,39
20240826,1.015,1.015,1.015,1.015,2479
20240827,1.015,1.015,1.015,1.015,53
20240828,1.015,1.015,1.015,1.015,38
20240829,1.015,1.015,1.015,1.015,862
20240830,1.015,1.015,1.01,1.01,870
20240902,1.01,1.01,1.01,1.01,0
20240903,1.015,1.015,1.015,1.015,295
20240904,1.025,1.025,1.02,1.02,48
20240905,1.02,1.02,1.02,1.02,0
20240906,1.02,1.02,1.02,1.02,0
20240909,1.02,1.025,1.02,1.02,1384
20240910,1.035,1.035,1.035,1.035,203
20240911,1.035,1.035,1.035,1.035,33
20240912,1.04,1.04,1.035,1.035,1010
20240913,1.035,1.035,1.035,1.035,0
20240916,1.03,1.03,1.025,1.03,1598
20240917,1.03,1.03,1.03,1.03,2912
20240918,1.025,1.025,1.025,1.025,9
20240919,1.02,1.025,1.02,1.025,1239
20240920,1.025,1.025,1.025,1.025,0
20240923,1.025,1.025,1.025,1.025,2217
20240924,1.025,1.025,1.025,1.025,0
20240925,1.01,1.01,1.01,1.01,608
20240926,1.01,1.01,1.01,1.01,211
20240927,1.01,1.01,1.01,1.01,98
20240930,1.005,1.005,1.005,1.005,199
20241001,1,1.005,0.995,0.995,101479
20241002,1.01,1.01,1,1,268
20241003,1,1,1,1,0
20241004,1.015,1.015,1.015,1.015,14
20241007,1.015,1.015,1.015,1.015,0
20241008,1.02,1.02,1.02,1.02,195
20241009,1.02,1.02,1.02,1.02,97
20241010,1.025,1.025,1.02,1.02,10
20241011,1.02,1.02,1.02,1.02,0
20241014,1.02,1.02,1.02,1.02,0
20241015,1.02,1.02,1.02,1.02,0
20241016,1.02,1.025,1.02,1.025,39
20241017,1.025,1.025,1.025,1.025,9756
20241018,1.03,1.03,1.03,1.03,998
20241021,1.025,1.025,1.025,1.025,195
20241022,1.025,1.025,1.025,1.025,0
20241023,1.025,1.025,1.025,1.025,155
20241024,1.03,1.03,1.03,1.03,14
20241025,1.03,1.03,1.03,1.03,180
20241028,1.03,1.03,1.03,1.03,0
20241029,1.03,1.03,1.03,1.03,0
20241030,1.035,1.04,1.035,1.04,534
20241031,1.04,1.04,1.04,1.04,544
20241101,1.04,1.04,1.04,1.04,0
20241104,1.04,1.04,1.04,1.04,154
20241105,1.035,1.035,1.03,1.03,62
20241106,1.03,1.03,1.03,1.03,332
20241107,1.035,1.035,1.03,1.03,10
20241108,1.02,1.02,1.02,1.02,847
20241111,1.02,1.02,1.02,1.02,0
20241112,1.04,1.04,1.04,1.04,792
20241113,1.04,1.04,1.035,1.04,1570
20241114,1.04,1.04,1.04,1.04,0
20241115,1.05,1.05,1.05,1.05,604
20241118,1.05,1.05,1.05,1.05,0
20241119,1.045,1.045,1.045,1.045,9756
20241120,1.045,1.045,1.045,1.045,9
20241121,1.05,1.05,1.045,1.045,19
20241122,1.045,1.045,1.045,1.045,0
20241125,1.045,1.045,1.045,1.045,28
20241126,1.05,1.05,1.05,1.05,1595
20241127,1.055,1.055,1.055,1.055,9
20241128,1.05,1.05,1.05,1.05,1904
20241129,1.06,1.06,1.06,1.06,1886
20241202,1.05,1.05,1.05,1.05,486
20241203,1.05,1.05,1.05,1.05,0
20241204,1.055,1.055,1.055,1.055,9
20241205,1.06,1.06,1.055,1.055,38
20241206,1.055,1.055,1.055,1.055,0
20241209,1.07,1.07,1.07,1.07,186
20241210,1.07,1.07,1.07,1.07,140
20241211,1.07,1.07,1.07,1.07,0
20241212,1.065,1.065,1.065,1.065,100
20241213,1.07,1.07,1.07,1.07,106
20241216,1.07,1.075,1.07,1.075,731
20241217,1.07,1.07,1.065,1.065,282
20241218,1.07,1.07,1.07,1.07,186
20241219,1.075,1.075,1.065,1.065,695
20241220,1.07,1.07,1.07,1.07,1447
20241223,1.07,1.07,1.07,1.07,0
