Date,Open,High,Low,Close,Volume
20020218,13.94,13.94,13.93,13.93,40000
20020219,13.98,13.98,13.98,13.98,30000
20020220,13.98,13.98,13.98,13.98,0
20020221,13.98,13.98,13.98,13.98,0
20020222,13.96,13.98,13.96,13.96,55070
20020225,13.97,13.97,13.97,13.97,1068
20020226,13.97,13.97,13.97,13.97,0
20020227,13.97,13.97,13.97,13.97,0
20020228,13.93,13.93,13.93,13.93,15000
20020301,13.89,13.89,13.87,13.87,61000
20020304,13.95,13.95,13.93,13.93,770
20020305,13.93,13.93,13.93,13.93,0
20020306,13.93,13.93,13.93,13.93,0
20020307,13.95,13.95,13.95,13.95,2192
20020308,13.97,13.97,13.92,13.92,1112
20020311,13.78,13.78,13.77,13.77,442808
20020312,13.77,13.77,13.77,13.77,15000
20020313,13.86,13.86,13.86,13.86,2656
20020314,13.86,13.86,13.86,13.86,0
20020315,13.88,13.88,13.87,13.87,4700
20020318,13.91,13.91,13.91,13.91,5500
20020319,13.91,13.91,13.91,13.91,34000
20020320,13.91,13.91,13.91,13.91,0
20020321,13.91,13.91,13.91,13.91,0
20020322,13.91,13.91,13.91,13.91,0
20020325,13.99,13.99,13.99,13.99,1320
20020326,13.98,13.98,13.98,13.98,5320
20020327,13.98,13.98,13.98,13.98,0
20020328,14.2,14.2,14.2,14.2,340
20020402,14.2,14.2,14.2,14.2,135000
20020403,14.2,14.2,14.2,14.2,0
20020404,14.2,14.2,14.2,14.2,0
20020405,14.07,14.07,14.07,14.07,1150
20020408,14.07,14.07,14.07,14.07,71000
20020409,14.05,14.05,14.05,14.05,570
20020410,14.07,14.07,14.07,14.07,280
20020411,14.07,14.07,14.07,14.07,0
20020412,14.04,14.04,14.04,14.04,630
20020415,14.04,14.04,14.04,14.04,0
20020416,14.16,14.18,14.16,14.18,2630
20020417,14.18,14.18,14.1,14.1,108276
20020418,14.18,14.18,14.18,14.18,200
20020419,14.17,14.17,14.17,14.17,1420
20020422,14.24,14.24,14.24,14.24,560
20020423,14.24,14.27,14.24,14.27,2000
20020424,14.29,14.3,14.29,14.3,53625
20020426,14.32,14.32,14.32,14.32,1340
20020429,14.41,14.41,14.41,14.41,2180
20020430,14.27,14.27,14.27,14.27,810
20020501,14.32,14.32,14.32,14.32,430
20020502,14.44,14.44,14.44,14.44,110000
20020503,14.53,14.53,14.53,14.53,10000
20020506,14.53,14.53,14.53,14.53,0
20020507,14.64,14.64,14.64,14.64,200
20020508,14.64,14.64,14.64,14.64,0
20020509,14.57,14.57,14.49,14.49,6900
20020510,14.56,14.56,14.5,14.5,2650
20020513,14.51,14.51,14.51,14.51,1030
20020514,14.38,14.38,14.38,14.38,695
20020515,14.33,14.33,14.33,14.33,1980
20020516,14.33,14.33,14.33,14.33,0
20020517,14.46,14.46,14.44,14.44,10400
20020520,14.49,14.49,14.49,14.49,22675
20020521,14.52,14.52,14.52,14.52,350
20020522,14.52,14.52,14.52,14.52,0
20020523,14.68,14.68,14.57,14.57,3565
20020524,14.65,14.65,14.65,14.65,161000
20020527,14.71,14.71,14.71,14.71,1850
20020528,14.72,14.72,14.71,14.71,15846
20020529,14.71,14.71,14.71,14.71,0
20020530,14.71,14.71,14.71,14.71,0
20020531,14.71,14.71,14.71,14.71,0
20020603,14.71,14.71,14.71,14.71,0
20020604,14.71,14.71,14.71,14.71,0
20020605,14.71,14.71,14.71,14.71,0
20020606,14.71,14.71,14.71,14.71,0
20020607,14.71,14.71,14.71,14.71,0
20020611,14.93,14.97,14.93,14.97,4680
20020612,14.97,14.97,14.87,14.87,1279
20020613,14.77,14.77,14.77,14.77,500
20020614,14.82,14.82,14.82,14.82,2450
20020617,14.81,14.81,14.8,14.8,3588
20020618,14.77,14.77,14.75,14.75,1706
20020619,14.89,14.89,14.89,14.89,7900
20020620,14.9,14.92,14.9,14.92,2536080
20020621,14.99,14.99,14.99,14.99,1117
20020624,14.99,14.99,14.99,14.99,0
20020625,14.76,14.76,14.55,14.55,401570
20020626,14.55,14.55,14.55,14.55,0
20020627,14.55,14.55,14.55,14.55,0
20020628,14.55,14.55,14.55,14.55,0
20020701,14.55,14.55,14.55,14.55,0
20020702,14.55,14.55,14.55,14.55,0
20020703,14.62,14.62,14.58,14.58,5410
20020704,14.54,14.54,14.54,14.54,1730
20020705,14.54,14.54,14.54,14.54,0
20020708,14.54,14.54,14.52,14.52,70332
20020709,14.5,14.53,14.5,14.53,4254
20020710,14.53,14.53,14.53,14.53,0
20020711,14.53,14.53,14.53,14.53,2950
20020712,14.5,14.51,14.5,14.5,4045
20020715,14.54,14.54,14.5,14.5,4510
20020716,14.5,14.5,14.5,14.5,0
20020717,14.5,14.5,14.5,14.5,310
20020718,14.23,14.23,14.23,14.23,985
20020719,14.19,14.19,14.19,14.19,870
20020722,14.19,14.19,14.19,14.19,0
20020723,14.19,14.19,14.19,14.19,0
20020724,14.16,14.16,14.16,14.16,600
20020725,14.16,14.16,14.16,14.16,0
20020726,14.21,14.21,14.16,14.16,4850
20020729,14.16,14.16,14.16,14.16,0
20020730,14.16,14.16,14.16,14.16,0
20020731,14.16,14.16,14.16,14.16,0
20020801,14.16,14.16,14.16,14.16,0
20020802,14.07,14.13,14.07,14.07,35800
20020805,14.07,14.07,14.07,14.07,0
20020806,14.07,14.07,14.07,14.07,0
20020807,14.15,14.15,14.08,14.08,8740
20020808,14.08,14.08,14.08,14.08,0
20020809,14.2,14.2,14.2,14.2,520
20020812,14.29,14.29,14.29,14.29,2200
20020813,14.29,14.35,14.29,14.35,1857
20020814,14.12,14.29,14.12,14.27,7800
20020815,14.33,14.33,14.33,14.33,35280
20020816,14.33,14.33,14.33,14.33,0
20020819,14.32,14.32,14.32,14.32,317900
20020820,14.22,14.22,14.22,14.22,59774
20020821,14.28,14.28,14.25,14.25,3528
20020822,14.25,14.25,14.25,14.25,500
20020823,14.23,14.25,14.23,14.25,1200
20020826,14.29,14.29,14.29,14.29,825
20020827,14.32,14.32,14.22,14.28,4191
20020828,14.29,14.3,14.29,14.3,3076
20020829,14.3,14.3,14.3,14.3,700
20020830,14.3,14.3,14.3,14.3,12907450
20020902,14.34,14.34,14.34,14.34,35
20020903,14.35,14.35,14.35,14.35,25140
20020904,14.42,14.42,14.42,14.42,20000
20020905,14.42,14.42,14.42,14.42,48161
20020906,14.45,14.45,14.44,14.44,753
20020909,14.42,14.42,14.42,14.42,4470
20020910,14.42,14.42,14.42,14.42,1790000
20020911,14.41,14.41,14.41,14.41,75150
20020912,14.41,14.41,14.41,14.41,2090870
20020913,14.41,14.41,14.41,14.41,0
20020916,14.33,14.35,14.33,14.34,11725
20020917,14.35,14.35,14.35,14.35,695230
20020918,14.35,14.36,14.35,14.36,1292600
20020919,14.36,14.36,14.36,14.36,1530000
20020920,14.35,14.4,14.35,14.4,277127
20020923,14.4,14.4,14.4,14.4,593500
20020924,14.49,14.51,14.49,14.51,11700
20020925,14.51,14.51,14.51,14.51,1824000
20020926,14.4,14.4,14.4,14.4,2899341
20020927,14.4,14.4,14.4,14.4,0
20020930,14.4,14.4,14.4,14.4,0
20021001,14.32,14.38,14.32,14.38,53825
20021002,14.31,14.47,14.3,14.47,363830
20021003,14.35,14.35,14.35,14.35,3485
