Date,Open,High,Low,Close,Volume
20170411,3.04,3.04,3.03,3.03,1669972
20170412,3.035,3.04,3.035,3.04,424505
20170413,3.04,3.04,3.03,3.03,107450
20170418,3,3,3,3,55010
20170419,2.99,2.99,2.98,2.98,6966
20170420,2.96,2.97,2.96,2.97,165217
20170421,2.99,2.99,2.99,2.99,16002
20170424,3,3,3,3,8422
20170426,3,3,2.98,3,24083
20170427,3.02,3.02,3,3.02,6439
20170428,3,3.01,2.99,2.99,10756
20170501,3.02,3.03,3.02,3.02,62191
20170502,3.03,3.04,3.03,3.03,20793
20170503,3.05,3.05,3.02,3.03,31307
20170504,3.03,3.04,3.01,3.04,13906
20170505,3.01,3.01,3,3,44870
20170508,3.01,3.02,3.01,3.02,3350
20170509,3.02,3.04,3.02,3.04,13555
20170510,3.06,3.06,3.05,3.06,10967
20170511,3.06,3.06,3.06,3.06,11158
20170512,3.02,3.02,3.01,3.02,5499
20170515,3,3,3,3,8115
20170516,3,3.01,3,3.01,5424
20170517,3,3,3,3,6138
20170518,2.96,2.96,2.95,2.96,10579
20170519,2.96,2.96,2.95,2.95,8411
20170522,2.97,2.99,2.97,2.99,8528
20170523,3,3,3,3,17460
20170524,2.99,2.99,2.98,2.98,5585
20170525,2.98,2.98,2.98,2.98,12610
20170526,2.97,2.97,2.97,2.97,17933
20170529,2.98,2.98,2.96,2.96,12143
20170530,2.94,2.94,2.94,2.94,2579
20170531,2.97,2.97,2.97,2.97,11294
20170601,2.98,2.98,2.97,2.97,5092
20170602,3.01,3.02,3,3.02,4564
20170605,3.02,3.02,3.01,3.02,6202
20170606,2.99,3,2.97,2.99,15434
20170607,2.99,2.99,2.99,2.99,5960
20170608,2.97,2.98,2.97,2.98,5270
20170609,2.98,2.98,2.98,2.98,4958
20170613,2.97,3.01,2.97,3.01,11082
20170614,3.02,3.06,3.02,3.06,22481
20170615,3.04,3.04,3.03,3.04,9807
20170616,3.04,3.05,3.04,3.05,12593
20170619,3.04,3.04,3.02,3.02,12548
20170620,3.05,3.05,3.04,3.04,20376
20170621,2.99,3,2.99,3,3528
20170622,3.02,3.02,3.01,3.02,7161
20170623,3.01,3.03,3.01,3.03,5009
20170626,3.02,3.03,3.01,3.03,22183
20170627,3.01,3.02,3,3.02,21697
20170628,3.05,3.05,3.05,3.05,19962
20170629,3.07,3.09,3.07,3.09,24585
20170630,3.03,3.04,3.02,3.04,6030
20170703,3.01,3.035,3.01,3.02,17132
20170704,3.03,3.04,3.03,3.04,9685
20170705,3.04,3.04,3.04,3.04,7788
20170706,3.03,3.03,3.03,3.03,5334
20170707,2.99,3,2.99,3,1412
20170710,3.01,3.025,3.01,3.02,4399
20170711,3.01,3.01,3.005,3.01,4461
20170712,2.995,2.995,2.97,2.97,17097
20170713,3.03,3.03,3.03,3.03,517
20170714,3.03,3.04,3.03,3.04,9029
20170717,3.04,3.04,3.04,3.04,1683
20170718,3.015,3.015,3.01,3.01,5311
20170719,2.98,3,2.98,3,9118
20170720,3,3.01,3,3.01,8937
20170721,2.98,3,2.98,3,16737
20170724,2.98,2.98,2.98,2.98,2173
20170725,3.02,3.03,3.02,3.03,11623
20170726,3.03,3.05,3.03,3.05,5298
20170727,3.05,3.05,3.04,3.04,1337
20170728,3,3,2.98,2.98,9591
20170731,3,3.02,3,3.01,16898
20170801,3.01,3.02,3.01,3.02,12101
20170802,3.01,3.01,3,3,6693
20170803,3.02,3.02,3.01,3.01,11812
20170804,3.025,3.025,3,3,10307
20170807,3.03,3.04,3.03,3.04,10737
20170808,3.01,3.02,3.01,3.02,21967
20170809,3.03,3.03,3.025,3.03,716
20170810,3.03,3.05,3.03,3.03,8768
20170811,3.02,3.02,3.01,3.01,7232
20170814,3.01,3.03,3.01,3.03,7691
20170815,3.04,3.04,3.04,3.04,6499
20170816,3.03,3.05,3.03,3.05,3564
20170817,3.08,3.08,3.08,3.08,6199
20170818,3.04,3.04,3.03,3.03,8666
20170821,3.05,3.05,3.05,3.05,4712
20170822,3.05,3.07,3.04,3.07,10246
20170823,3.06,3.07,3.05,3.06,7427
20170824,3.07,3.07,3.07,3.07,4040
20170825,3.07,3.07,3.05,3.07,10762
20170828,3.055,3.06,3.05,3.06,4240
20170829,3.05,3.05,3.04,3.04,1581
20170830,3.05,3.065,3.05,3.06,13911
20170831,3.07,3.08,3.06,3.08,11471
20170901,3.1,3.1,3.09,3.1,72484
20170904,3.1,3.1,3.1,3.1,7604
20170905,3.09,3.1,3.09,3.1,29624
20170906,3.08,3.1,3.08,3.09,25960
20170907,3.11,3.11,3.11,3.11,1042
20170908,3.11,3.11,3.105,3.11,38767
20170911,3.12,3.12,3.12,3.12,17889
20170912,3.11,3.11,3.11,3.11,11494
20170913,3.12,3.13,3.12,3.13,33474
20170914,3.115,3.12,3.11,3.12,8970
20170915,3.1,3.1,3.09,3.09,6122
20170918,3.11,3.12,3.11,3.12,9510
20170919,3.12,3.12,3.1,3.12,6280
20170920,3.12,3.13,3.12,3.13,13087
20170921,3.085,3.09,3.08,3.09,23020
20170922,3.08,3.09,3.08,3.09,3400
20170925,3.08,3.08,3.08,3.08,18187
20170926,3.1,3.1,3.08,3.08,4702
20170927,3.07,3.08,3.07,3.08,13182
20170928,3.07,3.08,3.06,3.06,9971
20170929,3.08,3.09,3.08,3.09,10248
20171002,3.115,3.115,3.11,3.11,14712
20171003,3.1,3.1,3.08,3.1,3276
20171004,3.09,3.09,3.08,3.08,194035
20171005,3.08,3.09,3.08,3.09,7351
20171006,3.1,3.1,3.1,3.1,12504
20171009,3.13,3.14,3.13,3.13,4744
20171010,3.12,3.14,3.12,3.14,12126
20171011,3.15,3.16,3.15,3.16,11409
20171012,3.16,3.18,3.15,3.18,23438
20171013,3.175,3.19,3.175,3.19,15504
20171016,3.2,3.2,3.19,3.2,6867
20171017,3.22,3.23,3.22,3.23,8273
20171018,3.22,3.24,3.22,3.24,12513
20171019,3.24,3.24,3.21,3.21,8128
20171020,3.23,3.23,3.22,3.22,15706
20171023,3.21,3.23,3.21,3.21,24571
20171024,3.225,3.23,3.225,3.23,17979
20171025,3.235,3.25,3.235,3.25,12425
20171026,3.235,3.25,3.235,3.25,15885
20171027,3.23,3.24,3.22,3.22,24369
20171030,3.23,3.24,3.23,3.23,8368
20171031,3.23,3.23,3.22,3.23,22840
20171101,3.24,3.24,3.235,3.24,66662
20171102,3.26,3.26,3.25,3.26,31316
20171103,3.27,3.28,3.25,3.25,20719
20171106,3.27,3.28,3.27,3.28,22401
20171107,3.3,3.31,3.29,3.31,25045
20171108,3.3,3.3,3.29,3.3,290514
20171109,3.32,3.32,3.31,3.31,6474
20171110,3.32,3.32,3.31,3.32,6683
20171113,3.32,3.32,3.315,3.32,7617
20171114,3.3,3.31,3.29,3.3,33623
20171115,3.29,3.31,3.29,3.31,271943
20171116,3.28,3.3,3.28,3.3,7547
20171117,3.31,3.31,3.29,3.31,8406
20171120,3.27,3.3,3.27,3.3,24362
20171121,3.3,3.31,3.29,3.31,29719
20171122,3.31,3.33,3.29,3.33,1333
20171123,3.33,3.33,3.32,3.33,3479
20171124,3.32,3.33,3.32,3.33,6596
20171127,3.34,3.34,3.32,3.32,17098
20171128,3.335,3.34,3.335,3.34,22683
20171129,3.36,3.36,3.355,3.36,9097
20171130,3.34,3.34,3.32,3.32,7113
20171201,3.34,3.35,3.34,3.35,10395
20171204,3.34,3.34,3.34,3.34,5961
20171205,3.33,3.33,3.33,3.33,3631
20171206,3.31,3.33,3.31,3.32,18574
20171207,3.32,3.35,3.32,3.35,4492
20171208,3.34,3.34,3.32,3.33,8074
20171211,3.31,3.34,3.31,3.33,22148
20171212,3.33,3.33,3.32,3.33,13872
20171213,3.33,3.33,3.3,3.32,35222
20171214,3.35,3.35,3.35,3.35,8244
20171215,3.33,3.35,3.33,3.35,17368
20171218,3.34,3.36,3.34,3.36,18388
20171219,3.37,3.39,3.37,3.39,7775
20171220,3.4,3.4,3.4,3.4,17848
20171221,3.42,3.42,3.39,3.41,15814
20171222,3.42,3.42,3.41,3.42,22690
20171227,3.43,3.43,3.43,3.43,16912
20171228,3.43,3.43,3.43,3.43,3993
20171229,3.43,3.43,3.4,3.41,7991
20180102,3.39,3.39,3.38,3.38,15733
20180103,3.39,3.39,3.38,3.38,498
20180104,3.42,3.42,3.38,3.38,20870
20180105,3.41,3.41,3.4,3.41,6347
20180108,3.43,3.43,3.43,3.43,62044
20180109,3.42,3.42,3.415,3.42,32356
20180110,3.4,3.4,3.38,3.38,25312
20180111,3.36,3.37,3.36,3.37,79960
