Date,Open,High,Low,Close,Volume
20200713,9.71,9.91,9.69,9.85,148864
20200714,10.42,10.46,10.37,10.45,21776
20200715,10.32,10.32,10.21,10.29,27212
20200716,10.48,10.56,10.45,10.49,32323
20200717,10.56,10.56,10.5,10.54,8919
20200720,10.41,10.56,10.41,10.56,6109
20200721,9.68,9.69,9.49,9.5,92654
20200722,9.91,9.94,9.81,9.93,32090
20200723,10.01,10.02,9.89,9.89,39441
20200724,10.51,10.74,10.5,10.73,36222
20200727,10.82,10.82,10.58,10.63,41997
20200728,10.19,10.19,10.07,10.19,69557
20200729,10.49,10.6,10.45,10.57,18308
20200730,10.35,10.35,10.23,10.27,26105
20200731,9.84,9.85,9.64,9.77,31079
20200803,9.69,9.69,9.61,9.65,18463
20200804,9.42,9.42,9.36,9.36,7933
20200805,9.38,9.38,9.28,9.29,35831
20200806,9.28,9.29,9.28,9.29,3619
20200807,8.96,9.08,8.92,9.03,44494
20200810,9.25,9.25,9.09,9.19,27883
20200811,9.27,9.28,9.21,9.21,40059
20200812,9.55,9.66,9.55,9.56,38694
20200813,9.17,9.23,9.16,9.23,7270
20200814,9.05,9.05,9.05,9.05,608
20200817,9.16,9.16,9.07,9.09,12325
20200818,8.98,8.98,8.84,8.87,10658
20200819,8.66,8.66,8.62,8.65,28033
20200820,8.87,8.92,8.85,8.9,41830
20200821,8.61,8.61,8.46,8.5,21850
20200824,8.47,8.47,8.29,8.29,6800
20200825,8.2,8.2,8.15,8.17,20119
20200826,8.06,8.08,8.05,8.08,34677
20200827,7.67,7.71,7.66,7.69,92870
20200828,7.66,7.72,7.59,7.64,69455
20200831,7.55,7.55,7.48,7.52,38001
20200901,7.52,7.52,7.36,7.37,172046
20200902,7.09,7.09,7.02,7.04,51856
20200903,7,7.07,7,7.07,75775
20200904,8.11,8.14,8.02,8.03,299772
20200907,8.58,8.58,8.36,8.45,223476
20200908,8.34,8.34,8.2,8.22,47206
20200909,9.03,9.03,8.82,8.86,83411
20200910,8.42,8.55,8.26,8.42,85934
20200911,8.79,8.82,8.65,8.65,44581
20200914,8.82,8.86,8.71,8.71,111398
20200915,8.65,8.71,8.6,8.6,47864
20200916,8.39,8.43,8.3,8.34,91970
20200917,8.69,9.02,8.68,9.02,142393
20200918,8.95,9.08,8.91,8.91,94997
20200921,9.2,9.43,9.16,9.38,100723
20200922,9.12,9.29,9.02,9.29,154864
20200923,8.89,8.97,8.82,8.85,52173
20200924,9.5,9.66,9.47,9.58,52856
20200925,9.22,9.31,9.21,9.31,117536
20200928,8.82,8.82,8.73,8.73,69514
20200929,8.3,8.34,8.24,8.28,82067
20200930,8.43,8.82,8.39,8.73,100858
