Date,Open,High,Low,Close,Volume
20141013,218.15,218.38,216.2,216.73,5140
20141014,214,214.66,213.95,213.95,3320
20141015,216.63,217.09,216.63,217.09,1230
20141016,217.09,217.09,217.09,217.09,0
20141017,212.42,213.06,212.42,213.06,1622
20141020,216.16,216.16,216.16,216.16,68
20141021,216.16,216.16,216.16,216.16,0
20141022,221.75,221.75,221.75,221.75,9
20141023,221.75,221.75,221.75,221.75,0
20141024,221.75,221.75,221.75,221.75,0
20141027,221.75,221.75,221.75,221.75,0
20141028,223.38,223.38,222.85,223.1,322
20141029,223.82,223.82,223.69,223.69,472
20141030,225.26,225.59,225.15,225.59,1382
20141031,226.36,226.36,226.36,226.36,30
20141103,231.1,231.1,230.81,230.81,218
20141104,232.06,232.09,231.55,231.55,337
20141105,231.55,231.55,229.62,230.47,461
20141106,236,236.3,236,236.1,890
20141107,237.63,237.99,237.6,237.99,1163
20141110,235.28,235.28,235,235.16,140
20141111,236.5,236.58,236.45,236.45,602
20141112,235.23,235.23,235.05,235.19,282
20141113,234.2,234.2,234.2,234.2,42
20141114,234.45,235.12,234.45,235.12,128
20141117,233.72,233.72,231.85,231.85,367
20141118,235.12,235.12,234.72,234.72,63
20141119,236.39,237.28,236.39,237.26,404
20141120,238.7,238.7,238.3,238.62,760
20141121,238.76,238.76,238.25,238.25,905
20141124,238.25,238.25,238.25,238.25,0
20141125,238.25,238.25,238.25,238.25,0
20141126,242.95,242.95,242.88,242.88,92
20141127,243.19,243.64,242,242,270
20141128,242,242,242,242,0
20141201,244.08,245.44,244.08,245.44,276
20141202,241.83,241.83,241.83,241.83,83
20141203,241.83,241.83,241.83,241.83,0
20141204,248.08,248.08,248.08,248.08,80
20141205,247.91,248.41,247.8,248.41,664
20141208,250.87,251.06,250.18,251.06,1788
20141209,252,252,249.24,250.16,2174
20141210,252,252,248,248,436
20141211,245,245,242.91,244.05,512
20141212,246.5,246.5,245.9,245.9,48
20141215,245,245,242.8,244.9,249
20141216,243.28,244.16,243,243.12,570
20141217,243.5,243.5,242,242,138
20141218,242.3,249,242.3,248.3,923
20141219,253.43,253.43,253.43,253.43,39
20141222,254.36,254.67,254.36,254.67,296
20141223,255.2,255.69,254.66,255.69,63165
20141224,256.74,256.82,256.63,256.63,245
20141229,258.35,258.35,258.19,258.19,34
20141230,258.16,258.16,258,258,319
20141231,255.2,255.2,253.84,253.84,153
20150102,253.33,253.33,253.33,253.33,157
20150105,254,254.75,253,254.75,233
20150106,252,252,248.6,248.6,306
20150107,248.18,248.6,248.04,248.43,274
20150108,250.9,251.23,250.75,251.23,64
20150109,252.98,252.98,252.84,252.95,442
20150112,248.72,248.87,247.65,247.71,362
20150113,249,249,247.74,247.91,660
20150114,247.72,247.72,246,246,479
20150115,247.72,247.91,245.11,245.11,382
20150116,242.82,242.82,240.05,240.05,381
20150119,245.8,245.8,245.7,245.71,157
20150120,246.3,246.98,246.3,246.98,202
20150121,247.42,247.42,246.51,247.13,161
20150122,252.33,252.66,252.33,252.47,326
20150123,257.43,257.43,256.48,257.1,380
20150127,260,260.12,260,260.12,263
20150128,257.75,257.75,255,255.99,333
20150129,256,256,253.37,253.37,238
20150130,260.4,260.4,259.19,259.36,360
20150202,256.3,256.92,256.3,256.92,146
20150203,258.64,263.49,258,263.49,606
20150204,266,266,261.83,261.83,484
20150205,262.37,262.37,261,261,190
20150206,263.21,263.21,263.21,263.21,19
20150209,264.3,264.49,263.84,263.88,436
20150210,266,266,262.35,262.35,283
20150211,265.94,266.23,265.94,266.23,142
20150212,269.57,269.57,269.57,269.57,20
20150213,270.2,270.2,269,269.52,855
20150216,269.55,269.55,269.55,269.55,8
20150217,269.18,269.18,268.36,268.36,280
20150218,268.62,268.62,268.5,268.5,77
20150219,269.27,269.27,268.41,268.41,303
20150220,268.41,268.41,268.41,268.41,0
20150223,269.62,269.83,268.98,269.83,833
20150224,271.42,271.42,271.42,271.42,4
