Date,Open,High,Low,Close,Volume
20110413,14.95,14.95,14.95,14.95,200
20110414,14.95,14.95,14.95,14.95,0
20110415,14.95,14.95,14.95,14.95,0
20110418,14.83,14.83,14.83,14.83,4800
20110419,14.57,14.57,14.57,14.57,4800
20110420,14.57,14.57,14.57,14.57,0
20110421,14.93,14.93,14.93,14.93,670
20110427,14.93,14.93,14.93,14.93,0
20110428,14.8,14.8,14.8,14.8,675
20110429,14.8,14.8,14.8,14.8,0
20110502,14.8,14.8,14.8,14.8,0
20110503,14.8,14.8,14.8,14.8,0
20110504,14.8,14.8,14.8,14.8,0
20110505,14.19,14.19,14.19,14.19,40
20110506,14.2,14.2,14.18,14.18,31025
20110509,14.18,14.18,14.18,14.18,0
20110510,14.18,14.18,14.18,14.18,0
20110511,14.41,14.43,14.37,14.37,10119
20110512,14.25,14.29,14.1,14.1,20961
20110513,14.1,14.1,14.1,14.1,0
20110516,13.94,13.94,13.93,13.93,1036
20110517,13.93,13.93,13.93,13.93,0
20110518,13.93,13.93,13.93,13.93,0
20110519,13.93,13.93,13.93,13.93,0
20110520,14.35,14.4,14.25,14.25,552510
20110523,14,14,14,14,720
20110524,13.83,13.89,13.81,13.89,54900
20110525,13.73,13.74,13.73,13.74,820
20110526,13.74,13.74,13.74,13.74,0
20110527,13.74,13.74,13.74,13.74,0
20110530,13.74,13.74,13.74,13.74,0
20110531,13.74,13.74,13.74,13.74,0
20110601,14.18,14.18,14.15,14.15,1090
20110602,14.15,14.15,14.15,14.15,0
20110603,13.91,13.91,13.91,13.91,700
20110606,13.91,13.91,13.91,13.91,0
20110607,13.62,13.62,13.62,13.62,730
20110608,13.62,13.62,13.62,13.62,0
20110609,13.62,13.62,13.62,13.62,0
20110610,13.71,13.71,13.71,13.71,1970
20110614,13.62,13.62,13.62,13.62,290
20110615,13.62,13.62,13.62,13.62,0
20110616,13.62,13.62,13.62,13.62,0
20110617,13.42,13.42,13.42,13.42,3000
20110620,13.32,13.32,13.32,13.32,169
20110621,13.32,13.32,13.32,13.32,0
20110622,13.53,13.53,13.51,13.51,901
20110623,13.51,13.51,13.51,13.51,0
20110624,13.51,13.51,13.51,13.51,0
20110627,13.51,13.51,13.51,13.51,0
20110628,13.51,13.51,13.51,13.51,0
20110629,13.15,13.15,13.15,13.15,1500
20110630,13.15,13.15,13.15,13.15,0
20110701,13.15,13.15,13.15,13.15,0
20110704,13.15,13.15,13.15,13.15,0
20110705,13.75,13.75,13.75,13.75,10
20110706,13.6,13.65,13.6,13.65,2405
20110707,13.65,13.67,13.65,13.67,4100
20110708,13.67,13.67,13.67,13.67,0
20110711,13.67,13.67,13.67,13.67,0
20110712,13.49,13.49,13.49,13.49,290
20110713,13.49,13.49,13.49,13.49,0
20110714,13.49,13.49,13.49,13.49,0
20110715,13.52,13.52,13.52,13.52,38
20110718,13.53,13.53,13.53,13.53,2400
20110719,13.53,13.53,13.53,13.53,0
20110720,13.53,13.53,13.53,13.53,0
20110721,13.53,13.53,13.53,13.53,0
20110722,13.53,13.53,13.53,13.53,0
20110725,14.02,14.02,13.98,13.98,5150
20110726,13.98,13.98,13.98,13.98,0
20110727,13.98,13.98,13.98,13.98,0
20110728,13.98,13.98,13.98,13.98,0
20110729,13.98,13.98,13.98,13.98,0
20110801,13.9,13.9,13.9,13.9,145
20110802,13.9,13.9,13.9,13.9,0
20110803,13.9,13.9,13.9,13.9,0
20110804,13.9,13.9,13.9,13.9,0
20110805,12.56,12.56,12.52,12.52,1211
20110808,12.48,12.48,12.48,12.48,24000
20110809,11.79,12.25,11.43,12.25,16674
20110810,12.56,12.56,12.56,12.56,1
20110811,12.43,12.43,12.41,12.41,8600
20110812,12.66,12.66,12.66,12.66,1260
20110815,12.82,12.82,12.82,12.82,1260
20110816,13.07,13.07,13.07,13.07,1500
20110817,13.07,13.07,13.07,13.07,0
20110818,13.07,13.07,13.07,13.07,0
20110819,12.6,12.6,12.42,12.42,4173
20110822,12.42,12.42,12.42,12.42,0
20110823,12.42,12.42,12.42,12.42,0
20110824,12.42,12.42,12.42,12.42,0
20110825,12.9,12.9,12.9,12.9,138
20110826,12.9,12.9,12.9,12.9,0
20110829,12.9,12.9,12.9,12.9,0
20110830,12.9,12.9,12.9,12.9,0
20110831,12.9,12.9,12.9,12.9,0
20110901,12.9,12.9,12.9,12.9,0
20110902,13.11,13.11,13.11,13.11,4500
20110905,13.11,13.11,13.11,13.11,0
20110906,12.69,12.69,12.69,12.69,470
20110907,12.69,12.69,12.69,12.69,0
20110908,12.69,12.69,12.69,12.69,0
20110909,12.69,12.69,12.69,12.69,0
20110912,12.69,12.69,12.69,12.69,0
20110913,12.83,12.84,12.83,12.84,1647
20110914,12.84,12.84,12.84,12.84,0
20110915,12.84,12.84,12.84,12.84,0
20110916,12.84,12.84,12.84,12.84,0
20110919,12.84,12.84,12.84,12.84,0
20110920,12.84,12.84,12.84,12.84,0
20110921,12.65,12.65,12.65,12.65,1562
20110922,12.28,12.28,12.28,12.28,4080
20110923,11.89,11.89,11.89,11.89,1
20110926,11.56,11.56,11.53,11.53,11141
20110927,11.53,11.53,11.53,11.53,0
20110928,12.09,12.09,12.09,12.09,1
20110929,12.09,12.09,12.09,12.09,0
20110930,12.09,12.09,12.09,12.09,0
20111003,12.09,12.09,12.09,12.09,0
20111004,11.51,11.55,11.51,11.55,1002
20111005,11.55,11.55,11.55,11.55,0
20111006,11.98,12.11,11.98,12.11,170
20111007,12.11,12.11,12.11,12.11,0
20111010,12.11,12.11,12.11,12.11,0
20111011,12.86,12.86,12.86,12.86,1
20111012,12.86,12.86,12.86,12.86,0
20111013,12.86,12.86,12.86,12.86,0
20111014,12.86,12.86,12.86,12.86,0
20111017,12.86,12.86,12.86,12.86,0
20111018,12.62,12.62,12.57,12.57,4698
20111019,12.71,12.71,12.71,12.71,2000
20111020,12.45,12.45,12.45,12.45,2000
20111021,12.45,12.45,12.45,12.45,0
20111024,12.45,12.45,12.45,12.45,0
20111025,12.86,12.86,12.7,12.7,1544
20111026,12.67,12.67,12.67,12.67,200
20111027,12.67,12.67,12.67,12.67,0
20111028,12.67,12.67,12.67,12.67,0
20111031,12.67,12.67,12.67,12.67,0
20111101,12.67,12.67,12.67,12.67,0
20111102,12.47,12.47,12.47,12.47,670
20111103,12.47,12.47,12.47,12.47,0
20111104,12.47,12.47,12.47,12.47,0
20111107,12.77,12.77,12.77,12.77,21000
20111108,12.99,12.99,12.99,12.99,81
20111109,12.99,12.99,12.99,12.99,0
20111110,12.75,12.75,12.75,12.75,1000
20111111,12.75,12.75,12.75,12.75,0
20111114,12.75,12.75,12.75,12.75,0
20111115,12.75,12.75,12.75,12.75,0
20111116,12.75,12.75,12.75,12.75,0
20111117,12.76,12.77,12.76,12.77,269
20111118,12.77,12.77,12.77,12.77,0
20111121,12.77,12.77,12.77,12.77,0
20111122,12.77,12.77,12.77,12.77,0
20111123,12.26,12.26,12.26,12.26,40
20111124,12.26,12.26,12.26,12.26,0
20111125,12.26,12.26,12.26,12.26,0
20111128,12.3,12.3,12.3,12.3,1000
20111129,12.3,12.3,12.3,12.3,0
20111130,12.43,12.43,12.43,12.43,160
20111201,12.43,12.43,12.43,12.43,0
20111202,12.43,12.43,12.43,12.43,0
20111205,12.43,12.43,12.43,12.43,0
20111206,12.43,12.43,12.43,12.43,0
20111207,12.43,12.43,12.43,12.43,0
20111208,12.43,12.43,12.43,12.43,0
20111209,12.7,12.7,12.7,12.7,669
20111212,12.7,12.7,12.7,12.7,0
20111213,12.7,12.7,12.7,12.7,0
20111214,12.7,12.7,12.7,12.7,0
20111215,12.7,12.7,12.7,12.7,0
20111216,12.7,12.7,12.7,12.7,0
20111219,12.7,12.7,12.7,12.7,0
20111220,12.7,12.7,12.7,12.7,0
20111221,12.7,12.7,12.7,12.7,0
20111222,12.7,12.7,12.7,12.7,0
20111223,12.7,12.7,12.7,12.7,0
20111228,11.87,11.87,11.87,11.87,1
20111229,11.87,11.87,11.87,11.87,0
20111230,11.61,11.61,11.61,11.61,50
20120103,11.77,11.77,11.77,11.77,3500
20120104,11.77,11.77,11.77,11.77,0
20120105,11.77,11.77,11.77,11.77,0
20120106,11.77,11.77,11.77,11.77,0
20120109,11.77,11.77,11.77,11.77,0
20120110,11.77,11.77,11.77,11.77,0
20120111,11.77,11.77,11.77,11.77,0
20120112,11.77,11.77,11.77,11.77,0
20120113,11.77,11.77,11.77,11.77,0
20120116,12.08,12.08,12.08,12.08,2548
20120117,12.08,12.08,12.08,12.08,0
20120118,12.33,12.33,12.33,12.33,620
20120119,12.45,12.45,12.45,12.45,1459
20120120,12.53,12.53,12.53,12.53,1204
20120123,12.53,12.53,12.53,12.53,0
20120124,12.51,12.51,12.51,12.51,715
20120125,12.51,12.51,12.51,12.51,0
20120127,12.51,12.51,12.51,12.51,0
20120130,12.61,12.61,12.61,12.61,1191
20120131,12.61,12.61,12.61,12.61,0
20120201,12.61,12.61,12.61,12.61,0
20120202,12.66,12.66,12.62,12.62,1294
20120203,12.62,12.62,12.62,12.62,0
20120206,12.87,12.87,12.87,12.87,1500
20120207,12.87,12.87,12.87,12.87,0
20120208,12.87,12.87,12.87,12.87,0
20120209,12.87,12.87,12.87,12.87,0
20120210,12.92,12.92,12.92,12.92,100
20120213,12.92,12.92,12.92,12.92,0
20120214,12.91,12.91,12.91,12.91,1950
20120215,12.91,12.91,12.91,12.91,0
20120216,12.91,12.91,12.91,12.91,0
20120217,12.65,12.7,12.65,12.7,1533
20120220,12.7,12.7,12.7,12.7,0
20120221,12.7,12.7,12.7,12.7,0
20120222,12.7,12.7,12.7,12.7,0
20120223,12.7,12.7,12.7,12.7,0
20120224,12.7,12.7,12.7,12.7,0
20120227,13.18,13.2,13.18,13.19,3570
20120228,13.19,13.19,13.19,13.19,0
20120229,13.32,13.32,13.32,13.32,1
20120301,13.2,13.24,13.2,13.24,297
20120302,13.24,13.24,13.24,13.24,76
20120305,13.24,13.24,13.24,13.24,0
20120306,13.12,13.12,13.03,13.03,1045
20120307,13.03,13.03,13.03,13.03,0
20120308,13.03,13.03,13.03,13.03,0
20120309,13.03,13.03,13.03,13.03,0
20120312,13.03,13.03,13.03,13.03,0
20120313,13.14,13.19,13.14,13.19,2295
20120314,13.19,13.19,13.19,13.19,0
20120315,13.19,13.19,13.19,13.19,0
20120316,13.19,13.19,13.19,13.19,0
20120319,13.19,13.19,13.19,13.19,0
20120320,13.39,13.39,13.32,13.32,759
20120321,13.32,13.32,13.32,13.32,0
20120322,13.32,13.32,13.32,13.32,0
20120323,13.32,13.32,13.32,13.32,0
20120326,13.32,13.32,13.32,13.32,0
20120327,13.32,13.32,13.32,13.32,0
