Date,Open,High,Low,Close,Volume
20191030,25.05,25.05,25.05,25.05,1000
20191031,25.05,25.05,25.05,25.05,600
20191101,25.05,25.05,25.05,25.05,1397
20191104,25.06,25.06,25.03,25.03,18134
20191105,25.04,25.04,25.04,25.04,1600
20191106,25.05,25.05,25.05,25.05,180
20191107,25.04,25.04,25.04,25.04,5942
20191108,25.03,25.03,25.03,25.03,5700
20191111,25.03,25.03,25.03,25.03,0
20191112,25.02,25.02,25.02,25.02,1300
20191113,25.02,25.02,25.02,25.02,0
20191114,25.02,25.02,25.02,25.02,0
20191115,25.02,25.02,25.02,25.02,0
20191118,25.02,25.02,25.02,25.02,0
20191119,25.1,25.1,25.1,25.1,2000
20191120,25.1,25.1,25.1,25.1,0
20191121,25.13,25.13,25.13,25.13,2983
20191122,25.12,25.12,25.12,25.12,2750
20191125,25.1,25.1,25.1,25.1,12744
20191126,25.09,25.09,25.09,25.09,1000
20191127,25.11,25.11,25.11,25.11,975
20191128,25.11,25.11,25.11,25.11,0
20191129,25.11,25.11,25.11,25.11,0
20191202,25.03,25.03,25.03,25.03,579
20191203,25.05,25.05,25.05,25.05,8000
20191204,25.06,25.09,25.06,25.06,10175
20191205,25.04,25.04,25.04,25.04,5980
20191206,25.04,25.04,25.04,25.04,0
20191209,25.015,25.015,25.015,25.015,259
20191210,25.02,25.06,25.02,25.06,80710
20191211,25.05,25.05,25.045,25.045,7663
20191212,25.07,25.07,25.05,25.05,1232
20191213,25.08,25.08,25.05,25.05,4068
20191216,25.06,25.08,25.04,25.08,244743
20191217,25.07,25.07,25.06,25.06,5352
20191218,25.06,25.07,25.06,25.065,2532
20191219,25.08,25.08,25.08,25.08,3936
20191220,25.07,25.08,25.07,25.08,6393
20191223,25.07,25.08,25.07,25.08,3883
20191224,25.08,25.08,25.08,25.08,1032
20191227,25.09,25.09,25.09,25.09,369
20191230,25.09,25.09,25.09,25.09,738
20191231,25.1,25.1,25.1,25.1,640
20200102,25.11,25.11,25.11,25.11,20412
20200103,25.12,25.12,25.12,25.12,9820
20200106,25.11,25.12,25.11,25.12,4439
20200107,25.08,25.08,25.075,25.08,4519
20200108,25.14,25.14,25.12,25.12,3066
20200109,25.12,25.12,25.12,25.12,3120
20200110,25.14,25.14,25.13,25.13,6218
20200113,25.1,25.1,25.095,25.1,13396
20200114,25.13,25.13,25.13,25.13,1793
20200115,25.16,25.17,25.15,25.17,64043
20200116,25.17,25.17,25.16,25.16,22845
20200117,25.16,25.16,25.16,25.16,0
20200120,25.15,25.17,25.15,25.16,4774
20200121,25.17,25.17,25.17,25.17,274
20200122,25.18,25.18,25.18,25.18,1063
20200123,25.18,25.18,25.16,25.16,16714
20200124,25.17,25.17,25.17,25.17,982
20200128,25.16,25.16,25.145,25.145,2315
20200129,25.15,25.15,25.15,25.15,2475
20200130,25.16,25.16,25.155,25.155,14145
20200131,25.17,25.17,25.16,25.16,38832
20200203,25.14,25.15,25.14,25.15,22500
20200204,25.14,25.16,25.14,25.16,6115
20200205,25.15,25.18,25.15,25.16,707826
20200206,25.2,25.2,25.165,25.17,82212
20200207,25.17,25.18,25.16,25.16,68332
20200210,25.17,25.17,25.15,25.16,2741
20200211,25.17,25.17,25.17,25.17,125
20200212,25.17,25.17,25.17,25.17,5530
20200213,25.17,25.18,25.17,25.18,1096
20200214,25.17,25.2,25.17,25.2,4242
20200217,25.19,25.19,25.17,25.17,5066
20200218,25.2,25.21,25.2,25.21,10139
20200219,25.22,25.22,25.21,25.21,12668
20200220,25.2,25.215,25.2,25.215,8824
20200221,25.2,25.205,25.2,25.205,1443
20200224,25.21,25.21,25.205,25.21,31361
20200225,25.21,25.21,25.18,25.18,45870
20200226,25.19,25.2,25.19,25.2,8368
20200227,25.2,25.21,25.18,25.2,2009
20200228,25.15,25.15,25.075,25.075,58536
20200302,24.97,24.99,24.96,24.975,5815
20200303,24.92,24.95,24.92,24.925,53595
20200304,24.93,24.95,24.93,24.95,1730
20200305,24.935,24.935,24.935,24.935,141
20200306,24.95,24.95,24.945,24.945,5276
20200309,24.9,24.9,24.88,24.88,17699
