Date,Open,High,Low,Close,Volume
20170224,2.5,2.51,2.5,2.51,206048
20170227,2.5,2.5,2.5,2.5,120124
20170228,2.5,2.5,2.5,2.5,105324
20170301,2.5,2.5,2.49,2.49,114562
20170302,2.5,2.52,2.5,2.52,98292
20170303,2.52,2.52,2.49,2.51,192045
20170306,2.51,2.51,2.5,2.5,76589
20170307,2.51,2.53,2.51,2.52,248505
20170308,2.52,2.52,2.51,2.52,143781
20170309,2.52,2.52,2.51,2.52,60400
20170310,2.52,2.54,2.52,2.54,31168
20170313,2.54,2.54,2.53,2.53,41280
20170314,2.52,2.53,2.52,2.52,83333
20170315,2.52,2.52,2.52,2.52,79294
20170316,2.54,2.55,2.53,2.53,341191
20170317,2.54,2.54,2.54,2.54,18890
20170320,2.53,2.54,2.53,2.53,95392
20170321,2.53,2.53,2.52,2.52,58740
20170322,2.52,2.52,2.48,2.5,335966
20170323,2.5,2.5,2.49,2.5,49278
20170324,2.52,2.53,2.52,2.53,8247
20170327,2.5,2.52,2.5,2.52,78607
20170328,2.52,2.55,2.52,2.55,33694
20170329,2.53,2.57,2.53,2.56,63040
20170330,2.59,2.59,2.58,2.58,108985
20170331,2.58,2.58,2.56,2.58,62112
20170403,2.57,2.57,2.56,2.56,40103
20170404,2.57,2.57,2.56,2.56,45979
20170405,2.58,2.58,2.56,2.57,155063
20170406,2.57,2.57,2.56,2.56,42230
20170407,2.57,2.57,2.55,2.56,56125
20170410,2.58,2.59,2.57,2.58,81552
20170411,2.58,2.61,2.58,2.6,90138
20170412,2.6,2.6,2.58,2.59,59500
20170413,2.58,2.58,2.55,2.57,51022
20170418,2.57,2.57,2.54,2.55,101069
20170419,2.55,2.55,2.53,2.54,95433
20170420,2.52,2.55,2.52,2.54,109511
20170421,2.56,2.56,2.56,2.56,20930
20170424,2.57,2.57,2.56,2.56,19812
20170426,2.59,2.59,2.58,2.59,73208
20170427,2.57,2.59,2.57,2.59,31261
20170428,2.59,2.59,2.57,2.58,40750
20170501,2.6,2.6,2.59,2.6,146501
20170502,2.58,2.6,2.57,2.59,208221
20170503,2.59,2.59,2.55,2.55,58057
20170504,2.55,2.55,2.55,2.55,57359
20170505,2.55,2.55,2.53,2.53,29228
20170508,2.54,2.56,2.54,2.55,42315
20170509,2.55,2.55,2.53,2.53,77532
20170510,2.52,2.55,2.52,2.55,42044
20170511,2.57,2.57,2.55,2.56,78979
20170512,2.55,2.55,2.53,2.53,56428
20170515,2.53,2.54,2.52,2.54,18303
20170516,2.55,2.55,2.53,2.53,52933
20170517,2.53,2.53,2.52,2.53,38740
20170518,2.51,2.51,2.49,2.5,111390
20170519,2.5,2.51,2.49,2.51,55890
20170522,2.51,2.52,2.51,2.51,35017
20170523,2.53,2.53,2.52,2.52,15667
20170524,2.52,2.52,2.51,2.51,69793
20170525,2.53,2.54,2.52,2.53,40660
20170526,2.52,2.52,2.51,2.52,71960
20170529,2.51,2.52,2.5,2.5,67950
20170530,2.5,2.5,2.48,2.49,51726
