Date,Open,High,Low,Close,Volume
20100929,25.2,25.4,24.95,24.95,430934
20100930,25,25,24.5,24.52,111242
20101001,24.55,24.56,24.31,24.31,7466
20101004,24.63,24.69,24.54,24.54,4096
20101005,24.5,24.6,24.35,24.54,30059
20101006,24.8,24.88,24.74,24.85,11987
20101007,24.78,24.87,24.75,24.76,8200
20101008,24.8,24.8,24.7,24.72,10148
20101011,24.79,24.82,24.66,24.72,7959
20101012,24.7,24.7,24.35,24.35,9738
20101013,24.6,24.6,24.3,24.3,27481
20101014,24.47,24.62,24.47,24.6,3800
20101015,24.44,24.55,24.44,24.55,7820
20101018,24.49,24.49,24.4,24.43,10435
20101019,24.57,24.58,24.5,24.5,8358
20101020,24.45,24.45,24.15,24.27,28780
20101021,24.41,24.41,24.39,24.4,3448
20101022,24.44,24.44,24.39,24.39,3531
20101025,24.67,25.22,24.67,25.01,36450
20101026,24.9,24.9,24.74,24.78,4340
20101027,24.89,24.91,24.85,24.85,1669
20101028,24.88,24.88,24.8,24.84,6010
20101029,24.74,24.74,24.63,24.63,26220
20101101,24.63,24.63,24.63,24.63,0
20101102,25,25,24.82,24.94,1664
20101103,25,25.08,24.94,25.03,26158
20101104,25.02,25.07,24.99,24.99,29252
20101105,25.21,25.21,25,25,11929
20101108,25.03,25.06,24.98,24.98,14658
20101109,25,25,24.7,24.7,13933
20101110,24.7,24.79,24.5,24.5,8475
20101111,24.6,24.66,24.59,24.61,1550
20101112,24.64,24.64,24.4,24.4,12246
20101115,24.49,24.66,24.49,24.57,30371
20101116,24.63,24.65,24.63,24.65,1204
20101117,24.5,24.5,24.43,24.43,2239
20101118,24.35,24.37,24.35,24.35,250
20101119,24.75,24.75,24.39,24.39,1527
20101122,24.5,24.52,24.41,24.41,9313
20101123,24.35,24.39,24.29,24.29,2114
20101124,24.08,24.2,24.05,24.2,14000
20101125,24.3,24.3,24.12,24.17,17464
20101126,24.29,24.31,24.24,24.24,11517
20101129,24.2,24.39,24.11,24.39,10455
20101130,24.28,24.32,24.24,24.29,6356
20101201,25,25,24.09,24.16,9364
20101202,24.4,24.62,24.4,24.62,3950
20101203,24.83,24.83,24.65,24.65,8475
20101206,24.61,24.61,24.6,24.6,600
20101207,24.64,24.7,24.64,24.7,2088
20101208,24.65,24.65,24.65,24.65,122
20101209,24.75,24.75,24.75,24.75,350
20101210,24.93,24.93,24.85,24.85,8132
20101213,25.4,25.4,24.98,24.98,1300
20101214,24.96,24.97,24.91,24.93,3270
20101215,25.01,25.01,24.97,24.97,25458
20101216,25.69,25.69,24.9,25.02,3158
20101217,25.1,25.11,25.03,25.03,17851
20101220,25,25,24.84,24.86,4925
20101221,24.95,25.05,24.95,25.02,9330
20101222,25,25,24.94,24.97,760
20101223,24.77,24.8,24.77,24.8,2269
20101224,24.7,24.7,24.7,24.7,20240
20101229,24.7,24.7,24.7,24.7,37
20101230,24.7,24.7,24.7,24.7,0
20101231,24.66,24.66,24.62,24.62,2400
20110104,24.77,24.77,24.39,24.39,3465
20110105,24.39,24.39,24.39,24.39,0
20110106,24.39,24.39,24.25,24.25,3220
20110107,24.34,24.34,24.31,24.33,2050
20110110,24.33,24.33,24.33,24.33,4070
20110111,24.47,24.47,24.47,24.47,1070
20110112,24.44,24.44,24.37,24.37,1270
20110113,24.55,24.69,24.55,24.69,12600
20110114,24.75,24.78,24.75,24.76,550
20110117,24.75,24.8,24.6,24.6,8265
20110118,24.6,24.6,24.6,24.6,0
20110119,24.8,24.93,24.76,24.93,1644
20110120,24.85,24.85,24.79,24.79,2290
20110121,24.78,24.78,24.74,24.74,20000
20110124,24.81,24.99,24.8,24.99,1732
20110125,25,25.11,25,25.11,21775
20110127,25.01,25.01,24.98,24.99,5555
20110128,25.02,25.02,24.86,24.86,3123
20110131,24.68,24.72,24.68,24.72,1061
20110201,24.86,24.86,24.8,24.82,18220
20110202,24.95,24.95,24.84,24.84,3048
20110203,24.78,24.87,24.77,24.87,14040
20110204,25.12,25.17,25.12,25.17,2529
20110207,25.15,25.17,25.11,25.17,3172
20110208,25.21,25.24,25.2,25.2,2784
20110209,25.36,25.45,25.36,25.37,3191
20110210,25.46,25.49,25.44,25.46,10870
20110211,25.44,25.45,25.4,25.4,5477
20110214,25.4,25.4,25.4,25.4,0
20110215,25.55,25.61,25.48,25.48,11148
