Date,Open,High,Low,Close,Volume
20230120,50.1,50.1,50.1,50.1,19
20230123,50.1,50.1,50.1,50.1,0
20230124,50.1,50.1,50.1,50.1,0
20230125,50.1,50.1,50.1,50.1,0
20230127,50.1,50.1,50.1,50.1,0
20230130,50.1,50.1,50.1,50.1,0
20230131,50.1,50.1,50.1,50.1,0
20230201,50.1,50.1,50.1,50.1,0
20230202,50.1,50.1,50.1,50.1,0
20230203,50.1,50.1,50.1,50.1,0
20230206,50.1,50.1,50.1,50.1,0
20230207,50.1,50.1,50.1,50.1,0
20230208,50.1,50.1,50.1,50.1,0
20230209,50.1,50.1,50.1,50.1,0
20230210,50.1,50.1,50.1,50.1,0
20230213,50.1,50.1,50.1,50.1,0
20230214,50.1,50.1,50.1,50.1,0
20230215,50.1,50.1,50.1,50.1,0
20230216,50.1,50.1,50.1,50.1,0
20230217,50.1,50.1,50.1,50.1,0
20230220,50.1,50.1,50.1,50.1,0
20230221,50.1,50.1,50.1,50.1,0
20230222,50.1,50.1,50.1,50.1,0
20230223,50.1,50.1,50.1,50.1,0
20230224,50.1,50.1,50.1,50.1,0
20230227,50.1,50.1,50.1,50.1,0
20230228,50.1,50.1,50.1,50.1,0
20230301,50.1,50.1,50.1,50.1,0
20230302,50.1,50.1,50.1,50.1,0
20230303,50.1,50.1,50.1,50.1,0
20230306,50.1,50.1,50.1,50.1,0
20230307,50.1,50.1,50.1,50.1,0
20230308,50.1,50.1,50.1,50.1,0
20230309,50.1,50.1,50.1,50.1,0
20230310,50.1,50.1,50.1,50.1,0
20230313,50.1,50.1,50.1,50.1,0
20230314,50.1,50.1,50.1,50.1,0
20230315,50.1,50.1,50.1,50.1,0
20230316,50.1,50.1,50.1,50.1,0
20230317,50.5,50.5,50.5,50.5,59
20230320,50.5,50.5,50.5,50.5,0
20230321,50.5,50.5,50.5,50.5,0
20230322,50.5,50.5,50.5,50.5,0
20230323,50.5,50.5,50.5,50.5,0
20230324,50.5,50.5,50.5,50.5,0
20230327,50.5,50.5,50.5,50.5,0
20230328,50.5,50.5,50.5,50.5,0
20230329,50.5,50.5,50.5,50.5,0
20230330,50.5,50.5,50.5,50.5,0
20230331,50.5,50.5,50.5,50.5,0
20230403,50.5,50.5,50.5,50.5,0
20230404,51.96,51.96,51.91,51.91,1159
20230405,51.91,51.91,51.91,51.91,0
20230406,51.91,51.91,51.91,51.91,0
20230411,51.91,51.91,51.91,51.91,0
20230412,51.91,51.91,51.91,51.91,0
20230413,51.91,51.91,51.91,51.91,0
20230414,51.91,51.91,51.91,51.91,0
20230417,51.91,51.91,51.91,51.91,0
20230418,51.91,51.91,51.91,51.91,0
20230419,51.91,51.91,51.91,51.91,0
20230420,51.91,51.91,51.91,51.91,0
20230421,51.91,51.91,51.91,51.91,0
20230424,51.91,51.91,51.91,51.91,0
20230426,51.91,51.91,51.91,51.91,0
20230427,51.91,51.91,51.91,51.91,0
20230428,51.91,51.91,51.91,51.91,0
20230501,51.91,51.91,51.91,51.91,0
20230502,51.91,51.91,51.91,51.91,0
20230503,51.91,51.91,51.91,51.91,0
20230504,51.91,51.91,51.91,51.91,0
20230505,51.91,51.91,51.91,51.91,0
20230508,51.91,51.91,51.91,51.91,0
20230509,51.91,51.91,51.91,51.91,0
20230510,51.91,51.91,51.91,51.91,0
20230511,51.91,51.91,51.91,51.91,0
20230512,51.91,51.91,51.91,51.91,0
20230515,51.91,51.91,51.91,51.91,0
20230516,51.91,51.91,51.91,51.91,0
20230517,51.91,51.91,51.91,51.91,0
20230518,51.91,51.91,51.91,51.91,0
20230519,51.91,51.91,51.91,51.91,0
20230522,51.91,51.91,51.91,51.91,0
20230523,51.91,51.91,51.91,51.91,0
20230524,51.91,51.91,51.91,51.91,0
20230525,51.91,51.91,51.91,51.91,0
20230526,51.91,51.91,51.91,51.91,0
20230529,51.91,51.91,51.91,51.91,0
20230530,51.91,51.91,51.91,51.91,0
20230531,51.91,51.91,51.91,51.91,0
20230601,51.91,51.91,51.91,51.91,0
20230602,51.91,51.91,51.91,51.91,0
20230605,51.91,51.91,51.91,51.91,0
20230606,51.91,51.91,51.91,51.91,0
20230607,51.91,51.91,51.91,51.91,0
20230608,51.91,51.91,51.91,51.91,0
20230609,51.91,51.91,51.91,51.91,0
20230613,51.91,51.91,51.91,51.91,0
20230614,51.91,51.91,51.91,51.91,0
20230615,51.91,51.91,51.91,51.91,0
20230616,51.91,51.91,51.91,51.91,0
20230619,51.91,51.91,51.91,51.91,0
20230620,51.91,51.91,51.91,51.91,0
20230621,51.91,51.91,51.91,51.91,0
20230622,51.91,51.91,51.91,51.91,0
20230623,51.91,51.91,51.91,51.91,0
20230626,51.91,51.91,51.91,51.91,0
20230627,51.91,51.91,51.91,51.91,0
20230628,51.91,51.91,51.91,51.91,0
20230629,51.91,51.91,51.91,51.91,0
20230630,51.91,51.91,51.91,51.91,0
20230703,51.91,51.91,51.91,51.91,0
20230704,51.91,51.91,51.91,51.91,0
20230705,51.91,51.91,51.91,51.91,0
20230706,51.91,51.91,51.91,51.91,0
20230707,52.18,52.18,52.18,52.18,47
20230710,52.18,52.18,52.18,52.18,0
20230711,52.18,52.18,52.18,52.18,0
20230712,52.18,52.18,52.18,52.18,0
20230713,52.18,52.18,52.18,52.18,0
20230714,52.18,52.18,52.18,52.18,0
20230717,52.18,52.18,52.18,52.18,0
20230718,52.18,52.18,52.18,52.18,0
20230719,52.18,52.18,52.18,52.18,0
20230720,52.18,52.18,52.18,52.18,0
20230721,52.18,52.18,52.18,52.18,0
20230724,52.18,52.18,52.18,52.18,0
20230725,52.18,52.18,52.18,52.18,0
20230726,52.18,52.18,52.18,52.18,0
20230727,52.18,52.18,52.18,52.18,0
20230728,52.18,52.18,52.18,52.18,0
20230731,52.18,52.18,52.18,52.18,0
20230801,52.18,52.18,52.18,52.18,0
20230802,52.18,52.18,52.18,52.18,0
20230803,52.18,52.18,52.18,52.18,0
20230804,52.18,52.18,52.18,52.18,0
20230807,52.18,52.18,52.18,52.18,0
20230808,52.18,52.18,52.18,52.18,0
20230809,52.18,52.18,52.18,52.18,0
20230810,52.18,52.18,52.18,52.18,0
20230811,52.18,52.18,52.18,52.18,0
20230814,52.18,52.18,52.18,52.18,0
20230815,52.18,52.18,52.18,52.18,0
20230816,52.18,52.18,52.18,52.18,0
20230817,52.18,52.18,52.18,52.18,0
20230818,52.1,52.1,52.1,52.1,480
20230821,52.1,52.1,52.1,52.1,0
20230822,52.1,52.1,52.1,52.1,0
20230823,52.1,52.1,52.1,52.1,0
20230824,52.1,52.1,52.1,52.1,0
20230825,52.1,52.1,52.1,52.1,0
20230828,52.1,52.1,52.1,52.1,0
20230829,52.1,52.1,52.1,52.1,0
20230830,52.1,52.1,52.1,52.1,0
20230831,52.8,52.8,52.8,52.8,140
20230901,52.8,52.8,52.8,52.8,0
20230904,52.8,52.8,52.8,52.8,0
20230905,52.8,52.8,52.8,52.8,0
20230906,52.8,52.8,52.8,52.8,0
20230907,52.8,52.8,52.8,52.8,0
20230908,52.32,52.32,52.13,52.13,2
20230911,52.13,52.13,52.13,52.13,0
20230912,52.13,52.13,52.13,52.13,0
20230913,52.13,52.13,52.13,52.13,0
20230914,52.13,52.13,52.13,52.13,0
20230915,52.13,52.13,52.13,52.13,0
20230918,52.13,52.13,52.13,52.13,0
20230919,52.13,52.13,52.13,52.13,0
20230920,52.13,52.13,52.13,52.13,0
20230921,52.13,52.13,52.13,52.13,0
20230922,52.13,52.13,52.13,52.13,0
20230925,52.13,52.13,52.13,52.13,0
20230926,52.13,52.13,52.13,52.13,0
20230927,52.13,52.13,52.13,52.13,0
20230928,52.13,52.13,52.13,52.13,0
20230929,52.13,52.13,52.13,52.13,0
20231002,52.13,52.13,52.13,52.13,0
20231003,52.13,52.13,52.13,52.13,0
20231004,52.13,52.13,52.13,52.13,0
20231005,52.13,52.13,52.13,52.13,0
20231006,52.13,52.13,52.13,52.13,0
20231009,52.13,52.13,52.13,52.13,0
20231010,52.13,52.13,52.13,52.13,0
20231011,52.13,52.13,52.13,52.13,0
20231012,52.13,52.13,52.13,52.13,0
20231013,52.13,52.13,52.13,52.13,0
20231016,52.13,52.13,52.13,52.13,0
20231017,52.13,52.13,52.13,52.13,0
20231018,52.13,52.13,52.13,52.13,0
20231019,52.13,52.13,52.13,52.13,0
20231020,52.13,52.13,52.13,52.13,0
20231023,52.13,52.13,52.13,52.13,0
20231024,52.13,52.13,52.13,52.13,0
20231025,52.13,52.13,52.13,52.13,0
20231026,52.13,52.13,52.13,52.13,0
20231027,52.13,52.13,52.13,52.13,0
20231030,52.13,52.13,52.13,52.13,0
20231031,52.13,52.13,52.13,52.13,0
20231101,52.13,52.13,52.13,52.13,0
20231102,52.13,52.13,52.13,52.13,0
20231103,52.13,52.13,52.13,52.13,0
20231106,52.13,52.13,52.13,52.13,0
20231107,52.13,52.13,52.13,52.13,0
20231108,52.13,52.13,52.13,52.13,0
20231109,52.13,52.13,52.13,52.13,0
20231110,52.13,52.13,52.13,52.13,0
20231113,52.13,52.13,52.13,52.13,0
20231114,52.13,52.13,52.13,52.13,0
20231115,52.13,52.13,52.13,52.13,0
20231116,52.13,52.13,52.13,52.13,0
20231117,52.13,52.13,52.13,52.13,0
20231120,52.13,52.13,52.13,52.13,0
20231121,52.13,52.13,52.13,52.13,0
20231122,49.95,49.95,49.95,49.95,38
20231123,49.87,49.87,49.87,49.87,1
20231124,49.82,49.82,49.82,49.82,8
20231127,49.82,49.82,49.82,49.82,0
20231128,49.82,49.82,49.82,49.82,0
20231129,49.82,49.82,49.82,49.82,0
20231130,49.82,49.82,49.82,49.82,0
20231201,49.82,49.82,49.82,49.82,0
20231204,49.82,49.82,49.82,49.82,0
20231205,49.82,49.82,49.82,49.82,0
20231206,49.82,49.82,49.82,49.82,0
