Date,Open,High,Low,Close,Volume
20220614,11.09,11.09,11.06,11.06,1271
20220615,11.04,11.04,10.95,10.95,3145
20220616,11.14,11.14,11,11,2709
20220617,10.46,10.46,10.46,10.46,1581
20220620,10.46,10.46,10.46,10.46,0
20220621,10.46,10.46,10.46,10.46,0
20220622,11.34,11.37,11.34,11.37,1877
20220623,11.32,11.35,11.32,11.35,1008
20220624,11.35,11.35,11.35,11.35,0
20220627,11.71,11.77,11.71,11.77,988
20220628,12,12,11.91,11.93,2888
20220629,11.52,11.56,11.52,11.56,4073
20220630,11.16,11.16,11.03,11.03,1149
20220701,11.41,11.41,11.41,11.41,10000
20220704,11.66,11.66,11.59,11.59,1060
20220705,11.6,11.66,11.6,11.66,533
20220706,11.68,11.68,11.645,11.67,5940
20220707,11.56,11.56,11.56,11.56,100
20220708,12.12,12.16,12.12,12.14,10343
20220711,12.27,12.29,12.21,12.23,10407
20220712,12.02,12.02,11.91,11.92,3327
20220713,11.54,11.58,11.54,11.57,6352
20220714,11.66,11.66,11.63,11.63,133
20220715,11.72,11.72,11.69,11.69,215
20220718,11.37,11.43,11.35,11.43,3242
20220719,11.44,11.44,11.44,11.44,4500
20220720,11.65,11.65,11.62,11.62,220
20220721,11.72,11.72,11.68,11.68,4534
20220722,11.63,11.63,11.59,11.59,180
20220725,11.5,11.52,11.44,11.46,31281
20220726,11.46,11.46,11.46,11.46,0
20220727,11.6,11.67,11.6,11.67,48603
20220728,12.49,12.49,12.49,12.49,100
20220729,12.99,13.1,12.99,13.09,15268
20220801,13.48,13.48,13.36,13.36,7284
20220802,13.06,13.06,12.87,12.98,19505
20220803,13.12,13.12,13.1,13.1,159
20220804,13.08,13.08,12.98,12.98,381
20220805,13.39,13.39,13.24,13.27,60801
20220808,13.48,13.5,13.4,13.5,2621
20220809,13.54,13.6,13.54,13.6,20332
20220810,13.67,13.67,13.53,13.53,10284
20220811,14.03,14.06,14.03,14.05,903
20220812,13.74,13.74,13.59,13.59,57278
20220815,13.78,13.86,13.78,13.86,26442
20220816,14.08,14.08,14.01,14.01,974
