Date,Open,High,Low,Close,Volume
20230518,50.2,50.2,50.02,50.12,13226
20230519,50.28,50.38,50.26,50.29,6637
20230522,50.29,50.29,50.02,50.21,24813
20230523,50.15,50.2,50.07,50.2,2591
20230524,50.41,50.45,50.41,50.45,8069
20230525,51.14,51.14,51.12,51.14,12378
20230526,51.26,51.28,51.2,51.2,2010
20230529,51.17,51.17,51.01,51.01,3913
20230530,50.96,50.96,50.96,50.96,10
20230531,51.23,51.54,51.23,51.54,1913
20230601,51.29,51.29,51.25,51.25,10951
20230602,51,51,50.44,50.44,4213
20230605,50.6,50.6,50.51,50.52,15371
20230606,50.51,50.51,50.05,50.05,2551
20230607,50,50.01,49.96,50,3060
20230608,50.12,50.14,50.11,50.12,5415
20230609,49.8,49.8,49.8,49.8,400
20230613,49.8,49.8,49.39,49.39,5446
20230614,49.37,49.39,49.35,49.37,5511
20230615,49.2,49.24,49,49.04,3161
20230616,48.63,48.65,48.62,48.62,5361
20230619,48.67,48.95,48.67,48.73,48093
20230620,48.95,49.23,48.95,49.23,5223
20230621,49.26,49.29,49.21,49.29,10642
20230622,49.16,49.21,49.11,49.21,4831
20230623,49.48,49.99,49.48,49.99,13066
20230626,49.99,50.12,49.99,50.12,2866
20230627,50.15,50.15,49.79,49.79,19885
20230628,50.19,50.44,50.17,50.43,14504
20230629,50.76,50.76,50.49,50.66,60264
20230630,50.79,50.79,50.5,50.52,12519
20230703,50.05,50.12,50,50,7770
20230704,49.99,50.22,49.91,50.15,7011
20230705,49.82,49.92,49.82,49.92,4200
20230706,50.13,50.29,50,50.16,12346
20230707,50.29,50.49,50.29,50.3,116669
20230710,50.07,50.27,49.87,50.27,56003
20230711,50.03,50.05,49.97,50.05,8357
20230712,50,50,49.68,49.87,29464
20230713,49.28,49.32,49.05,49.14,25520
20230714,48.62,48.62,48.51,48.56,5565
20230717,48.97,49.11,48.95,49.08,9511
20230718,49.05,49.05,48.99,48.99,997
20230719,49.05,49.32,49.05,49.25,22409
20230720,49.1,49.1,48.97,49.01,15967
20230721,49.3,49.44,49.3,49.41,630
20230724,49.87,49.87,49.74,49.74,186
20230725,49.7,49.7,49.51,49.51,1822
20230726,49.35,49.66,49.35,49.49,3731
20230727,49.45,49.45,49.12,49.25,1714
20230728,49.86,50.37,49.86,50.35,5918
20230731,50.29,50.3,50.19,50.19,6668
20230801,49.85,50.11,49.82,49.98,15195
20230802,50.23,50.67,50.23,50.67,1563
20230803,51,51.18,50.97,51.06,3449
20230804,50.86,50.87,50.69,50.82,3197
20230807,50.84,50.84,50.71,50.71,448
20230808,51.06,51.08,50.98,51.06,3001
20230809,51.16,51.16,50.91,50.91,17245
20230810,51.11,51.13,51.06,51.08,15189
20230811,51.26,51.27,51.2,51.25,16753
20230814,51.53,51.75,51.53,51.63,20983
20230815,51.54,51.61,51.37,51.44,5398
20230816,51.84,51.95,51.84,51.88,4529
20230817,52.26,52.47,52.22,52.45,7054
20230818,52.43,52.43,52.14,52.29,4547
20230821,52.22,52.34,52.19,52.31,4197
20230822,52.15,52.18,52.1,52.15,1707
20230823,52.06,52.06,51.93,52.01,5483
20230824,51.67,51.75,51.65,51.74,2165
20230825,52.18,52.31,52.18,52.2,2286
20230828,52.23,52.23,52.06,52.14,5629
20230829,52.13,52.13,51.97,51.97,8227
20230830,51.77,51.87,51.72,51.74,5119
20230831,51.72,51.75,51.64,51.71,4039
20230901,51.47,51.66,51.42,51.62,3741
20230904,51.79,51.79,51.62,51.62,31213
20230905,51.77,52.04,51.77,52.04,47
20230906,52.43,52.49,52.34,52.34,2781
20230907,52.41,52.5,52.41,52.41,13952
20230908,52.41,52.44,52.2,52.2,13412
20230911,52.21,52.31,51.94,51.95,9346
20230912,52.09,52.11,51.97,52.04,4708
20230913,52.05,52.25,52.05,52.2,1257
20230914,52.11,52.11,51.89,51.93,4984
20230915,51.94,51.95,51.68,51.74,13604
20230918,51.99,52.09,51.95,51.97,28476
20230919,52.19,52.19,51.91,52.06,27483
20230920,51.91,52,51.8,51.86,97882
20230921,52.02,52.29,52.02,52.29,4796
20230922,52.27,52.27,52.11,52.11,32874
20230925,52.03,52.23,52,52.23,4218
20230926,52.21,52.29,52.18,52.28,24512
20230927,52.45,52.56,52.34,52.52,3962
20230928,53.02,53.02,52.55,52.55,2777
20230929,52.37,52.37,51.92,51.93,15031
20231002,51.89,52.14,51.82,52.13,2309
20231003,52.53,52.82,52.48,52.82,18357
20231004,53.05,53.09,52.93,52.93,11385
20231005,52.85,52.85,52.41,52.46,5017
20231006,52.5,52.54,52.41,52.54,10165
20231009,52.55,52.69,52.43,52.69,10460
20231010,52.17,52.18,52.08,52.18,14561
20231011,51.95,52.13,51.93,52.13,5982
20231012,52.13,52.17,52.04,52.1,10458
20231013,52.98,52.99,52.85,52.9,16554
20231016,53.04,53.09,52.9,52.95,8455
20231017,52.81,52.81,52.62,52.69,8708
20231018,52.62,52.69,52.45,52.49,6804
20231019,53.07,53.18,52.89,53.1,15957
20231020,53.03,53.09,52.95,53.03,19845
20231023,53.19,53.19,52.99,53.11,1425
20231024,52.93,52.93,52.69,52.71,6814
20231025,52.7,52.7,52.4,52.5,7595
20231026,53.26,53.44,53.24,53.36,30775
20231027,53.19,53.19,52.87,52.87,19234
20231030,52.86,52.91,52.74,52.78,11352
20231031,52.66,52.9,52.64,52.88,13911
20231101,52.89,52.95,52.7,52.78,43159
20231102,52.18,52.18,51.9,52.03,33977
20231103,51.78,52.01,51.78,51.93,114076
20231106,51.33,51.33,51.28,51.33,6875
20231107,51.5,51.92,51.44,51.92,5271
20231108,51.99,52.04,51.87,51.9,8425
20231109,52.2,52.22,52.13,52.15,10389
20231110,52.59,52.67,52.57,52.6,3470
20231113,52.64,52.67,52.55,52.58,12350
20231114,52.51,52.57,52.41,52.57,12607
20231115,51.43,51.59,51.42,51.52,26231
20231116,51.42,51.82,51.4,51.75,16758
20231117,51.76,51.86,51.73,51.78,5329
20231120,51.58,51.58,51.04,51.18,16120
20231121,51.28,51.28,50.85,50.93,31981
20231122,50.89,51.17,50.89,51.15,11215
20231123,51.2,51.21,51.09,51.14,8635
20231124,51.14,51.18,51.04,51.12,3360
20231127,51.07,51.07,50.86,51.02,10907
20231128,50.53,50.77,50.53,50.64,6794
