Date,Open,High,Low,Close,Volume
20170411,50.2,50.2,50.12,50.12,1907
20170412,50.12,50.12,50,50,1070
20170413,49.58,49.58,49.35,49.35,1648
20170418,49.35,49.35,49.35,49.35,0
20170419,50.06,50.07,50.06,50.07,404
20170420,50.31,50.31,50.28,50.28,975
20170421,50.64,50.65,50.59,50.59,3364
20170424,50.76,50.76,50.76,50.76,410
20170426,51.38,51.52,51.38,51.52,2948
20170427,51.7,51.7,51.6,51.67,4370
20170428,52.12,52.12,52.04,52.04,1350
20170501,52.12,52.21,52.12,52.2,2972
20170502,52.2,52.2,52.11,52.19,2223
20170503,52,52.38,52,52.38,3544
20170504,52.81,52.93,52.8,52.93,3305
20170505,53,53.08,52.98,53.05,3292
20170508,53.36,53.41,53.3,53.3,2573
20170509,53.3,53.3,53.3,53.3,0
20170510,53.88,53.88,53.76,53.76,6264
20170511,54.33,54.34,54.2,54.22,3690
20170512,54,54.01,53.75,53.75,2150
20170515,53.9,53.95,53.89,53.92,1591
20170516,54.09,54.24,54.09,54.15,18544
20170517,54.1,54.1,54.1,54.1,370
20170518,52.91,52.94,52.91,52.91,915
20170519,53.39,53.39,53.26,53.26,3905
20170522,53.76,53.76,53.76,53.76,181
20170523,54.29,54.3,54.11,54.11,881
20170524,54.43,54.45,54.43,54.45,446
20170525,54.45,54.45,54.45,54.45,0
20170526,55.19,55.35,55.19,55.25,2420
20170529,55.29,55.29,55.18,55.26,2420
20170530,55.17,55.23,55.17,55.23,938
20170531,55.05,55.1,55.05,55.05,681
20170601,55.32,55.38,55.3,55.3,1230
20170602,56.09,56.09,56,56,476
20170605,56.22,56.24,55.95,55.98,3998
20170606,55.82,55.82,55.5,55.5,1617
20170607,55.56,55.56,55.31,55.33,4749
20170608,55.45,55.46,55.35,55.35,1505
20170609,55.39,55.43,55.35,55.43,1711
20170613,55.2,55.2,53.56,53.7,2358
20170614,54.18,54.18,53.92,53.98,1015
20170615,53.44,53.44,53.19,53.19,4548
20170616,53.5,53.64,53.5,53.55,1061
20170619,53.31,53.31,53.31,53.31,6
20170620,54.37,54.37,54.19,54.19,2308
20170621,53.91,54,53.91,54,1216
20170622,55.1,55.23,55.1,55.23,3460
20170623,55.41,55.43,55.29,55.31,838
20170626,55.54,55.57,55.5,55.54,4996
20170627,55.2,55.2,55.01,55.01,8038
20170628,54.5,54.5,54,54.14,3644
20170629,54.55,54.55,54.49,54.49,541
20170630,53.13,53.13,52.89,53.07,3262
20170703,53.05,53.05,52.93,53,2655
20170704,53,53,52.34,52.61,6335
20170705,52.62,52.7,52.53,52.7,1436
20170706,53.54,53.54,53.41,53.41,426
20170707,53.18,53.18,53.18,53.18,75
20170710,53.18,53.18,53.18,53.18,0
20170711,53.91,53.95,53.77,53.77,1853
20170712,53.77,53.8,53.77,53.77,2604
20170713,54.5,54.52,54.38,54.38,1932
20170714,54.01,54.01,53.81,53.81,932
20170717,53.85,53.85,53.74,53.82,1165
20170718,53.93,53.93,53.28,53.29,1465
20170719,53.25,53.37,53.25,53.37,2054
20170720,53.35,53.6,53.35,53.6,516
20170721,53.55,53.9,53.55,53.9,1883
20170724,53.78,53.78,53.44,53.57,3559
20170725,53.77,53.77,53.77,53.77,194
20170726,53.96,54.23,53.96,54.21,4513
20170727,53.89,53.89,53.67,53.67,1488
20170728,53.07,53.07,52.93,52.93,1274
