Date,Open,High,Low,Close,Volume
20230823,9.96,9.98,9.95,9.98,10264
20230824,10.13,10.16,10.12,10.15,7467
20230825,9.96,9.96,9.9,9.9,20708
20230828,10,10,9.96,9.98,16383
20230829,10.07,10.07,10.01,10.03,4303
20230830,10.2,10.24,10.19,10.19,34446
20230831,10.25,10.25,10.21,10.24,14132
20230901,10.29,10.29,10.25,10.29,18542
20230904,10.29,10.29,10.27,10.28,5239
20230905,10.29,10.34,10.28,10.34,2197
20230906,10.43,10.44,10.39,10.39,18659
20230907,10.33,10.35,10.29,10.29,20095
20230908,10.27,10.27,10.24,10.25,16431
20230911,10.29,10.29,10.22,10.24,7589
20230912,10.32,10.33,10.31,10.33,2453
20230913,10.22,10.25,10.22,10.25,16945
20230914,10.28,10.35,10.26,10.35,31725
20230915,10.34,10.34,10.29,10.29,7593
20230918,10.16,10.17,10.15,10.15,29767
20230919,10.17,10.17,10.15,10.15,12062
20230920,10.1,10.11,10.09,10.09,15688
20230921,9.97,10,9.96,9.99,68349
20230922,9.84,9.85,9.83,9.83,24321
20230925,9.81,9.85,9.78,9.84,6842
20230926,9.85,9.85,9.81,9.84,104902
20230927,9.78,9.81,9.77,9.81,5859
20230928,9.87,9.87,9.81,9.82,2088
20230929,9.82,9.82,9.76,9.76,8552
20231002,10.17,10.17,9.87,9.93,3694
20231003,10,10.04,10,10.04,24591
20231004,9.93,9.93,9.87,9.87,1226
20231005,10.02,10.02,9.96,9.96,2291
20231006,9.93,9.93,9.92,9.92,2895
20231009,10.05,10.05,10.02,10.04,34881
20231010,10.08,10.09,10.08,10.09,4132
20231011,10.12,10.17,10.12,10.17,33721
20231012,10.22,10.23,10.22,10.23,27441
20231013,10.4,10.4,10.32,10.32,1520
20231016,10.24,10.25,10.21,10.21,21020
20231017,10.28,10.28,10.24,10.25,23324
20231018,10.19,10.2,10.15,10.15,2864
20231019,10.15,10.15,10.12,10.14,17961
20231020,10,10.02,9.99,10.01,21093
20231023,9.99,9.99,9.9,9.93,5795
20231024,9.92,9.93,9.89,9.9,25970
20231025,9.93,9.94,9.87,9.88,20928
20231026,9.77,9.77,9.72,9.74,12052
20231027,9.72,9.72,9.61,9.63,13176
20231030,9.65,9.65,9.63,9.63,42646
20231031,9.66,9.66,9.64,9.66,22341
20231101,9.74,9.8,9.74,9.77,61291
20231102,9.93,9.93,9.83,9.85,20251
20231103,9.94,9.94,9.93,9.94,10332
20231106,9.97,9.97,9.95,9.96,1518
20231107,10.09,10.09,10.03,10.09,2141
20231108,10.28,10.28,10.2,10.2,5015
20231109,10.28,10.28,10.26,10.26,23170
20231110,10.3,10.3,10.25,10.26,2422
20231113,10.4,10.48,10.4,10.45,12280
20231114,10.54,10.54,10.44,10.46,3795
20231115,10.56,10.56,10.48,10.5,8908
20231116,10.5,10.5,10.43,10.48,20793
20231117,10.61,10.61,10.53,10.54,1751
20231120,10.54,10.54,10.36,10.36,28646
20231121,10.56,10.6,10.48,10.49,1079
20231122,10.53,10.53,10.43,10.45,3700
20231123,10.52,10.52,10.51,10.51,4007
20231124,10.52,10.52,10.49,10.51,36850
20231127,10.52,10.52,10.37,10.41,14602
20231128,10.48,10.48,10.37,10.46,1411
20231129,10.42,10.42,10.32,10.37,10071
20231130,10.42,10.49,10.33,10.38,1605
20231201,10.37,10.37,10.33,10.37,14652
20231204,10.31,10.31,10.26,10.3,6033
20231205,10.3,10.32,10.27,10.32,1339
20231206,10.5,10.54,10.4,10.4,2085
20231207,10.44,10.45,10.36,10.4,1251
20231208,10.51,10.51,10.4,10.41,993
20231211,10.55,10.55,10.5,10.52,485
20231212,10.55,10.63,10.55,10.59,22273
20231213,10.73,10.73,10.66,10.66,1302
20231214,10.77,10.77,10.63,10.63,9272
20231215,10.63,10.63,10.56,10.56,426
20231218,10.6,10.66,10.6,10.64,3848
20231219,10.77,10.77,10.69,10.69,1423
20231220,10.77,10.77,10.64,10.64,11791
20231221,10.75,10.75,10.57,10.58,3463
20231222,10.59,10.59,10.57,10.59,2138
20231227,10.7,10.7,10.62,10.65,2296
20231228,10.7,10.7,10.59,10.63,1952
20231229,10.71,10.71,10.6,10.61,1654
20240102,10.71,10.71,10.59,10.59,2808
20240103,10.69,10.69,10.47,10.47,3982
20240104,10.51,10.54,10.44,10.45,4915
20240105,10.47,10.47,10.4,10.42,1292
20240108,10.4,10.43,10.4,10.43,3263
20240109,10.54,10.63,10.54,10.62,22995
20240110,10.72,10.72,10.67,10.67,911
20240111,10.79,10.79,10.77,10.77,3148
20240112,10.8,10.8,10.76,10.78,1453
20240115,10.8,10.9,10.79,10.83,12986
20240116,10.83,10.9,10.83,10.9,34189
20240117,11,11,10.97,10.97,7751
20240118,11,11,10.97,10.97,6188
20240119,11.1,11.14,11.1,11.14,9874
20240122,11.4,11.4,11.31,11.35,39783
20240123,11.43,11.43,11.3,11.3,10045
20240124,11.4,11.44,11.4,11.42,28417
20240125,11.54,11.54,11.43,11.45,6667
20240129,11.48,11.48,11.36,11.37,11783
20240130,11.55,11.55,11.44,11.47,35776
20240131,11.39,11.39,11.28,11.34,15358
20240201,11.33,11.33,11.2,11.29,4652
20240202,11.51,11.54,11.4,11.4,10345
20240205,11.74,11.76,11.62,11.64,8136
20240206,11.8,11.8,11.67,11.67,7473
20240207,11.7,11.7,11.59,11.6,22007
20240208,11.74,11.76,11.73,11.76,106277
20240209,11.83,11.91,11.81,11.84,8867
20240212,13,13,11.9,11.92,36194
20240213,11.92,11.92,11.84,11.88,10687
20240214,11.91,11.91,11.76,11.77,31245
20240215,11.92,12.25,11.85,11.88,5570
20240216,11.88,11.95,11.85,11.87,13333
20240219,11.79,11.8,11.68,11.72,73003
20240220,11.77,11.77,11.67,11.67,192701
20240221,12,12,11.51,11.52,7656
20240222,11.6,11.73,11.6,11.73,15689
20240223,11.98,11.98,11.88,11.89,26958
20240226,11.93,11.93,11.83,11.85,28699
20240227,11.96,11.96,11.84,11.87,10475
20240228,11.99,11.99,11.87,11.94,16188
20240229,11.98,11.98,11.88,11.89,26836
20240301,12.12,12.13,12.01,12.05,11152
20240304,12.22,12.22,12.12,12.16,27266
20240305,12.16,12.16,12.1,12.12,31695
20240306,12.06,12.06,11.94,11.94,17117
20240307,12,12,11.81,11.81,26934
20240308,12,12.2,11.94,11.97,15936
20240311,11.86,11.86,11.78,11.79,23017
20240312,11.8,11.84,11.8,11.84,7879
20240313,11.99,11.99,11.95,11.96,9934
20240314,11.96,11.96,11.88,11.92,4612
20240315,11.93,11.95,11.91,11.93,7846
20240318,11.94,11.94,11.84,11.86,3536
20240319,12,12,11.92,11.97,6233
20240320,12.01,12.04,12,12.02,20084
20240321,12.14,12.14,12.06,12.09,10644
20240322,12.15,12.23,12.15,12.23,9934
20240325,12.26,12.36,12.23,12.27,6555
20240326,12.3,12.3,12.2,12.22,6813
20240327,12.28,12.3,12.19,12.3,5378
20240328,12.3,12.3,12.18,12.2,47804
20240402,12.2,12.45,12.2,12.27,16784
20240403,12.23,12.23,12.1,12.11,9533
20240404,12.15,12.15,12.08,12.09,10710
20240405,11.94,11.94,11.82,11.88,18522
20240408,12.04,12.04,12,12,7896
20240409,12.05,12.05,11.94,11.96,34293
20240410,11.96,11.98,11.96,11.97,6151
20240411,12.05,12.17,12.04,12.07,8734
20240412,12.13,12.27,12.13,12.25,9054
20240415,12.2,12.3,12.18,12.19,19668
20240416,12.5,12.5,12.03,12.06,23803
20240417,12.1,12.21,12.08,12.08,13376
20240418,12.1,12.1,11.89,11.93,18489
20240419,11.9,11.9,11.7,11.77,25520
20240422,11.77,11.85,11.54,11.59,9189
20240423,11.62,11.62,11.58,11.61,35533
20240424,11.82,11.82,11.76,11.79,13071
20240426,11.85,11.92,11.81,11.81,6464
20240429,11.94,11.94,11.8,11.83,23781
20240430,11.84,11.89,11.83,11.89,6962
20240501,11.91,11.91,11.71,11.71,5188
20240502,11.7,11.9,11.64,11.64,9857
20240503,11.75,11.76,11.73,11.73,8750
20240506,11.91,11.91,11.83,11.84,6973
20240507,11.94,11.99,11.925,11.97,8269
20240508,12.02,12.06,12.02,12.03,6509
20240509,12.02,12.03,11.99,12,8325
20240510,11.99,12.01,11.98,12.01,7720
20240513,12.04,12.07,12.03,12.07,3246
20240514,12.05,12.07,12.05,12.06,4985
20240515,12.1,12.12,12.06,12.08,4773
20240516,12.18,12.21,12.15,12.21,31053
20240517,12.16,12.2,12.15,12.19,16286
20240520,12.31,12.31,12.125,12.14,3253
20240521,12.25,12.28,12.25,12.27,4600
20240522,12.93,12.93,12.29,12.31,8175
20240523,12.43,12.5,12.42,12.49,8711
20240524,12.5,12.51,12.38,12.39,11713
20240527,12.5,12.5,12.42,12.44,20106
20240528,12.52,12.52,12.41,12.42,13644
20240529,12.62,12.62,12.45,12.45,23394
20240530,12.7,12.7,12.41,12.44,21901
20240531,12.58,12.58,12.24,12.25,31461
20240603,12.42,12.42,12.27,12.32,6129
20240604,12.5,12.62,12.26,12.28,11527
20240605,12.62,12.62,12.38,12.38,5576
20240606,12.62,12.65,12.59,12.65,11637
20240607,12.63,12.63,12.6,12.62,22417
20240611,12.89,12.89,12.75,12.76,2063
20240612,12.89,12.89,12.83,12.85,8792
