Date,Open,High,Low,Close,Volume
20140919,15.36,15.36,15.29,15.29,23435
20140922,15.32,15.32,15.22,15.23,15444
20140923,15.28,15.28,15.25,15.25,23140
20140924,15.22,15.25,15.2,15.2,51087
20140925,15.34,15.41,15.33,15.41,31950
20140926,15.38,15.38,15.22,15.31,27223
20140929,15.41,15.47,15.39,15.47,22120
20140930,15.44,15.45,15.35,15.37,13723
20141001,15.33,15.46,15.32,15.45,16660
20141002,15.17,15.17,15.07,15.07,4510
20141003,15.09,15.1,15.09,15.1,3770
20141006,15.42,15.42,15.42,15.42,1500
20141007,15.24,15.28,15.23,15.28,4054
20141008,14.97,15.06,14.96,15.06,8419
20141009,15.17,15.19,15.14,15.15,4250
20141010,14.95,15,14.95,15,18538
20141013,14.89,14.89,14.78,14.78,8455
20141014,14.61,14.68,14.59,14.59,5906
20141015,14.8,14.8,14.72,14.72,8833
20141016,14.36,14.43,14.36,14.43,32229
20141017,14.53,14.55,14.51,14.53,20509
20141020,14.72,14.73,14.67,14.67,13684
20141021,14.75,14.75,14.65,14.65,17300
20141022,14.9,14.9,14.88,14.88,27650
20141023,14.93,14.93,14.92,14.93,5245
20141024,15.02,15.02,14.98,14.98,257419
20141027,14.98,14.98,14.95,14.96,27981
20141028,14.95,14.95,14.93,14.94,4732
20141029,14.93,14.93,14.92,14.92,14884
20141030,15.07,15.09,15.07,15.08,18710
20141031,15.03,15.04,15.02,15.04,12605
20141103,15.04,15.04,15.04,15.04,0
20141104,15.28,15.32,15.27,15.29,12477
20141105,15.2,15.2,15.17,15.18,13089
20141106,15.49,15.51,15.45,15.46,16632
20141107,15.55,15.56,15.51,15.56,11900
20141110,15.42,15.42,15.37,15.37,13893
20141111,15.45,15.45,15.43,15.43,9145
20141112,15.34,15.38,15.33,15.38,16056
20141113,15.3,15.33,15.27,15.32,28296
20141114,15.31,15.35,15.31,15.35,1128
20141117,15.23,15.23,15.17,15.17,8894
20141118,15.29,15.3,15.29,15.29,57047
20141119,15.34,15.4,15.34,15.39,5338
20141120,15.52,15.52,15.52,15.52,3360
20141121,15.45,15.45,15.42,15.42,9010
20141124,15.42,15.43,15.39,15.42,11094
20141125,15.48,15.52,15.48,15.49,25861
20141126,15.59,15.64,15.59,15.64,3915
20141127,15.62,15.62,15.55,15.55,45027
20141128,15.7,15.7,15.69,15.69,4500
20141201,15.67,15.75,15.67,15.68,27766
20141202,15.69,15.69,15.54,15.57,29183
20141203,15.76,15.88,15.76,15.85,17406
20141204,15.91,15.94,15.85,15.91,12014
20141205,15.94,15.97,15.94,15.95,8135
20141208,16.15,16.15,16.09,16.15,23517
20141209,16.04,16.12,16.04,16.11,42832
20141210,16.02,16.08,15.97,15.98,8238
20141211,15.9,15.9,15.68,15.76,6195
20141212,15.89,15.92,15.85,15.85,28321
20141215,15.85,15.85,15.68,15.8,23790
20141216,15.68,15.7,15.67,15.68,21255
20141217,15.58,15.69,15.55,15.68,16170
20141218,16.04,16.06,15.99,16,21446
20141219,16.34,16.36,16.3,16.32,21125
20141222,16.41,16.45,16.4,16.41,31666
20141223,16.54,16.56,16.51,16.56,25578
20141224,16.69,16.71,16.68,16.71,7200
20141229,16.64,16.64,16.6,16.6,10018
20141230,16.61,16.65,16.61,16.65,9971
20141231,16.49,16.49,16.46,16.46,5584
20150102,16.18,16.22,16.18,16.19,4800
20150105,16.18,16.2,16.18,16.2,282
20150106,16.16,16.16,15.9,15.9,16597
20150107,15.89,15.89,15.86,15.89,11779
20150108,16.14,16.14,16.13,16.13,1050
20150109,16.23,16.23,16.16,16.16,5865
20150112,15.9,15.9,15.85,15.88,6175
20150113,15.94,15.94,15.84,15.9,5793
20150114,15.8,15.94,15.75,15.94,39331
20150115,15.77,15.83,15.66,15.66,288885
20150116,15.45,15.48,15.33,15.38,44251
20150119,15.69,15.7,15.64,15.69,26735
20150120,15.7,15.79,15.7,15.79,23686
20150121,15.8,15.81,15.73,15.73,32127
20150122,16.04,16.1,16.02,16.1,11574
20150123,16.36,16.36,16.36,16.36,3900
20150127,16.54,16.61,16.54,16.54,25334
20150128,16.45,16.48,16.32,16.38,54502
20150129,16.27,16.35,16.27,16.35,7949
20150130,16.67,16.68,16.63,16.63,14065
20150202,16.52,16.53,16.46,16.53,16915
20150203,16.63,16.91,16.59,16.9,20815
20150204,16.84,16.85,16.8,16.81,7164
20150205,16.79,16.81,16.73,16.77,16317
20150206,16.88,16.88,16.79,16.82,11050
20150209,16.88,16.93,16.86,16.91,20133
20150210,16.85,16.85,16.76,16.76,5954
20150211,17.02,17.02,16.97,17,12516
20150212,17.16,17.28,17.15,17.24,26133
20150213,17.22,17.22,17.08,17.08,16765
20150216,17.17,17.17,17.1,17.11,12772
20150217,17.12,17.12,17.08,17.08,5982
20150218,17.1,17.1,17.05,17.05,17686
20150219,17.07,17.11,17.05,17.11,24500
20150220,17.12,17.12,17.1,17.1,14895
20150223,17.14,17.17,17.11,17.17,17488
20150224,17.25,17.31,17.21,17.31,13650
20150225,17.19,17.19,17.12,17.12,4755
20150226,17.1,17.18,17.1,17.17,16850
20150227,17.26,17.29,17.26,17.29,8557
20150302,17.34,17.38,17.3,17.35,23761
20150303,17.42,17.42,17.25,17.25,22685
20150304,17.19,17.24,17.19,17.22,11082
20150305,17.16,17.16,17.12,17.14,10310
20150306,17.14,17.14,17.14,17.14,0
20150309,17.17,17.18,17.17,17.18,4950
20150310,17.34,17.4,17.32,17.39,14950
20150311,17.15,17.32,17.15,17.31,25808
20150312,17.2,17.28,17.17,17.28,13276
20150313,17.17,17.26,17.17,17.26,14616
20150316,17.21,17.21,17.15,17.2,14264
20150317,17.39,17.44,17.36,17.41,12080
20150318,17.42,17.45,17.4,17.45,14128
20150319,17.3,17.38,17.27,17.38,16465
20150320,17.47,17.48,17.45,17.47,16340
20150323,17.37,17.37,17.26,17.27,11308
20150324,17.09,17.18,17.08,17.17,15750
20150325,17.08,17.08,17,17.04,9830
20150326,16.92,16.94,16.89,16.93,25164
20150327,16.9,16.99,16.88,16.99,8681
20150330,17.11,17.19,17.05,17.16,15621
20150331,17.43,17.5,17.43,17.47,3691
20150401,17.15,17.15,16.96,16.96,12335
20150402,17.12,17.18,17.12,17.14,12250
20150407,17.3,17.3,17.12,17.12,2375
20150408,17.12,17.16,17.08,17.08,5750
20150409,17.14,17.14,17.1,17.12,4336
20150410,17.12,17.19,17.12,17.19,4651
20150413,17.3,17.51,17.3,17.51,19010
20150414,17.4,17.45,17.36,17.45,20283
20150415,17.42,17.46,17.41,17.44,31124
20150416,17.37,17.37,17.15,17.23,22810
20150417,17.11,17.13,17.04,17.11,21326
20150420,17.01,17.01,16.9,16.9,8070
20150421,17.2,17.21,17.18,17.21,26564
20150422,17.19,17.19,17.07,17.07,6200
20150423,17.17,17.17,17.12,17.12,5400
20150424,17.1,17.13,17.09,17.1,6939
20150427,17.03,17.05,17.03,17.05,1800
20150428,16.86,16.88,16.86,16.88,6150
20150429,16.68,16.69,16.68,16.69,32300
20150430,16.58,16.62,16.58,16.6,4437
20150501,16.69,16.78,16.69,16.76,12108
20150504,17.01,17.03,16.99,17.01,23641
20150505,16.99,17.03,16.9,16.9,14159
20150506,16.74,16.74,16.64,16.64,8195
20150507,16.63,16.63,16.53,16.59,6982
20150508,16.78,16.88,16.75,16.75,642
20150511,16.94,16.99,16.94,16.99,13898
20150512,16.91,16.92,16.87,16.88,9416
20150513,16.88,16.88,16.88,16.88,0
20150514,16.5,16.5,16.41,16.45,13692
20150515,16.72,16.72,16.69,16.72,3900
20150518,16.75,16.78,16.75,16.77,6481
20150519,16.84,16.88,16.84,16.85,30730
20150520,16.97,16.98,16.97,16.98,5181
20150521,17.01,17.02,17.01,17.02,200
20150522,17.09,17.09,17.04,17.06,10471
20150525,17.23,17.25,17.23,17.24,25053
20150526,17.15,17.19,17.15,17.19,2025
20150527,17.26,17.26,17.24,17.24,5453
20150528,17.37,17.55,17.37,17.55,4022
20150529,17.6,17.6,17.59,17.59,5225
20150601,17.5,17.52,17.5,17.52,1100
20150602,17.58,17.61,17.44,17.44,9436
20150603,17.28,17.28,17.17,17.17,5070
20150604,17.33,17.42,17.33,17.39,13081
20150605,17.39,17.39,17.39,17.39,2917
20150609,17.26,17.26,17.17,17.2,15932
20150610,17.24,17.31,17.2,17.2,15363
20150611,17.33,17.33,17.23,17.25,14891
20150612,17.33,17.34,17.33,17.34,9789
20150615,17.19,17.21,17.19,17.21,875
20150616,17.08,17.09,17.08,17.09,2473
20150617,17.2,17.31,17.2,17.31,8944
20150618,17.24,17.26,17.21,17.22,8292
20150619,17.27,17.34,17.27,17.34,3000
20150622,17.32,17.32,17.21,17.26,4808
20150623,17.5,17.57,17.5,17.52,4740
20150624,17.5,17.5,17.48,17.48,10977
20150625,17.37,17.39,17.37,17.39,1530
20150626,17.35,17.37,17.34,17.37,6186
20150629,17.34,17.34,17.3,17.31,10350
20150630,17.17,17.17,17.17,17.17,1150
20150701,16.87,16.9,16.86,16.9,3775
20150702,17.1,17.15,17.1,17.13,28229
20150703,17.13,17.23,17.12,17.23,1648
20150706,17.25,17.3,17.21,17.29,7490
20150707,17.54,17.54,17.46,17.51,2356
20150708,17.59,17.59,17.59,17.59,1
20150709,17.46,17.46,17.38,17.38,2700
20150710,17.43,17.43,17.43,17.43,575
20150713,17.56,17.56,17.55,17.55,655
20150714,17.9,17.93,17.85,17.85,3110
20150715,17.85,17.85,17.84,17.85,3380
20150716,18.06,18.1,18.06,18.1,5025
20150717,18.04,18.07,18.04,18.06,9368
20150720,18.23,18.27,18.17,18.17,5885
20150721,18.25,18.25,18.25,18.25,4795
20150722,18.4,18.4,18,18.03,26731
20150723,18.16,18.17,18.16,18.16,4497
20150724,18.07,18.27,18.07,18.25,26900
20150727,18.14,18.14,18.06,18.09,19800
20150728,18.04,18.04,17.98,18,10743
20150729,18.06,18.08,18.01,18.06,9199
20150730,18.25,18.25,18.2,18.2,23187
20150731,18.23,18.29,18.23,18.29,818
20150803,18.25,18.27,18.21,18.27,7655
20150804,18.26,18.26,18.12,18.12,14450
20150805,17.97,18,17.97,18,6283
20150806,18.15,18.15,18.14,18.14,3831
20150807,18,18,17.9,17.9,10560
20150810,17.84,17.88,17.82,17.88,13442
20150811,18.16,18.17,18.13,18.16,3098
20150812,18.09,18.17,18.09,18.12,2725
20150813,17.91,17.97,17.9,17.95,28440
20150814,17.94,17.97,17.94,17.96,2971
20150817,18.01,18.01,18,18,1110
20150818,18.11,18.11,18.09,18.09,29500
20150819,18.13,18.16,18.1,18.14,16046
20150820,17.95,17.97,17.91,17.97,15895
20150821,17.6,17.63,17.5,17.54,10327
20150824,17.25,17.27,17.03,17.03,37955
20150825,16.88,17.04,16.83,16.83,17982
20150826,16.72,17.03,16.72,17.03,50721
20150827,17.48,17.48,17.4,17.45,49022
20150828,17.7,17.7,17.61,17.66,23281
20150831,17.65,17.68,17.56,17.64,27161
20150901,17.4,17.41,17.35,17.41,2227
20150902,17.45,17.61,17.45,17.57,12955
20150903,17.65,17.75,17.65,17.75,18460
20150904,17.7,17.78,17.7,17.73,28295
20150907,17.76,17.89,17.76,17.87,22950
20150908,17.87,17.87,17.81,17.83,20311
20150909,17.91,17.97,17.85,17.97,9425
20150910,17.84,17.84,17.77,17.84,7248
20150911,17.72,17.72,17.72,17.72,992
20150914,17.72,17.74,17.72,17.74,2247
20150915,17.49,17.58,17.49,17.56,3892
20150916,17.74,17.74,17.7,17.7,21712
20150917,17.7,17.76,17.7,17.75,17334
20150918,17.72,17.72,17.7,17.7,3306
20150921,17.41,17.45,17.38,17.45,17342
20150922,17.66,17.69,17.62,17.62,10249
20150923,17.56,17.58,17.53,17.53,5394
20150924,17.76,17.76,17.69,17.69,23185
20150925,17.66,17.72,17.66,17.72,7500
20150928,17.56,17.56,17.52,17.53,5588
20150929,17.34,17.37,17.29,17.29,55172
20150930,17.36,17.4,17.36,17.4,4100
20151001,17.23,17.3,17.19,17.28,16374
20151002,17.31,17.32,17.25,17.29,9395
20151005,17.49,17.49,17.43,17.43,3696
20151006,17.64,17.65,17.48,17.48,2702
20151007,17.39,17.41,17.34,17.4,65766
20151008,17.46,17.47,17.4,17.4,16260
20151009,17.43,17.43,17.39,17.41,19334
20151012,17.35,17.35,17.28,17.31,10251
20151013,17.29,17.39,17.27,17.39,10123
20151014,17.52,17.52,17.48,17.49,11617
20151015,17.28,17.28,17.2,17.22,47577
20151016,17.42,17.51,17.4,17.51,17961
20151019,17.58,17.58,17.51,17.53,10145
20151020,17.65,17.65,17.59,17.59,9811
20151021,18.1,18.1,17.55,17.61,16917
20151022,17.6,17.63,17.58,17.6,10961
20151023,17.92,17.92,17.77,17.78,21783
20151026,17.93,17.93,17.8,17.8,14726
20151027,17.82,17.87,17.82,17.87,9726
20151028,17.97,18.17,17.95,18.17,15682
20151029,18.29,18.3,18.22,18.25,22270
20151030,18.34,18.44,18.25,18.34,11862
20151102,18.34,18.34,18.12,18.12,13073
20151103,18.25,18.25,18.1,18.1,9632
20151104,18.19,18.19,18.1,18.14,16096
20151105,18.28,18.29,18.25,18.27,9737
20151106,18.26,18.26,18.23,18.26,13405
20151109,18.44,18.55,18.35,18.5,10516
20151110,18.46,18.46,18.41,18.46,24460
20151111,18.54,18.54,18.43,18.46,12009
20151112,18.4,18.4,18.22,18.25,25579
20151113,18.1,18.1,18.02,18.03,22544
20151116,18.5,18.5,17.8,17.9,18377
20151117,18.25,18.29,18.19,18.29,18528
20151118,18.22,18.26,18.2,18.25,39535
20151119,18.4,18.41,18.28,18.3,14287
20151120,18.21,18.21,18.15,18.18,23257
20151123,18.14,18.28,18.11,18.27,4802
20151124,18.2,18.22,18.15,18.18,17215
20151125,18.05,18.06,18,18.04,13058
20151126,18.11,18.17,18.11,18.13,18815
20151127,18.25,18.25,18.18,18.22,8883
20151130,18.21,18.29,18.21,18.24,10822
20151201,18.11,18.16,18.05,18.08,8519
20151202,17.99,18.03,17.93,18.02,38026
20151203,17.94,17.97,17.89,17.89,67937
20151204,18,18,17.64,17.68,36634
20151207,17.86,17.91,17.85,17.89,28725
20151208,18,18.05,17.98,18.05,12211
20151209,17.98,18.01,17.94,18,5250
20151210,17.84,17.85,17.6,17.73,50225
20151211,17.79,17.87,17.78,17.86,7441
20151214,17.63,17.71,17.63,17.66,57600
20151215,17.61,17.62,17.55,17.56,34322
20151216,17.9,17.94,17.9,17.94,42107
20151217,18,18.15,18,18.12,10046
20151218,18.18,18.18,17.84,17.92,16528
20151221,17.75,17.75,17.6,17.66,11891
20151222,17.75,17.75,17.66,17.67,17207
20151223,17.77,17.77,17.7,17.73,15787
20151224,17.91,17.95,17.9,17.9,5878
20151229,17.81,17.94,17.72,17.72,7692
20151230,17.8,17.83,17.8,17.8,3430
20151231,17.79,17.79,17.73,17.73,3386
20160104,17.73,17.73,17.35,17.41,17820
20160105,17.42,17.48,17.42,17.45,15987
20160106,17.5,17.56,17.47,17.5,7724
20160107,18,18,17.41,17.45,5898
20160108,17.4,17.4,17.17,17.29,24606
20160111,17.22,17.22,17.05,17.13,6631
20160112,17.19,17.19,17.1,17.11,5264
20160113,17.2,17.27,17.2,17.23,11539
20160114,16.97,17.02,16.93,16.97,35976
20160115,17.14,17.15,17.09,17.09,6562
20160118,17.02,17.07,16.94,17.01,17245
20160119,17.06,17.15,17.06,17.15,3114
20160120,17.07,17.07,16.81,16.82,4372
20160121,16.83,16.93,16.79,16.93,14312
20160122,17.1,17.1,16.62,16.72,15354
20160125,16.97,16.99,16.91,16.93,26246
20160127,16.9,16.9,16.77,16.78,8061
20160128,16.74,16.79,16.69,16.74,10359
20160129,16.74,16.74,16.61,16.72,11052
20160201,16.99,17.04,16.96,16.98,22864
20160202,16.93,16.93,16.87,16.87,22054
20160203,16.86,16.93,16.86,16.93,9283
20160204,16.69,16.74,16.61,16.74,13466
20160205,16.63,16.65,16.57,16.65,6602
20160208,16.65,16.7,16.65,16.69,3390
20160209,16.5,16.5,16.43,16.46,7772
20160210,16.46,16.5,16.42,16.42,3885
20160211,16.34,16.34,16.2,16.32,10491
20160212,16.18,16.23,16.15,16.19,18803
20160215,16.52,16.57,16.48,16.51,11915
20160216,16.66,16.66,16.6,16.65,6384
20160217,16.73,16.73,16.73,16.73,1900
20160218,16.9,16.96,16.82,16.96,10786
20160219,16.9,16.9,16.84,16.84,986
20160222,16.82,16.85,16.82,16.85,905
20160223,16.82,16.83,16.71,16.79,19763
20160224,16.79,16.79,16.7,16.79,4475
20160225,16.83,16.97,16.83,16.92,5793
20160226,16.91,16.91,16.82,16.82,465
20160229,17.06,17.17,17.01,17.01,10010
20160301,17.04,17.04,17,17.04,2640
20160302,17.21,17.21,17.08,17.08,17008
20160303,16.99,17,16.92,16.97,52170
20160304,16.82,16.88,16.8,16.85,22115
20160307,16.73,16.76,16.7,16.7,15844
20160308,16.67,16.72,16.64,16.72,23109
20160309,16.67,16.7,16.62,16.62,13180
20160310,16.6,16.62,16.6,16.6,20827
20160311,16.61,16.67,16.61,16.63,13020
20160314,16.55,16.55,16.41,16.47,13966
20160315,16.69,16.69,16.64,16.65,4546
20160316,16.75,16.77,16.68,16.76,9736
20160317,16.62,16.62,16.46,16.5,18706
20160318,16.38,16.39,16.27,16.37,16306
20160321,16.47,16.47,16.45,16.47,6010
20160322,16.5,16.58,16.5,16.52,13960
20160323,16.47,16.48,16.4,16.42,11072
20160324,16.54,16.6,16.54,16.6,21010
20160329,16.54,16.54,16.49,16.53,24279
20160330,16.5,16.52,16.49,16.51,18426
20160331,16.45,16.47,16.44,16.45,34224
20160401,16.11,16.14,16.07,16.07,3983
20160404,16.14,16.31,16.14,16.28,22220
20160405,16.32,16.32,16.25,16.27,5597
20160406,16.35,16.36,16.3,16.34,6330
