Date,Open,High,Low,Close,Volume
20230926,49.81,49.81,49.61,49.61,4
20230927,49.61,49.61,49.61,49.61,0
20230928,49.55,49.55,49.44,49.49,5808
20230929,49.58,49.58,49.55,49.55,2046
20231002,49.55,49.55,49.49,49.49,5643
20231003,49.1,49.17,49.1,49.15,251
20231004,48.8,48.8,48.64,48.65,2411
20231005,49.12,49.15,49.12,49.15,2
20231006,49.09,49.12,49.09,49.12,4587
20231009,49.05,49.06,49.03,49.06,26
20231010,49,49.47,49,49.47,18200
20231011,49.42,49.49,49.42,49.45,5053
20231012,49.78,49.78,49.78,49.78,1606
20231013,49.78,49.78,49.78,49.78,0
20231016,49.78,49.78,49.78,49.78,0
20231017,49.07,49.07,49.07,49.07,1
20231018,48.75,48.75,48.75,48.75,1228
20231019,48.43,48.43,48.27,48.3,904
20231020,48.28,48.28,48.28,48.28,200
20231023,48.34,48.34,48.29,48.29,392
20231024,48.67,48.67,48.6,48.6,2000
20231025,48.78,48.78,48.77,48.77,14227
20231026,48.38,48.4,48.27,48.32,16719
20231027,48.74,48.74,48.74,48.74,2
20231030,48.74,48.74,48.74,48.74,0
20231031,48.47,48.65,48.47,48.65,470
20231101,48.51,48.51,48.51,48.51,744
20231102,49.22,49.22,49.16,49.16,3234
20231103,49.3,49.3,49.3,49.3,128
20231106,49.68,49.71,49.68,49.71,68
20231107,49.56,49.56,49.56,49.56,2009
20231108,49.77,49.77,49.61,49.61,405
20231109,49.94,49.94,49.93,49.93,801
20231110,49.44,49.44,49.44,49.44,162
20231113,49.44,49.44,49.44,49.44,0
20231114,49.35,49.36,49.35,49.36,51
20231115,50.13,50.19,50.09,50.19,500
20231116,49.85,49.93,49.85,49.93,381
20231117,50.13,50.15,50.13,50.15,6281
20231120,50.06,50.12,50.06,50.12,1310
20231121,50.25,50.26,50.25,50.26,8202
20231122,50.26,50.27,50.26,50.27,2147
20231123,50.27,50.27,50.27,50.27,0
20231124,50.06,50.06,50,50,2
20231127,50,50,49.91,49.91,1899
20231128,50.25,50.25,50.25,50.25,40978
20231129,50.14,50.7,50.14,50.69,42698
20231130,50.83,50.83,50.82,50.83,5281
20231201,50.6,50.6,50.55,50.55,57
20231204,50.92,50.92,50.89,50.91,2886
20231205,50.92,50.92,50.92,50.92,294
20231206,51.17,51.18,51.12,51.13,16601
20231207,51.47,51.47,51.47,51.47,500
20231208,51.32,51.32,51.27,51.27,701
20231211,50.98,50.98,50.95,50.95,2441
20231212,50.95,50.95,50.95,50.95,0
20231213,51.24,51.24,51.17,51.17,216
20231214,51.93,51.97,51.93,51.97,386
20231215,52.06,52.09,52.06,52.09,328
20231218,52.11,52.24,52.11,52.24,6
20231219,52.2,52.21,52.06,52.06,13702
20231220,52.24,52.24,52.24,52.24,382
20231221,52.44,52.45,52.44,52.45,3
20231222,52.25,52.25,52.25,52.25,50
20231227,52.33,52.33,52.31,52.31,3
20231228,52.67,52.67,52.67,52.67,5
20231229,52.67,52.67,52.45,52.45,69
20240102,52.33,52.33,51.83,51.87,18866
20240103,51.83,51.84,51.77,51.77,66
20240104,51.96,51.96,51.96,51.96,9
20240105,51.65,51.7,51.56,51.6,334
20240108,51.56,51.56,51.33,51.41,599
20240109,51.58,51.65,51.58,51.6,8003
20240110,51.69,51.69,51.62,51.62,21
20240111,51.62,51.62,51.61,51.62,291
20240112,51.9,51.9,51.9,51.9,8
20240115,51.89,51.94,51.89,51.94,6
20240116,51.75,51.9,51.75,51.89,7488
20240117,51.52,51.61,51.51,51.57,505
20240118,51.39,51.39,51.39,51.39,9000
20240119,51.18,51.18,51.18,51.18,3303
20240122,51.24,51.32,51.24,51.32,978
20240123,51.31,51.43,51.31,51.43,16657
20240124,51.27,51.27,51.27,51.27,11
20240125,51.1,51.18,51.07,51.18,1212
20240129,51.37,51.37,51.18,51.32,908
20240130,51.32,51.32,51.32,51.32,0
20240131,51.68,51.68,51.6,51.6,203
20240201,52,52.05,52,52.05,202
20240202,52.28,52.31,52.17,52.17,400
20240205,51.7,51.7,51.4,51.53,9412
20240206,51.22,51.25,51.16,51.25,569
20240207,51.43,51.49,51.43,51.49,1312
