Date,Open,High,Low,Close,Volume
20110201,10.04,10.04,9.99,9.99,6937
20110202,9.9,9.9,9.88,9.88,37038
20110203,9.9,9.91,9.89,9.91,50140
20110204,9.88,9.88,9.82,9.83,23967
20110207,9.88,9.89,9.86,9.87,32335
20110208,9.87,9.87,9.87,9.87,5000
20110209,9.86,9.88,9.86,9.87,302000
20110210,9.89,9.94,9.88,9.94,177020
20110211,10,10.02,9.98,10.01,10380
20110214,9.97,9.99,9.96,9.96,10654
20110215,9.98,9.98,9.95,9.95,5301
20110216,10.01,10.01,10,10,3347
20110217,10.01,10.01,9.97,9.98,362937
20110218,9.97,9.97,9.89,9.89,15610
20110221,9.86,9.89,9.86,9.89,3405
20110222,9.93,9.99,9.93,9.99,30200
20110223,9.98,9.99,9.97,9.99,7500
20110224,9.97,9.97,9.93,9.93,7890
20110225,9.9,9.9,9.88,9.88,39625
20110228,9.87,9.89,9.86,9.86,2502
20110301,9.86,9.86,9.81,9.86,176280
20110302,9.88,9.89,9.88,9.89,4700
20110303,9.85,9.86,9.85,9.85,26402
20110304,9.9,9.9,9.87,9.88,12300
20110307,9.86,9.89,9.86,9.88,18968
20110308,9.9,9.9,9.89,9.9,11720
20110309,9.91,9.95,9.91,9.94,68069
20110310,9.95,9.97,9.9,9.96,102635
20110311,10.01,10.01,9.98,9.98,65500
20110314,9.94,9.95,9.89,9.94,40366
20110315,9.95,10.08,9.93,10.06,45700
20110316,10.1,10.11,10.06,10.1,19754
20110317,10.21,10.25,10.18,10.22,41505
20110318,10.22,10.22,10.07,10.08,345012
20110321,10.06,10.06,9.99,10,856300
20110322,9.96,9.97,9.95,9.96,807189
20110323,9.92,9.95,9.91,9.91,677630
20110324,9.89,9.89,9.88,9.89,712427
20110325,9.81,9.83,9.8,9.81,222102
20110328,9.77,9.77,9.75,9.76,252189
20110329,9.78,9.78,9.76,9.76,81371
20110330,9.73,9.75,9.69,9.7,123552
20110331,9.7,9.71,9.68,9.7,87547
20110401,9.7,9.7,9.67,9.67,47371
20110404,9.62,9.64,9.61,9.64,91418
20110405,9.7,9.7,9.67,9.69,50402
20110406,9.69,9.69,9.64,9.64,16335
20110407,9.6,9.6,9.55,9.57,218302
20110408,9.56,9.57,9.5,9.52,80154
20110411,9.47,9.5,9.46,9.48,45550
20110412,9.56,9.63,9.55,9.61,65234
20110413,9.6,9.6,9.53,9.55,27302
20110414,9.55,9.56,9.49,9.5,22766
20110415,9.49,9.52,9.47,9.51,14911
20110418,9.49,9.5,9.47,9.47,31945
20110419,9.55,9.57,9.54,9.56,15553
20110420,9.49,9.49,9.44,9.46,113791
20110421,9.44,9.44,9.3,9.32,290631
20110427,9.3,9.3,9.25,9.25,192469
20110428,9.23,9.23,9.15,9.18,155256
20110429,9.17,9.2,9.16,9.18,213614
20110502,9.14,9.17,9.1,9.16,354879
20110503,9.16,9.2,9.15,9.17,90296
20110504,9.22,9.28,9.22,9.24,66991
20110505,9.32,9.35,9.3,9.3,498600
20110506,9.41,9.43,9.32,9.35,145819
20110509,9.32,9.32,9.27,9.28,152539
20110510,9.27,9.31,9.26,9.31,127233
20110511,9.23,9.23,9.19,9.2,30857
20110512,9.35,9.43,9.33,9.4,155415
20110513,9.38,9.41,9.37,9.38,56031
20110516,9.46,9.49,9.46,9.47,78001
20110517,9.45,9.48,9.44,9.44,373013
20110518,9.4,9.41,9.39,9.39,46554
20110519,9.37,9.39,9.36,9.39,31027
20110520,9.37,9.38,9.36,9.37,16865
20110523,9.39,9.48,9.39,9.48,181850
20110524,9.51,9.52,9.47,9.47,72991
20110525,9.47,9.56,9.46,9.56,88268
20110526,9.5,9.5,9.42,9.42,158330
20110527,9.41,9.42,9.34,9.34,23728
20110530,9.34,9.36,9.34,9.36,20846
20110531,9.33,9.33,9.29,9.32,77405
20110601,9.35,9.36,9.29,9.29,239333
20110602,9.42,9.44,9.37,9.4,51168
20110603,9.36,9.37,9.34,9.36,843755
20110606,9.29,9.3,9.27,9.29,148747
20110607,9.32,9.36,9.3,9.33,85783
20110608,9.32,9.38,9.32,9.35,25838
20110609,9.37,9.45,9.36,9.42,507483
20110610,9.39,9.43,9.39,9.43,62861
20110614,9.43,9.44,9.38,9.38,58544
20110615,9.34,9.36,9.34,9.35,21382
20110616,9.44,9.49,9.44,9.48,61043
20110617,9.45,9.51,9.44,9.5,1431248
20110620,9.43,9.46,9.41,9.46,8995
20110621,9.42,9.47,9.41,9.46,66245
20110622,9.43,9.45,9.41,9.41,23000
20110623,9.44,9.48,9.44,9.46,13533
20110624,9.46,9.49,9.45,9.48,47191
