Date,Open,High,Low,Close,Volume
20220705,10.1,10.1,10.1,10.1,1000
20220706,10.1,10.1,10.1,10.1,0
20220707,10.1,10.1,10.1,10.1,0
20220708,10.1,10.1,10.1,10.1,0
20220711,10.1,10.1,10.1,10.1,0
20220712,10.1,10.1,10.1,10.1,0
20220713,10.1,10.1,10.1,10.1,0
20220714,10.1,10.1,10.1,10.1,0
20220715,10.17,10.17,10.17,10.17,2000
20220718,10.24,10.24,10.24,10.24,22500
20220719,10.24,10.24,10.24,10.24,0
20220720,10.24,10.24,10.24,10.24,0
20220721,10.24,10.24,10.24,10.24,0
20220722,10.24,10.24,10.24,10.24,0
20220725,10.53,10.53,10.53,10.53,48
20220726,10.48,10.48,10.48,10.48,200
20220727,10.42,10.42,10.42,10.42,100
20220728,10.42,10.42,10.42,10.42,0
20220729,10.42,10.42,10.42,10.42,0
20220801,10.65,10.65,10.65,10.65,50
20220802,10.65,10.65,10.65,10.65,0
20220803,10.65,10.65,10.65,10.65,0
20220804,10.65,10.65,10.65,10.65,0
20220805,10.65,10.65,10.65,10.65,0
20220808,10.65,10.65,10.65,10.65,0
20220809,10.65,10.65,10.65,10.65,0
20220810,10.61,10.61,10.61,10.61,1218
20220811,10.75,10.75,10.75,10.75,2893
20220812,10.75,10.75,10.75,10.75,0
20220815,10.75,10.75,10.75,10.75,0
20220816,10.77,10.77,10.77,10.77,92
20220817,10.77,10.77,10.77,10.77,0
20220818,10.77,10.77,10.77,10.77,0
20220819,10.77,10.77,10.77,10.77,0
20220822,10.77,10.77,10.77,10.77,0
20220823,10.77,10.77,10.77,10.77,0
20220824,10.77,10.77,10.77,10.77,0
20220825,10.77,10.77,10.77,10.77,0
20220826,10.77,10.77,10.77,10.77,0
20220829,10.77,10.77,10.77,10.77,0
20220830,10.32,10.32,10.32,10.32,370
20220831,10.32,10.32,10.32,10.32,0
20220901,10.16,10.16,10.16,10.16,100
20220902,10.16,10.16,10.16,10.16,0
20220905,10.16,10.16,10.16,10.16,0
20220906,10.16,10.16,10.16,10.16,0
20220907,10.16,10.16,10.16,10.16,0
20220908,10.16,10.16,10.16,10.16,0
20220909,10.16,10.16,10.16,10.16,0
20220912,10.16,10.16,10.16,10.16,0
20220913,10.16,10.16,10.16,10.16,0
20220914,10.16,10.16,10.16,10.16,0
20220915,10.16,10.16,10.16,10.16,0
20220916,10.16,10.16,10.16,10.16,0
20220919,10.16,10.16,10.16,10.16,0
20220920,10.16,10.16,10.16,10.16,0
20220921,10.09,10.09,10.09,10.09,92
20220923,10.01,10.03,10.01,10.03,498
20220926,10.03,10.03,10.03,10.03,0
20220927,10.03,10.03,10.03,10.03,0
20220928,9.73,9.73,9.73,9.73,763
20220929,9.73,9.73,9.73,9.73,0
20220930,9.73,9.73,9.73,9.73,0
20221003,9.58,9.58,9.58,9.58,1040
20221004,9.58,9.58,9.58,9.58,0
20221005,9.58,9.58,9.58,9.58,0
20221006,9.58,9.58,9.58,9.58,0
20221007,9.58,9.58,9.58,9.58,0
20221010,9.64,9.64,9.64,9.64,2000
20221011,9.57,9.57,9.57,9.57,4754
20221012,9.57,9.57,9.57,9.57,0
20221013,9.66,9.66,9.66,9.66,1020
20221014,9.66,9.66,9.66,9.66,220
