Date,Open,High,Low,Close,Volume
20220707,10.01,10.01,10.01,10.01,1
20220708,10.01,10.01,10.01,10.01,0
20220711,10.01,10.01,10.01,10.01,258
20220712,9.98,9.98,9.98,9.98,17500
20220713,9.99,9.99,9.99,9.99,30000
20220714,9.96,9.96,9.95,9.95,35000
20220715,10,10,10,10,100
20220718,10,10,10,10,0
20220719,10,10,10,10,0
20220720,10,10,10,10,0
20220721,10,10,10,10,0
20220722,10.03,10.04,10.03,10.03,35190
20220725,10.04,10.04,10.03,10.03,37500
20220726,10.03,10.03,10.03,10.03,0
20220727,10.03,10.03,10.03,10.03,0
20220728,10.06,10.06,10.04,10.04,2499
20220729,10.04,10.04,10.04,10.04,0
20220801,10.1,10.1,10.1,10.1,50
20220802,10.17,10.17,10.15,10.15,20098
20220803,10.15,10.15,10.15,10.15,0
20220804,10.06,10.06,10.06,10.06,378
20220805,10.11,10.13,10.11,10.13,19038
20220808,10.03,10.03,9.99,9.99,1136
20220809,9.99,9.99,9.99,9.99,0
20220810,10.03,10.03,10.02,10.02,3000
20220811,10.02,10.02,10.02,10.02,0
20220812,9.95,9.95,9.95,9.95,1931
20220815,9.95,9.95,9.95,9.95,0
20220816,10.02,10.02,9.99,9.99,31663
20220817,9.99,9.99,9.99,9.99,0
20220818,9.99,9.99,9.99,9.99,0
20220819,9.98,9.98,9.98,9.98,101
20220822,9.98,9.98,9.98,9.98,0
20220823,9.9,9.91,9.9,9.91,7351
20220824,9.91,9.92,9.91,9.92,10853
20220825,9.84,9.87,9.83,9.87,8265
20220826,9.9,9.9,9.9,9.9,6000
20220829,9.87,9.87,9.845,9.86,313
20220830,9.88,9.88,9.87,9.87,542
20220831,9.88,9.88,9.88,9.88,10110
20220901,9.8,9.8,9.8,9.8,110
20220902,9.8,9.8,9.8,9.8,0
20220905,9.8,9.8,9.8,9.8,0
20220906,9.8,9.8,9.8,9.8,0
20220907,9.76,9.76,9.76,9.76,15000
20220908,9.76,9.76,9.76,9.76,0
20220909,9.74,9.74,9.74,9.74,7500
20220912,9.74,9.75,9.74,9.75,22500
20220913,9.74,9.74,9.74,9.74,10000
20220914,9.69,9.71,9.69,9.71,79985
20220915,9.73,9.73,9.72,9.72,41852
20220916,9.71,9.72,9.71,9.71,81947
20220919,9.71,9.71,9.71,9.71,0
20220920,9.7,9.71,9.7,9.71,158970
20220921,9.68,9.69,9.67,9.68,40840
20220923,9.58,9.58,9.53,9.53,38929
20220926,9.55,9.55,9.55,9.55,30
20220927,9.48,9.48,9.43,9.43,788
20220928,9.43,9.43,9.43,9.43,0
20220929,9.55,9.55,9.55,9.55,380
20220930,9.39,9.4,9.39,9.4,782
20221003,9.4,9.4,9.4,9.4,0
20221004,9.57,9.57,9.57,9.57,146
20221005,9.57,9.57,9.57,9.57,0
20221006,9.44,9.52,9.44,9.52,42513
20221007,9.46,9.47,9.46,9.47,18734
20221010,9.44,9.44,9.44,9.44,95
20221011,9.39,9.39,9.38,9.38,6592
20221012,9.4,9.4,9.4,9.4,10702
20221013,9.43,9.43,9.42,9.42,11237
20221014,9.41,9.41,9.38,9.4,59046
20221017,9.37,9.38,9.37,9.37,138904
20221018,9.37,9.4,9.37,9.4,32231
20221019,9.34,9.39,9.34,9.36,89446
20221020,9.29,9.3,9.25,9.25,35853
20221021,9.27,9.27,9.23,9.23,241256
20221024,9.28,9.28,9.25,9.28,154294
20221025,9.26,9.26,9.25,9.25,56965
20221026,9.32,9.32,9.3,9.3,207786
20221027,9.36,9.37,9.33,9.33,63746
20221028,9.42,9.42,9.38,9.38,23646
20221031,9.34,9.37,9.32,9.34,48106
20221101,9.34,9.34,9.34,9.34,0
20221102,9.33,9.36,9.33,9.34,117765
