Date,Open,High,Low,Close,Volume
20230920,24.96,25.06,24.96,25,3409
20230921,24.87,24.87,24.85,24.85,450
20230922,24.8,24.8,24.8,24.8,40
20230925,24.8,24.8,24.8,24.8,0
20230926,24.77,24.77,24.65,24.65,549
20230927,24.64,24.64,24.64,24.64,2200
20230928,24.64,24.64,24.64,24.64,0
20230929,24.68,24.68,24.68,24.68,260
20231002,24.7,24.7,24.7,24.7,5
20231003,24.7,24.7,24.7,24.7,0
20231004,24.28,24.28,24.27,24.27,541
20231005,24.27,24.27,24.27,24.27,0
20231006,24.27,24.27,24.27,24.27,0
20231009,24.27,24.27,24.27,24.27,0
20231010,24.27,24.27,24.27,24.27,0
20231011,24.27,24.27,24.27,24.27,0
20231012,24.27,24.27,24.27,24.27,0
20231013,24.27,24.27,24.27,24.27,0
20231016,24.27,24.27,24.27,24.27,0
20231017,24.27,24.27,24.27,24.27,0
20231018,24.27,24.27,24.27,24.27,0
20231019,24.27,24.27,24.27,24.27,0
20231020,24.44,24.45,24.44,24.45,408
20231023,24.45,24.45,24.45,24.45,0
20231024,24.45,24.45,24.45,24.45,0
20231025,24.45,24.45,24.45,24.45,0
20231026,24.45,24.45,24.45,24.45,0
20231027,24.49,24.52,24.49,24.51,118155
20231030,24.51,24.51,24.47,24.5,248966
20231031,24.47,24.49,24.46,24.49,517911
20231101,24.395,24.41,24.37,24.41,39721
20231102,24.71,24.74,24.71,24.72,281526
20231103,24.77,24.77,24.73,24.77,4908
20231106,24.86,24.87,24.84,24.87,147887
20231107,24.84,24.85,24.83,24.84,977404
20231108,24.895,24.93,24.87,24.89,744413
20231109,25,25,24.945,24.96,203354
20231110,24.75,24.78,24.73,24.78,2516
20231113,24.705,24.73,24.67,24.7,34917
20231114,24.695,24.73,24.69,24.73,174439
20231115,24.91,24.95,24.9,24.95,46079
20231116,24.9,24.9,24.84,24.87,21582
20231117,24.91,24.93,24.89,24.89,1603
20231120,24.885,24.92,24.885,24.9,3790
