Date,Open,High,Low,Close,Volume
20230201,10.01,10.01,10.01,10.01,1200
20230202,10.02,10.02,10.01,10.01,18584
20230203,10.17,10.17,10.17,10.17,330
20230206,10.17,10.17,10.17,10.17,0
20230207,10.36,10.36,10.34,10.34,2800
20230208,10.32,10.33,10.32,10.33,101
20230209,10.36,10.36,10.32,10.32,1015
20230210,10.34,10.36,10.34,10.36,10
20230213,10.36,10.36,10.36,10.36,186
20230214,10.33,10.33,10.31,10.31,291
20230215,10.31,10.31,10.31,10.31,0
20230216,10.31,10.31,10.31,10.31,0
20230217,10.46,10.46,10.46,10.46,2500
20230220,10.46,10.46,10.46,10.46,191
20230221,10.46,10.46,10.46,10.46,0
20230222,10.4,10.42,10.4,10.42,3000
20230223,10.42,10.42,10.42,10.42,0
20230224,10.48,10.48,10.48,10.48,95
20230227,10.56,10.56,10.56,10.56,1
20230228,10.56,10.56,10.56,10.56,0
20230301,10.55,10.55,10.53,10.53,109
20230302,10.53,10.53,10.53,10.53,0
20230303,10.67,10.67,10.67,10.67,15
20230306,10.67,10.67,10.67,10.67,0
20230307,10.67,10.67,10.67,10.67,0
20230308,10.87,10.87,10.87,10.87,5
20230309,10.87,10.87,10.87,10.87,0
20230310,10.87,10.87,10.87,10.87,0
20230313,10.62,10.62,10.62,10.62,235
20230314,10.5,10.5,10.5,10.5,110
20230315,10.56,10.56,10.56,10.56,1
20230316,10.56,10.56,10.56,10.56,0
20230317,10.56,10.56,10.56,10.56,0
20230320,10.56,10.56,10.56,10.56,0
20230321,10.56,10.56,10.56,10.56,575
20230322,10.56,10.56,10.56,10.56,0
20230323,10.56,10.56,10.56,10.56,0
20230324,10.65,10.65,10.65,10.65,2382
20230327,10.65,10.65,10.65,10.65,0
20230328,10.66,10.66,10.66,10.66,1000
20230329,10.66,10.66,10.66,10.66,1865
20230330,10.76,10.76,10.76,10.76,32
20230331,10.7,10.71,10.67,10.71,30040
20230403,10.72,10.81,10.72,10.81,395
20230404,10.81,10.81,10.81,10.81,0
20230405,10.81,10.81,10.81,10.81,0
20230406,10.81,10.81,10.81,10.81,0
20230411,10.81,10.81,10.81,10.81,0
20230412,10.78,10.78,10.74,10.75,5002
20230413,10.75,10.75,10.75,10.75,0
20230414,10.75,10.75,10.75,10.75,0
20230417,10.74,10.74,10.74,10.74,1500
20230418,10.71,10.71,10.71,10.71,115
20230419,10.71,10.71,10.71,10.71,0
20230420,10.77,10.77,10.77,10.77,2
20230421,10.77,10.77,10.77,10.77,0
20230424,10.71,10.71,10.71,10.71,95
20230426,10.8,10.82,10.77,10.82,191
20230427,10.79,10.79,10.73,10.73,2
20230428,10.73,10.73,10.73,10.73,0
20230501,10.84,10.84,10.84,10.84,2500
20230502,10.84,10.84,10.84,10.84,0
20230503,10.84,10.84,10.84,10.84,0
20230504,10.84,10.84,10.84,10.84,0
20230505,10.84,10.84,10.84,10.84,0
20230508,10.63,10.63,10.63,10.63,515
20230509,10.67,10.67,10.67,10.67,47
20230510,10.67,10.67,10.67,10.67,0
20230511,10.69,10.69,10.69,10.69,34
20230512,10.69,10.69,10.69,10.69,0
20230515,10.87,10.87,10.87,10.87,113
20230516,10.87,10.87,10.87,10.87,0
20230517,10.87,10.87,10.87,10.87,0
20230518,10.93,10.93,10.93,10.93,68
20230519,10.97,10.97,10.97,10.97,4
20230522,10.97,10.97,10.97,10.97,0
20230523,10.96,10.96,10.96,10.96,23
20230524,10.96,10.96,10.96,10.96,0
20230525,10.96,10.96,10.96,10.96,0
20230526,11.09,11.09,11.09,11.09,4503
20230529,11.2,11.2,11.15,11.15,4573
20230530,11.2,11.2,11.2,11.2,189
20230531,11.11,11.11,11.06,11.06,2
20230601,11.06,11.06,11.03,11.03,5972
20230602,10.94,10.94,10.94,10.94,2500
20230605,11.03,11.03,11.03,11.03,17
20230606,11.02,11.02,10.89,10.89,282
20230607,10.92,10.92,10.92,10.92,5
20230608,10.93,10.93,10.93,10.93,23
20230609,10.89,10.89,10.84,10.84,10
20230613,10.87,10.87,10.87,10.87,46
20230614,10.77,10.77,10.77,10.77,2995
20230615,10.76,10.78,10.76,10.77,151
20230616,10.62,10.64,10.62,10.64,4
20230619,10.59,10.62,10.59,10.62,605
20230620,10.71,10.71,10.71,10.71,1
20230621,10.72,10.72,10.72,10.72,5
20230622,10.65,10.65,10.65,10.65,44
20230623,10.75,10.8,10.75,10.8,11
20230626,10.89,10.89,10.89,10.89,48
20230627,10.9,10.9,10.79,10.79,783
20230628,10.89,10.89,10.88,10.88,2
20230629,10.88,10.88,10.88,10.88,0
20230630,10.88,10.88,10.88,10.88,0
20230703,10.88,10.88,10.88,10.88,0
20230704,10.87,10.87,10.76,10.8,120
20230705,10.8,10.8,10.8,10.8,0
20230706,10.94,10.94,10.8,10.8,2507
20230707,10.89,10.89,10.85,10.85,4
20230710,10.85,10.85,10.77,10.77,849
20230711,10.77,10.77,10.77,10.77,0
20230712,10.81,10.81,10.75,10.79,85
20230713,10.79,10.79,10.79,10.79,0
