Date,Open,High,Low,Close,Volume
20160525,50.1,50.1,50.1,50.1,190
20160526,50.29,50.29,50.29,50.29,836
20160527,50.31,50.31,50.31,50.31,2438
20160530,50.29,50.29,50.2,50.2,21697
20160531,50.2,50.2,50.2,50.2,6645
20160601,50.25,50.25,50.25,50.25,400
20160602,50.23,50.32,50.23,50.32,8176
20160603,50.38,50.38,50.38,50.38,1330
20160606,50.45,50.46,50.44,50.46,7699
20160607,50.47,50.47,50.47,50.47,40
20160608,50.43,50.43,50.43,50.43,1289
20160609,50.43,50.47,50.43,50.47,1329
20160610,50.4,50.48,50.4,50.48,2231
20160614,50.4,50.4,50.4,50.4,475
20160615,50.4,50.4,50.4,50.4,0
20160616,50.57,50.61,50.57,50.6,387
20160617,50.4,50.4,50.31,50.31,400
20160620,50.46,50.47,50.46,50.47,551
20160621,50.44,50.44,50.44,50.44,510
20160622,50.38,50.38,50.38,50.38,1289
20160623,50.38,50.38,50.38,50.38,0
20160624,50.25,50.6,50.25,50.6,3060
20160627,50.45,50.45,50.45,50.45,111
20160628,50.64,50.64,50.64,50.64,780
20160629,50.59,50.6,50.59,50.59,2118
20160630,50.6,50.6,50.59,50.59,790
20160701,50.62,50.62,50.1,50.1,1588
20160704,50.13,50.13,50.12,50.12,500
20160705,50.1,50.1,50.1,50.1,3190
20160706,50.25,50.25,50.25,50.25,795
20160707,50.25,50.25,50.25,50.25,0
20160708,50.24,50.24,50.24,50.24,100
20160711,50.2,50.24,50.2,50.24,1280
20160712,50.1,50.2,50.1,50.19,1493
20160713,50.13,50.14,50.05,50.14,1222
20160714,50.13,50.22,50.13,50.21,1544
20160715,50.05,50.16,50.05,50.16,800
20160718,50.05,50.16,50.05,50.16,177
20160719,50.16,50.16,50.16,50.16,0
20160720,50.21,50.31,50.21,50.31,1980
20160721,50.2,50.2,50.2,50.2,2000
20160722,50.32,50.32,50.28,50.3,1479
20160725,50.32,50.33,50.32,50.32,2774
20160726,50.31,50.31,50.25,50.25,405
20160727,50.25,50.25,50.25,50.25,0
20160728,50.25,50.25,50.25,50.25,292
20160729,50.38,50.39,50.36,50.36,3172
20160801,50.44,50.44,50.36,50.44,1101
20160802,50.44,50.44,50.44,50.44,0
20160803,50.35,50.4,50.3,50.3,4428
20160804,50.37,50.37,50.37,50.37,1234
20160805,50.35,50.44,50.35,50.44,1312
20160808,50.34,50.34,50.34,50.34,398
20160809,50.34,50.34,50.34,50.34,0
20160810,50.48,50.48,50.48,50.48,595
20160811,50.55,50.55,50.54,50.54,80330
20160812,50.5,50.5,50.35,50.4,9740
20160815,50.45,50.54,50.45,50.54,436
20160816,50.4,50.53,50.34,50.53,10032
20160817,50.53,50.53,50.5,50.5,2128
20160818,50.5,50.5,50.5,50.5,706
20160819,50.5,50.5,50.39,50.5,2223
20160822,50.53,50.53,50.53,50.53,1178
20160823,50.53,50.53,50.53,50.53,485
20160824,50.65,50.65,50.65,50.65,250
20160825,50.64,50.64,50.64,50.64,264
20160826,50.65,50.65,50.55,50.55,6146
20160829,50.55,50.55,50.55,50.55,909
20160830,50.71,50.71,50.6,50.6,3055
20160831,50.6,50.6,50.52,50.52,1975
20160901,50.65,50.68,50.65,50.68,1315
20160902,50.68,50.73,50.65,50.73,1444
20160905,50.6,50.6,50.6,50.6,2690
20160906,50.63,50.63,50.6,50.6,3345
20160907,50.6,50.6,50.6,50.6,0
20160908,50.77,50.77,50.58,50.58,102
20160909,50.58,50.65,50.44,50.44,2726
20160912,50.49,50.49,50.36,50.36,1749
20160913,50.5,50.5,50.5,50.5,1772
20160914,50.46,50.46,50.39,50.39,1868
20160915,50.45,50.45,50.41,50.41,373
20160916,50.52,50.52,50.45,50.45,812
20160919,50.33,50.33,50.33,50.33,46
20160920,50.4,50.51,50.4,50.51,1228
20160921,50.51,50.52,50.4,50.4,1987
20160922,50.5,50.61,50.38,50.61,1147
20160923,50.6,50.6,50.42,50.55,2844
20160926,50.67,50.67,50.65,50.65,2363
20160927,50.62,50.65,50.59,50.59,4818
20160928,50.73,50.74,50.73,50.73,362
20160929,50.59,50.65,50.59,50.65,1725
20160930,50.77,50.77,50.77,50.77,876
