Date,Open,High,Low,Close,Volume
20121031,50,50,50,50,49
20121101,50.19,50.19,50.19,50.19,498
20121102,50.17,50.17,50.17,50.17,1200
20121105,50.17,50.17,50.17,50.17,0
20121106,50.17,50.17,50.17,50.17,0
20121107,50.03,50.03,50.03,50.03,300
20121108,50.03,50.03,50.03,50.03,0
20121109,50.03,50.03,50.03,50.03,0
20121112,50.1,50.1,50.1,50.1,815
20121113,50.1,50.1,50.1,50.1,0
20121114,50.27,50.27,50.27,50.27,400
20121115,50.2,50.2,50.2,50.2,1188
20121116,50.2,50.2,50.2,50.2,0
20121119,50.32,50.32,50.32,50.32,1128
20121120,50.21,50.21,50.21,50.21,2000
20121121,50.1,50.1,50.1,50.1,438
20121122,50.07,50.07,50.07,50.07,1506
20121123,49.98,49.98,49.98,49.98,339
20121126,49.92,49.92,49.92,49.92,2412
20121127,49.97,49.97,49.97,49.97,595
20121128,49.96,49.96,49.96,49.96,139
20121129,50.06,50.06,50.06,50.06,2505
20121130,50.06,50.06,50.06,50.06,0
20121203,50.06,50.06,50.06,50.06,0
20121204,50.06,50.06,50.06,50.06,0
20121205,50.22,50.22,50.22,50.22,20
20121206,50.23,50.23,50.23,50.23,1492
20121207,50.23,50.23,50.23,50.23,0
20121210,50.23,50.23,50.23,50.23,0
20121211,50.23,50.23,50.23,50.23,0
20121212,50.32,50.32,50.32,50.32,2810
20121213,50.15,50.15,50.15,50.15,1299
20121214,50.06,50.06,50.06,50.06,55
20121217,49.92,49.97,49.92,49.97,581
20121218,50.02,50.02,50.02,50.02,800
20121219,50,50,50,50,1900
20121220,50,50,50,50,0
20121221,50,50,50,50,0
20121224,50.14,50.14,50.14,50.14,2877
20121227,50.14,50.14,50.14,50.14,0
20121228,50.14,50.14,50.14,50.14,50
20121231,50.14,50.14,50.14,50.14,0
20130102,49.34,49.34,49.34,49.34,250
20130103,49.1,49.1,49.1,49.1,1178
20130104,49.1,49.1,49.1,49.1,0
20130107,49.13,49.13,49.13,49.13,50
20130108,49.1,49.1,49.1,49.1,4480
20130109,49.1,49.1,49.1,49.1,0
20130110,49.13,49.13,49.13,49.13,403
20130111,49.04,49.05,49.04,49.05,8000
20130114,49.03,49.07,49.03,49.07,746
20130115,49.07,49.08,49.07,49.07,2934
20130116,49.17,49.17,49.17,49.17,2011
20130117,49.27,49.39,49.27,49.39,3002
20130118,49.39,49.39,49.39,49.39,270
20130121,49.39,49.39,49.31,49.31,4519
20130122,49.45,49.45,49.45,49.45,3125
20130123,49.4,49.45,49.39,49.45,2311
20130124,49.59,49.59,49.59,49.59,601
20130125,49.53,49.53,49.53,49.53,19
20130129,49.53,49.53,49.36,49.41,4680
20130130,49.3,49.3,49.17,49.17,2417
20130131,49.28,49.28,49.28,49.28,893
20130201,49.28,49.28,49.28,49.28,25
20130204,49.13,49.13,49.13,49.13,1513
20130205,49.2,49.2,49.2,49.2,1618
20130206,49.22,49.22,49.22,49.22,1015
20130207,49.05,49.05,49.05,49.05,1113
20130208,49.4,49.4,49.4,49.4,200
20130211,49.3,49.3,49.19,49.3,2112
20130212,49.3,49.3,49,49,1446
20130213,49.35,49.35,49.35,49.35,3124
20130214,49,49,48.9,49,2372
20130215,49.24,49.24,49.24,49.24,5090
20130218,49.4,49.4,49.21,49.21,3936
20130219,49.18,49.18,49.18,49.18,780
20130220,49.07,49.07,49.07,49.07,2393
20130221,49.22,49.22,49.2,49.22,7715
20130222,49.32,49.32,49.32,49.32,1000
20130225,49.32,49.32,49.32,49.32,0
20130226,49.43,49.5,49.43,49.5,8872
20130227,49.47,49.49,49.47,49.49,7965
20130228,49.47,49.47,49.47,49.47,80
20130301,49.56,49.56,49.54,49.56,1382
20130304,49.75,49.75,49.6,49.6,21739
20130305,49.58,49.58,49.55,49.55,582
20130306,49.42,49.42,49.39,49.39,743
20130307,49.4,49.4,49.37,49.37,2554
20130308,49.34,49.34,49.19,49.19,2537
20130311,49.16,49.16,49.07,49.07,3133
20130312,49.09,49.09,49.06,49.08,7536
20130313,49.14,49.15,49.12,49.15,2113
20130314,49.04,49.04,48.85,48.91,9001
20130315,48.99,48.99,48.99,48.99,3621
20130318,49.27,49.32,49.07,49.32,2908
20130319,49.14,49.14,49.14,49.14,2580
20130320,49.14,49.14,49.14,49.14,0
20130321,49.24,49.24,49.24,49.24,1333
20130322,49.18,49.18,49.16,49.16,405
20130325,49.11,49.11,49,49,1700
20130326,49.14,49.14,49.14,49.14,200
20130327,49.24,49.24,49.24,49.24,1007
20130328,49.24,49.24,49.24,49.24,0
20130402,48.72,48.72,48.72,48.72,1479
20130403,48.81,48.81,48.81,48.81,410
20130404,48.81,48.81,48.81,48.81,0
20130405,48.84,48.91,48.84,48.91,123
20130408,48.91,48.91,48.91,48.91,0
20130409,49,49,49,49,1436
20130410,49,49.03,49,49,3000
20130411,49,49,49,49,0
20130412,49,49,49,49,0
20130415,49.16,49.16,49.16,49.16,485
20130416,49.24,49.24,49.2,49.2,886
20130417,49,49.13,49,49.13,965
20130418,49.2,49.28,49.2,49.28,1912
20130419,49.28,49.28,49.28,49.28,0
20130422,49.33,49.33,49.3,49.3,2080
20130423,49.42,49.42,49.42,49.42,1304
20130424,49.53,49.53,49.47,49.47,570
20130426,49.5,49.52,49.5,49.52,1505
20130429,49.62,49.62,49.62,49.62,1723
20130430,49.62,49.62,49.62,49.62,0
20130501,49.5,49.5,49.5,49.5,879
20130502,49.66,49.66,49.66,49.66,460
20130503,49.66,49.66,49.66,49.66,563
20130506,49.66,49.66,49.66,49.66,201
20130507,49.59,49.73,49.59,49.73,490
20130508,49.65,49.65,49.65,49.65,1106
20130509,49.7,49.7,49.58,49.58,3100
20130510,49.64,49.64,49.49,49.49,303
20130513,49.49,49.49,49.49,49.49,0
20130514,49.61,49.61,49.61,49.61,1595
20130515,49.48,49.5,49.48,49.5,902
20130516,49.57,49.57,49.57,49.57,1220
20130517,49.69,49.71,49.69,49.71,4249
20130520,49.64,49.64,49.55,49.55,2610
20130521,49.62,49.62,49.59,49.61,4299
20130522,49.52,49.57,49.52,49.57,1871
20130523,49.4,49.47,49.36,49.47,8043
20130524,49.47,49.47,49.47,49.47,0
20130527,49.49,49.56,49.49,49.56,1936
20130528,49.52,49.52,49.52,49.52,1008
20130529,49.5,49.5,49.3,49.3,778
20130530,49.42,49.42,49.4,49.4,1399
20130531,49.43,49.43,49.29,49.29,4373
20130603,49.37,49.4,49.37,49.4,4255
20130604,49.38,49.38,49.38,49.38,404
20130605,49.33,49.35,49.33,49.35,6000
20130606,49.54,49.54,49.51,49.54,1848
20130607,49.61,49.69,49.46,49.69,2108
20130611,49.52,49.53,49.52,49.53,1882
20130612,49.4,49.4,49.36,49.36,3017
20130613,49.14,49.4,49.14,49.4,652
20130614,49.47,49.47,49.45,49.45,907
