Date,Open,High,Low,Close,Volume
20090508,50.62,50.8,50.58,50.61,915
20090511,50.8,50.8,50.6,50.63,826
20090512,50.57,50.57,49.99,50.3,7032
20090513,50.38,50.38,49.81,49.84,4531
20090514,48.85,48.85,48.28,48.55,1511
20090515,49,49,48.84,48.84,7527
20090518,48.72,48.72,48.25,48.47,1188
20090519,48.98,49.6,48.98,49.6,6700
20090520,49.23,49.32,49.23,49.3,1035
20090521,49.2,49.23,49.2,49.23,1100
20090522,48.72,48.93,48.72,48.75,2845
20090525,49,49.08,48.45,48.68,3060
20090526,48.75,48.75,48.44,48.65,1135
20090527,49.56,49.67,49.4,49.4,4460
20090528,48.8,48.8,48.53,48.67,8603
20090529,49.21,49.53,49.05,49.53,17067
20090601,49.7,50.49,49.47,50.4,10524
20090602,51,51.45,51,51.36,8267
20090603,51.36,51.99,51.36,51.99,3889
20090604,52.3,52.3,51.1,51.22,7999
20090605,51.64,52.1,51.46,51.6,19588
20090609,51.99,51.99,51.5,51.5,1749
20090610,52.04,52.4,52.04,52.34,8767
20090611,52.34,52.71,52.34,52.65,5374
20090612,52.81,52.97,52.6,52.97,3571
20090615,53.5,53.5,52.52,52.52,5510
20090616,52.45,52.45,51.44,51.53,18540
20090617,51.55,51.55,50.36,50.91,18520
20090618,50.94,50.94,50.52,50.52,3095
20090619,50.98,51.1,50.7,50.77,5190
20090622,50.8,51.04,50.8,50.95,7033
20090623,51,51,49.35,49.57,21790
20090624,49.3,49.62,49.21,49.62,10623
20090625,49.63,50.27,49.63,50.27,3799
20090626,50.84,51.08,50.7,51.05,4043
20090629,51.05,51.16,50.7,50.7,3304
20090630,51.85,51.85,51.31,51.31,6402
20090701,50.7,50.7,50.2,50.2,7907
20090702,51,51,50.2,50.32,7248
20090703,49.39,49.5,49.35,49.5,6212
20090706,49.5,49.5,48.86,49.16,7113
20090707,48.95,48.95,48.85,48.89,2861
20090708,49,49,47.75,48.38,6621
20090709,48.61,48.79,48.49,48.75,8237
20090710,48.98,49.04,48.7,49.04,4727
20090713,49.05,49.05,48.35,48.35,7002
20090714,50,50,49.15,49.94,4579
20090715,50.51,50.78,50.51,50.72,2107
20090716,52.18,52.18,51.69,51.69,8096
20090717,52.1,52.1,51.73,51.73,2449
20090720,53,53,52.22,52.49,6452
20090721,54,54,52.46,52.46,3649
20090722,53,53,52.5,52.71,14489
20090723,52.64,52.64,52.43,52.55,2236
20090724,53.32,53.32,52.9,52.9,4677
20090727,53.66,53.74,53.66,53.68,2279
20090728,55.2,55.2,53.69,53.95,3851
20090729,54.1,54.1,53.75,53.75,2362
20090730,53.85,53.96,53.7,53.91,3095
20090731,55.55,55.55,54.45,55.03,3518
20090803,55.09,55.34,55,55.25,15301
20090804,55.81,56.26,55.77,55.85,7647
20090805,55.9,55.97,55.52,55.52,6989
20090806,55.3,55.97,55.3,55.97,10890
20090807,55.7,55.73,55.48,55.48,9775
20090810,55.98,56.13,55.57,55.73,8374
20090811,55.52,55.9,55.52,55.9,1734
20090812,55.9,56.32,55.75,56.19,10042
20090813,56.86,57.27,56.86,57.27,3923
20090814,58.42,58.42,57.79,57.79,8500
20090817,57.82,57.82,56.94,56.94,13131
20090818,59,59,56.52,56.78,1713
20090819,57.36,57.51,56.78,56.79,9790
20090820,57.24,57.27,56.7,56.82,2310
20090821,57.4,57.4,55.38,55.56,7394
20090824,57.18,57.51,57.18,57.51,6945
20090825,57.28,57.54,57.09,57.3,24506
20090826,57.54,58.07,57.45,58.04,8493
20090827,58.05,58.05,57.58,57.91,8346
20090828,58.27,58.4,58.15,58.36,3139
20090831,59.11,59.11,58.36,58.55,6053
20090901,58.55,58.85,58.5,58.72,3851
20090902,58.9,58.9,57.47,58.01,8910
20090903,57.99,58.1,57.58,58.01,6443
20090904,58.35,58.35,57.9,57.9,2678
20090907,58,58.31,58,58.17,3775
20090908,58.81,59.25,58.6,59.22,2892
20090909,59.46,59.55,59,59.12,27206
20090910,59.72,59.74,59.48,59.7,4102
20090911,60,60.18,59.86,60.12,4155
20090914,60,60,59.21,59.24,19408
20090915,59.89,59.89,59.24,59.24,7057
20090916,60.41,60.84,60.38,60.84,2792
20090917,61.53,62.15,61.35,61.82,10239
20090918,61.82,61.82,61,61.36,11808
20090921,61.5,61.5,61.1,61.1,5810
20090922,62,62,60.99,60.99,8320
20090923,61.83,61.98,61.61,61.98,8104
20090924,61.98,61.98,61.44,61.71,9521
20090925,61,61.86,60.83,61.86,2467
20090928,62,62,60.87,61.22,1571
20090929,63,63,62.19,62.48,7660
20090930,62.2,62.31,61.84,62.15,12134
20091001,62.5,62.5,61.55,61.58,6146
20091002,60.41,60.47,60.23,60.38,6319
20091005,61,61,59.48,59.48,2804
20091006,59,60.16,59,59.66,3917
20091007,60.27,61,60.27,61,2044
20091008,61,62,61,61.88,12837
20091009,62.1,62.13,61.74,61.83,7899
20091012,61.95,61.95,61.37,61.37,16861
20091013,61.81,62.25,61.81,62.25,4218
20091014,62.3,62.67,62.27,62.64,3920
20091015,63.44,63.48,63,63,7822
20091016,63.06,63.07,62.76,62.76,2453
20091019,64.5,64.5,61.77,62.16,10652
20091020,62.92,63.13,62.85,62.91,5252
20091021,63,63,62.53,62.67,7191
20091022,62.67,62.7,62.46,62.49,6087
20091023,63.06,63.09,62.95,63.08,3269
20091026,64,64,62.49,62.7,8513
20091027,62.5,62.5,61.7,61.7,7920
20091028,61.76,61.76,60.82,60.87,7234
20091029,60,60,59.29,59.31,11126
20091030,60.57,60.57,60.11,60.21,22195
20091102,62,62,58.71,58.85,12490
20091103,60,60.5,58.74,58.79,5216
20091104,60.5,60.5,58.75,58.9,3336
20091105,59.12,59.12,58.51,58.51,8110
20091106,59.3,59.65,59.2,59.53,12365
20091109,60.39,60.91,60.39,60.62,4002
20091110,62,62.1,61.4,61.56,8058
20091111,62.3,62.3,61.93,61.96,17369
20091112,64,64,62,62,11463
20091113,61.83,61.83,61.29,61.32,10731
20091116,61.91,62.13,61.73,61.87,4122
20091117,62.99,62.99,61.86,61.86,12348
20091118,63.1,63.1,61.86,61.86,3843
20091119,62.09,62.09,61.76,61.76,3253
20091120,61.85,61.85,60.92,60.92,19504
20091123,61.5,61.62,61.34,61.52,6290
20091124,63.57,63.57,61.2,61.2,5061
20091125,61.16,61.61,61,61.61,9678
20091126,62.5,62.5,61.48,61.48,5386
20091127,60,60,59.6,59.6,9974
20091130,60.62,61.38,60.51,61.2,14368
20091201,61.37,61.48,61.21,61.3,1939
20091202,62.89,62.89,62.19,62.3,9280
20091203,62.68,62.68,62.2,62.2,2034
20091204,64,64,61.41,61.41,6935
20091207,61.6,61.6,60.9,60.96,8018
20091208,63,63,60.81,60.88,3980
20091209,61.5,61.5,60.14,60.36,441923
20091210,60.4,60.68,60,60,5443
20091211,60.62,60.62,60.44,60.56,4324
20091214,62.84,62.84,60.11,60.69,9468
20091215,61.13,61.15,60.93,61.15,429071
20091216,60.87,61.18,60.79,60.82,83726
20091217,61.84,61.84,60.5,60.72,14442
20091218,60.7,60.7,60.13,60.25,9761
20091221,61.18,61.18,60.82,60.94,5675
20091222,61,61.06,60.9,61.03,4017
20091223,61.46,61.79,61.46,61.79,19157
20091224,61.2,62.39,61.2,62.2,7731
20091229,62.99,63.39,62.99,63.25,16558
20091230,63.31,63.31,63.11,63.11,3266
20091231,66,66,63.25,63.51,9522
20100104,63,63.32,62.92,62.93,24802
20100105,63.7,63.75,63.47,63.58,10083
20100106,63.77,63.77,63.4,63.49,8573
20100107,63.73,63.73,63.3,63.3,4932
20100108,63.5,63.69,63.35,63.39,5223
20100111,63.75,63.97,63.72,63.95,4935
20100112,68.49,68.49,63.29,63.35,14184
20100113,63.55,63.55,62.66,62.89,9111
20100114,64,64,63.37,63.37,4455
20100115,63.01,63.04,62.83,62.95,9669
20100118,62.99,63.49,62.94,63.35,3869
20100119,64.37,64.37,62.78,62.88,7810
20100120,63.42,63.42,62.84,62.88,6679
20100121,62.75,62.75,62.3,62.4,11068
20100122,62.4,62.4,61.01,61.29,12784
20100125,60.25,61.02,60.16,61.02,8249
20100127,62.99,62.99,59.7,59.94,19212
20100128,60,60.37,59.85,60.36,9660
20100129,60.76,60.76,58.95,58.95,26681
20100201,58.95,59.05,58.47,58.47,29898
20100202,58.98,59.42,58.98,59.37,22142
20100203,60,60.03,59.6,59.6,5193
20100204,60.01,60.01,59.44,59.49,12442
20100205,59,59,58,58.3,22754
20100208,64.13,64.13,58.43,58.47,12470
20100209,58.3,58.3,57.72,58.22,38194
20100210,58.95,59,58.15,58.15,9252
20100211,58.75,59.01,58.25,58.8,16394
20100212,59.55,59.55,58.68,58.87,9530
20100215,59,59.13,58.77,58.8,14209
20100216,59.11,59.56,59.11,59.17,10228
20100217,60.1,60.46,60,60.46,9753
20100218,60.5,61,60.16,60.25,16906
20100219,60.23,60.31,59.7,59.84,12441
20100222,61,61.18,60.79,61.07,36933
20100223,61.1,61.14,60.9,61.05,13099
20100224,60.83,60.83,60.3,60.3,7989
20100225,60.97,60.97,59.68,59.69,8195
20100226,60,60.11,59.76,60.07,5610
20100301,64.85,64.85,60.23,60.88,21617
20100302,61.13,61.15,61,61.12,68585
20100303,61.42,61.72,61.33,61.66,23588
20100304,62.1,62.1,61.56,61.87,49685
20100305,62.04,62.19,62.04,62.06,27848
20100308,62.11,62.91,62.11,62.58,13674
20100309,62.58,62.88,62.47,62.87,7020
20100310,62.93,63.02,62.65,62.77,10775
20100311,63.1,63.1,62.67,62.73,26872
20100312,63,63.02,62.73,62.81,40813
20100315,63.04,63.16,62.5,62.5,19381
20100316,62.01,62.76,62.01,62.52,6562
20100317,63.25,63.33,63.05,63.33,9433
20100318,63.5,63.54,63.26,63.52,8268
20100319,66.69,66.69,63.4,63.46,55525
20100322,63.5,63.5,62.9,62.95,9902
20100323,63.99,63.99,63.44,63.77,51831
20100324,63.68,63.93,63.68,63.76,49493
20100325,63.76,63.76,63.46,63.52,45965
20100326,63.5,63.99,63.02,63.99,6025
20100329,63.99,63.99,63.77,63.82,5488
20100330,63.98,64.22,63.88,63.97,34104
20100331,67.08,67.08,63.8,63.89,23674
20100401,63.87,63.87,63.29,63.32,18838
20100406,64,64.33,63.93,64.12,44422
20100407,64.33,64.39,64.23,64.29,9285
20100408,64.24,64.24,63.85,64.06,29171
20100409,66.5,66.5,64.06,64.14,27633
20100412,64.41,64.6,64.41,64.55,10622
20100413,64.41,64.46,64.07,64.18,18033
20100414,64.48,64.66,64.4,64.66,12802
20100415,65,65,64.77,64.77,8516
20100416,64.8,64.8,64.39,64.52,17139
20100419,64.45,65.73,63.57,63.57,28730
20100420,65,65,63.78,63.8,7327
20100421,64.13,64.36,64.13,64.19,6814
20100422,63.88,63.88,63.27,63.48,10215
20100423,63.11,63.44,63.11,63.28,31176
20100427,64.94,64.99,63.19,63.31,27610
20100428,62.9,62.9,61.96,62.47,30956
20100429,62.4,62.4,62,62.02,8701
20100430,62.38,62.45,62.25,62.25,6155
20100503,62,62.1,61.57,62.04,13459
20100504,62.11,62.3,61.34,61.34,23898
20100505,60.5,60.6,60.19,60.5,38828
20100506,59.49,59.93,59.3,59.45,41321
20100507,58,59.04,57.38,58.2,76009
20100510,59,59.9,58.47,59.9,21824
20100511,63.3,63.3,59.03,59.19,105599
20100512,59.45,59.79,59.23,59.42,162852
20100513,61,61,60,60.44,16696
20100514,60.44,60.44,59.74,60.2,40568
20100517,59.38,59.38,58.2,58.2,22282
20100518,58.7,58.7,57.85,58.03,13243
20100519,63,63,57.14,57.23,59375
20100520,57.19,57.3,56.14,56.2,29195
20100521,56,56.03,54.36,56,63204
20100524,56.33,56.96,55.92,56.96,56797
20100525,56.21,56.37,55.42,55.53,34563
20100526,55.31,56.57,55.31,56.19,49395
20100527,55.78,56.88,55.78,56.88,31620
20100528,58,58,57.6,57.91,29095
20100531,57.64,57.8,57.58,57.71,14646
20100601,57.64,57.64,57.02,57.29,16072
20100602,57.07,57.54,56.82,56.94,24044
20100603,58.06,58.29,57.71,58.2,31175
20100604,58.3,58.3,57.72,57.88,14399
20100607,57.48,57.48,55.5,56.07,30062
20100608,57,57,56.35,56.8,23072
20100609,56.85,57.05,56.67,56.67,11259
20100610,57.36,57.75,57.25,57.62,6580
20100611,58.16,58.64,58.16,58.36,26748
20100615,58.65,58.71,58.41,58.65,9599
20100616,59.65,62,59.16,59.33,57539
20100617,60,60,58.75,58.87,46683
20100618,59.5,59.5,58.96,59.32,157027
20100621,59.9,60.31,59.62,60.03,25311
20100622,60.3,60.3,59.33,59.4,24450
20100623,58.79,58.85,58.51,58.51,404446
20100624,58.75,58.96,58.49,58.49,71558
20100625,59.36,59.36,57.5,57.62,8162
20100628,57.09,57.55,56.94,56.99,36248
20100629,57.05,57.45,56.64,56.65,29767
20100630,56.5,56.5,55.1,55.93,44804
20100701,55.7,55.7,54.31,54.61,55096
20100702,55,55.5,54.4,54.4,75771
20100705,54.99,54.99,54.39,54.47,69609
20100706,53.99,54.92,53.85,54.92,31593
20100707,54.95,55.21,54.5,54.72,22139
20100708,55.81,56.01,55.7,55.95,77378
20100709,56.3,56.55,55.99,56.55,424516
20100712,56.52,56.86,56.45,56.78,58008
20100713,56.8,56.9,56.33,56.4,27168
20100714,57.65,57.65,57.07,57.34,26939
20100715,57.47,57.47,57.02,57.24,16732
20100716,57.11,57.3,56.79,56.94,11676
20100719,56,56.19,55.93,56.1,38336
20100720,56.12,56.79,56.11,56.61,57583
20100721,56.8,56.98,56.66,56.76,8550
20100722,55.5,56.79,55.5,56.3,16935
20100723,57.4,57.5,57.16,57.4,37026
20100726,57.82,58,57.67,57.76,20001
20100727,58,58.14,57.7,57.87,20152
20100728,58.02,58.22,57.76,58.18,32131
20100729,58.06,58.22,57.99,58.22,15919
20100730,58.1,58.1,57.51,57.76,17003
20100802,58.11,58.45,58.11,58.4,11227
20100803,58.96,58.96,58.59,58.73,8150
20100804,58.73,58.77,58.42,58.53,13665
20100805,59,59,58.71,58.76,30831
20100806,58.5,58.69,58.46,58.69,4888
20100809,58.73,59.16,58.37,59.16,23304
20100810,59.15,59.15,58.45,58.53,17463
20100811,58.5,58.5,57.4,57.45,38522
20100812,56.8,56.8,56.35,56.68,113226
20100813,56.68,57.46,56.68,57.46,4543
20100816,56.75,57.41,56.72,57.22,15191
20100817,56.28,57.72,56.28,57.72,344561
20100818,58,58.05,57.67,57.67,13440
20100819,57.79,57.88,57.6,57.88,5412
20100820,57.7,57.7,56.78,57.22,93624
