Date,Open,High,Low,Close,Volume
20181023,50.4,50.4,50.28,50.28,269
20181024,50.02,50.02,49.6,49.6,41
20181025,49.6,49.6,49.6,49.6,0
20181026,49.6,49.6,49.6,49.6,0
20181029,49.6,49.6,49.6,49.6,0
20181030,49.6,49.6,49.6,49.6,0
20181031,49.6,49.6,49.6,49.6,0
20181101,49.6,49.6,49.55,49.55,4978
20181102,48.8,48.8,48.8,48.8,204
20181105,48.8,48.8,48.8,48.8,0
20181106,48.8,48.8,48.8,48.8,0
20181107,49.49,49.49,49.49,49.49,150
20181108,49.49,49.49,49.49,49.49,0
20181109,49.72,49.72,49.72,49.72,11
20181112,49.87,49.88,49.87,49.88,6833
20181113,49.8,49.98,49.8,49.83,852
20181114,49.82,49.82,49.79,49.79,313
20181115,49.53,49.53,49.53,49.53,196
20181116,49.35,49.35,49.35,49.35,2000
20181119,49.4,49.41,49.4,49.41,1011
20181120,49.41,49.41,49.41,49.41,0
20181121,49.59,49.59,49.59,49.59,607
20181122,49.59,49.59,49.59,49.59,0
20181123,49.59,49.59,49.59,49.59,0
20181126,49.59,49.59,49.59,49.59,0
20181127,49.59,49.59,49.59,49.59,0
20181128,49.77,49.77,49.75,49.75,1401
20181129,49.8,49.8,49.6,49.6,300
20181130,49.41,49.41,49.41,49.41,800
20181203,49.63,49.98,49.63,49.98,6000
20181204,49.87,49.87,49.62,49.62,2500
20181205,49.74,49.74,49.62,49.62,229
20181206,49.62,49.62,49.62,49.62,0
20181207,49.62,49.62,49.62,49.62,0
20181210,49.62,49.62,49.62,49.62,0
20181211,49.62,49.62,49.62,49.62,0
20181212,50.21,50.21,50.21,50.21,2000
20181213,50.24,50.24,50.24,50.24,1890
20181214,50.24,50.24,50.24,50.24,0
20181217,50.24,50.24,50.24,50.24,0
20181218,50.24,50.24,50.24,50.24,0
20181219,50.24,50.24,50.24,50.24,0
20181220,48.89,48.89,48.77,48.77,6000
20181221,48.95,48.95,48.95,48.95,2000
20181224,48.81,48.81,48.81,48.81,103
20181227,48.8,48.8,48.5,48.5,120
20181228,48.5,48.5,48.5,48.5,0
20181231,48.72,48.8,48.72,48.8,2204
20190102,48.53,48.57,48.51,48.51,5715
20190103,49.48,49.48,49.48,49.48,40
20190104,48.66,48.67,48.3,48.67,4332
20190107,48.71,48.82,48.63,48.82,2651
20190108,48.85,48.85,48.85,48.85,2000
20190109,49.1,49.11,49.1,49.11,2600
20190110,49.25,49.25,49.25,49.25,1200
20190111,49.46,49.52,49.46,49.52,2600
20190114,49.31,49.36,49.29,49.34,8162
20190115,49.47,49.49,49.4,49.49,5284
20190116,49.49,49.49,49.49,49.49,0
20190117,49.49,49.49,49.49,49.49,0
20190118,49.49,49.49,49.49,49.49,0
20190121,49.49,49.49,49.49,49.49,0
20190122,49.49,49.49,49.49,49.49,0
20190123,49.49,49.49,49.49,49.49,0
20190124,49.49,49.49,49.49,49.49,0
20190125,51.47,51.47,51.47,51.47,1300
20190129,51.08,51.08,51.08,51.08,200
20190130,51.1,51.1,50.92,50.92,184
20190131,50.67,50.67,50.67,50.67,1100
20190201,50.67,50.67,50.67,50.67,0
20190204,50.8,50.8,50.8,50.8,90
20190205,51.32,51.32,51.32,51.32,393
20190206,51.32,51.32,51.32,51.32,0
20190207,52.63,52.63,52.15,52.15,530
20190208,52.57,52.57,52.57,52.57,100
20190211,52.2,52.2,52.2,52.2,80
20190212,52.2,52.2,52.2,52.2,0
20190213,52.9,52.9,52.63,52.63,452
20190214,52.7,52.7,52.7,52.7,9
20190215,52.6,52.91,52.6,52.7,522
20190218,52.8,52.8,52.75,52.8,3829
20190219,52.8,52.8,52.8,52.8,0
20190220,53,53.13,52.8,53.13,536
20190221,53.18,53.18,53.18,53.18,91
20190222,53.18,53.18,53.18,53.18,0
20190225,53.85,53.85,53.85,53.85,653
20190226,53.55,53.55,53.35,53.45,4519
