Date,Open,High,Low,Close,Volume
20171013,50.13,50.13,50.13,50.13,48
20171016,50.13,50.13,50.13,50.13,0
20171017,50.13,50.13,50.13,50.13,0
20171018,50.13,50.13,50.13,50.13,0
20171019,50.13,50.13,50.13,50.13,0
20171020,50.13,50.13,50.13,50.13,0
20171023,50.13,50.13,50.13,50.13,0
20171024,50.13,50.13,50.13,50.13,0
20171025,50.15,50.15,50.15,50.15,672
20171026,50.15,50.15,50.15,50.15,0
20171027,50.05,50.08,50.05,50.08,270
20171030,50.2,50.2,50.2,50.2,400
20171031,50.2,50.2,50.2,50.2,0
20171101,50.2,50.2,50.2,50.2,0
20171102,50.2,50.2,50.2,50.2,0
20171103,50.2,50.2,50.2,50.2,0
20171106,50.2,50.2,50.2,50.2,0
20171107,50.46,50.46,50.46,50.46,5
20171108,50.46,50.49,50.46,50.47,1691
20171109,50.45,50.45,50.45,50.45,198
20171110,50.41,50.41,50.4,50.4,10494
20171113,50.3,50.3,50.3,50.3,19
20171114,50.22,50.22,50.22,50.22,2083
20171115,50.22,50.22,50.22,50.22,0
20171116,50.34,50.34,50.34,50.34,1647
20171117,50.3,50.3,50.3,50.3,198
20171120,50.3,50.3,50.3,50.3,0
20171121,50.3,50.3,50.3,50.3,0
20171122,50.4,50.42,50.4,50.42,11065
20171123,50.55,50.55,50.44,50.46,6774
20171124,50.5,50.5,50.5,50.5,80
20171127,50.5,50.5,50.5,50.5,0
20171128,50.5,50.5,50.5,50.5,100
20171129,50.5,50.5,50.5,50.5,0
20171130,50.4,50.4,50.29,50.29,120
20171201,50.29,50.29,50.29,50.29,0
20171204,50.44,50.44,50.44,50.44,4890
20171205,50.44,50.44,50.44,50.44,0
20171206,50.44,50.44,50.44,50.44,0
20171207,50.44,50.44,50.44,50.44,0
20171208,50.44,50.44,50.44,50.44,0
20171211,50.53,50.54,50.53,50.54,6933
20171212,50.54,50.54,50.54,50.54,0
20171213,50.6,50.6,50.6,50.6,150
20171214,50.62,50.62,50.62,50.62,15
20171215,50.62,50.62,50.62,50.62,0
20171218,50.62,50.62,50.62,50.62,0
20171219,50.61,50.68,50.61,50.63,5534
20171220,50.5,50.5,50.5,50.5,1005
20171221,50.5,50.5,50.5,50.5,0
20171222,50.37,50.37,50.37,50.37,40
20171227,50.45,50.45,50.45,50.45,4714
20171228,50.45,50.45,50.45,50.45,0
20171229,50.55,50.55,50.55,50.55,1053
20180102,50.55,50.55,50.55,50.55,0
20180103,50.21,50.21,50.21,50.21,15
20180104,50.21,50.21,50.21,50.21,0
20180105,50.21,50.21,50.21,50.21,0
20180108,50.25,50.33,50.25,50.33,2029
20180109,50.33,50.33,50.33,50.33,0
20180110,50.33,50.33,50.33,50.33,0
20180111,50.15,50.15,50.12,50.12,300
20180112,50.2,50.2,50.2,50.2,396
20180115,50.2,50.2,50.2,50.2,0
20180116,50.2,50.2,50.09,50.09,43
20180117,50.27,50.27,50.27,50.27,200
20180118,50.18,50.18,50.18,50.18,99
20180119,50.18,50.18,50.18,50.18,0
20180122,50.13,50.13,50.13,50.13,200
20180123,50.03,50.03,50.03,50.03,159
20180124,50.03,50.03,50.03,50.03,0
20180125,50.03,50.07,50.03,50.05,7346
20180129,50.06,50.06,50,50,1346
20180130,49.87,50.02,49.87,50.02,850
20180131,49.92,49.94,49.92,49.94,1721
20180201,49.85,49.85,49.82,49.82,672
20180202,49.82,49.82,49.8,49.8,322
20180205,49.75,49.75,49.75,49.75,372
20180206,50,50,49.88,49.92,12752
20180207,49.92,49.92,49.81,49.85,3261
20180208,49.85,49.85,49.66,49.66,5879
20180209,49.73,49.73,49.73,49.73,136
20180212,49.73,49.75,49.69,49.75,2772
20180213,49.75,49.78,49.75,49.78,239
20180214,49.78,49.78,49.78,49.78,0
20180215,49.7,49.7,49.66,49.66,221
20180216,49.7,49.7,49.7,49.7,42
20180219,49.79,49.79,49.7,49.76,682
20180220,49.76,49.76,49.76,49.76,0
20180221,49.86,49.86,49.86,49.86,80
20180222,49.86,49.86,49.86,49.86,0
20180223,49.86,49.86,49.86,49.86,0
20180226,49.86,49.86,49.86,49.86,0
20180227,49.83,49.83,49.83,49.83,2790
20180228,49.83,49.83,49.83,49.83,0
20180301,49.86,49.86,49.86,49.86,1193
20180302,49.86,49.86,49.86,49.86,0
20180305,49.86,49.86,49.86,49.86,0
20180306,49.86,49.86,49.86,49.86,0
20180307,49.86,49.86,49.86,49.86,0
20180308,49.75,49.89,49.75,49.89,835
20180309,49.87,49.87,49.87,49.87,500
20180312,49.85,49.86,49.85,49.86,221
20180313,49.88,49.93,49.88,49.93,439
20180314,49.98,49.98,49.96,49.96,3236
20180315,50.03,50.03,50.02,50.02,3218
20180316,50.02,50.02,50.02,50.02,42
20180319,50.02,50.02,50.02,50.02,0
20180320,50.02,50.02,50.02,50.02,0
20180321,49.98,49.98,49.98,49.98,750
20180322,49.98,49.98,49.75,49.75,37
20180323,49.75,49.75,49.75,49.75,0
20180326,49.9,49.9,49.9,49.9,6
20180327,49.9,49.9,49.9,49.9,0
20180328,50.24,50.24,50.24,50.24,5771
20180329,50.27,50.27,50.27,50.27,3978
20180403,50.19,50.19,50.19,50.19,19
20180404,50.5,50.5,50.13,50.13,797
20180405,50.13,50.13,50.13,50.13,0
20180406,50.08,50.08,50.08,50.08,141
20180409,50.06,50.06,50.06,50.06,3173
20180410,50.04,50.15,50.04,50.05,5465
