Date,Open,High,Low,Close,Volume
20240620,19.89,20.08,19.81,20.06,99791
20240621,20.04,20.04,19.69,19.8,74075
20240624,19.43,19.47,19.09,19.09,30187
20240625,18.49,18.86,18.45,18.68,69370
20240626,19.09,19.09,18.78,18.78,35927
20240627,18.82,18.82,18.6,18.6,31732
20240628,19,19.12,18.86,18.94,17682
20240701,19.24,19.52,19.19,19.41,71913
20240702,19.31,19.38,19.21,19.33,49233
20240703,18.99,19.01,18.5,18.62,40551
20240704,18.32,18.35,17.58,17.92,118547
20240705,17.33,17.44,16.3,16.6,181482
20240708,16.9,16.91,16.44,16.73,54480
20240709,17.11,17.42,17.05,17.39,91941
20240710,17.59,17.96,17.4,17.87,51118
20240711,17.53,17.58,17.28,17.53,48968
20240712,17.51,17.51,17.11,17.19,25478
20240715,18.27,18.95,18.27,18.92,55309
20240716,19.55,19.65,19.25,19.31,110747
20240717,19.74,20.01,19.74,19.91,46097
20240718,19.47,19.67,19.41,19.54,38481
20240719,19.48,19.63,19.3,19.63,9937
20240722,20.71,20.87,20.7,20.76,44225
20240723,20.81,20.83,20.41,20.55,26215
20240724,20.39,20.44,20.25,20.38,24594
20240725,20.94,20.94,19.89,20,41462
20240726,20.51,21.04,20.51,20.89,29028
20240729,21.26,21.81,21.18,21.81,83672
20240730,20.82,20.87,20.6,20.7,58072
20240731,20.61,20.82,20.6,20.77,14886
20240801,20.15,20.2,19.92,20.15,74333
20240802,20.61,20.66,20.03,20.11,41138
20240805,18.7,18.7,16.65,16.82,377418
20240806,16.98,17.66,16.96,17.57,187706
20240807,17.57,17.87,17.4,17.75,41354
20240808,17.26,18.01,17.2,17.77,18878
20240809,18.9,19.14,18.78,18.81,38837
20240812,18.27,18.36,18.09,18.14,25414
20240813,18.37,18.58,18.25,18.36,23065
20240814,18.59,18.85,18.58,18.71,9480
20240815,18.2,18.34,17.92,17.98,58767
20240816,17.77,17.95,17.65,17.92,71424
20240819,17.83,17.93,17.8,17.86,31389
20240820,18.01,18.6,18.01,18.51,42565
20240821,17.83,17.98,17.79,17.98,19469
20240822,18.44,18.49,18.11,18.39,28255
20240823,18.39,18.53,18.39,18.51,22226
20240826,19.27,19.35,19.16,19.26,28264
20240827,18.94,19,18.86,18.95,33083
20240828,17.86,17.89,17.69,17.83,66453
20240829,17.78,17.81,17.68,17.81,27214
20240830,17.82,17.82,17.6,17.61,28715
20240902,17.5,17.5,17.2,17.38,26282
20240903,17.75,17.93,17.74,17.8,31096
20240904,17.46,17.6,16.96,17.11,47501
20240905,17.6,17.66,17.25,17.31,23056
20240906,17,17.21,16.91,17.11,19837
20240909,16.8,16.89,16.7,16.7,55911
20240910,17.38,17.46,17.27,17.37,21643
20240911,17.63,17.7,17.2,17.22,19675
20240912,17.52,17.8,17.51,17.7,16484
20240913,17.63,17.63,17.5,17.57,19338
20240916,17.86,17.95,17.67,17.72,23758
20240917,17.58,17.76,17.42,17.66,26662
20240918,18.12,18.27,18.02,18.15,18320
20240919,18.59,18.9,18.57,18.57,40774
20240920,18.85,19.18,18.75,19.08,28195
20240923,19.07,19.3,18.8,19.06,19236
20240924,18.92,18.94,18.73,18.76,28918
20240925,18.95,19.09,18.9,19,10930
20240926,18.9,18.93,18.73,18.92,8938
20240927,19.3,19.38,19.24,19.38,15663
20240930,19.34,19.34,18.93,18.96,30252
20241001,18.71,18.83,18.6,18.79,23590
20241002,18.06,18.28,18.02,18.245,35762
20241003,17.98,18.24,17.95,18.21,29261
20241004,18.11,18.25,18,18.24,19850
20241007,18.77,19.15,18.77,19,24460
20241008,18.89,19.03,18.76,19,62653
20241009,18.82,18.91,18.74,18.88,7836
20241010,18.47,18.47,18.31,18.41,24832
20241011,18.23,18.34,18.19,18.31,17820
20241014,18.74,19.48,18.52,19.3,59529
20241015,19.99,20.18,19.85,19.89,39671
20241016,20.29,20.6,20.29,20.41,51851
20241017,20.69,20.74,20.5,20.5,28607
20241018,20.6,20.71,20.46,20.59,41549
20241021,20.89,21.11,20.88,20.88,65219
20241022,20.79,20.79,20.39,20.59,28714
20241023,20.68,20.69,20.39,20.45,25293
20241024,20.42,20.71,20.4,20.62,14675
20241025,20.94,20.96,20.83,20.84,29178
20241028,21.07,21.08,20.83,20.88,62528
20241029,21.61,22.09,21.58,22.07,70326
20241030,22.51,22.61,22.34,22.52,82327
20241031,22.48,22.54,22.35,22.4,74759
20241101,22,22,21.34,21.5,45736
20241104,21.68,21.68,21,21.29,101775
20241105,21.05,21.14,20.84,21.1,56773
20241106,21.4,23.98,21.28,23.5,253656
20241107,23.98,23.98,23.02,23.06,154717
20241108,23.49,23.49,23.2,23.32,121626
20241111,24.9,25.44,24.9,25.25,264055
20241112,27.48,28.01,26.95,27.59,316726
20241113,27.92,27.92,26.91,27.2,150164
20241114,28,28.5,27.99,28.45,118679
20241115,27.88,28.34,27.48,27.74,153949
