Date,Open,High,Low,Close,Volume
20151208,50.5,50.5,50.5,50.5,100
20151209,50.5,50.5,50.5,50.5,628
20151210,50.26,50.26,50.26,50.26,592
20151211,50.48,50.49,50.48,50.49,5727
20151214,50.49,50.49,50.49,50.49,0
20151215,50.49,50.49,50.49,50.49,0
20151216,50.49,50.49,50.49,50.49,0
20151217,50.3,50.34,50.3,50.34,1071
20151218,50.35,50.36,50.35,50.36,616
20151221,50.32,50.32,50.32,50.32,213
20151222,50.38,50.38,50.38,50.38,1495
20151223,50.38,50.38,50.38,50.38,1181
20151224,50.38,50.38,50.38,50.38,0
20151229,50.38,50.38,50.38,50.38,0
20151230,50.38,50.38,50.38,50.38,0
20151231,50.38,50.38,50.38,50.38,0
20160104,50.4,50.4,50.4,50.4,192
20160105,50.44,50.44,50.44,50.44,269
20160106,50.44,50.44,50.44,50.44,0
20160107,50.43,50.43,50.43,50.43,693
20160108,50.49,50.5,50.49,50.5,185
20160111,50.56,50.58,50.56,50.58,386
20160112,50.64,50.65,50.64,50.65,727
20160113,50.62,50.62,50.62,50.62,294
20160114,50.59,50.59,50.59,50.59,1584
20160115,50.7,50.7,50.7,50.7,317
20160118,50.64,50.64,50.64,50.64,200
20160119,50.64,50.64,50.64,50.64,0
20160120,50.63,50.64,50.63,50.64,383
20160121,50.64,50.64,50.64,50.64,0
20160122,50.57,50.57,50.57,50.57,990
20160125,50.43,50.43,50.43,50.43,547
20160127,50.47,50.47,50.26,50.26,785
20160128,50.51,50.52,50.51,50.52,621
20160129,50.43,50.43,50.43,50.43,1296
20160201,50.8,50.8,50.58,50.58,878
20160202,50.53,50.53,50.53,50.53,668
20160203,50.72,50.72,50.72,50.72,39
20160204,50.57,50.57,50.57,50.57,85
20160205,50.74,50.74,50.74,50.74,528
20160208,50.85,50.85,50.85,50.85,205
20160209,50.89,50.9,50.89,50.9,1296
20160210,50.83,50.84,50.83,50.84,2625
20160211,50.94,50.95,50.92,50.94,3275
20160212,50.85,50.85,50.85,50.85,104
20160215,50.97,50.97,50.97,50.97,99
20160216,50.97,50.97,50.97,50.97,0
20160217,50.97,50.97,50.97,50.97,0
20160218,50.75,50.75,50.73,50.73,1397
20160219,50.76,50.76,50.76,50.76,477
20160222,50.76,50.76,50.76,50.76,0
20160223,51.04,51.07,51.04,51.07,1642
20160224,51.07,51.07,51.07,51.07,0
20160225,51.08,51.08,51.08,51.08,2937
20160226,51.01,51.01,50.98,50.98,384
20160229,50.98,50.98,50.98,50.98,0
20160301,50.98,50.98,50.98,50.98,0
20160302,51.07,51.08,51.07,51.08,1110
20160303,50.93,50.93,50.93,50.93,1281
20160304,50.91,50.91,50.91,50.91,376
20160307,51.03,51.03,51,51.03,3489
20160308,51.06,51.06,51.06,51.06,834
20160309,51.15,51.15,51.15,51.15,1369
20160310,51.15,51.15,51.15,51.15,0
20160311,51.03,51.04,51.03,51.04,809
20160314,51.13,51.14,51,51.14,5359
20160315,51.14,51.14,51.14,51.14,0
20160316,51.49,51.49,51.49,51.49,100
20160317,51.3,51.37,51.3,51.37,3706
20160318,51.07,51.25,51,51.25,1540
20160321,51.45,51.45,51.45,51.45,106
20160322,51.45,51.45,51.45,51.45,1265
20160323,51.45,51.45,51.45,51.45,2576
20160324,51.4,51.4,51.25,51.25,92
20160329,51.5,51.5,51.5,51.5,2091
20160330,51.65,51.65,51.65,51.65,986
20160331,51.65,51.65,51.65,51.65,0
20160401,51.65,51.65,51.65,51.65,0
20160404,51.65,51.8,51.65,51.8,469
20160405,51.8,51.9,51.8,51.9,101972
20160406,51.9,51.9,51.9,51.9,39
20160407,52.09,52.11,52.09,52.11,309
20160408,52.13,52.13,52.12,52.12,1729
20160411,52.2,52.2,52.19,52.19,544
20160412,52.12,52.12,52.12,52.12,1482
20160413,52.05,52.05,51.81,51.81,203
20160414,52.06,52.06,52,52,1267
20160415,52.1,52.1,52.09,52.09,649
20160418,52.2,52.2,52.2,52.2,2975
20160419,52.18,52.18,51.93,52.18,2008
20160420,52.18,52.19,52.18,52.19,653
20160421,52.14,52.14,51.89,51.89,1281
20160422,52.2,52.2,52.2,52.2,200
20160426,51.9,51.9,51.9,51.9,138
20160427,52.15,52.15,52.15,52.15,73933
20160428,52.24,52.24,51.98,51.98,2220
20160429,52.3,52.3,52.3,52.3,308
20160502,52.2,52.2,52.09,52.09,1192
20160503,52.09,52.3,52.09,52.3,3391
20160504,52.3,52.3,52.3,52.3,0
20160505,52.45,52.45,52.21,52.45,1140
20160506,52.45,52.45,52.45,52.45,0
20160509,52.49,52.5,52.49,52.5,3815
20160510,52.55,52.55,52.5,52.54,1950
20160511,52.29,52.29,52.29,52.29,72
20160512,52.54,52.54,52.54,52.54,149
20160513,52.53,52.56,52.3,52.56,678
20160516,52.56,52.56,52.31,52.55,1791
20160517,52.54,52.55,52.54,52.54,3626
20160518,52.23,52.23,52.23,52.23,58
20160519,52.38,52.38,52.38,52.38,526
20160520,52.38,52.38,52.38,52.38,0
20160523,52.37,52.37,52.33,52.36,8795
20160524,52.36,52.36,52.36,52.36,0
20160525,52.31,52.31,52.31,52.31,10
20160526,52.35,52.35,52.3,52.3,2736
20160527,52.43,52.43,52.43,52.43,97
20160530,52.39,52.4,52.39,52.4,2299
20160531,52.53,52.53,52.51,52.51,706
20160601,52.61,52.61,52.61,52.61,978
20160602,52.4,52.62,52.4,52.61,2049
20160603,52.44,52.44,52.44,52.44,119
20160606,52.89,52.89,52.89,52.89,225
20160607,52.91,52.91,52.91,52.91,70
20160608,52.94,52.94,52.94,52.94,1011
20160609,52.97,52.98,52.76,52.76,2088
20160610,53.05,53.05,53.01,53.01,3769
20160614,53.01,53.01,53.01,53.01,0
20160615,53.2,53.2,53.19,53.19,133
20160616,53.15,53.16,53.1,53.16,792
20160617,53.08,53.08,53,53.06,193
20160620,53,53.02,53,53.01,2889
20160621,52.99,52.99,52.95,52.99,3278
20160622,52.96,52.96,52.96,52.96,87026
20160623,52.9,52.9,52.9,52.9,937
20160624,53,53.33,53,53.33,133
20160627,53.24,53.24,53.22,53.22,161
20160628,53.23,53.25,53.22,53.25,2841
20160629,53.25,53.3,53.25,53.3,569
20160630,53.3,53.3,53.3,53.3,818
20160701,51.28,51.32,51.25,51.32,5074
20160704,51.49,51.49,51.49,51.49,194
20160705,51.49,51.55,51.49,51.55,472
20160706,51.64,51.64,51.64,51.64,500
20160707,51.64,51.71,51.64,51.71,621
20160708,51.74,51.74,51.74,51.74,505
20160711,51.76,51.76,51.55,51.75,2207
20160712,51.77,51.77,51.66,51.66,106
20160713,51.78,51.79,51.78,51.79,1051
20160714,51.76,51.77,51.76,51.77,704
20160715,51.81,51.81,51.8,51.8,1132
20160718,51.72,51.72,51.72,51.72,1472
20160719,51.72,51.73,51.55,51.55,813
20160720,51.55,51.55,51.55,51.55,0
20160721,51.75,51.75,51.75,51.75,788
20160722,51.82,51.84,51.8,51.8,1493
20160725,51.8,51.8,51.8,51.8,0
20160726,51.8,51.8,51.8,51.8,0
20160727,51.8,51.82,51.8,51.82,2673
20160728,51.88,51.88,51.88,51.88,218
20160729,51.96,51.96,51.93,51.93,293
20160801,52.02,52.02,51.95,52,3457
20160802,51.99,51.99,51.99,51.99,481
20160803,51.92,51.92,51.92,51.92,826
20160804,51.8,51.8,51.8,51.8,2588
20160805,51.83,51.83,51.83,51.83,930
20160808,51.85,51.85,51.7,51.7,8022
20160809,51.9,51.96,51.9,51.95,15324
20160810,51.9,52.01,51.9,52.01,26307
20160811,52.14,52.14,52.14,52.14,6226
20160812,52,52.16,52,52.16,4527
20160815,52.23,52.23,52.23,52.23,784
20160816,52.21,52.22,52.21,52.22,2322
20160817,52.17,52.17,52.15,52.15,1288
20160818,52.15,52.15,52.15,52.15,0
20160819,52.2,52.2,52.2,52.2,6500
20160822,51.96,51.96,51.96,51.96,243
20160823,52.22,52.22,52.22,52.22,2997
20160824,52.29,52.29,52.29,52.29,2599
20160825,52.32,52.32,52.32,52.32,3465
20160826,52.3,52.31,52.2,52.26,11882
20160829,52.18,52.18,52.18,52.18,1470
20160830,52.27,52.27,52.27,52.27,1590
20160831,52.28,52.33,52.28,52.33,565
20160901,52.32,52.32,52.31,52.32,8842
20160902,52.3,52.3,52.3,52.3,508
20160905,52.29,52.3,52.28,52.3,4584
20160906,52.01,52.01,52.01,52.01,860
20160907,52.36,52.37,52.3,52.3,785
20160908,52.39,52.4,52.38,52.38,3140
20160909,52.34,52.35,52.34,52.35,1088
20160912,52.16,52.16,52.01,52.01,3579
20160913,52.11,52.11,51.85,51.85,54041
20160914,51.9,51.9,51.85,51.88,4684
20160915,51.93,51.93,51.64,51.64,1083
20160916,51.95,51.96,51.95,51.95,2966
20160919,51.93,51.93,51.93,51.93,5
20160920,51.84,51.9,51.81,51.9,1878
20160921,51.9,51.93,51.88,51.92,2387
20160922,51.9,52.05,51.9,52.05,2095
20160923,51.99,52.07,51.93,52.07,1298
20160926,52.24,52.25,51.95,52.25,9432
20160927,52.25,52.25,52,52,2999
20160928,52.32,52.33,52.08,52.08,2924
20160929,52.36,52.36,52.35,52.35,1183
20160930,52.41,52.41,52.41,52.41,60
20161003,52.29,52.3,52.29,52.3,1040
20161004,51.93,52.25,50.35,52.25,3122
20161005,52,52.24,52,52.18,2945
20161006,52.16,52.16,52.16,52.16,991
20161007,52.04,52.04,51.95,51.98,2663
20161010,52,52.04,52,52.03,2914
20161011,51.77,52.01,51.71,52.01,2485
20161012,51.98,51.98,51.97,51.97,5348
20161013,51.8,52.02,51.79,51.94,5500
20161014,51.98,52.03,51.97,52.02,3638
20161017,51.95,51.95,51.65,51.91,4114
20161018,51.73,51.99,51.73,51.99,2653
20161019,52.1,52.1,51.75,52,9612
20161020,51.99,52.05,51.99,52.03,220468
20161021,51.77,52.13,51.77,52.04,48811
20161024,52.13,52.13,51.96,51.99,10810
20161025,52.11,52.11,51.99,51.99,3132
20161026,52.01,52.02,51.91,52.01,2541
20161027,51.98,51.98,51.87,51.87,2181
20161028,51.83,51.83,51.7,51.73,11302
20161031,51.73,51.83,51.59,51.8,7837
20161101,51.8,51.82,51.78,51.82,2158
20161102,51.78,51.86,51.78,51.86,1949
20161103,51.89,51.96,51.75,51.9,4155
20161104,51.92,51.92,51.62,51.86,800
20161107,51.85,51.85,51.56,51.8,3256
20161108,51.86,51.87,51.7,51.75,1561
20161109,51.59,52.06,51.59,52.04,2242
20161110,51.62,51.62,51.4,51.4,3992
20161111,51.12,51.31,51.02,51.02,2733
20161114,51.22,51.62,51.22,51.32,9556
20161115,51.21,51.21,50.61,51.01,3063
20161116,50.98,51.07,50.865,51.06,4836
20161117,51.06,51.08,51.01,51.08,864
20161118,50.9,50.99,50.7,50.7,8159
20161121,50.73,50.83,50.73,50.83,11110
20161122,50.83,50.84,50.76,50.84,1364
20161123,50.84,50.84,50.78,50.83,3061
20161124,50.6,50.81,50.58,50.81,1087
20161125,50.81,50.81,50.79,50.81,3166
20161128,50.82,50.89,50.77,50.89,7495
20161129,50.89,51.04,50.89,51.04,5628
20161130,51.04,51.08,50.99,51.07,2940
20161201,50.98,51.1,50.97,51,2308
20161202,51,51.06,50.64,50.94,6600
20161205,51.12,51.12,50.74,50.74,477
20161206,50.94,51.06,50.85,50.95,2448
20161207,50.95,50.95,50.92,50.95,939
20161208,50.95,50.95,50.75,50.75,2712
20161209,50.97,50.97,50.82,50.92,13516
20161212,50.7,50.83,50.6,50.74,3658
20161213,50.77,50.87,50.71,50.83,3493
20161214,50.79,50.79,50.46,50.79,3589
20161215,50.68,50.74,50.5,50.5,509
20161216,50.79,50.81,50.65,50.78,4082
20161219,50.67,50.79,50.5,50.77,10530
20161220,50.82,50.82,50.72,50.79,2526
20161221,50.77,50.83,50.59,50.8,6920
20161222,50.84,50.9,50.84,50.9,14482
20161223,50.88,50.88,50.65,50.88,5327
20161228,50.89,50.89,50.85,50.85,1031
20161229,50.97,51.07,50.82,51.07,1082
20161230,51.07,51.11,51.05,51.11,1262
20170103,50.93,51.15,50.93,51.13,6553
20170104,51.13,51.14,50.92,50.92,36767
20170105,51,51.22,51,51.22,1282
20170106,51.3,51.37,51.19,51.37,3174
20170109,51.24,51.25,51.17,51.24,2283
20170110,51.32,51.32,51.15,51.24,51155
20170111,51.26,51.26,51.16,51.19,7991
20170112,51.21,51.27,51.21,51.27,38899
20170113,51.38,51.38,51.2,51.26,620
20170116,51.25,51.3,51.21,51.22,1770
20170117,51.2,51.28,51.2,51.25,1907
20170118,51.45,51.45,51.3,51.31,6259
20170119,51.3,51.3,51.19,51.24,3777
20170120,51.3,51.32,51.15,51.15,2963
20170123,51.18,51.22,51.01,51.01,6854
20170124,51.15,51.27,51.07,51.27,3063
20170125,51.25,51.25,51.06,51.2,5597
20170127,51.14,51.14,50.91,50.98,3807
20170130,51.2,51.2,51.08,51.09,2889
20170131,51.19,51.22,51.15,51.22,1439
20170201,51.22,51.22,51,51,2793
20170202,50.91,51.21,50.91,51,2591
20170203,51,51.22,51,51.22,2587
20170206,51.25,51.29,51.17,51.22,8745
20170207,51.1,51.43,51.1,51.43,1991
20170208,51.39,51.45,51.3,51.44,1203
20170209,51.46,51.46,51.31,51.31,782
20170210,51.46,51.46,51.3,51.45,2358
20170213,51.43,51.43,51.35,51.42,5054
20170214,51.4,51.4,51.25,51.27,3246
20170215,51.33,51.36,51.16,51.35,3174
20170216,51.31,51.31,51.2,51.21,2593
20170217,51.38,51.38,51.2,51.38,5536
20170220,51.36,51.37,51.36,51.37,4156
20170221,51.48,51.48,51.41,51.46,1074
