Date,Open,High,Low,Close,Volume
20171122,50.15,50.25,50.15,50.25,399
20171123,50.2,50.27,50.2,50.27,2545
20171124,50.24,50.24,50.24,50.24,1126
20171127,50.32,50.32,50.32,50.32,196
20171128,50.32,50.36,50.29,50.29,1100
20171129,50.45,50.45,50.45,50.45,200
20171130,50.39,50.39,50.39,50.39,300
20171201,50.39,50.39,50.39,50.39,0
20171204,50.39,50.39,50.39,50.39,0
20171205,50.29,50.31,50.29,50.31,1398
20171206,50.26,50.29,50.24,50.25,2154
20171207,50.4,50.41,50.4,50.41,1753
20171208,50.51,50.51,50.49,50.49,1345
20171211,50.63,50.63,50.63,50.63,2150
20171212,50.61,50.61,50.61,50.61,197
20171213,50.61,50.61,50.61,50.61,0
20171214,50.51,50.51,50.51,50.51,1400
20171215,50.38,50.38,50.38,50.38,500
20171218,50.38,50.38,50.38,50.38,0
20171219,50.66,50.66,50.65,50.65,5914
20171220,50.62,50.62,50.62,50.62,1600
20171221,50.58,50.58,50.56,50.56,1690
20171222,50.5,50.5,50.5,50.5,20
20171227,50.45,50.45,50.45,50.45,1488
20171228,50.41,50.41,50.4,50.41,557
20171229,50.39,50.39,50.39,50.39,305
20180102,50.25,50.25,50.23,50.23,739
20180103,50.4,50.4,50.4,50.4,99
20180104,50.4,50.4,50.4,50.4,0
20180105,50.4,50.4,50.4,50.4,0
20180108,50.4,50.4,50.4,50.4,0
20180109,50.82,50.82,50.78,50.78,2587
20180110,50.81,50.81,50.79,50.79,3090
20180111,50.75,50.75,50.55,50.55,3172
20180112,50.66,50.72,50.66,50.68,1453
20180115,50.79,50.79,50.79,50.79,1311
20180116,50.65,50.65,50.62,50.62,5967
20180117,50.5,50.52,50.5,50.5,4724
20180118,50.64,50.64,50.64,50.64,80
20180119,50.49,50.49,50.49,50.49,1000
20180122,50.59,50.61,50.59,50.61,377
20180123,50.62,50.62,50.62,50.62,65
20180124,50.62,50.62,50.62,50.62,0
20180125,50.72,50.72,50.72,50.72,395
20180129,50.88,50.88,50.88,50.88,2000
20180130,50.78,50.78,50.65,50.65,350
20180131,50.46,50.46,50.46,50.46,2515
20180201,50.65,50.71,50.65,50.71,745
20180202,50.65,50.65,50.65,50.65,98
20180205,50.44,50.44,50.44,50.44,70
20180206,49.53,49.53,49.2,49.2,455
20180207,49.94,49.94,49.85,49.85,2850
20180208,49.59,49.61,49.5,49.5,5951
20180209,49.27,49.3,49.24,49.3,1150
20180212,49.53,49.53,49.53,49.53,1008
20180213,49.42,49.5,49.42,49.5,65
20180214,49.51,49.52,49.45,49.45,4463
20180215,49.45,49.45,49.45,49.45,0
20180216,49.45,49.45,49.45,49.45,0
20180219,49.45,49.45,49.45,49.45,0
20180220,49.99,49.99,49.99,49.99,5
20180221,49.94,49.98,49.94,49.98,1415
20180222,49.98,49.99,49.95,49.98,9931
20180223,50.19,50.19,50.19,50.19,4975
20180226,50.39,50.39,50.39,50.39,500
20180227,50.65,50.65,50.63,50.63,4860
20180228,50.48,50.48,50.48,50.48,988
20180301,50.48,50.48,50.48,50.48,0
20180302,50.07,50.07,50.01,50.01,1448
20180305,50.01,50.01,50.01,50.01,0
20180306,50.01,50.01,50.01,50.01,0
20180307,50.01,50.01,49.85,49.85,8352
20180308,50.12,50.15,50,50,9693
20180309,50,50,50,50,0
20180312,50.5,50.5,50.5,50.5,1775
20180313,50.44,50.44,50.26,50.26,2939
20180314,50.26,50.26,50.26,50.26,0
20180315,50.26,50.3,50.19,50.3,1953
20180316,50.5,50.5,50.5,50.5,347
20180319,50.64,50.66,50.58,50.66,1483
20180320,50.5,50.5,50.41,50.41,9824
20180321,50.41,50.52,50.41,50.52,3266
20180322,50.52,50.52,50.52,50.52,0
20180323,49.91,49.91,49.84,49.85,5628
20180326,49.73,49.73,49.7,49.7,6338
20180327,50.05,50.13,49.95,50.13,2525
20180328,49.85,49.87,49.85,49.87,2928
20180329,49.84,49.84,49.84,49.84,871
20180403,49.74,49.74,49.7,49.7,3005
20180404,49.8,49.8,49.72,49.77,3621
20180405,49.77,49.77,49.77,49.77,0
20180406,49.74,49.78,49.74,49.78,2199
20180409,49.67,49.7,49.65,49.66,6270
20180410,49.66,49.66,49.66,49.66,0
20180411,49.8,49.95,49.8,49.95,512
20180412,49.91,49.93,49.86,49.91,3062
20180413,49.91,49.91,49.91,49.91,0
20180416,50,50,50,50,700
20180417,50.17,50.17,50.17,50.17,70
20180418,50.14,50.23,50.14,50.23,6839
20180419,50.24,50.24,50.19,50.19,1389
20180420,50.23,50.25,50.15,50.25,3064
20180423,50.11,50.5,50.1,50.12,7467
20180424,50.25,50.25,50.25,50.25,1153
20180426,50.2,50.2,50.2,50.2,198
20180427,50.34,50.34,50.34,50.34,188
20180430,50.34,50.34,50.34,50.34,0
20180501,50.44,50.52,50.44,50.52,3495
20180502,50.68,50.7,50.55,50.7,4817
20180503,50.66,50.66,50.66,50.66,1970
20180504,50.64,50.64,50.54,50.54,4992
20180507,50.8,50.8,50.8,50.8,799
20180508,50.8,50.82,50.8,50.82,4312
20180509,50.94,50.94,50.94,50.94,768
20180510,51,51,51,51,2963
20180511,51.03,51.03,51,51,263
20180514,51.1,51.1,51.1,51.1,100
20180515,51.13,51.13,51.13,51.13,2122
20180516,51.09,51.15,51.09,51.15,2602
20180517,51.05,51.05,50.92,50.92,8437
20180518,50.98,50.98,50.98,50.98,23
20180521,50.96,50.96,50.96,50.96,19623
20180522,50.92,50.92,50.85,50.87,8552
20180523,50.8,50.84,50.8,50.84,3037
20180524,50.75,50.85,50.75,50.85,295
20180525,50.8,50.88,50.8,50.88,7370
20180528,50.72,50.84,50.72,50.82,3332
20180529,50.91,50.91,50.89,50.89,8161
20180530,50.73,50.73,50.73,50.73,4634
20180531,50.92,50.92,50.91,50.91,3428
20180601,50.73,50.73,50.73,50.73,591
20180604,50.96,50.96,50.75,50.75,369
20180605,50.81,50.83,50.81,50.81,2442
20180606,50.9,50.9,50.9,50.9,1000
20180607,50.98,51.06,50.98,51.04,7853
20180608,50.99,50.99,50.99,50.99,600
20180612,51.1,51.1,51.1,51.1,1100
20180613,51.05,51.05,51.05,51.05,1075
20180614,51.02,51.02,51,51,7554
20180615,51.14,51.35,51.14,51.35,2103
20180618,51.38,51.38,51.38,51.38,1086
20180619,51.41,51.41,51.3,51.3,5984
20180620,51.33,51.47,51.33,51.45,6103
20180621,51.68,51.68,51.67,51.67,2770
20180622,51.55,51.55,51.5,51.53,7915
20180625,51.4,51.4,51.38,51.38,1124
20180626,51.23,51.3,51.23,51.3,2923
20180627,51.33,51.37,51.33,51.35,5295
20180628,51.3,51.3,51.3,51.3,398
20180629,51.44,51.44,51.4,51.4,462
20180702,51.2,51.22,51.14,51.15,15391
20180703,51.41,51.43,51.41,51.43,5865
20180704,51.2,51.2,51.15,51.15,4023
20180705,51.16,51.34,51.16,51.34,3890
20180706,51.5,51.54,51.5,51.54,7932
20180709,51.6,51.6,51.6,51.6,2130
20180710,51.6,51.65,51.6,51.65,214
20180711,51.6,51.6,51.53,51.58,11086
20180712,51.6,51.74,51.6,51.74,5592
20180713,51.75,51.76,51.75,51.76,2296
20180716,51.77,51.77,51.71,51.71,3278
20180717,51.7,51.7,51.66,51.66,2472
20180718,51.84,51.88,51.84,51.84,1734
20180719,51.84,51.84,51.8,51.83,2999
20180720,51.94,51.94,51.88,51.88,409
20180723,51.73,51.73,51.71,51.71,1158
20180724,51.9,51.9,51.8,51.88,6793
20180725,51.75,51.78,51.7,51.78,5717
20180726,51.78,51.78,51.78,51.78,0
20180727,51.99,51.99,51.98,51.98,1723
20180730,51.85,51.85,51.8,51.8,9293
20180731,51.75,51.84,51.75,51.8,48800
20180801,51.84,51.84,51.77,51.83,1198
20180802,51.86,51.86,51.79,51.8,16046
20180803,51.91,51.91,51.83,51.86,24919
20180806,51.84,51.84,51.84,51.84,3420
20180807,51.9,51.9,51.9,51.9,1958
20180808,51.92,51.92,51.9,51.9,3760
20180809,51.9,51.97,51.9,51.97,2505
20180810,52,52.01,51.92,52.01,2859
20180813,52,52,51.96,51.96,1809
20180814,52.08,52.1,52.06,52.06,1285
20180815,52.06,52.19,52.06,52.17,8044
20180816,52.1,52.1,52,52.03,15705
20180817,52.16,52.16,52.13,52.13,2124
20180820,52.16,52.16,52.13,52.13,4045
20180821,52.13,52.13,52,52.02,11617
20180822,52.01,52.01,51.95,51.95,3464
20180823,52.16,52.18,52.16,52.18,27186
20180824,52.18,52.21,52.18,52.21,34412
20180827,52.21,52.24,52.2,52.2,4211
20180828,52.23,52.44,52.22,52.4,22962
20180829,52.44,52.51,52.4,52.51,5415
20180830,52.63,52.63,52.62,52.62,5789
20180831,52.59,52.59,52.42,52.56,2728
20180903,52.65,52.65,52.6,52.6,7870
20180904,52.55,52.6,52.52,52.53,13743
20180905,52.45,52.45,52.35,52.42,7304
20180906,52.2,52.2,52.18,52.18,4365
20180907,52.1,52.22,51.95,52.22,7954
20180910,52.22,52.22,52.15,52.18,6267
20180911,52.25,52.27,52.25,52.27,1209
20180912,52.21,52.29,52.21,52.28,16052
20180913,52.2,52.2,52.1,52.14,7477
20180914,52.25,52.28,52.25,52.28,158
20180917,52.35,52.35,52.19,52.19,6552
20180918,52.24,52.25,52.11,52.15,6140
20180919,52.15,52.23,52.15,52.23,2245
20180920,52.21,52.21,52.2,52.2,2728
20180921,52.25,52.25,52.25,52.25,560
20180924,52.31,52.31,52.25,52.3,1206
20180925,52.3,52.3,52.2,52.2,1014
20180926,52.3,52.3,52.25,52.25,2293
20180927,52.36,52.36,52.3,52.3,1146
20180928,52.5,52.5,52.5,52.5,284
20181001,52.18,52.22,52.15,52.18,3610
20181002,52.15,52.15,52,52.13,10023
20181003,52.1,52.12,52.08,52.12,6571
20181004,52.22,52.22,52.21,52.21,3065
20181005,52.07,52.14,52.02,52.02,3109
20181008,52,52,51.83,51.83,6517
20181009,51.61,51.64,51.58,51.58,2666
20181010,51.59,51.59,51.54,51.56,2740
20181011,50.97,50.97,50.8,50.8,3563
20181012,50.77,50.77,50.77,50.77,58
20181015,50.7,50.7,50.6,50.63,7462
20181016,50.71,50.71,50.65,50.65,6243
20181017,51.14,51.14,51.14,51.14,2003
20181018,51.1,51.1,51,51,1133
20181019,50.89,50.89,50.75,50.88,882
20181022,50.75,50.83,50.75,50.78,4540
20181023,50.81,50.81,50.65,50.65,1905
20181024,50.57,50.58,50.5,50.58,5887
20181025,50.26,50.26,49.98,50.06,4318
20181026,50.04,50.04,49.9,49.98,3543
20181029,50.01,50.18,50,50.18,3720
20181030,50.09,50.19,50.08,50.19,8273
20181031,50.25,50.39,50.19,50.39,586
20181101,50.59,50.61,50.4,50.4,2772
20181102,50.4,50.49,50.4,50.49,7345
20181105,50.46,50.52,50.32,50.32,1539
20181106,50.59,50.59,50.5,50.5,886
20181107,50.55,50.68,50.5,50.65,2482
20181108,50.78,50.92,50.78,50.89,3878
20181109,50.86,50.9,50.86,50.86,10576
20181112,50.65,50.65,50.65,50.65,220
20181113,50.59,50.59,50.5,50.53,3533
20181114,50.47,50.47,50.32,50.32,5329
20181115,50.17,50.21,49.84,50.11,4546
20181116,50.28,50.28,50.23,50.27,3614
20181119,50.1,50.2,50.02,50.2,5503
20181120,49.98,49.98,49.9,49.92,11171
20181121,49.8,49.85,49.8,49.85,7912
20181122,49.66,49.94,49.66,49.94,1271
20181123,49.85,49.94,49.85,49.94,5052
20181126,49.88,49.9,49.8,49.8,1139
20181127,50.13,50.13,50.04,50.12,6623
20181128,50.12,50.12,50.12,50.12,0
20181129,50.39,50.39,50.31,50.31,9525
20181130,50.31,50.31,50.31,50.31,0
20181203,50.57,50.59,50.44,50.45,4063
20181204,50.44,50.45,50.44,50.44,5303
20181205,49.98,50.31,49.97,50.19,9700
20181206,50.19,50.19,50.07,50.07,10134
20181207,50.28,50.28,50.12,50.19,3693
20181210,49.85,49.86,49.56,49.58,6495
20181211,49.85,49.85,49.78,49.78,1183
20181212,49.7,49.73,49.66,49.73,2826
20181213,49.73,49.73,49.73,49.73,0
20181214,50,50,49.9,49.9,259
20181217,49.76,49.99,49.76,49.82,1951
20181218,49.63,49.8,49.6,49.7,5513
20181219,49.52,49.55,49.5,49.55,1232
20181220,49.45,49.58,49.23,49.4,6673
20181221,49.4,49.41,49.24,49.28,1392
20181224,49.06,49.06,48.85,48.85,1597
20181227,49.32,49.59,49.32,49.5,5105
20181228,49.74,49.76,49.74,49.76,258
20181231,49.69,49.75,49.69,49.75,454
20190102,49.5,49.7,49.5,49.7,2426
20190103,49.88,49.88,49.88,49.88,810
20190104,49.5,49.54,49.5,49.54,2114
20190107,49.91,49.92,49.85,49.85,10623
20190108,49.87,50.05,49.8,50.05,23138
20190109,50.12,50.12,50.12,50.12,2473
20190110,50.12,50.17,50.12,50.15,299
20190111,50.24,50.25,50.19,50.19,6381
20190114,50.2,50.23,50.2,50.2,7689
20190115,50.25,50.3,50.25,50.29,2654
20190116,50.3,50.38,50.3,50.38,416
20190117,50.51,50.51,50.51,50.51,12
20190118,50.52,50.65,50.52,50.6,3339
20190121,50.75,50.91,50.75,50.75,7272
20190122,50.84,50.84,50.75,50.75,7966
20190123,50.65,50.74,50.52,50.73,4314
20190124,50.73,50.73,50.73,50.73,0
20190125,50.76,51.03,50.76,51.01,6612
20190129,50.87,50.87,50.67,50.82,4927
20190130,50.79,50.94,50.74,50.9,4506
20190131,50.98,51.03,50.95,50.95,5427
20190201,50.95,51.12,50.95,50.99,4821
20190204,51.2,51.2,51.2,51.2,4876
20190205,51.29,51.35,51.29,51.35,50
20190206,51.39,51.69,51.39,51.65,19848
20190207,51.65,51.65,51.65,51.65,0
20190208,51.65,51.78,51.65,51.74,3157
20190211,51.7,51.7,51.6,51.7,4654
20190212,51.79,51.88,51.61,51.86,13849
20190213,51.98,51.98,51.8,51.8,13725
20190214,51.81,51.98,51.8,51.92,9028
20190215,51.86,51.97,51.86,51.93,7388
20190218,51.99,52.06,51.98,52.06,2215
20190219,52.1,52.16,52.02,52.15,14436
20190220,52.08,52.15,52.05,52.1,2587
20190221,52.23,52.34,52.22,52.34,1964
20190222,52.33,52.38,52.18,52.38,4206
20190225,52.32,52.42,52.32,52.42,3214
20190226,52.39,52.39,52.22,52.32,1659
20190227,52.31,52.39,52.31,52.39,2823
20190228,52.34,52.36,52.34,52.36,21951
20190301,52.4,52.58,52.4,52.58,12103
20190304,52.68,52.68,52.68,52.68,2343
20190305,52.51,52.58,52.42,52.58,7335
20190306,52.59,52.8,52.51,52.7,12659
20190307,52.59,52.75,52.59,52.72,9020
20190308,52.5,52.63,52.5,52.59,5310
20190311,52.5,52.55,52.36,52.55,1163
20190312,52.76,52.76,52.65,52.65,2803
20190313,52.64,52.64,52.56,52.56,1226
20190314,52.69,52.84,52.69,52.81,2036
20190315,52.89,52.89,52.75,52.75,3823
20190318,52.89,52.93,52.82,52.84,1357
20190319,53.07,53.07,52.9,53.02,4970
20190320,53,53,52.9,52.95,3909
20190321,52.9,52.92,52.86,52.86,5534
20190322,53.26,53.26,53.1,53.15,12554
20190325,52.92,52.93,52.85,52.9,12962
20190326,52.86,52.93,52.85,52.93,12500
20190327,52.86,53,52.86,53,3308
20190328,52.99,52.99,52.95,52.99,2577
20190329,53,53.19,53,53.19,10714
20190401,53.1,53.1,53.01,53.01,22906
20190402,53,53.75,52.98,53.12,11533
20190403,53.26,53.33,53.22,53.33,2330
20190404,53.3,53.3,53.23,53.23,741
20190405,53.15,53.15,53.06,53.06,1368
20190408,53.29,53.29,53.18,53.18,7929
20190409,53.23,53.23,53.18,53.21,8929
20190410,53.14,53.24,53.14,53.19,4774
20190411,53.21,53.21,53.15,53.15,6292
20190412,53.2,53.28,53.2,53.28,5169
20190415,53.33,53.33,53.16,53.28,3788
20190416,53.3,53.38,53.22,53.27,9066
20190417,53.37,53.37,53.21,53.25,7333
20190418,53.28,53.3,53.17,53.17,10923
20190423,53.31,53.46,53.31,53.45,8531
20190424,53.76,53.89,53.76,53.83,17101
20190426,53.92,53.94,53.9,53.94,6508
20190429,53.94,53.94,53.85,53.87,8062
20190430,53.8,53.82,53.71,53.73,20153
20190501,53.92,53.99,53.92,53.99,1000
20190502,53.78,53.85,53.78,53.79,8616
20190503,53.88,53.9,53.84,53.84,17393
20190506,53.73,53.73,53.65,53.65,10110
20190507,53.68,53.87,53.68,53.87,6480
20190508,53.5,53.65,53.5,53.5,5124
20190509,53.62,53.63,53.55,53.59,12635
20190510,53.56,53.56,53.43,53.43,4625
20190513,53.48,53.5,53.43,53.47,5418
20190514,53.15,53.33,53.08,53.18,10267
20190515,53.46,53.46,53.46,53.46,100
20190516,53.65,53.7,53.65,53.7,6708
20190517,53.98,53.98,53.9,53.91,12862
20190520,54.01,54.03,53.95,54,5923
20190521,53.92,53.93,53.9,53.91,4627
20190522,54,54.12,54,54.04,954
20190523,54.1,54.1,53.93,54.03,28228
20190524,53.92,53.96,53.8,53.96,3509
20190527,54.1,54.1,53.85,53.85,13613
20190528,54.01,54.02,53.95,54,14307
