Date,Open,High,Low,Close,Volume
20171122,50.3,50.3,50.3,50.3,566
20171123,50.25,50.32,50.25,50.26,13645
20171124,50.28,50.28,50.19,50.19,1788
20171127,50.48,50.48,50.4,50.4,997
20171128,50.41,50.45,50.35,50.35,5979
20171129,50.71,50.72,50.64,50.65,35699
20171130,50.59,50.59,50.53,50.53,1065
20171201,50.69,50.69,50.65,50.67,1781
20171204,50.75,50.77,50.7,50.74,3318
20171205,50.41,50.43,50.35,50.38,60407
20171206,50.35,50.35,50.28,50.29,8197
20171207,50.49,50.49,50.49,50.49,98
20171208,50.67,50.67,50.65,50.65,3233
20171211,50.8,50.8,50.77,50.78,995
20171212,50.9,50.94,50.9,50.91,2261
20171213,50.92,50.94,50.75,50.75,3371
20171214,50.8,50.8,50.65,50.65,2795
20171215,50.7,50.7,50.45,50.51,2406
20171218,50.84,50.93,50.84,50.9,276
20171219,50.9,50.97,50.9,50.97,2584
20171220,50.81,50.9,50.81,50.9,1822
20171221,50.84,50.95,50.84,50.95,710
20171222,51.02,51.02,50.93,50.93,2882
20171227,51,51.2,50.85,50.85,4437
20171228,51,51,50.75,50.8,3874
20171229,51,51,50.66,50.71,4742
20180102,52,52,50.28,50.32,10748
20180103,50.6,50.67,50.5,50.65,2060
20180104,50.84,50.85,50.74,50.74,5636
20180105,50.88,51.09,50.88,51.09,1277
20180108,51.25,51.31,51.25,51.31,1855
20180109,51.36,51.36,51.17,51.32,6656
20180110,51.47,51.48,51.3,51.3,3451
20180111,51.22,51.22,51.02,51.1,2340
20180112,51.22,51.25,51.2,51.2,926
20180115,51.43,51.43,51.3,51.34,4178
20180116,51.17,51.19,51.1,51.15,10965
20180117,50.94,50.94,50.83,50.92,8689
20180118,51.15,51.15,51,51.13,21353
20180119,51.01,51.01,50.88,50.88,4486
20180122,51,51.08,51,51.05,736
20180123,51.27,51.35,51.27,51.35,399
20180124,51.42,51.46,51.42,51.45,1862
20180125,51.4,51.4,51.27,51.27,12538
20180129,51.66,51.75,51.55,51.75,2931
20180130,51.41,51.43,51.2,51.2,9032
20180131,50.92,50.92,50.9,50.9,5099
20180201,51.1,51.37,51.1,51.37,863
20180202,51.29,51.4,51.27,51.4,4401
20180205,50.9,50.9,50.67,50.74,13039
20180206,49.32,49.32,48.4,48.43,14450
20180207,50.05,50.17,49.92,49.93,11370
20180208,49.36,49.51,49.26,49.51,4003
20180209,48.85,49.01,48.61,48.95,11693
20180212,49.19,49.41,49.19,49.38,2808
20180213,49.19,49.29,49.14,49.15,8850
20180214,49.34,49.4,49.25,49.35,2200
20180215,49.61,49.77,49.46,49.77,12351
20180216,49.91,50.04,49.9,49.9,4203
20180219,50,50.3,50,50.3,5503
20180220,50.16,50.26,50.15,50.23,12507
20180221,50.13,50.15,50.05,50.05,1801
20180222,50.33,50.33,50.12,50.23,3211
20180223,50.47,50.51,50.4,50.51,953
20180226,51.01,51.03,50.89,50.93,3818
20180227,51.32,51.34,51.2,51.29,6343
20180228,50.97,51.02,50.88,50.88,5117
20180301,50.67,50.69,50.55,50.6,5161
20180302,50.24,50.24,50.05,50.17,4687
20180305,50.23,50.25,50.05,50.05,9721
20180306,50.53,50.55,50.51,50.51,719
20180307,50.06,50.07,49.92,49.92,14797
20180308,50.38,50.4,50.24,50.38,1207
20180309,50.52,50.8,50.52,50.7,5603
20180312,51.1,51.21,51.1,51.13,5703
20180313,50.9,50.9,50.71,50.71,8196
20180314,50.71,50.71,50.57,50.68,2106
20180315,50.63,50.63,50.45,50.62,60843
20180316,50.87,50.91,50.78,50.87,57594
20180319,51.2,51.2,51.03,51.16,3787
20180320,50.74,50.76,50.7,50.76,4471
20180321,50.86,50.94,50.85,50.94,1639
20180322,50.64,50.69,50.55,50.68,2717
20180323,50,50,49.5,49.5,25796
20180326,49.34,49.51,49.34,49.51,7070
20180327,50.05,50.16,49.97,50.14,7887
20180328,49.69,49.74,49.53,49.68,6092
20180329,49.81,49.82,49.55,49.55,2011
20180403,50.5,50.5,49.2,49.2,4942
20180404,49.49,49.49,49.3,49.3,2746
20180405,49.71,49.9,49.67,49.89,3398
20180406,49.47,49.54,49.3,49.5,3071
20180409,49.4,49.61,49.35,49.61,1495
20180410,49.64,50,49.64,50,1983
20180411,49.91,49.91,49.87,49.88,19140
20180412,49.79,49.79,49.7,49.76,1309
20180413,49.9,49.95,49.9,49.93,2841
20180416,50,50,49.93,49.98,1165
20180417,50.07,50.23,50.07,50.23,1209
20180418,50.3,50.42,50.3,50.39,4513
20180419,50.41,50.43,50.25,50.3,8624
20180420,50.37,50.48,50.3,50.4,5103
20180423,50.48,50.51,50.39,50.39,9635
20180424,50.7,50.76,50.66,50.76,2042
20180426,50.63,50.64,50.5,50.5,4901
20180427,50.9,51.02,50.9,50.93,2905
20180430,50.89,51.02,50.86,51.02,3173
20180501,50.89,51.01,50.89,50.99,7955
20180502,51.28,51.28,51.17,51.27,2741
20180503,51.17,51.17,51.05,51.11,11427
20180504,51.17,51.22,50.99,51.07,7321
20180507,51.4,51.56,51.4,51.4,3409
20180508,51.44,51.56,51.44,51.5,2633
20180509,51.52,51.73,51.52,51.69,2550
20180510,52,52,51.98,52,4768
20180511,52,52,51.9,51.9,5375
20180514,51.9,52.1,51.9,52.1,3034
20180515,52.15,52.15,52.02,52.05,3266
20180516,52.03,52.15,52.02,52.09,3439
20180517,52.08,52.1,51.9,51.94,8230
20180518,52,52.02,51.96,51.97,3212
20180521,52.02,52.03,52.02,52.02,2997
20180522,51.87,51.87,51.68,51.78,7014
20180523,51.7,51.72,51.58,51.58,2243
20180524,51.74,51.76,51.6,51.75,2739
20180525,51.59,51.71,51.5,51.71,1848
20180528,51.63,51.65,51.5,51.5,3014
20180529,51.55,51.63,51.5,51.56,6776
20180530,51.3,51.37,51.25,51.35,12433
20180531,51.54,51.54,51.47,51.48,3570
20180601,51.21,51.26,51.15,51.26,3315
20180604,51.61,51.61,51.45,51.48,3784
20180605,51.37,51.41,51.3,51.41,4222
20180606,51.61,51.61,51.42,51.42,7055
20180607,51.7,51.88,51.7,51.83,463
20180608,51.8,51.86,51.8,51.8,930
20180612,51.92,52,51.85,51.97,2495
20180613,51.97,52,51.9,51.92,2897
20180614,51.92,51.96,51.8,51.85,8586
20180615,52.24,52.48,52.24,52.48,1999
20180618,52.5,52.51,52.34,52.44,7239
20180619,52.49,52.5,52.32,52.32,3352
20180620,52.5,52.53,52.5,52.53,2486
20180621,52.75,52.92,52.75,52.92,1882
20180622,52.59,52.72,52.59,52.64,11131
20180625,52.48,52.49,52.3,52.3,8687
20180626,52.1,52.18,52.06,52.15,2001
20180627,52.3,52.32,52.16,52.25,2645
20180628,52.2,52.28,52.15,52.25,4365
20180629,52.4,52.41,52.3,52.32,2451
20180702,51.8,51.83,51.65,51.66,6674
20180703,51.9,52.15,51.9,52.15,2327
20180704,51.72,51.72,51.6,51.6,6182
20180705,51.96,51.96,51.77,51.9,1946
20180706,52,52.1,52,52.1,241
20180709,52.33,52.39,52.32,52.35,1134
20180710,52.55,52.55,52.43,52.45,5146
20180711,52.45,52.45,52.2,52.2,3981
20180712,52.4,52.61,52.4,52.51,826
20180713,52.55,52.7,52.55,52.68,2463
20180716,52.66,52.66,52.49,52.49,12481
20180717,52.49,52.51,52.35,52.35,1612
20180718,52.75,52.79,52.6,52.76,1719
20180719,52.75,52.75,52.69,52.75,10509
20180720,52.79,52.88,52.77,52.77,2884
20180723,52.55,52.55,52.37,52.47,9537
20180724,52.67,52.9,52.67,52.86,12245
20180725,52.77,52.77,52.52,52.69,15685
20180726,52.75,52.82,52.6,52.82,2524
20180727,52.88,53.17,52.88,53.14,12250
20180730,52.88,52.88,52.75,52.8,5264
20180731,52.87,52.91,52.75,52.75,5528
20180801,53,53,52.85,52.98,3052
20180802,52.98,52.98,52.71,52.77,15699
20180803,53,53.1,52.81,52.92,3558
20180806,52.92,53,52.85,52.97,7724
20180807,53.05,53.06,52.93,52.93,1894
20180808,52.96,53.02,52.92,52.95,4624
20180809,53.03,53.07,52.9,53.04,6049
20180810,53.05,53.15,53.05,53.1,4406
20180813,53.13,53.16,52.9,52.94,10582
20180814,53.12,53.19,53.1,53.16,5584
20180815,53.34,53.34,53.21,53.3,818
20180816,53.15,53.17,52.98,53.15,5698
