Date,Open,High,Low,Close,Volume
20151211,49.95,49.95,49.95,49.95,200
20151214,49.64,49.83,49.64,49.7,437
20151215,49.7,49.7,49.7,49.7,0
20151216,49.7,49.7,49.7,49.7,0
20151217,50.75,50.75,50.65,50.65,896
20151218,50.66,50.66,50.66,50.66,1634
20151221,49.92,49.92,49.92,49.92,297
20151222,49.92,49.92,49.92,49.92,0
20151223,49.92,49.92,49.92,49.92,0
20151224,51.04,51.08,51.04,51.08,215
20151229,50.73,50.73,50.73,50.73,195
20151230,50.73,50.73,50.73,50.73,0
20151231,50.75,50.75,50.5,50.5,4066
20160104,49.69,49.94,49.69,49.94,3010
20160105,49.67,49.67,49.62,49.62,2201
20160106,49.5,49.5,49.35,49.35,910
20160107,49.28,49.28,49.02,49.02,2850
20160108,49,49,49,49,206
20160111,49,49,49,49,0
20160112,48.72,48.72,48.72,48.72,1275
20160113,49.14,49.14,49.12,49.12,531
20160114,49.12,49.12,49.12,49.12,0
20160115,49.13,49.13,48.5,48.5,4354
20160118,47.59,47.6,47.3,47.3,205
20160119,47.34,47.6,47.34,47.6,3011
20160120,47.68,47.68,47.4,47.4,500
20160121,46.78,46.81,46.78,46.8,117
20160122,46.65,46.65,46.37,46.54,3939
20160125,46.54,46.54,46.54,46.54,0
20160127,47.23,47.23,47.23,47.23,2000
20160128,47.23,47.23,47.23,47.23,0
20160129,47.23,47.23,47.23,47.23,0
20160201,48.01,48.01,48,48,408
20160202,47.69,47.72,47.66,47.72,2643
20160203,47.01,47.07,47.01,47.06,3020
20160204,47.06,47.06,47.06,47.06,0
20160205,46.64,46.64,46.64,46.64,20
20160208,46.64,46.79,46.64,46.7,4790
20160209,45.5,45.53,45.31,45.31,1249
20160210,45.1,45.19,45.1,45.1,3600
20160211,45,45,44.69,44.69,2022
20160212,44.25,44.63,44.25,44.63,2646
20160215,45.41,45.41,45.39,45.4,2576
20160216,45.64,45.83,45.64,45.82,3045
20160217,45.82,45.82,45.82,45.82,0
20160218,45.82,45.82,45.82,45.82,0
20160219,46.84,46.84,46.84,46.84,213
20160222,46.47,46.47,46.47,46.47,449
20160223,46.47,46.47,46.47,46.47,0
20160224,45.47,45.47,45.47,45.47,734
20160225,45.5,45.69,45.5,45.69,306
20160226,45.77,45.77,45.77,45.77,545
20160229,46.06,46.06,46.06,46.06,650
20160301,45.93,46.01,45.93,46.01,1012
20160302,46.01,46.01,46.01,46.01,0
20160303,46.01,46.01,46.01,46.01,0
20160304,46.28,46.28,46.28,46.28,33
