Date,Open,High,Low,Close,Volume
20180913,49.92,49.92,49.6,49.6,2052
20180914,49.6,49.6,49.6,49.6,0
20180917,50.13,50.13,50,50.01,189
20180918,49.83,49.83,49.6,49.63,416
20180919,49.75,49.75,49.65,49.65,537
20180920,49.65,49.65,49.58,49.6,2090
20180921,49.92,49.92,49.92,49.92,30
20180924,49.85,49.85,49.85,49.85,595
20180925,49.85,49.85,49.85,49.85,401
20180926,49.85,49.85,49.85,49.85,100
20180927,49.88,49.88,49.8,49.8,180
20180928,50.27,50.27,50.27,50.27,10
20181001,50.13,50.13,50.12,50.12,190
20181002,50.14,50.14,50,50,827
20181003,50,50,50,50,0
20181004,50.6,50.7,50.6,50.7,298
20181005,50.6,50.6,50.5,50.5,120
20181008,50.49,50.49,50.29,50.29,150
20181009,50.17,50.17,49.89,49.89,918
20181010,49.77,49.77,49.6,49.6,502
20181011,48.52,48.52,48,48,461
20181012,47.69,47.71,47.69,47.69,861
20181015,47.7,47.8,47.69,47.78,1880
20181016,47.49,47.6,47.48,47.55,839
20181017,48.52,48.58,48.49,48.58,996
20181018,48.66,48.66,48.33,48.33,1014
20181019,47.97,47.97,47.95,47.95,1131
20181022,47.95,47.95,47.95,47.95,0
20181023,47.79,47.79,47.79,47.79,30
20181024,47.41,47.58,47.41,47.58,1337
20181025,46.54,46.54,46.32,46.32,1039
20181026,46.69,46.69,46.45,46.45,384
20181029,46.46,46.46,46.21,46.42,527
20181030,46.24,46.32,46.24,46.27,1267
20181031,46.27,46.27,46.27,46.27,0
20181101,47.06,47.06,47.06,47.06,1060
20181102,46.83,46.83,46.8,46.8,452
20181105,46.8,46.84,46.73,46.84,795
20181106,47.01,47.01,46.98,46.98,757
20181107,46.98,47,46.8,46.94,553
20181108,47.58,47.74,47.58,47.61,280
20181109,47.49,47.55,47.47,47.48,982
20181112,47.43,47.43,47.43,47.43,125
20181113,46.93,46.93,46.6,46.6,677
20181114,46.58,46.68,46.55,46.58,2741
20181115,46.1,46.1,45.8,45.8,3154
20181116,46.14,46.14,46.14,46.14,33
20181119,46.06,46.06,46,46,387
20181120,45.8,45.8,45.57,45.57,3726
20181121,45.57,45.57,45.57,45.57,0
20181122,45.32,45.32,45.32,45.32,15
20181123,45.35,45.35,45.32,45.32,400
20181126,45.3,45.49,45.3,45.49,735
20181127,45.87,45.87,45.87,45.87,218
20181128,46.22,46.22,46.2,46.2,700
20181129,46.33,46.34,46.25,46.25,8204
20181130,46.25,46.25,46.2,46.2,55
