Date,Open,High,Low,Close,Volume
20201014,50.61,50.61,50.61,50.61,100
20201015,50.61,50.81,50.61,50.71,173
20201016,50.55,50.69,50.55,50.56,1021
20201019,50.7,51.06,50.7,51,2123
20201020,50.86,50.96,50.55,50.55,1370
20201021,50.7,50.7,50.5,50.65,929
20201022,50.15,50.29,49.85,50.29,2027
20201023,50.32,50.72,50.31,50.68,1916
20201026,50.97,50.97,50.3,50.3,2542
20201027,50.4,50.4,49.3,49.47,18586
20201028,49.2,49.65,49.2,49.56,4693
20201029,49.4,49.4,48.5,48.67,72517
20201030,48.82,48.85,48.5,48.53,2946
20201102,48.61,48.67,48.15,48.5,14529
20201103,48.98,49.6,48.98,49.54,1779
20201104,49.41,49.59,48.87,49.39,2938
20201105,49.96,50.14,49.73,50.09,2707
20201106,50.61,50.7,50.4,50.53,1881
20201109,50.97,51.51,50.96,51.43,18968
20201110,52.49,53.1,51.7,51.7,18688
20201111,52.42,53.33,52.28,53.33,6445
20201112,52.88,52.9,52.34,52.42,4795
20201113,52.27,52.48,52.22,52.33,3492
20201116,53,53,52.94,52.99,223
20201117,53.27,53.31,52.92,52.92,15664
20201118,53.1,53.31,53.1,53.3,5106
20201119,53.3,53.35,53.1,53.35,12313
20201120,53.5,53.67,53.44,53.52,7995
20201123,53.61,53.73,53.6,53.65,3958
20201124,53.86,54.05,53.76,54.05,3204
20201125,54.3,54.51,54.29,54.3,33465
20201126,54.32,54.32,53.93,53.93,3427
20201127,54,54,53.6,53.75,2800
20201130,53.97,54,53.31,53.31,1507
20201201,53.23,53.82,53.1,53.67,24554
20201202,53.94,53.94,53.4,53.55,3030
20201203,53.8,53.8,53.56,53.68,3729
20201204,53.63,53.82,53.63,53.75,4537
20201207,54,54.2,53.75,53.85,17082
20201208,53.98,54.14,53.85,54.12,2655
20201209,54.36,54.56,54.33,54.43,1746
20201210,54.36,54.36,53.99,54.12,7025
20201211,53.8,53.83,53.53,53.69,15197
20201214,53.68,54.55,53.68,54.55,1685
20201215,53.86,53.86,53.58,53.68,1143
20201216,53.99,54.26,53.99,54.1,2484
20201217,54.5,54.5,54.26,54.45,602
20201218,54.64,54.64,53.97,53.97,30682
20201221,53.87,53.87,53.6,53.7,1484
20201222,53.75,53.77,53.26,53.26,2909
20201223,53.83,53.83,53.62,53.63,1425
20201224,54.12,54.14,53.94,53.94,1897
