Date,Open,High,Low,Close,Volume
20141121,50.18,50.18,50.18,50.18,200
20141124,50.18,50.18,50.18,50.18,0
20141125,50.67,50.71,50.67,50.71,1385
20141126,50.71,50.71,50.71,50.71,0
20141127,51,51,51,51,300
20141128,50.98,50.98,50.98,50.98,100
20141201,50.98,50.98,50.69,50.69,414
20141202,50.69,50.69,50.69,50.69,0
20141203,50.97,51.01,50.97,51.01,685
20141204,51.01,51.01,51.01,51.01,0
20141205,51.08,51.08,51.08,51.08,315
20141208,51.08,51.08,51.08,51.08,0
20141209,50.81,50.81,50.81,50.81,190
20141210,50.62,50.62,50.62,50.62,138
20141211,49.75,49.75,49.75,49.75,296
20141212,49.8,49.8,49.8,49.8,2011
20141215,49.15,49.15,49.11,49.11,2011
20141216,48.47,48.49,48.47,48.49,814
20141217,48.49,48.49,48.49,48.49,0
20141218,49.33,49.33,49.3,49.32,2151
20141219,49.32,49.32,49.32,49.32,0
20141222,50.69,50.69,50.69,50.69,492
20141223,50.96,50.96,50.67,50.67,20
20141224,51.03,51.03,51.03,51.03,10
20141229,51.21,51.21,51.21,51.21,1176
20141230,51.21,51.21,51.21,51.21,0
20141231,51.21,51.21,51.21,51.21,0
20150102,51.21,51.21,51.21,51.21,0
20150105,50.4,50.4,50.4,50.4,2480
20150106,50.4,50.4,50.4,50.4,0
20150107,50.4,50.4,50.4,50.4,0
20150108,50.04,50.04,50.04,50.04,100
20150109,50.71,50.71,50.64,50.64,1197
20150112,49.93,49.93,49.93,49.93,1481
20150113,49.93,49.93,49.93,49.93,0
20150114,49.8,49.8,49.76,49.76,2500
20150115,49.89,49.89,49.89,49.89,1199
20150116,49.46,49.46,49.2,49.38,5327
20150119,50.01,50.04,49.99,49.99,3215
20150120,49.91,49.93,49.91,49.91,5367
20150121,50.22,50.25,50.22,50.25,964
20150122,50.48,50.5,50.48,50.49,1212
20150123,51.1,51.1,51.07,51.07,783
20150127,51.53,51.53,51.48,51.48,3205
20150128,51.29,51.32,51.29,51.32,3138
20150129,50.57,50.61,50.57,50.59,3456
20150130,50.89,50.9,50.89,50.9,1337
20150202,50.44,50.5,50.39,50.5,2749
20150203,50.71,50.71,50.7,50.7,478
20150204,51.59,51.68,51.59,51.68,13189
20150205,51.6,51.6,51.2,51.29,4043
20150206,51.71,51.71,51.71,51.71,612
20150209,51.59,51.6,51.49,51.51,1332
20150210,51.58,51.58,51.55,51.56,2136
20150211,51.98,51.98,51.94,51.94,3429
20150212,52.02,52.02,51.79,51.85,3888
20150213,52.48,52.49,52.48,52.49,1252
20150216,52.71,52.71,52.67,52.7,2038
20150217,52.51,52.64,52.51,52.64,5356
20150218,52.94,52.98,52.94,52.98,1794
20150219,52.62,52.93,52.62,52.93,1104
20150220,53.03,53.05,53.02,53.02,2462
20150223,53.29,53.29,53.28,53.28,3900
20150224,53.34,53.35,53.32,53.32,453
20150225,53.58,53.69,53.58,53.69,2293
20150226,53.45,53.46,53.44,53.46,6263
20150227,53.51,53.52,53.49,53.49,2857
20150302,53.63,53.63,53.6,53.6,3347
20150303,53.65,53.65,53.56,53.56,2246
20150304,53.38,53.39,53.37,53.38,650
20150305,53.2,53.76,53.2,53.76,3941
20150306,53.56,53.56,53.56,53.56,935
20150309,53.5,53.5,52.6,52.6,1037
20150310,53.17,53.17,53.08,53.08,593
20150311,52.6,52.6,52.3,52.44,12627
20150312,53,53,52.66,52.69,8287
20150313,53.06,53.14,53.06,53.07,6014
20150316,52.93,53,52.87,52.99,5015
20150317,53.49,53.49,53.45,53.45,1784
20150318,55.09,55.38,55.09,55.35,12496
20150319,56.04,56.11,54.23,54.23,11842
20150320,54.2,54.2,53.83,53.93,4250
20150323,54.46,54.46,54.44,54.44,2139
20150324,54.28,54.28,54.17,54.25,3921
20150325,54.15,54.15,54.12,54.12,2435
20150326,53.49,53.49,53.47,53.47,3057
20150327,53.35,53.46,53.34,53.46,7953
20150330,53.31,53.44,53.23,53.44,3657
20150331,53.97,53.97,53.88,53.88,1866
20150401,53.05,53.16,53,53.12,2104
20150402,53.36,53.36,53.35,53.35,66
20150407,53.85,53.85,53.56,53.56,1672
20150408,54.02,54.04,53.97,54.03,4643
20150409,54.14,54.14,54.11,54.11,850
20150410,54.57,54.58,54.54,54.58,2484
20150413,54.65,54.86,54.65,54.74,2838
20150414,60,60,54.8,54.8,2715
20150415,54.7,54.71,54.6,54.71,2948
20150416,55.11,55.19,55.1,55.19,6771
20150417,54.79,54.79,54.75,54.77,3987
20150420,54.26,54.32,54.25,54.28,3918
20150421,54.59,54.63,54.5,54.63,10285
20150422,54.58,54.64,54.58,54.62,1182
20150423,54.87,54.87,54.82,54.84,3305
20150424,54.94,54.94,54.84,54.84,3673
20150427,54.91,55.16,54.9,55.16,8330
20150428,55.17,55.17,55.13,55.17,1634
20150429,55.5,55.5,54.62,55.06,12545
20150430,54.39,54.47,54.34,54.34,1514
20150501,54.21,54.23,53.78,53.82,8409
20150504,54.48,54.51,54.48,54.51,2898
20150505,54.72,54.73,54.68,54.73,1805
20150506,54.38,54.38,54.05,54.11,4390
20150507,53.86,53.98,53.49,53.49,7631
20150508,54.18,54.24,54.18,54.21,2509
20150511,54.87,54.87,54.82,54.82,398
20150512,54.39,54.44,54.39,54.4,1819
20150513,54.4,54.45,54,54.44,31637
20150514,54.43,54.43,54.2,54.2,1553
20150515,54.4,54.86,54.4,54.86,3052
20150518,54.74,54.75,54.7,54.74,3753
20150519,55.13,55.13,55.12,55.12,516
20150520,55.38,55.38,55.38,55.38,935
20150521,55.24,55.28,55.24,55.28,3007
20150522,55.51,55.51,55.49,55.49,1245
20150525,55.43,55.46,55.3,55.46,2832
20150526,56.1,56.1,55.35,55.39,2770
20150527,54.96,54.97,54.95,54.95,1151
20150528,55.54,55.54,55.48,55.48,3002
20150529,55.42,55.42,55.39,55.42,1966
20150601,54.97,55.01,54.97,55.01,2706
20150602,55.1,55.15,55,55.14,5948
20150603,54.96,55.01,54.96,54.99,1306
20150604,55.09,55.09,54.99,54.99,5065
20150605,54.9,54.9,54.74,54.74,2170
20150609,54.45,54.49,54.42,54.42,4387
20150610,54.24,54.28,54.14,54.14,6190
20150611,54.62,54.66,53.95,53.95,12479
20150612,54.71,54.71,54.69,54.7,5072
20150615,54.18,54.19,54.13,54.18,21607
20150616,53.96,53.96,53.51,53.51,9406
20150617,54.29,54.33,54.2,54.33,474
20150618,54.27,54.27,54.26,54.26,407
20150619,54.58,54.59,54.58,54.58,8682
20150622,54.28,54.33,54.27,54.33,2195
20150623,55.2,55.22,55,55.22,1534
20150624,55.21,55.21,55.17,55.17,1714
20150625,54.92,54.93,54.92,54.92,1063
20150626,54.8,54.8,54.67,54.73,3054
20150629,55.22,55.22,53.69,54.19,1925
20150630,53.86,53.86,53.75,53.85,2125
20150701,53.41,53.56,53.41,53.55,3866
20150702,53.98,54.01,53.97,54.01,6301
20150703,53.81,53.82,53.71,53.73,1179
20150706,53.12,53.12,52.83,52.83,3363
20150707,53.04,53.39,53.02,53.39,7914
20150708,53.09,53.09,52.89,52.89,2977
20150709,52.38,53.12,52.38,53.12,750
20150710,53.07,53.26,53.04,53.25,22185
20150713,53.53,53.85,53.53,53.85,1516
20150714,54.4,54.47,54.39,54.41,17929
20150715,54.81,54.81,54.76,54.76,1516
20150716,54.8,54.86,54.75,54.75,2500
20150717,55.22,55.22,55.2,55.2,4536
20150720,55.23,55.25,55.19,55.25,12934
20150721,55.33,55.38,55.29,55.38,1027
20150722,54.96,54.96,54.9,54.9,5455
20150723,54.8,54.93,54.8,54.93,6453
20150724,54.67,54.7,54.33,54.33,6447
20150727,54.15,54.29,54.15,54.29,1650
20150728,54.02,54.02,53.97,53.97,1397
20150729,54.19,54.19,54.17,54.17,323
20150730,54.42,54.47,54.42,54.45,2285
20150731,54.61,54.65,54.4,54.65,2773
20150803,54.55,54.66,54.42,54.6,3778
20150804,54.6,54.68,54.5,54.5,3588
20150805,54.45,54.52,54.45,54.45,2436
20150806,54.81,54.82,54.58,54.58,948
20150807,54.51,54.72,54.5,54.7,2144
20150810,54.49,54.6,54.49,54.6,12061
20150811,54.6,54.81,54.6,54.79,3125
20150812,54.47,54.47,54.15,54.16,15262
20150813,54.1,54.28,54,54.1,13353
20150814,54.05,54.22,54.05,54.2,5346
20150817,54.25,54.26,54.15,54.19,1643
20150818,54.45,54.53,54.26,54.46,19206
20150819,54.34,54.34,54.14,54.17,5712
20150820,53.89,53.89,53.5,53.67,1517
20150821,52.59,52.59,52.15,52.25,6664
20150824,50.9,50.9,49.8,50.11,4483
20150825,48.91,49.62,48.75,48.9,17020
20150826,48.38,49.49,48.38,49.48,8356
20150827,50.26,50.3,50.12,50.13,2485
20150828,51.24,51.4,51.06,51.4,3608
20150831,51.25,51.28,51.23,51.23,1162
20150901,51.05,51.05,50.36,50.66,6518
20150902,49.77,50.2,49.69,50.12,689
20150903,50.51,50.51,50.34,50.39,2907
20150904,50.2,50.37,50,50.08,1773
20150907,49.76,50.22,49.35,49.85,98566
20150908,50.19,50.24,50,50,31699
20150909,50.76,51.03,50.65,51.03,36445
20150910,50.55,50.74,50.5,50.7,2089
20150911,50.63,50.73,50.6,50.63,2654
20150914,50.6,50.8,50.6,50.63,13775
20150915,50.51,50.52,50.45,50.45,5038
20150916,50.58,50.93,50.58,50.91,5751
20150917,51.25,51.48,51.25,51.48,3062
20150918,51.12,51.29,51.07,51.21,6077
20150921,50.08,50.21,50.08,50.21,845
