Date,Open,High,Low,Close,Volume
20131121,49.26,49.44,49.26,49.44,1148
20131122,49.44,49.44,49.44,49.44,0
20131125,50.63,50.63,50.59,50.62,2340
20131126,50.45,50.45,50,50.28,2279
20131127,50.29,50.47,50.29,50.47,4356
20131128,50.8,50.8,50.5,50.5,650
20131129,50.94,50.98,50.91,50.91,1328
20131202,51.03,51.03,50.92,50.92,460
20131203,50.19,50.19,50.02,50.1,24109
20131204,50.1,50.12,49.58,50,4779
20131205,50.21,50.21,50.21,50.21,100
20131206,50.18,50.2,50,50.2,3353
20131209,50.91,51,50.87,50.91,1353
20131210,51.09,51.09,50.77,50.77,13500
20131211,50.65,50.79,50.65,50.79,4006
20131212,50.25,50.25,50.11,50.25,849
20131213,50.47,50.47,50.47,50.47,4
20131216,50.45,50.71,50.38,50.38,2153
20131217,50.75,50.75,50.75,50.75,600
20131218,50.69,50.74,50.69,50.74,765
20131219,51.9,51.9,51.67,51.67,3100
20131220,51.67,51.67,51.67,51.67,0
20131223,50.52,50.52,50.45,50.5,1068
20131224,50.64,50.67,50.64,50.66,1001
20131227,51.15,51.15,50.37,50.38,152
20131230,51.66,51.7,51.66,51.68,1050
20131231,51.63,51.64,51.63,51.64,100
20140102,51.71,51.76,51.63,51.63,1052
20140103,51.75,51.75,49.68,49.68,2236
20140106,50,50,49.5,49.65,450
20140107,49.5,49.5,49.48,49.48,952
20140108,49.57,49.6,49.56,49.6,1602
20140109,49.78,49.78,49.78,49.78,100
20140110,49.86,49.86,49.35,49.35,2043
20140113,49.86,49.86,49.51,49.51,869
20140114,49.5,49.5,49,49.04,2262
20140115,49.85,50.11,49.82,50.11,1839
20140116,50.17,50.73,50.17,50.73,1454
20140117,50.73,50.77,50.34,50.38,2110
20140120,50.46,50.46,50.44,50.44,1436
20140121,50.3,50.44,50.3,50.44,900
20140122,50.2,50.2,49.94,49.94,1247
20140123,50.64,50.64,50.43,50.62,6971
20140124,50.5,50.5,49.63,50.24,3685
20140128,50.24,50.24,48,48.13,3472
20140129,48.87,48.87,48.87,48.87,3503
20140130,48.7,48.7,48.12,48.12,1178
20140131,48,48.03,48,48.03,480
20140203,48,48.56,48,48.5,1185
20140204,48.23,48.23,46.69,46.69,3376
20140205,47.26,47.31,47,47,2683
20140206,47.08,47.09,46.95,47.03,1549
20140207,47.03,47.03,47.03,47.03,0
20140210,47.25,48.01,47.25,47.97,1258
20140211,47.64,47.72,47.64,47.72,36
20140212,47.9,47.98,47.9,47.98,1225
20140213,48.05,48.55,48.05,48.55,3562
20140214,48.18,48.18,48,48,3581
20140217,48.46,48.49,48.46,48.49,834
20140218,48.45,48.48,48.1,48.48,361
20140219,48.19,48.2,48.19,48.2,1041
20140220,48.16,48.18,48.15,48.18,379
20140221,48.59,48.59,48.23,48.23,637
20140224,48.58,48.58,48.51,48.51,42
20140225,48.46,48.62,48.46,48.62,2461
20140226,48.29,48.29,48.26,48.26,1635
20140227,48.19,48.5,48.16,48.5,2304
20140228,49.01,49.01,49.01,49.01,804
20140303,48.7,48.7,48.7,48.7,80
20140304,48,48,48,48,210
20140305,48.2,48.64,48.2,48.64,120
20140306,48.67,48.69,48.42,48.54,3165
20140307,48.73,48.76,48.72,48.72,2399
20140310,48.51,48.51,48.51,48.51,170
20140311,48.13,48.13,48.12,48.12,181
20140312,48,48,47.75,47.75,529
20140313,47.97,47.97,47.7,47.7,729
20140314,48,48,47,47.16,643
20140317,47.04,47.04,47.04,47.04,212
20140318,47.5,47.5,47.38,47.4,515
20140319,47.96,48.5,47.57,47.57,366
20140320,47.57,47.57,47.57,47.57,0
20140321,47.53,47.53,47.52,47.52,1052
20140324,47.85,47.85,47.85,47.85,760
20140325,47.91,47.93,47.9,47.93,1786
20140326,48.54,48.54,48.54,48.54,3
20140327,48.07,48.07,47.96,47.96,637
20140328,47.96,47.96,47.96,47.96,0
20140331,49,49,49,49,50
20140401,49.08,49.24,49.08,49.24,1967
20140402,49.87,49.87,49.87,49.87,102
20140403,50.06,51,50.06,51,222
20140404,51,51,49.77,49.77,90
20140407,49.27,49.27,49.27,49.27,1411
20140408,52.88,52.88,49.5,49.63,811
20140409,49.66,49.71,49.66,49.71,325
20140410,49.95,49.95,49.66,49.66,3110
20140411,49.58,49.58,49.23,49.55,3725
20140414,51,51,49.26,49.34,5113
20140415,49.4,49.45,49.4,49.45,200
20140416,49.14,49.14,49.14,49.14,201
20140417,48.97,48.97,48.94,48.95,2828
20140422,49.69,49.69,49.6,49.68,878
20140423,50,50,49.46,49.46,3428
20140424,49.7,49.72,49.7,49.7,839
20140428,49,49.02,48.79,48.79,725
20140429,49.48,49.57,49.3,49.3,3305
20140430,49.17,49.17,49.17,49.17,1000
20140501,49.17,49.17,49.17,49.17,0
20140502,49.7,49.7,49.68,49.69,740
20140505,49.82,49.82,49.82,49.82,40
20140506,49.58,49.6,49.52,49.52,2370
20140507,50,50,49.5,49.5,1400
20140508,49.5,49.5,49.5,49.5,0
20140509,49.5,49.71,49.5,49.71,500
20140512,49.8,49.82,49.8,49.82,1200
20140513,50.17,50.17,50.17,50.17,400
20140514,50.5,50.5,50.49,50.49,1356
20140515,50.75,50.75,50.75,50.75,500
20140516,50.75,50.75,50.75,50.75,0
20140519,50.95,51.06,50.95,51.06,1234
20140520,51.42,51.47,51.42,51.44,1560
20140521,51.24,51.25,51.24,51.25,522
20140522,51.7,51.72,51.7,51.72,970
20140523,52.05,52.08,52.05,52.08,381
20140526,52.08,52.11,52.08,52.11,60
20140527,52.12,52.13,52.05,52.05,350
20140528,51.6,51.6,51.57,51.57,1016
20140529,51.9,51.9,51.69,51.69,485
20140530,51.65,51.65,51.43,51.43,820
20140602,51.3,51.3,51.01,51.27,1241
20140603,50.99,51.51,50.99,51.36,1379
20140604,51.62,51.62,51.61,51.61,762
20140605,51.34,51.34,51.26,51.26,728
20140606,51.33,52.1,51.33,51.67,839
20140610,52,52,52,52,104
20140611,52.45,52.45,52.34,52.36,694
20140612,52.23,52.23,52.18,52.18,1479
20140613,52.18,52.18,52.18,52.18,0
20140616,51.94,51.94,51.87,51.87,1275
20140617,52.06,52.06,52.06,52.06,80
20140618,52.99,52.99,52.08,52.08,784
20140619,52.41,52.41,52.32,52.32,1442
20140620,52.07,52.07,51.9,51.9,8316
20140623,52.15,52.15,51.8,51.8,1962
20140624,52,52,51.67,51.77,3614
20140625,51.7,51.93,51.49,51.93,4455
20140626,52,52,51.85,51.91,492
20140627,52.07,52.07,51.85,51.85,1428
20140630,52.2,52.2,51.95,52.08,1386
20140701,52,52,51.37,51.37,4310
20140702,51.5,51.63,51.5,51.63,2500
20140703,52.13,52.41,52.13,52.41,217
20140704,52.9,52.9,52.79,52.79,2171
20140707,53,53,52.5,52.87,1057
20140708,52.65,52.7,52.5,52.7,1468
20140709,52.5,52.65,52.5,52.63,4818
20140710,52.59,52.59,52.59,52.59,95
20140711,53,53,52.44,52.44,2053
20140714,52.47,52.7,52.47,52.7,230
20140715,53.01,53.01,52.99,53.01,2051
20140716,53.09,53.24,52.98,53.24,28810
20140717,53.4,53.4,53.1,53.1,3674
20140718,52.5,52.5,52.13,52.26,1439
20140721,52.86,52.86,52.84,52.85,3165
20140722,53.2,53.2,53.14,53.14,751
20140723,53.3,53.31,53.17,53.29,3710
20140724,53.39,53.39,53.18,53.18,1636
20140725,53.58,53.61,53.56,53.61,925
20140728,53.5,53.57,53.2,53.55,2841
20140729,53.84,53.94,53.83,53.94,7141
20140730,56,56,53.54,53.6,2450
20140731,53.6,53.6,53.43,53.49,2740
20140801,53.2,53.2,52.94,53,5651
20140804,53.1,53.14,53.06,53.12,3448
20140805,53.45,53.45,53.25,53.25,4049
20140806,53.09,53.09,52.9,52.97,3274
20140807,52.59,52.59,52.59,52.59,57
20140808,52.63,52.63,52.2,52.2,977
20140811,52.2,53.09,52.2,53.09,820
20140812,54,54,53.93,53.93,594
20140813,53.9,53.9,53.51,53.75,1445
20140814,53.88,53.88,53.6,53.86,1360
20140815,54,54,53.84,53.84,868
20140818,54,54.01,53.92,53.92,415
20140819,56.5,56.5,55,55,310
20140820,57.75,57.75,54.35,54.66,2610
20140821,54.76,54.76,54.4,54.4,2887
20140822,56.24,56.25,54.17,54.17,1332
20140825,54.4,54.53,54.36,54.45,6078
20140826,55,55,54.49,54.75,739
20140827,54.96,55.01,54.95,54.95,434
20140828,55.07,55.07,54.8,54.8,2338
20140829,55.2,55.2,54.31,54.66,1721
20140901,54.65,54.65,54.6,54.62,477
20140902,54.65,54.77,54.4,54.76,6685
20140903,55.06,55.17,55.06,55.14,1551
20140904,55.54,55.56,55.54,55.56,571
20140905,55.02,55.33,55.02,55.3,841
20140908,55.2,55.66,55.2,55.66,1421
20140909,57.49,57.49,55.57,55.64,9389
20140910,55.4,55.4,55.3,55.36,3266
20140911,55.36,55.39,55.16,55.23,5347
20140912,55.7,55.88,55.65,55.83,4777
20140915,55.6,55.6,55.05,55.24,1771
20140916,55.29,55.29,54.9,54.9,2342
20140917,55,55.3,55,55.28,2970
20140918,55.31,55.32,55.1,55.1,925
20140919,58,58,55.5,55.72,1622
20140922,55.72,55.72,54.72,54.72,6392
20140923,54.69,54.77,54.6,54.6,749
20140924,54.69,54.69,54.5,54.54,931
20140925,55.5,55.5,54.95,55.45,2598
20140926,55.2,55.2,54.5,54.75,1460
20140929,55.7,55.7,55,55.25,3259
20140930,54.99,54.99,54.19,54.19,4001
20141001,53.48,53.76,53.18,53.7,4855
20141002,52.35,52.55,52.35,52.55,1629
20141003,52.78,52.82,52.55,52.6,1913
20141006,52.8,53.93,52.8,53.6,561
20141007,54,54.11,53.97,54.08,5256
20141008,53.8,53.87,53.3,53.83,3891
20141009,54,54.07,53.7,53.84,5519
20141010,55.99,55.99,53.28,53.54,1646
20141013,53.1,53.1,52.51,53.02,1095
20141014,53.11,53.36,53.11,53.22,269
