Date,Open,High,Low,Close,Volume
20141120,50.86,50.88,50.86,50.88,847
20141121,50.81,50.81,50.6,50.7,2294
20141124,50.95,50.95,50.81,50.81,2478
20141125,51.19,51.35,51.19,51.35,6838
20141126,51.91,51.95,51.91,51.95,3112
20141127,52.1,52.1,51.95,51.98,857
20141128,52.14,52.26,52.13,52.26,3471
20141201,52.46,52.46,52.12,52.26,12922
20141202,51.93,52.01,51.8,51.8,10518
20141203,52.71,52.71,52.62,52.62,2150
20141204,52.77,52.79,52.57,52.79,1397
20141205,52.83,52.88,52.76,52.88,1743
20141208,53.49,53.53,53.36,53.53,5740
20141209,53.14,53.38,53.14,53.28,7389
20141210,53.04,53.17,52.8,52.8,5290
20141211,51.96,52.1,51.7,52.1,3012
20141212,52.41,52.48,52.2,52.2,2176
20141215,52.2,52.2,51.85,51.85,1208
20141216,51.22,51.26,51.1,51.2,2110
20141217,51.05,51.7,51,51.7,1859
20141218,52.6,52.62,52.44,52.49,4071
20141219,53.49,53.54,53.45,53.52,5783
20141222,53.76,53.79,53.71,53.71,693
20141223,54.14,54.14,54.14,54.14,85
20141224,54.22,54.22,54.15,54.16,4515
20141229,54.38,54.38,54.34,54.36,2070
20141230,54.3,54.31,54.26,54.26,2000
20141231,58,58,54,54,52
20150102,53.72,53.72,53.43,53.43,932
20150105,53.32,53.58,53.2,53.56,5559
20150106,53.56,53.56,51.95,51.95,4508
20150107,52,52,51.8,51.91,4159
20150108,52.38,52.38,52.09,52.09,756
20150109,52.97,52.97,52.8,52.8,6494
20150112,51.7,51.71,51.54,51.55,5953
20150113,52.23,52.24,51.95,52.08,6984
20150114,52.06,52.25,51.8,52.17,11205
20150115,52,52.02,51.59,51.59,6014
20150116,51.15,51.15,50.86,50.94,1873
20150119,51.68,51.79,51.68,51.72,7881
20150120,52.01,52.08,52,52,2053
20150121,52.37,52.37,52.11,52.11,34174
20150122,53.11,53.33,53.11,53.33,2495
20150123,54.08,54.14,53.73,54.14,44716
20150127,54.94,54.96,54.8,54.8,8855
20150128,54.7,54.7,54.38,54.5,9667
20150129,54.13,54.18,54,54.18,6010
20150130,55.55,55.55,55.25,55.28,6545
20150202,54.76,54.85,54.56,54.79,3171
20150203,55.3,56.04,55,55.98,3925
20150204,56.25,56.29,55.99,56.07,9654
20150205,55.99,55.99,55.69,55.75,5585
20150206,56.26,56.29,56,56.03,9650
20150209,56.03,56.1,55.75,56.09,6192
20150210,56.09,56.09,55.6,55.69,3999
20150211,56.49,56.5,56.4,56.47,3317
20150212,57.14,57.21,57.14,57.21,12510
20150213,57.34,57.36,57.02,57.24,4696
20150216,57.46,57.51,57.28,57.29,3934
20150217,57.19,57.28,56.99,57.05,11536
20150218,57.37,57.37,56.98,57.28,1947
20150219,57.34,57.37,57.1,57.1,5959
20150220,57.52,57.55,57.25,57.25,1947
20150223,57.46,57.49,57.39,57.44,3627
20150224,57.75,57.99,57.75,57.97,221
20150225,57.88,57.88,57.55,57.56,8211
20150226,57.5,57.61,57.29,57.56,26079
20150227,57.85,57.91,57.85,57.91,1225
20150302,59,59,57.97,58.13,3373
20150303,58.22,58.26,57.86,57.86,31013
20150304,57.7,57.7,57.3,57.58,3891
20150305,57.37,57.48,57.36,57.41,11752
20150306,57.81,57.81,57.58,57.63,7978
20150309,57.41,57.6,57.36,57.55,7194
20150310,57.75,57.97,57.61,57.91,6032
20150311,57.92,57.92,57.08,57.38,4023
20150312,59,59,57.4,57.5,6480
20150313,57.24,57.42,57.1,57.42,5258
20150316,57.2,58,57.1,58,5277
20150317,58.3,58.3,57.6,58.14,4463
20150318,59.28,59.34,59.2,59.29,6221
20150319,59.71,60.1,58.35,58.4,4079
20150320,58.41,59,58.36,58.39,3193
20150323,58.39,58.41,58.03,58.1,24511
20150324,58.15,58.15,57.62,57.73,18047
20150325,58.4,58.4,57.39,57.39,10214
20150326,57.23,57.23,57.14,57.22,4430
20150327,57.3,57.3,56.92,57.2,13137
20150330,57.59,57.77,57.13,57.75,15469
20150331,58.4,59.49,58.38,59.49,29904
20150401,58,58.2,57.35,57.75,11133
20150402,58.28,58.46,58.28,58.45,1973
20150407,59.19,59.19,58.38,58.38,5692
20150408,58.39,58.69,58.34,58.36,8741
20150409,63.39,63.4,58.25,58.28,5528
20150410,58.45,58.57,58.31,58.57,1946
20150413,63.4,63.4,58.7,59.4,6590
20150414,62,62,59.31,59.37,22034
20150415,59.4,59.45,59.25,59.45,6230
20150416,59.42,59.42,58.81,59.01,14628
20150417,58.44,58.51,58.33,58.37,14931
20150420,57.81,57.86,57.32,57.65,18024
20150421,58.7,58.91,58.49,58.89,7446
20150422,58.71,58.71,58.25,58.25,8315
20150423,58.76,58.8,58.4,58.65,1454
20150424,58.75,58.91,58.68,58.69,54970
20150427,58.77,58.77,58.24,58.28,33031
20150428,58.23,58.26,57.9,57.9,31225
20150429,57.8,57.8,57.04,57.1,36241
20150430,56.95,56.95,56.55,56.75,16612
20150501,57.42,57.42,57.12,57.19,15569
20150504,58,58,57.63,57.76,18093
20150505,57.98,57.98,57.5,57.71,15349
20150506,57.09,57.09,56.45,56.69,40073
20150507,56.69,56.69,56.25,56.25,14337
20150508,56.92,57.56,56.92,57,15673
20150511,58.02,58.13,57.5,57.74,10129
20150512,57.74,57.76,57.4,57.6,17209
20150513,57.11,57.27,56.85,57.01,20338
20150514,56.69,56.69,56.06,56.22,14932
20150515,57,57.59,57,57.47,20090
20150518,57.47,57.76,57.45,57.5,5627
20150519,57.75,58.13,57.7,57.79,11608
20150520,58,58.13,57.95,58.09,15042
20150521,58,58.13,58,58.09,6764
20150522,58.1,58.58,58.1,58.55,16379
20150525,58.56,59.1,58.56,58.75,13060
