Date,Open,High,Low,Close,Volume
20110527,49.6,50.06,49.6,50.06,200
20110530,50.1,50.22,50.08,50.08,740
20110531,51.21,51.21,51.15,51.15,158
20110601,50.33,50.48,50.33,50.48,350
20110602,50.5,50.5,49.22,49.22,243
20110603,49.59,49.59,49.4,49.4,901
20110606,49.99,49.99,49.05,49.05,390
20110607,49.08,49.08,49.08,49.08,11
20110608,49.08,49.08,49.08,49.08,0
20110609,49.17,49.17,49.1,49.1,2034
20110610,49.35,49.42,49.35,49.42,750
20110614,49.04,49.36,49,49,1659
20110615,49.46,49.51,49.46,49.51,16
20110616,49.11,49.11,49.11,49.11,1825
20110617,49.2,49.2,49.2,49.2,3115
20110620,49.32,49.32,49.14,49.14,805
20110621,50,50.2,50,50.2,2083
20110622,50.2,50.2,50.2,50.2,0
20110623,50.1,50.1,49.26,49.26,250
20110624,49.26,49.26,49.26,49.26,0
20110627,48.87,48.87,48.79,48.82,884
20110628,49.07,49.07,49.07,49.07,100
20110629,49.07,49.07,49.07,49.07,0
20110630,49.99,50.09,49.99,50.09,549
20110701,49.86,49.86,49.86,49.86,600
20110704,50.11,50.11,50,50,503
20110705,49.81,49.81,49.81,49.81,19
20110706,49.76,49.81,49.76,49.81,1901
20110707,49.65,49.65,49.58,49.58,100150
20110708,50.19,50.19,50.19,50.19,400
20110711,49.84,49.84,49.65,49.65,2612
20110712,48.72,48.72,48.72,48.72,100
20110713,48.7,48.72,48.53,48.63,9740
20110714,48.63,48.63,48.63,48.63,0
20110715,48.08,48.08,48,48,2081
20110718,47.93,47.93,47.9,47.9,895
20110719,48.01,48.01,48.01,48.01,2600
20110720,48.01,48.01,48.01,48.01,0
20110721,48.01,48.01,48.01,48.01,0
20110722,48.01,48.01,48.01,48.01,0
20110725,49.36,49.36,48.85,48.85,2881
20110726,48.85,48.85,48.85,48.85,0
20110727,48.9,48.9,48.74,48.74,1150
20110728,48.01,48.01,48.01,48.01,160
20110729,47.77,47.77,47.73,47.73,654
20110801,48.64,48.64,48.45,48.45,835
20110802,47.98,47.98,47.84,47.84,395
20110803,47.11,47.11,46.9,46.9,1738
20110804,47,47,46.26,46.26,2240
20110805,44.77,44.77,44.4,44.68,9006
20110808,43.95,43.97,43.9,43.97,651
20110809,42.46,44,41.27,44,34176
20110810,44,45.14,44,45.04,6005
20110811,44.6,45.1,44.6,45.1,4600
20110812,45.67,45.67,45.67,45.67,216
20110815,46.29,46.58,46.29,46.58,863
20110816,46.82,46.9,46.65,46.9,3155
20110817,46.62,46.62,46.62,46.62,200
20110818,46.89,46.89,46.89,46.89,189
20110819,45.65,45.77,45.54,45.58,14545
20110822,45.58,45.58,45.22,45.22,57
20110823,45.97,45.97,45.97,45.97,543
20110824,46.48,46.48,46.48,46.48,70
20110825,46.48,46.48,46.48,46.48,0
20110826,46.99,46.99,46.99,46.99,212
20110829,46.99,46.99,46.99,46.99,0
20110830,47.78,47.84,47.5,47.5,2108
20110831,47.42,47.42,47.42,47.42,1682
20110901,48.08,48.08,47.99,47.99,1710
20110902,47.98,47.98,47.5,47.5,1082
20110905,46.5,46.5,46.3,46.35,2286
20110906,46.35,46.35,46.35,46.35,0
20110907,46.5,46.5,46.37,46.37,1363
20110908,46.37,46.37,46.37,46.37,0
20110909,46.37,46.37,46.37,46.37,0
20110912,45.92,45.92,45.92,45.92,431
20110913,46,46.01,45.86,45.94,5320
20110914,46.32,46.32,45.98,45.98,1170
