Date,Open,High,Low,Close,Volume
20151208,50.58,50.58,50.56,50.56,1177
20151209,50.32,50.32,50.32,50.32,40
20151210,50.32,50.32,50.32,50.32,0
20151211,50.32,50.32,50.32,50.32,0
20151214,50.32,50.32,50.32,50.32,0
20151215,50.67,50.67,50.66,50.66,2177
20151216,50.7,50.71,50.7,50.7,2120
20151217,50.51,50.57,50.51,50.57,3335
20151218,50.64,50.65,50.61,50.65,19656
20151221,50.53,50.53,50.53,50.53,2191
20151222,50.67,50.67,50.66,50.66,891
20151223,50.52,50.52,50.52,50.52,35
20151224,50.52,50.52,50.52,50.52,0
20151229,50.41,50.41,50.39,50.39,196
20151230,50.39,50.39,50.39,50.39,0
20151231,50.47,50.48,50.47,50.48,1500
20160104,50.72,50.72,50.7,50.7,370
20160105,50.74,50.74,50.74,50.74,100
20160106,50.74,50.74,50.74,50.74,0
20160107,50.72,50.74,50.72,50.74,728
20160108,50.74,50.74,50.71,50.71,886
20160111,50.84,50.86,50.84,50.85,678
20160112,50.89,50.89,50.89,50.89,103
20160113,50.97,50.97,50.97,50.97,382
20160114,50.83,50.87,50.83,50.87,2578
20160115,50.87,50.87,50.87,50.87,0
20160118,51.18,51.18,51.15,51.15,2155
20160119,51.18,51.18,51.18,51.18,388
20160120,51.17,51.2,51.17,51.2,380
20160121,51.08,51.08,51.06,51.06,673
20160122,51.14,51.14,51.14,51.14,200
20160125,50.99,50.99,50.9,50.9,1530
20160127,51.09,51.09,50.93,50.93,1074
20160128,51.2,51.2,51.2,51.2,97
20160129,51.08,51.12,51.08,51.11,2837
20160201,51.64,51.64,51.64,51.64,566
20160202,51.17,51.2,51.16,51.2,13531
20160203,51.62,51.64,51.62,51.63,2940
20160204,51.28,51.31,51.12,51.31,5779
20160205,51.72,51.75,51.72,51.75,13354
20160208,51.83,51.83,51.81,51.81,2336
20160209,51.91,51.93,51.76,51.78,1232
20160210,51.72,51.73,51.72,51.73,1734
20160211,51.95,51.97,51.91,51.96,4276
20160212,51.73,51.89,51.73,51.87,2389
20160215,51.87,51.87,51.87,51.87,0
20160216,51.91,51.91,51.9,51.9,8380
20160217,52.09,52.11,52.09,52.11,885
20160218,51.88,51.88,51.86,51.86,2583
20160219,51.89,51.89,51.88,51.88,934
20160222,52.01,52.05,52.01,52.03,1277
20160223,52.26,52.29,52.26,52.29,2233
20160224,52.29,52.34,52.29,52.34,245
20160225,52.37,52.39,52.35,52.35,6998
20160226,52.21,52.21,52.16,52.16,54
20160229,52.16,52.16,52.16,52.16,0
20160301,52.21,52.24,52.21,52.24,1912
20160302,52.22,52.23,52.22,52.23,365
20160303,52.03,52.03,52.02,52.02,2165
20160304,52,52.01,51.98,52.01,1547
20160307,52.08,52.08,52.07,52.07,5332
20160308,51.94,52.14,51.94,52.14,4136
20160309,52.3,52.33,52.17,52.33,5255
20160310,52.51,52.52,52.51,52.52,592
20160311,52.01,52.03,51.99,52,15452
20160314,51.98,51.99,51.97,51.97,1259
20160315,52.33,52.33,52.33,52.33,1
20160316,52.45,52.46,52.3,52.46,1055
20160317,52.16,52.16,52.02,52.02,3912
20160318,51.61,52.09,51.6,52.09,59470
20160321,52.15,52.29,52.15,52.2,3331
20160322,52.2,52.25,52.2,52.25,452
20160323,52.28,52.28,52.2,52.2,4464
20160324,52.2,52.28,52.1,52.28,746
20160329,52.35,52.35,52.15,52.15,3837
20160330,52.34,52.35,52.33,52.35,4941
20160331,52.45,52.45,52.38,52.38,399
20160401,52.25,52.35,52.25,52.35,675
20160404,52.45,52.5,52.45,52.5,1022
20160405,52.5,52.54,52.4,52.54,2164
20160406,52.53,52.53,52.52,52.52,469
20160407,52.52,52.6,52.43,52.58,6542
20160408,52.65,52.71,52.65,52.71,2270
20160411,52.7,52.73,52.47,52.47,3061
20160412,52.6,52.83,52.6,52.83,2625
20160413,52.56,52.6,52.56,52.57,1230
20160414,52.66,52.77,52.66,52.69,740
20160415,52.76,52.76,52.7,52.76,1328
20160418,52.85,52.85,52.8,52.8,449
20160419,52.81,52.81,52.46,52.78,2305
20160420,52.64,52.64,52.64,52.64,1878
20160421,52.71,52.71,52.4,52.4,210
20160422,52.64,52.64,52.42,52.42,1148
20160426,52.66,52.68,52.64,52.64,7141
20160427,52.61,52.64,52.4,52.63,4630
20160428,52.59,52.66,52.41,52.65,2833
20160429,52.61,52.61,52.61,52.61,1550
20160502,52.61,52.65,52.61,52.64,1591
20160503,52.45,52.54,52.41,52.41,5904
20160504,52.72,52.72,52.42,52.42,458
20160505,52.87,52.87,52.86,52.86,647
20160506,52.86,52.89,52.7,52.89,1927
20160509,52.87,52.87,52.8,52.87,4203
20160510,52.62,53.01,52.62,52.98,1542
20160511,52.77,52.77,52.77,52.77,1513
20160512,52.77,52.96,52.77,52.96,3571
20160513,52.94,52.95,52.71,52.72,3719
20160516,52.98,52.98,52.98,52.98,2717
20160517,52.72,52.93,52.72,52.93,5107
20160518,52.89,52.9,52.72,52.89,4653
20160519,52.7,52.83,52.47,52.82,3641
20160520,52.86,52.86,52.86,52.86,612
20160523,52.83,52.84,52.83,52.84,1797
20160524,52.84,52.85,52.45,52.85,1199
20160525,52.81,52.81,52.8,52.8,358
20160526,52.88,52.88,52.88,52.88,557
20160527,52.97,52.98,52.97,52.98,949
20160530,52.9,52.9,52.7,52.9,8999
20160531,53.04,53.04,53.03,53.03,1674
20160601,52.84,53.1,52.84,53.1,2508
20160602,53.09,53.1,52.72,53.09,18320
20160603,52.79,53.18,52.79,53.18,639
20160606,53.35,53.36,53.35,53.36,171
20160607,53.35,53.35,53.2,53.3,1819
20160608,53.26,53.37,53.25,53.36,8675
20160609,53.39,53.43,53.39,53.43,3189
20160610,53.43,53.48,53.14,53.48,6198
20160614,53.5,53.55,53.5,53.55,2383
20160615,53.68,53.68,53.5,53.5,1557
20160616,53.5,53.71,53.5,53.55,1439
20160617,53.66,53.66,53.42,53.65,3724
20160620,53.38,53.6,53.35,53.55,7598
20160621,53.53,53.53,53.3,53.53,2562
20160622,53.45,53.46,53.25,53.46,3591
20160623,53.2,53.44,53.2,53.31,2231
