Date,Open,High,Low,Close,Volume
20181113,49.85,49.85,49.4,49.43,383
20181114,49.4,49.4,49.4,49.4,25
20181115,48.95,48.95,48.9,48.9,310
20181116,48.9,48.9,48.9,48.9,114
20181119,48.9,48.9,48.9,48.9,0
20181120,48.25,48.25,48.25,48.25,2
20181121,48,48,47.8,47.8,4020
20181122,47.83,48.09,47.83,48.09,3605
20181123,48.07,48.12,47.84,48.12,452
20181126,48.37,48.4,48.37,48.4,131
20181127,48.4,48.4,48.4,48.4,0
20181128,48.78,48.78,48.53,48.53,4958
20181129,48.73,48.74,48.73,48.74,4000
20181130,48.75,48.75,48.73,48.73,1511
20181203,49.06,49.2,49.06,49.2,2494
20181204,49.15,49.15,49.14,49.14,1027
20181205,48.11,48.11,47.9,48.05,1476
20181206,47.9,47.9,47.75,47.86,331
20181207,47.83,47.83,47.83,47.83,9
20181210,47.25,47.25,47.25,47.25,255
20181211,47.38,47.38,47,47,2618
20181212,47.33,47.33,47,47.32,1194
20181213,47.54,47.66,47.54,47.66,126
20181214,47.59,47.59,47.03,47.03,973
20181217,47.03,47.03,47.03,47.03,0
20181218,46.1,46.1,46.1,46.1,600
20181219,46.1,46.1,46.1,46.1,0
20181220,46.1,46.1,46.1,46.1,0
20181221,45.27,45.27,45.27,45.27,25
20181224,45.27,45.27,45.27,45.27,0
20181227,45.12,45.12,45.12,45.12,222
20181228,45.12,45.12,45.12,45.12,0
20181231,45.12,45.12,45.12,45.12,0
20190102,45.64,45.64,45.64,45.64,205
20190103,46,46,46,46,55
20190104,46,46,46,46,0
20190107,45.99,45.99,45.99,45.99,222
20190108,46.3,46.31,46.3,46.31,2600
20190109,47.14,47.14,47.14,47.14,22
20190110,47.14,47.14,47.14,47.14,0
20190111,47.53,47.53,47.53,47.53,92
20190114,47.53,47.53,47.53,47.53,0
20190115,47.26,47.26,47.26,47.26,1052
20190116,47.42,47.44,47.42,47.44,241
20190117,47.84,47.9,47.84,47.9,508
20190118,48.13,48.13,48.12,48.12,1318
20190121,48.72,48.72,48.72,48.72,623
20190122,48.71,48.71,48.69,48.69,109
20190123,48.69,48.69,48.69,48.69,0
20190124,48.22,48.22,48.2,48.2,1329
20190125,48.2,48.2,48.2,48.2,0
20190129,48.2,48.2,48.2,48.2,0
20190130,48.9,48.9,48.82,48.82,60
20190131,48.68,48.68,48.68,48.68,62
20190201,48.86,48.86,48.86,48.86,50
20190204,48.86,48.86,48.86,48.86,0
20190205,48.86,48.86,48.86,48.86,0
20190206,48.86,48.86,48.86,48.86,0
20190207,50.55,50.55,50.55,50.55,286
20190208,50.1,50.1,50.1,50.1,350
20190211,49.9,49.9,49.9,49.9,145
20190212,49.9,49.9,49.9,49.9,0
20190213,50.75,50.78,50.59,50.59,49492
20190214,50.59,50.59,50.59,50.59,0
20190215,50.59,50.59,50.59,50.59,0
20190218,50.59,50.59,50.59,50.59,0
20190219,50.59,50.59,50.59,50.59,0
20190220,51.17,51.2,51.17,51.2,117
20190221,51.25,51.72,51.11,51.72,211
20190222,51.66,51.66,51.66,51.66,24
20190225,51.73,51.73,51.73,51.73,100
20190226,51.67,51.67,51.67,51.67,10
20190227,51.35,51.35,51.35,51.35,274
20190228,51.6,51.6,51.6,51.6,193
20190301,52,52,52,52,18
20190304,52.64,52.64,52.5,52.5,260
20190305,52.35,52.35,52,52,1222
20190306,52.01,52.24,52,52.24,1542
20190307,51.83,51.83,51.49,51.55,895
20190308,51.3,51.32,51.3,51.32,270
20190311,51.09,51.09,51.09,51.09,191
20190312,51.4,51.66,51.4,51.66,116
20190313,51.57,51.6,51.35,51.35,1151
20190314,51.82,51.89,51.77,51.89,2615
20190315,51.81,51.81,51.81,51.81,579
20190318,51.85,51.85,51.85,51.85,80
20190319,51.93,51.95,51.93,51.95,14189
20190320,52,52,51.95,51.95,612
20190321,51.38,51.38,51.17,51.17,1451
20190322,51.94,51.94,51.94,51.94,97
20190325,51.06,51.06,50.8,50.8,1403
20190326,50.96,50.96,50.96,50.96,24
20190327,51.01,51.01,51,51,217
20190328,51.02,51.02,51.02,51.02,21
20190329,51.5,51.6,51.5,51.6,1641
20190401,51.6,51.61,51.36,51.61,769
20190402,51.9,51.9,51.9,51.9,40
20190403,51.87,51.87,51.87,51.87,94
20190404,52.1,52.1,52.07,52.07,1200
20190405,52.11,52.11,52.11,52.11,211
20190408,52.11,52.11,52.11,52.11,0
20190409,52.34,52.34,52.24,52.24,359
20190410,51.9,51.93,51.9,51.93,29
20190411,52.08,52.08,52.06,52.06,1127
20190412,52.34,52.44,52.34,52.44,1015
20190415,52.31,52.44,52.31,52.44,882
20190416,52.25,52.25,52.25,52.25,395
20190417,52.32,52.32,52.23,52.26,963
20190418,52.09,52.09,51.9,51.93,934
20190423,51.93,51.93,51.93,51.93,0
20190424,51.93,51.93,51.93,51.93,0
20190426,53.05,53.07,52.97,53.07,626
20190429,53.26,53.26,53.25,53.25,354
20190430,53.26,53.4,53.25,53.4,1343
20190501,53.42,53.47,53.42,53.47,998
20190502,53.26,53.26,53.14,53.24,1050
20190503,53.31,53.31,53.31,53.31,719
20190506,53.47,53.47,53.4,53.4,469
20190507,53.65,53.65,53.5,53.5,3692
20190508,52.89,52.89,52.61,52.86,1522
20190509,52.84,52.84,52.73,52.8,902
20190510,52.61,52.61,52.47,52.47,226
20190513,52.6,52.6,52.6,52.6,154
20190514,51.95,51.95,51.7,51.85,358
20190515,51.85,51.85,51.85,51.85,0
20190516,51.85,51.85,51.85,51.85,0
20190517,53.29,53.29,53.18,53.2,1892
20190520,52.77,52.77,52.68,52.68,1984
20190521,52.68,52.68,52.68,52.68,0
20190522,53.06,53.06,53.06,53.06,140
20190523,52.65,52.65,52.6,52.6,219
20190524,51.7,51.96,51.7,51.96,1287
20190527,51.89,51.89,51.89,51.89,190
20190528,51.89,51.89,51.89,51.89,0
20190529,51.66,51.66,51.28,51.42,1604
20190530,51.21,51.21,50.92,51.17,2029
20190531,50.9,50.9,50.69,50.69,640
20190603,50.41,50.41,50.16,50.28,686
20190604,50.42,50.42,50.42,50.42,10
20190605,51.34,51.35,51.31,51.31,24544
20190606,51.31,51.31,51.31,51.31,0
20190607,51.31,51.31,51.31,51.31,0
20190611,52.28,52.28,52.28,52.28,43
20190612,52.28,52.28,52.28,52.28,0
20190613,52.28,52.28,52.28,52.28,413
20190614,52.71,52.95,52.71,52.95,406
20190617,52.7,52.72,52.7,52.72,2003
20190618,52.97,52.97,52.97,52.97,13
20190619,53.06,53.3,53.06,53.3,1953
20190620,53.55,53.55,53.53,53.53,1862
20190621,53.42,53.47,53.15,53.15,522
20190624,53,53,52.8,52.8,363
20190625,52.6,52.63,52.48,52.48,921
20190626,52.27,52.27,52.27,52.27,314
20190627,51.98,51.98,51.98,51.98,679
20190628,52.52,52.52,52.35,52.35,1082
20190701,51.95,52.06,51.95,52.06,3750
20190702,52.19,52.19,52.14,52.14,4698
20190703,52.01,52.01,51.87,51.96,1838
20190704,52.08,52.08,52,52.05,4236
20190705,52.25,52.29,52.25,52.29,1773
20190708,52.29,52.3,52.15,52.15,1070
20190709,51.93,52.08,51.88,52.02,758
20190710,52.34,52.34,52.29,52.31,2486
20190711,52.17,52.2,52.16,52.2,966
20190712,51.97,52.03,51.76,51.87,1600
20190715,51.86,51.89,51.83,51.83,746
20190716,51.72,51.74,51.66,51.7,3023
20190717,51.68,51.76,51.63,51.76,4332
20190718,51.54,51.54,51.28,51.28,263
20190719,51.18,51.35,51.1,51.35,511
20190722,51.33,51.33,51.19,51.22,1658
20190723,51.52,51.52,51.52,51.52,446
20190724,51.86,51.97,51.86,51.97,1010
20190725,52.6,52.73,52.4,52.73,344
20190726,52.41,52.45,52.39,52.39,785
20190729,52.91,52.96,52.85,52.89,3276
20190730,52.95,52.97,52.95,52.97,305
20190731,53.12,53.12,52.99,52.99,1234
20190801,52.91,53.02,52.89,53.02,1073
20190802,52.55,52.63,52.43,52.46,2386
20190805,52.26,52.26,51.88,52.15,1938
20190806,50.67,50.67,50.51,50.65,2294
