Date,Open,High,Low,Close,Volume
20110526,49.5,50,49.5,50,1595
20110527,50.08,50.08,50.08,50.08,500
20110530,50.16,50.16,50.16,50.16,250
20110531,50.68,50.68,50.68,50.68,159
20110601,50.46,50.64,49.8,49.8,1022
20110602,49.8,49.8,49.8,49.8,0
20110603,49.32,49.32,46.86,46.86,501
20110606,49.04,49.04,49.04,49.04,1
20110607,48.9,48.9,48.9,48.9,11
20110608,48.92,48.92,48.92,48.92,500
20110609,48.92,48.92,48.92,48.92,0
20110610,48.92,48.92,48.92,48.92,0
20110614,49.17,49.17,49.15,49.15,1022
20110615,49.15,49.15,49.15,49.15,0
20110616,48.61,48.61,48.61,48.61,40
20110617,48.61,48.61,48.61,48.61,0
20110620,48.61,48.61,48.61,48.61,0
20110621,48.61,48.61,48.61,48.61,0
20110622,48.61,48.61,48.61,48.61,0
20110623,48.61,48.61,48.61,48.61,0
20110624,48.61,48.61,48.61,48.61,0
20110627,48.61,48.61,48.61,48.61,0
20110628,48.61,48.61,48.61,48.61,0
20110629,48.61,48.61,48.61,48.61,0
20110630,49.85,49.85,49.85,49.85,11
20110701,49.85,49.85,49.85,49.85,0
20110704,49.85,49.85,49.85,49.85,0
20110705,49.85,49.85,49.85,49.85,0
20110706,49.85,49.85,49.85,49.85,0
20110707,49.85,49.85,49.85,49.85,20000
20110708,49.85,49.85,49.85,49.85,0
20110711,49.85,49.85,49.85,49.85,0
20110712,48.71,48.71,48.71,48.71,1000
20110713,48.64,48.64,48.56,48.56,2200
20110714,48.56,48.56,48.56,48.56,0
20110715,48.56,48.56,48.56,48.56,0
20110718,48.59,48.59,48.59,48.59,21
20110719,48.59,48.59,48.59,48.59,0
20110720,48.59,48.59,48.59,48.59,0
20110721,48.59,48.59,48.59,48.59,0
20110722,48.59,48.59,48.59,48.59,0
20110725,48.59,48.59,48.59,48.59,0
20110726,48.59,48.59,48.59,48.59,0
20110727,48.59,48.59,48.59,48.59,0
20110728,48.59,48.59,48.59,48.59,0
20110729,48.59,48.59,48.59,48.59,0
20110801,48.59,48.59,48.59,48.59,0
20110802,48.59,48.59,48.59,48.59,0
20110803,48.59,48.59,48.59,48.59,0
20110804,48.59,48.59,48.59,48.59,0
20110805,44.15,44.15,44.15,44.15,100
20110808,44.15,44.15,44.15,44.15,0
20110809,44.15,44.15,44.15,44.15,0
20110810,44.78,44.78,44.78,44.78,21
20110811,44.5,44.5,44.5,44.5,75
20110812,44.5,44.5,44.5,44.5,0
20110815,44.5,44.5,44.5,44.5,0
20110816,44.5,44.5,44.5,44.5,0
20110817,44.5,44.5,44.5,44.5,0
20110818,44.5,44.5,44.5,44.5,0
20110819,44.5,44.5,44.5,44.5,0
20110822,44.5,44.5,44.5,44.5,0
20110823,44.5,44.5,44.5,44.5,0
20110824,44.5,44.5,44.5,44.5,0
20110825,45.67,45.67,45.67,45.67,500
20110826,45.67,45.67,45.67,45.67,0
20110829,45.67,45.67,45.67,45.67,0
20110830,45.67,45.67,45.67,45.67,0
20110831,46.4,46.47,46.37,46.47,1900
20110901,46.47,46.47,46.47,46.47,0
20110902,46.47,46.47,46.47,46.47,0
20110905,46.47,46.47,46.47,46.47,0
20110906,44.44,44.59,44.44,44.54,1100
20110907,44.54,44.54,44.54,44.54,0
20110908,44.54,44.54,44.54,44.54,0
20110909,44.54,44.54,44.54,44.54,0
20110912,44.54,44.54,44.54,44.54,0
20110913,44.57,44.57,44.57,44.57,223
20110914,43.85,43.85,43.69,43.71,1970
20110915,43.71,43.71,43.71,43.71,0
20110916,43.71,43.71,43.71,43.71,0
20110919,43.71,43.71,43.71,43.71,0
20110920,43.71,43.71,43.71,43.71,0
20110921,43.71,43.71,43.71,43.71,0
20110922,43.64,43.67,43.3,43.31,6230
20110923,43.31,43.31,43.31,43.31,0
20110926,43.31,43.31,43.31,43.31,0
20110927,43.31,43.31,43.31,43.31,0
20110928,43.31,43.31,43.31,43.31,0
20110929,43.31,43.31,43.31,43.31,0
20110930,43.31,43.31,43.31,43.31,0
20111003,43.31,43.31,43.31,43.31,0
20111004,43.31,43.31,43.31,43.31,0
20111005,42.41,42.41,42.41,42.41,2300
20111006,42.41,42.41,42.41,42.41,0
20111007,44.88,45.43,44.85,45.43,2203
20111010,45.43,45.43,45.43,45.43,0
20111011,45.43,45.43,45.43,45.43,0
20111012,45.43,45.43,45.43,45.43,0
20111013,45.43,45.43,45.43,45.43,0
20111014,45.43,45.43,45.43,45.43,0
20111017,45.43,45.43,45.43,45.43,0
20111018,45.73,45.73,45.73,45.73,3012
20111019,45.73,45.73,45.73,45.73,0
20111020,45.28,45.3,44.98,44.99,5268
20111021,44.99,44.99,44.99,44.99,0
20111024,44.99,44.99,44.99,44.99,0
20111025,44.99,44.99,44.99,44.99,0
20111026,44.99,44.99,44.99,44.99,0
20111027,44.99,44.99,44.99,44.99,0
20111028,48.03,48.03,48,48,2
20111031,46.95,46.95,46.86,46.86,25
20111101,46.86,46.86,46.86,46.86,0
20111102,46.86,46.86,46.86,46.86,0
20111103,46.86,46.86,46.86,46.86,0
20111104,46.86,46.86,46.86,46.86,0
20111107,46.86,46.86,46.86,46.86,0
20111108,46.86,46.86,46.86,46.86,0
20111109,47.54,47.54,47.54,47.54,425
20111110,47.54,47.54,47.54,47.54,0
20111111,46.5,46.77,46.47,46.77,2151
20111114,47.26,47.26,47.26,47.26,96
20111115,46.76,46.76,46.73,46.73,14278
20111116,46.73,46.73,46.73,46.73,0
20111117,46.73,46.73,46.73,46.73,0
20111118,45.89,45.89,45.89,45.89,100
20111121,45.89,45.89,45.89,45.89,0
20111122,45.89,45.89,45.89,45.89,0
20111123,44.91,44.91,44.91,44.91,1
20111124,44.91,44.91,44.91,44.91,0
20111125,43.4,43.4,43.4,43.4,69
20111128,44.34,44.38,44.26,44.38,6185
20111129,44.38,44.38,44.38,44.38,0
20111130,44.73,44.73,44.73,44.73,21
20111201,44.73,44.73,44.73,44.73,0
20111202,44.73,44.73,44.73,44.73,0
20111205,47.27,47.27,47.27,47.27,10
20111206,47.2,47.2,47.2,47.2,105
20111207,47.2,47.2,47.2,47.2,0
20111208,47.2,47.2,47.2,47.2,0
20111209,47.2,47.2,47.2,47.2,0
20111212,47.2,47.2,47.2,47.2,0
20111213,45.86,45.86,45.86,45.86,30
20111214,45.94,45.94,45.94,45.94,1100
20111215,45.5,45.5,45.21,45.21,330
20111216,45.21,45.21,45.21,45.21,0
20111219,44.53,44.56,44.53,44.56,70000
20111220,44.46,44.49,44.45,44.49,30964
20111221,44.49,44.49,44.49,44.49,0
20111222,44.49,44.49,44.49,44.49,0
20111223,44.49,44.49,44.49,44.49,0
20111228,44.49,44.49,44.49,44.49,0
20111229,44.49,44.49,44.49,44.49,0
20111230,44.56,44.56,44.56,44.56,6441
20120103,44.56,44.56,44.56,44.56,0
20120104,44.56,44.56,44.56,44.56,0
20120105,44.56,44.56,44.56,44.56,0
20120106,44.56,44.56,44.56,44.56,0
20120109,44.56,44.56,44.56,44.56,0
20120110,44.56,44.56,44.56,44.56,0
20120111,44.56,44.56,44.56,44.56,0
20120112,44.95,44.95,44.95,44.95,1500
20120113,44.95,44.95,44.95,44.95,0
20120116,44.95,44.95,44.95,44.95,0
20120117,45.19,45.42,45.19,45.42,66
20120118,45.42,45.42,45.42,45.42,0
20120119,45.42,45.42,45.42,45.42,0
20120120,45.59,45.59,45.59,45.59,1099
20120123,45.59,45.59,45.59,45.59,0
20120124,45.59,45.59,45.59,45.59,0
20120125,45.59,45.59,45.59,45.59,0
20120127,45.59,45.59,45.59,45.59,0
20120130,45.59,45.59,45.59,45.59,0
20120131,46.16,46.16,46.16,46.16,467
20120201,46.16,46.16,46.16,46.16,0
20120202,46.07,46.07,46.02,46.07,3250
20120203,46.07,46.07,46.07,46.07,0
20120206,46.07,46.07,46.07,46.07,0
20120207,46.15,46.16,46.15,46.16,950
20120208,46.16,46.16,46.16,46.16,0
20120209,46.16,46.16,46.16,46.16,0
20120210,45.94,45.94,45.85,45.85,131
20120213,45.85,45.85,45.85,45.85,0
20120214,45.85,45.85,45.85,45.85,0
20120215,45.6,45.6,45.6,45.6,1
20120216,45.6,45.6,45.6,45.6,0
20120217,45.6,45.6,45.6,45.6,0
20120220,45.6,45.6,45.6,45.6,0
20120221,46.23,46.23,46.23,46.23,10000
20120222,46.23,46.23,46.23,46.23,0
20120223,46.23,46.23,46.23,46.23,0
20120224,46.25,46.25,46.25,46.25,10000
20120227,46.25,46.25,46.25,46.25,0
20120228,46.25,46.25,46.25,46.25,0
20120229,46.2,46.25,46.2,46.25,1404
20120301,46.13,46.18,46.13,46.18,3800
20120302,46.18,46.18,46.18,46.18,0
20120305,46.18,46.18,46.18,46.18,0
20120306,46.18,46.18,46.18,46.18,0
20120307,46.18,46.18,46.18,46.18,0
20120308,45.85,45.85,45.85,45.85,109
20120309,45.57,45.57,45.57,45.57,2200
20120312,45.57,45.57,45.57,45.57,0
20120313,45.57,45.57,45.57,45.57,0
20120314,45.57,45.57,45.57,45.57,0
20120315,46.06,46.06,46.06,46.06,3260
20120316,46.06,46.06,46.06,46.06,0
20120319,46.06,46.06,46.06,46.06,0
20120320,46.06,46.06,46.06,46.06,0
20120321,46.06,46.06,46.06,46.06,0
20120322,46.06,46.06,46.06,46.06,0
20120323,46.06,46.06,46.06,46.06,0
20120326,46.06,46.06,46.06,46.06,0
20120327,46.06,46.06,46.06,46.06,0
20120328,46.06,46.06,46.06,46.06,0
20120329,46.06,46.06,46.06,46.06,0
20120330,46.06,46.06,46.06,46.06,0
20120402,46.06,46.06,46.06,46.06,0
20120403,46.06,46.06,46.06,46.06,0
20120404,46.06,46.06,46.06,46.06,0
20120405,46.06,46.06,46.06,46.06,0
20120410,46.06,46.06,46.06,46.06,0
20120411,45.89,45.89,45.89,45.89,215
20120412,45.89,45.89,45.89,45.89,0
20120413,46.6,46.6,46.6,46.6,1
20120416,46.6,46.6,46.6,46.6,0
20120417,46.57,46.57,46.45,46.45,62
20120418,46.45,46.45,46.45,46.45,0
20120419,46.45,46.45,46.45,46.45,0
20120420,46.45,46.45,46.45,46.45,0
20120423,47.06,47.06,47.06,47.06,192
20120424,47,47,47,47,1
20120426,47,47,47,47,0
20120427,47.2,47.2,47.2,47.2,1
20120430,47.2,47.2,47.2,47.2,0
20120501,47.8,47.8,47.8,47.8,1
20120502,47.8,47.8,47.8,47.8,0
20120503,47.8,47.8,47.8,47.8,0
20120504,47.8,47.8,47.8,47.8,0
20120507,46.9,46.9,46.9,46.9,1
20120508,46.9,46.9,46.9,46.9,0
20120509,46.9,46.9,46.9,46.9,0
20120510,46.9,46.9,46.9,46.9,0
20120511,46.9,46.9,46.9,46.9,0
20120514,47,47,47,47,1
20120515,47,47,47,47,0
20120516,46,46,46,46,1
20120517,45.5,45.5,45.5,45.5,1
20120518,45.5,45.5,45.5,45.5,0
20120521,45.5,45.5,45.5,45.5,0
20120522,45.5,45.5,45.5,45.5,0
20120523,44.5,44.5,44.5,44.5,112
20120524,44.5,44.5,44.5,44.5,0
20120525,44.39,44.39,44.39,44.39,1125
20120528,44.39,44.39,44.39,44.39,0
20120529,44.8,44.8,44.8,44.8,1
20120530,44.62,44.62,44.62,44.62,200
20120531,44.62,44.62,44.62,44.62,0
20120601,44.62,44.62,44.62,44.62,0
20120604,44.62,44.62,44.62,44.62,0
20120605,44.1,44.1,44.1,44.1,1
20120606,44.1,44.1,44.1,44.1,0
20120607,44.1,44.1,44.1,44.1,0
20120608,44.9,44.9,44.9,44.9,1
20120612,44.9,44.9,44.9,44.9,0
20120613,44.9,44.9,44.9,44.9,0
20120614,44.9,44.9,44.9,44.9,0
20120615,44.9,44.9,44.9,44.9,0
20120618,44.9,44.9,44.9,44.9,0
20120619,44.9,44.9,44.9,44.9,0
20120620,45.5,45.5,45.5,45.5,1
20120621,45.25,45.25,45.25,45.25,1
20120622,45.25,45.25,45.25,45.25,0
20120625,44.5,44.5,44.31,44.31,510
20120626,44.31,44.31,44.31,44.31,0
20120627,44.6,44.6,44.6,44.6,1
20120628,44.6,44.6,44.6,44.6,0
20120629,45.05,45.16,45.05,45.16,16154
20120702,45.52,45.52,45.52,45.52,440
20120703,45.55,45.55,45.53,45.53,121
20120704,45.53,45.53,45.53,45.53,0
20120705,45.53,45.53,45.53,45.53,0
20120706,45.53,45.53,45.53,45.53,0
20120709,45.53,45.53,45.53,45.53,0
20120710,45.53,45.53,45.53,45.53,0
20120711,45.53,45.53,45.53,45.53,0
20120712,45.53,45.53,45.53,45.53,0
20120713,45.53,45.53,45.53,45.53,0
20120716,45.53,45.53,45.53,45.53,0
20120717,45.76,45.76,45.76,45.76,100
20120718,45.76,45.76,45.76,45.76,0
20120719,45.76,45.76,45.76,45.76,0
20120720,45.76,45.76,45.76,45.76,0
20120723,45.62,45.62,45.62,45.62,22
20120724,45.62,45.62,45.62,45.62,0
20120725,45.64,45.64,45.64,45.64,875
20120726,45.85,45.85,45.85,45.85,1
20120727,45.85,45.85,45.85,45.85,0
20120730,45.85,45.85,45.85,45.85,0
20120731,45.85,45.85,45.85,45.85,0
20120801,45.85,45.85,45.85,45.85,0
20120802,45.85,45.85,45.85,45.85,0
20120803,46.98,46.98,46.98,46.98,195
20120806,47.46,47.49,47.46,47.46,3893
20120807,47.46,47.46,47.46,47.46,0
20120808,47.85,47.85,47.85,47.85,5000
20120809,47.85,47.85,47.85,47.85,0
20120810,47.85,47.85,47.85,47.85,0
20120813,47.64,47.73,47.5,47.5,10210
20120814,47.5,47.5,47.5,47.5,0
20120815,47.5,47.5,47.5,47.5,0
20120816,47.5,47.5,47.5,47.5,0
20120817,48.3,48.3,48.3,48.3,21
20120820,48.3,48.3,48.3,48.3,0
20120821,48.3,48.3,48.3,48.3,0
20120822,48.3,48.3,48.3,48.3,0
20120823,48.95,48.95,48.95,48.95,5600
20120824,48.95,48.95,48.95,48.95,0
20120827,48.95,48.95,48.95,48.95,0
20120828,48.95,48.95,48.95,48.95,0
20120829,48.68,48.68,48.68,48.68,1000
20120830,48.2,48.2,48.2,48.2,911
20120831,48.3,48.33,48.27,48.27,3050
20120903,48.27,48.27,48.27,48.27,0
20120904,48.68,48.68,48.68,48.68,274
20120905,48.68,48.68,48.68,48.68,0
20120906,48.38,48.38,48.38,48.38,765
20120907,48.38,48.38,48.38,48.38,545
20120910,48.38,48.38,48.38,48.38,0
20120911,48.38,48.38,48.38,48.38,0
20120912,48.88,48.88,48.88,48.88,412
20120913,48.88,48.88,48.88,48.88,0
20120914,48.88,48.88,48.88,48.88,0
20120917,48.88,48.88,48.88,48.88,0
20120918,48.88,48.88,48.88,48.88,0
20120919,48.88,48.88,48.88,48.88,0
20120920,48.88,48.88,48.88,48.88,0
20120921,48.88,48.88,48.88,48.88,0
20120924,48.88,48.88,48.88,48.88,0
20120925,48.88,48.88,48.88,48.88,0
20120926,49.1,49.1,49.1,49.1,111
20120927,48.88,49.29,48.88,49.29,204
20120928,49.29,49.29,49.29,49.29,0
20121001,49.29,49.29,49.29,49.29,0
20121002,49.29,49.29,49.29,49.29,0
20121003,49.19,49.19,49.19,49.19,25000
20121004,49.17,49.17,49.17,49.17,100
20121005,49.17,49.17,49.17,49.17,0
20121008,49.17,49.17,49.17,49.17,0
20121009,49.17,49.17,49.17,49.17,0
20121010,49.17,49.17,49.17,49.17,0
20121011,49.17,49.17,49.17,49.17,0
20121012,49.73,49.73,49.73,49.73,200
20121015,49.73,49.73,49.73,49.73,0
20121016,49.89,49.89,49.8,49.8,1000
20121017,50.2,50.2,50.2,50.2,1368
20121018,50.2,50.2,50.2,50.2,0
20121019,50.2,50.2,50.2,50.2,0
20121022,50.2,50.2,50.2,50.2,0
20121023,50.34,50.34,50.34,50.34,164
20121024,50.34,50.34,50.34,50.34,0
20121025,50.34,50.34,50.34,50.34,0
20121026,49.78,49.78,49.6,49.6,70038
20121029,49.6,49.6,49.6,49.6,0
20121030,49.79,49.79,49.73,49.73,22069
20121031,49.73,49.73,49.73,49.73,0
20121101,49.7,49.7,49.7,49.7,400
20121102,49.7,49.7,49.7,49.7,0
20121105,49.7,49.7,49.7,49.7,0
20121106,49.7,49.7,49.7,49.7,0
20121107,49.7,49.7,49.7,49.7,0
20121108,49.7,49.7,49.7,49.7,0
20121109,49.65,49.65,49.65,49.65,14
20121112,49.65,49.65,49.65,49.65,0
20121113,49.65,49.65,49.65,49.65,0
20121114,49.65,49.65,49.65,49.65,0
20121115,49.65,49.65,49.65,49.65,0
20121116,49.65,49.65,49.65,49.65,0
20121119,49.65,49.65,49.65,49.65,0
20121120,48.96,48.96,48.96,48.96,703
20121121,48.96,48.96,48.96,48.96,0
20121122,48.96,48.96,48.96,48.96,0
20121123,49.22,49.22,49.22,49.22,607
